# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.344
metadata : {}


# id : NWRW1800000038.344.1.1
"안철수 노원丙 출마 반대" 46%… "찬성한다" 보다 12%p 더 많아

"안철수	"/SS+안철수/NNP
민주통합당에서도	민주통합당/NNP+에서/JKB+도/JX
서울	서울/NNP
출마를	출마/NNG+를/JKO
비판하는	비판/NNG+하/XSV+는/ETM
목소리가	목소리/NNG+가/JKS
나오자	나오/VV+자/EC
당혹하고	당혹/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.344.4.1
민주통합당 박기춘 원내대표는 5일 언론 인터뷰에서 "우리가 제1 야당인데 (서울 노원병 지역에) 후보를 안 낸다는 것은 모순"이라며 "개인적으로 민주당이 후보를 내야 한다는 생각을 갖고 있다"고 말했다.

민주통합당	민주통합당/NNP
박기춘	박기춘/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
5일	5/SN+일/NNB
언론	언론/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
"우리가	"/SS+우리/NP+가/JKS
제1	제/XPN+1/SN
야당인데	야당/NNG+이/VCP+ㄴ데/EC
(서울	(/SS+서울/NNP
노원병	노원병/NNP
지역에)	지역/NNG+에/JKB+)/SS
후보를	후보/NNG+를/JKO
안	안/MAG
낸다는	내/VV+ㄴ다는/ETM
것은	것/NNB+은/JX
모순"이라며	모순/NNG+"/SS+이/VCP+라며/EC
"개인적으로	"/SS+개인/NNG+적/XSN+으로/JKB
민주당이	민주당/NNP+이/JKS
내야	내/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
생각을	생각/NNG+을/JKO
갖고	갖/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.344.4.2
박 원내대표는 "(안 전 교수가) 꼭 출마해야 할 상황이라고 한다면 (부산 영도 출마가) 매우 바람직한 방법이라고 본다"고 했다.

박	박/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
"(안	"/SS+(/SS+안/NNP
전	전/MMD
교수가)	교수/NNG+가/JKS+)/SS
꼭	꼭/MAG
출마해야	출마/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
상황이라고	상황/NNG+이/VCP+라고/EC
한다면	하/VV+ㄴ다면/EC
(부산	(/SS+부산/NNP
영도	영도/NNP
출마가)	출마/NNG+가/JKS+)/SS
매우	매우/MAG
바람직한	바람직하/VA+ㄴ/ETM
방법이라고	방법/NNG+이/VCP+라고/EC
본다"고	보/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.344.4.3
민주당 강기정 의원도 이날 의원총회에서 "당연히 후보를 내야 하고, 지도부는 후보를 내는 걸로 하루빨리 정리해야 한다"고 말했다.

민주당	민주당/NNP
강기정	강기정/NNP
의원도	의원/NNG+도/JX
이날	이날/NNG
의원총회에서	의원/NNG+총회/NNG+에서/JKB
"당연히	"/SS+당연히/MAG
후보를	후보/NNG+를/JKO
내야	내/VV+어야/EC
하고,	하/VX+고/EC+,/SP
지도부는	지도부/NNG+는/JX
내는	내/VV+는/ETM
걸로	거/NNB+ㄹ로/JKB
하루빨리	하루빨리/MAG
정리해야	정리/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.344.5.1
진보정의당 천호선 최고위원도 이날 "정치를 개혁하겠다는 유력 대통령 후보가 야당에 협력하고 서로 배려해야 한다는 개념을 전혀 갖고 있지 않다"며 안 전 교수를 비판했다.

진보정의당	진보정의당/NNP
천호선	천호선/NNP
최고위원도	최고/NNG+위원/NNG+도/JX
이날	이날/NNG
"정치를	"/SS+정치/NNG+를/JKO
개혁하겠다는	개혁/NNG+하/XSV+겠/EP+다는/ETM
유력	유력/NNG
대통령	대통령/NNG
후보가	후보/NNG+가/JKS
야당에	야당/NNG+에/JKB
협력하고	협력/NNG+하/XSV+고/EC
서로	서로/MAG
배려해야	배려/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
개념을	개념/NNG+을/JKO
전혀	전혀/MAG
갖고	갖/VV+고/EC
있지	있/VX+지/EC
않다"며	않/VX+다/EF+"/SS+며/EC
안	안/NNP
전	전/MMD
교수를	교수/NNG+를/JKO
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.344.5.2
이날 발표된 리얼미터의 여론조사에 따르면 안 전 교수의 출마를 반대하는 여론(46.0%)이 찬성하는 여론(34.1%)보다 10%포인트 이상 많은 것으로 나타났다.

이날	이날/NNG
발표된	발표/NNG+되/XSV+ㄴ/ETM
리얼미터의	리얼미터/NNP+의/JKG
여론조사에	여론/NNG+조사/NNG+에/JKB
따르면	따르/VV+면/EC
안	안/NNP
전	전/MMD
교수의	교수/NNG+의/JKG
출마를	출마/NNG+를/JKO
반대하는	반대/NNG+하/XSV+는/ETM
여론(46.0%)이	여론/NNG+(/SS+46/SN+./SP+0/SN+%/SW+)/SS+이/JKS
찬성하는	찬성/NNG+하/XSV+는/ETM
여론(34.1%)보다	여론/NNG+(/SS+34/SN+./SP+1/SN+%/SW+)/SS+보다/JKB
10%포인트	10/SN+%포인트/NNG
이상	이상/NNG
많은	많/VA+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.344.6.1
야권의 반발이 커지자 안 전 교수의 대선 캠프 공동선대본부장을 지낸 송호창 무소속 의원은 이날 이례적으로 보도 자료를 내고 안 전 교수의 출마 배경을 설명했다.

야권의	야권/NNG+의/JKG
반발이	반발/NNG+이/JKS
커지자	커지/VV+자/EC
안	안/NNP
전	전/MMD
교수의	교수/NNG+의/JKG
대선	대선/NNG
캠프	캠프/NNG
공동선대본부장을	공동/NNG+선대/NNG+본부장/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
송호창	송호창/NNP
무소속	무/XPN+소속/NNG
의원은	의원/NNG+은/JX
이날	이날/NNG
이례적으로	이례/NNG+적/XSN+으로/JKB
보도	보도/NNG
자료를	자료/NNG+를/JKO
내고	내/VV+고/EC
출마	출마/NNG
배경을	배경/NNG+을/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.344.6.2
송 의원은 "안 전 교수가 서울 노원병 지역에 출마하는 것은 새로운 정치를 시작하기 위함"이라며 "새로운 정치를 전국적 차원에서 다시 시작하는 출발점으로 서울을 선택했다"고 밝혔다.

송	송/NNP
의원은	의원/NNG+은/JX
"안	"/SS+안/NNP
전	전/MMD
교수가	교수/NNG+가/JKS
서울	서울/NNP
노원병	노원병/NNP
지역에	지역/NNG+에/JKB
출마하는	출마/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
새로운	새롭/VA+ㄴ/ETM
정치를	정치/NNG+를/JKO
시작하기	시작/NNG+하/XSV+기/ETN
위함"이라며	위하/VV+ㅁ/ETN+"/SS+이/VCP+라며/EC
"새로운	"/SS+새롭/VA+ㄴ/ETM
전국적	전국/NNG+적/XSN
차원에서	차원/NNG+에서/JKB
다시	다시/MAG
시작하는	시작/NNG+하/XSV+는/ETM
출발점으로	출발점/NNG+으로/JKB
서울을	서울/NNP+을/JKO
선택했다"고	선택/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.344.6.3
송 의원은 또 "지금까지 야권은 대안과 비전이 아닌 반여(反與) 후보 단일화에 모든 것을 건 '반대의 연합'을 통해 유권자의 선택을 요구했지만, 이런 방식으로는 더 이상 새로운 정치도, 거대 여당을 뛰어넘는 대안 세력의 성장도 가능하지 않다"며 야권 전체를 비판했다.

송	송/NNP
의원은	의원/NNG+은/JX
또	또/MAG
"지금까지	"/SS+지금/NNG+까지/JX
야권은	야권/NNG+은/JX
대안과	대안/NNG+과/JC
비전이	비전/NNG+이/JKS
아닌	아니/VCN+ㄴ/ETM
반여(反與)	반/XPN+여/NNG+(/SS+反與/SH+)/SS
후보	후보/NNG
단일화에	단일/NNG+화/XSN+에/JKB
모든	모든/MMN
것을	것/NNB+을/JKO
건	걸/VV+ㄴ/ETM
'반대의	'/SS+반대/NNG+의/JKG
연합'을	연합/NNG+'/SS+을/JKO
통해	통하/VV+아/EC
유권자의	유권자/NNG+의/JKG
선택을	선택/NNG+을/JKO
요구했지만,	요구/NNG+하/XSV+았/EP+지만/EC+,/SP
이런	이런/MMD
방식으로는	방식/NNG+으로/JKB+는/JX
더	더/MAG
이상	이상/NNG
새로운	새롭/VA+ㄴ/ETM
정치도,	정치/NNG+도/JX+,/SP
거대	거대/NNG
여당을	여당/NNG+을/JKO
뛰어넘는	뛰어넘/VV+는/ETM
대안	대안/NNG
세력의	세력/NNG+의/JKG
성장도	성장/NNG+도/JX
가능하지	가능/NNG+하/XSA+지/EC
않다"며	않/VX+다/EF+"/SS+며/EC
야권	야권/NNG
전체를	전체/NNG+를/JKO
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


