# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.418
metadata : {}


# id : NWRW1800000030.418.1.1
[서울] 굽이굽이 세월의 흔적을 걷자… 22일 '서울 역사길 걷기대회'

[서울]	[/SS+서울/NNP+]/SS
교육을	교육/NNG+을/JKO
받아야	받/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.418.5.3
봉사활동 4시간이 인정된다.

봉사활동	봉사/NNG+활동/NNG
4시간이	4/SN+시간/NNB+이/JKS
인정된다.	인정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.418.6.1
각 회당 선착순 4000명만 참가할 수 있으며 참가 신청은 전화(02-522-5446~8)나 인터넷(www.seoulwalking.or.kr)으로 받는다.

각	각/MMD
회당	회/NNB+당/XSN
선착순	선착순/NNG
4000명만	4000/SN+명/NNB+만/JX
참가할	참가/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있으며	있/VA+으며/EC
참가	참가/NNG
신청은	신청/NNG+은/JX
전화(02-522-5446~8)나	전화/NNG+(/SS+02/SN+-/SO+522/SN+-/SO+5446/SN+~/SO+8/SN+)/SS+나/JC
인터넷(www.seoulwalking.or.kr)으로	인터넷/NNG+(/SS+www/SL+./SP+seoulwalking/SL+./SP+or/SL+./SP+kr/SL+)/SS+으로/JKB
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000030.418.6.2
참가비는 없다.

참가비는	참가비/NNG+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.418.6.3
이번달 걷기대회는 21일까지 접수를 하고 다음달 걷기대회 신청은 오는 24일부터 다음달 11일까지 받는다.

이번달	이번/NNG+달/NNG
걷기대회는	걷기/NNG+대회/NNG+는/JX
21일까지	21/SN+일/NNB+까지/JX
접수를	접수/NNG+를/JKO
하고	하/VV+고/EC
다음달	다음/NNG+달/NNG
걷기대회	걷기/NNG+대회/NNG
신청은	신청/NNG+은/JX
오는	오/VV+는/ETM
24일부터	24/SN+일/NNB+부터/JX
11일까지	11/SN+일/NNB+까지/JX
받는다.	받/VV+는다/EF+./SF


