# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.107
metadata : {}


# id : NWRW1800000038.107.1.1
"재외공관장은 정무·경제·통상까지 능통해야"

"재외공관장은	"/SS+재외/NNG+공관장/NNG+은/JX
분야에서도	분야/NNG+에서/JKB+도/JX
전문성을	전문/NNG+성/XSN+을/JKO
갖춰야	갖추/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.107.5.1
안 대사는 북핵문제 해결을 위한 국제사회의 노력과 관련해 "국제사회가 한목소리를 내는 게 중요하고, 거기에는 중국도 포함된다"고 말했다.

안	안/NNP
대사는	대사/NNG+는/JX
북핵문제	북핵/NNG+문제/NNG
해결을	해결/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
국제사회의	국제/NNG+사회/NNG+의/JKG
노력과	노력/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
"국제사회가	"/SS+국제/NNG+사회/NNG+가/JKS
한목소리를	한목소리/NNG+를/JKO
내는	내/VV+는/ETM
게	거/NNB+이/JKS
중요하고,	중요/NNG+하/XSA+고/EC+,/SP
거기에는	거기/NP+에/JKB+는/JX
중국도	중국/NNP+도/JX
포함된다"고	포함/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.107.5.2
그는 "중국이 국제정치에서 차지하는 위상이 커짐에 따라 한·중 관계, 미·중 관계, 한·미·중 관계에 대한 기대가 커지고 있다"면서 "그런 관점에서 박근혜 대통령의 한반도 신뢰 프로세스를 추진하는 데 이번 미·중 정상회담이 도움되도록 노력할 것"이라고 했다.

그는	그/NP+는/JX
"중국이	"/SS+중국/NNP+이/JKS
국제정치에서	국제/NNG+정치/NNG+에서/JKB
차지하는	차지/NNG+하/XSV+는/ETM
위상이	위상/NNG+이/JKS
커짐에	커지/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
한·중	한·중/NNP
관계,	관계/NNG+,/SP
미·중	미/NNP+·/SP+중/NNP
한·미·중	한·미/NNP+·/SP+중/NNP
관계에	관계/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기대가	기대/NNG+가/JKS
커지고	커지/VV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"그런	"/SS+그런/MMD
관점에서	관점/NNG+에서/JKB
박근혜	박근혜/NNP
대통령의	대통령/NNG+의/JKG
한반도	한반도/NNP
신뢰	신뢰/NNG
프로세스를	프로세스/NNG+를/JKO
추진하는	추진/NNG+하/XSV+는/ETM
데	데/NNB
이번	이번/NNG
정상회담이	정상/NNG+회담/NNG+이/JKS
도움되도록	도움/NNG+되/XSV+도록/EC
노력할	노력/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.107.6.1
안 대사는 또 "올해 한·미 동맹 60주년을 계기로 양국 간 협력을 강화하기 위해 미국 당국자들과 인적 네트워킹을 확대하는 것을 주미 대사관의 핵심 과제로 추진할 것"이라고 했다.

안	안/NNP
대사는	대사/NNG+는/JX
또	또/MAG
"올해	"/SS+올해/NNG
한·미	한·미/NNP
동맹	동맹/NNG
60주년을	60/SN+주년/NNB+을/JKO
계기로	계기/NNG+로/JKB
양국	양국/NNG
간	간/NNB
협력을	협력/NNG+을/JKO
강화하기	강화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
미국	미국/NNP
당국자들과	당국자/NNG+들/XSN+과/JKB
인적	인/NNG+적/XSN
네트워킹을	네트워킹/NNG+을/JKO
확대하는	확대/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
주미	주미/NNG
대사관의	대사관/NNG+의/JKG
핵심	핵심/NNG
과제로	과제/NNG+로/JKB
추진할	추진/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.107.7.1
외무고시 11회로 1978년 공직을 시작한 안 대사는 외교부에서 다자통상국장, 통상교섭조정관 등 통상 분야 요직을 역임했다.

외무고시	외무/NNG+고시/NNG
11회로	11/SN+회/NNB+로/JKB
1978년	1978/SN+년/NNB
공직을	공직/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
안	안/NNP
대사는	대사/NNG+는/JX
외교부에서	외교부/NNG+에서/JKB
다자통상국장,	다자/NNG+통상/NNG+국장/NNG+,/SP
통상교섭조정관	통상/NNG+교섭/NNG+조정관/NNG
등	등/NNB
통상	통상/NNG
분야	분야/NNG
요직을	요직/NNG+을/JKO
역임했다.	역임/NNG+하/XSV+았/EP+다/EF+./SF


