# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.49
metadata : {}


# id : NWRW1800000025.49.1.1
[인문사회]예측 불가능한 세상에서 살아남는 비결은 ‘탄력성’

[인문사회]예측	[/SS+인문/NNG+사회/NNG+]/SS+예측/NNG
모래알을 하나씩 쌓다 보면 어느 순간 작은 뾰족탑이 생기고, 그러다 일정 수준에 이르면 모래알 하나만 더 얹어도 모래탑이 무너지는 사태가 벌어진다.

모래알을	모래알/NNG+을/JKO
하나씩	하나/NR+씩/XSN
쌓다	쌓/VV+다/EC
보면	보/VX+면/EC
어느	어느/MMD
순간	순간/NNG
작은	작/VA+은/ETM
뾰족탑이	뾰족탑/NNG+이/JKS
생기고,	생기/VV+고/EC+,/SP
그러다	그러/VV+다/EC
일정	일정/NNG
수준에	수준/NNG+에/JKB
이르면	이르/VV+면/EC
모래알	모래알/NNG
하나만	하나/NR+만/JX
더	더/MAG
얹어도	얹/VV+어도/EC
모래탑이	모래/NNG+탑/NNG+이/JKS
무너지는	무너지/VV+는/ETM
사태가	사태/NNG+가/JKS
벌어진다.	벌어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.49.3.4
언제 위기가 닥칠지 모르는 모래탑의 모습은 늘 위험에 직면한 현대인과 비슷하다.

언제	언제/MAG
위기가	위기/NNG+가/JKS
닥칠지	닥치/VV+ㄹ지/EF
모르는	모르/VV+는/ETM
모래탑의	모래/NNG+탑/NNG+의/JKG
모습은	모습/NNG+은/JX
늘	늘/MAG
위험에	위험/NNG+에/JKB
직면한	직면/NNG+하/XSV+ㄴ/ETM
현대인과	현대인/NNG+과/JKB
비슷하다.	비슷하/VA+다/EF+./SF


# id : NWRW1800000025.49.4.1
저자는 불확실성의 시대에 대비하기 위해 필요한 능력으로 ‘탄력성’을 제시한다.

저자는	저자/NNG+는/JX
불확실성의	불확실/NNG+성/XSN+의/JKG
시대에	시대/NNG+에/JKB
대비하기	대비/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
필요한	필요/NNG+하/XSA+ㄴ/ETM
능력으로	능력/NNG+으로/JKB
‘탄력성’을	‘/SS+탄력/NNG+성/XSN+’/SS+을/JKO
제시한다.	제시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.49.4.2
이는 기존의 사고방식은 피하고, 어떤 예측 불가능한 일이 닥쳐와도 유연하게 받아들이는 능력을 뜻한다.

이는	이/NP+는/JX
기존의	기존/NNG+의/JKG
사고방식은	사고방식/NNG+은/JX
피하고,	피하/VV+고/EC+,/SP
어떤	어떤/MMD
예측	예측/NNG
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
일이	일/NNG+이/JKS
닥쳐와도	닥쳐오/VV+아도/EC
유연하게	유연하/VA+게/EC
받아들이는	받아들이/VV+는/ETM
능력을	능력/NNG+을/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.49.5.1
기존의 투자 관행을 깨고 신생 소규모 회사였던 구글에 거액을 투자해 엄청난 이익을 벌어들인 투자자, 게임을 즐기지 않는 사람도 게임을 하고 싶게 만드는 닌텐도 DS의 게임 디자이너 등이 탄력성을 발휘한 예다.

기존의	기존/NNG+의/JKG
투자	투자/NNG
관행을	관행/NNG+을/JKO
깨고	깨/VV+고/EC
신생	신생/NNG
소규모	소/XPN+규모/NNG
회사였던	회사/NNG+이/VCP+었/EP+던/ETM
구글에	구글/NNP+에/JKB
거액을	거액/NNG+을/JKO
투자해	투자/NNG+하/XSV+아/EC
엄청난	엄청나/VA+ㄴ/ETM
이익을	이익/NNG+을/JKO
벌어들인	벌어들이/VV+ㄴ/ETM
투자자,	투자자/NNG+,/SP
게임을	게임/NNG+을/JKO
즐기지	즐기/VV+지/EC
않는	않/VX+는/ETM
사람도	사람/NNG+도/JX
하고	하/VV+고/EC
싶게	싶/VX+게/EC
만드는	만들/VV+는/ETM
닌텐도	닌텐도/NNP
DS의	DS/SL+의/JKG
게임	게임/NNG
디자이너	디자이너/NNG
등이	등/NNB+이/JKS
탄력성을	탄력/NNG+성/XSN+을/JKO
발휘한	발휘/NNG+하/XSV+ㄴ/ETM
예다.	예/NNG+이/VCP+다/EF+./SF


