# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.94
metadata : {}


# id : NWRW1800000028.94.1.1
“퇴임뒤 연관직업 바람직하지 않아” /전 EU집행위원장, 중국 강단행

“퇴임뒤	“/SS+퇴임/NNG+뒤/NNG
유럽연합의 정책이 어떻게 결정되고 중국에 대한 정책은 어떻게 변화하고 있는지가 이번 학기 강의 주제다.

유럽연합의	유럽연합/NNP+의/JKG
정책이	정책/NNG+이/JKS
어떻게	어떻/VA+게/EC
결정되고	결정/NNG+되/XSV+고/EC
중국에	중국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
정책은	정책/NNG+은/JX
변화하고	변화/NNG+하/XSV+고/EC
있는지가	있/VX+는지/EF+가/JKS
이번	이번/NNG
학기	학기/NNG
강의	강의/NNG
주제다.	주제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.94.4.1
프로디 전 집행위원장은 중국의 현재와 미래에 큰 관심을 쏟고 있다.

프로디	프로디/NNP
전	전/MMD
집행위원장은	집행/NNG+위원장/NNG+은/JX
중국의	중국/NNP+의/JKG
현재와	현재/NNG+와/JC
미래에	미래/NNG+에/JKB
큰	크/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
쏟고	쏟/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.94.4.2
지난주 첫 강의에서 “미래의 세계는 큰 변화가 일어날 것이며, 중국이 세계 경제의 중심이 될 것”이라며 “미국의 경제는 여전히 세계에서 가장 중요하지만, 미래에는 이전처럼 지위도 높고 권력도 크지는 않을 것”이라고 말했다고 <양청만보>는 전했다.

지난주	지난주/NNG
첫	첫/MMN
강의에서	강의/NNG+에서/JKB
“미래의	“/SS+미래/NNG+의/JKG
세계는	세계/NNG+는/JX
큰	크/VA+ㄴ/ETM
변화가	변화/NNG+가/JKS
일어날	일어나/VV+ㄹ/ETM
것이며,	것/NNB+이/VCP+며/EC+,/SP
중국이	중국/NNP+이/JKS
세계	세계/NNG
경제의	경제/NNG+의/JKG
중심이	중심/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“미국의	“/SS+미국/NNP+의/JKG
경제는	경제/NNG+는/JX
여전히	여전히/MAG
세계에서	세계/NNG+에서/JKB
가장	가장/MAG
중요하지만,	중요/NNG+하/XSA+지만/EC+,/SP
미래에는	미래/NNG+에/JKB+는/JX
이전처럼	이전/NNG+처럼/JKB
지위도	지위/NNG+도/JX
높고	높/VA+고/EC
권력도	권력/NNG+도/JX
크지는	크/VA+지/EC+는/JX
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
<양청만보>는	</SS+양청만보/NNP+>/SS+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.94.4.3
<아에프페>(AFP) 통신 인터뷰에선 “내 안테나는 매일 캠퍼스에서 만나는 중국의 젊은 세대에게 맞춰져 있다”며 중국 신세대가 과거보다 훨씬 개방적이라고 평가했다.

<아에프페>(AFP)	</SS+아에프페/NNP+>/SS+(/SS+AFP/SL+)/SS
통신	통신/NNG
인터뷰에선	인터뷰/NNG+에서/JKB+ㄴ/JX
“내	“/SS+나/NP+의/JKG
안테나는	안테나/NNG+는/JX
매일	매일/MAG
캠퍼스에서	캠퍼스/NNG+에서/JKB
만나는	만나/VV+는/ETM
중국의	중국/NNP+의/JKG
젊은	젊/VA+은/ETM
세대에게	세대/NNG+에게/JKB
맞춰져	맞추/VV+어/EC+지/VX+어/EC
있다”며	있/VX+다/EF+”/SS+며/EC
중국	중국/NNP
신세대가	신/XPN+세대/NNG+가/JKS
과거보다	과거/NNG+보다/JKB
훨씬	훨씬/MAG
개방적이라고	개방/NNG+적/XSN+이/VCP+라고/EC
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.94.4.4
“중국은 경제적 변화의 과정에 있는 게 아니라, 모든 면에서 완전한 변화의 과정에 있다”고 말하기도 했다.

“중국은	“/SS+중국/NNP+은/JX
경제적	경제/NNG+적/XSN
변화의	변화/NNG+의/JKG
과정에	과정/NNG+에/JKB
있는	있/VA+는/ETM
게	거/NNB+이/JKC
아니라,	아니/VCN+라/EC+,/SP
모든	모든/MMN
면에서	면/NNG+에서/JKB
완전한	완전/NNG+하/XSA+ㄴ/ETM
있다”고	있/VA+다/EF+”/SS+고/JKQ
말하기도	말/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.94.5.1
프로디의 ‘중국행’은 의외로 받아들여지기도 한다.

프로디의	프로디/NNP+의/JKG
‘중국행’은	‘/SS+중국행/NNG+’/SS+은/JX
의외로	의외로/MAG
받아들여지기도	받아들이/VV+어/EC+지/VX+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.94.5.2
2008년 그가 총리직에서 물러난 뒤 많은 기업들이 거액을 손에 쥘 수 있는 자리들을 제안했다.

2008년	2008/SN+년/NNB
그가	그/NP+가/JKS
총리직에서	총리직/NNG+에서/JKB
물러난	물러나/VV+ㄴ/ETM
뒤	뒤/NNG
많은	많/VA+은/ETM
기업들이	기업/NNG+들/XSN+이/JKS
거액을	거액/NNG+을/JKO
손에	손/NNG+에/JKB
쥘	쥐/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
자리들을	자리/NNG+들/XSN+을/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.94.5.3
블라디미르 푸틴 러시아 총리는 송유관 프로젝트를 맡아줄 것을 요청하기도 했다.

블라디미르	블라디미르/NNP
푸틴	푸틴/NNP
러시아	러시아/NNP
총리는	총리/NNG+는/JX
송유관	송유관/NNG
프로젝트를	프로젝트/NNG+를/JKO
맡아줄	맡/VV+아/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요청하기도	요청/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.94.5.4
하지만 그는 “인생에서 여러번 직업을 바꿨지만 이번 선택은 가장 잘한 것 같다”고 자랑스럽게 밝히고 있다.

하지만	하지만/MAJ
그는	그/NP+는/JX
“인생에서	“/SS+인생/NNG+에서/JKB
여러번	여러/MMN+번/NNB
직업을	직업/NNG+을/JKO
바꿨지만	바꾸/VV+었/EP+지만/EC
이번	이번/NNG
선택은	선택/NNG+은/JX
가장	가장/MAG
잘한	잘/MAG+하/XSV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
자랑스럽게	자랑/NNG+스럽/XSA+게/EC
밝히고	밝히/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.94.5.5
그는 “푸틴 총리에게 정치인이 퇴임한 뒤 과거의 직무와 관련된 직업에 종사하는 것은 바람직하지 않다는 뜻을 정중하게 전했다”며 “당신도 은퇴하면 책을 쓰거나 독서를 하고 학생들을 가르치는 것이 좋을 것이라고 조언했다”고 밝혔다.

그는	그/NP+는/JX
“푸틴	“/SS+푸틴/NNP
총리에게	총리/NNG+에게/JKB
정치인이	정치인/NNG+이/JKS
퇴임한	퇴임/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
과거의	과거/NNG+의/JKG
직무와	직무/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
직업에	직업/NNG+에/JKB
종사하는	종사/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
바람직하지	바람직하/VA+지/EC
않다는	않/VX+다는/ETM
뜻을	뜻/NNG+을/JKO
정중하게	정중하/VA+게/EC
전했다”며	전하/VV+았/EP+다/EF+”/SS+며/EC
“당신도	“/SS+당신/NP+도/JX
은퇴하면	은퇴/NNG+하/XSV+면/EC
책을	책/NNG+을/JKO
쓰거나	쓰/VV+거나/EC
독서를	독서/NNG+를/JKO
하고	하/VV+고/EC
학생들을	학생/NNG+들/XSN+을/JKO
가르치는	가르치/VV+는/ETM
것이	것/NNB+이/JKS
좋을	좋/VA+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
조언했다”고	조언/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.94.6.1
프로디의 선택은 동시대의 유럽 정상들의 행보와 대조적이다.

프로디의	프로디/NNP+의/JKG
선택은	선택/NNG+은/JX
동시대의	동시대/NNG+의/JKG
유럽	유럽/NNP
정상들의	정상/NNG+들/XSN+의/JKG
행보와	행보/NNG+와/JKB
대조적이다.	대조/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000028.94.6.2
2007년 퇴임한 토니 블레어 전 영국 총리는 제이피 모건 등 대기업들의 고문직을 맡고 기업 초청 강연 등을 통해 막대한 돈을 벌어들이고 있다.

2007년	2007/SN+년/NNB
퇴임한	퇴임/NNG+하/XSV+ㄴ/ETM
토니	토니/NNP
블레어	블레어/NNP
전	전/MMD
영국	영국/NNP
총리는	총리/NNG+는/JX
제이피	제이피/NNP
모건	모건/NNP
등	등/NNB
대기업들의	대/XPN+기업/NNG+들/XSN+의/JKG
고문직을	고문직/NNG+을/JKO
맡고	맡/VV+고/EC
기업	기업/NNG
초청	초청/NNG
강연	강연/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
막대한	막대하/VA+ㄴ/ETM
돈을	돈/NNG+을/JKO
벌어들이고	벌어들이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.94.6.3
게르하르트 슈뢰더 전 독일 총리는 퇴임 뒤 자신이 총리로 있으면서 승인한 러시아-독일 송유관 프로젝트인 노르드스트림의 이사장 자리를 받아들여 논란을 일으켰다.

게르하르트	게르하르트/NNP
슈뢰더	슈뢰더/NNP
전	전/MMD
독일	독일/NNP
총리는	총리/NNG+는/JX
퇴임	퇴임/NNG
뒤	뒤/NNG
자신이	자신/NNG+이/JKS
총리로	총리/NNG+로/JKB
있으면서	있/VA+으면서/EC
승인한	승인/NNG+하/XSV+ㄴ/ETM
러시아-독일	러시아/NNP+-/SO+독일/NNP
송유관	송유관/NNG
프로젝트인	프로젝트/NNG+이/VCP+ㄴ/ETM
노르드스트림의	노르드/NNG+스트림/NNG+의/JKG
이사장	이사장/NNG
자리를	자리/NNG+를/JKO
받아들여	받아들이/VV+어/EC
논란을	논란/NNG+을/JKO
일으켰다.	일으키/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.94.7.1
프로디 전 집행위원장은 정치가가 되기 전 이탈리아 볼로냐대학과 하버드대학 등에서 강의한 유명한 좌파 경제학자였다.

프로디	프로디/NNP
전	전/NNG
집행위원장은	집행/NNG+위원장/NNG+은/JX
정치가가	정치가/NNG+가/JKC
되기	되/VV+기/ETN
이탈리아	이탈리아/NNP
볼로냐대학과	볼로냐/NNP+대학/NNG+과/JC
하버드대학	하버드대학/NNP
등에서	등/NNB+에서/JKB
강의한	강의/NNG+하/XSV+ㄴ/ETM
유명한	유명/NNG+하/XSA+ㄴ/ETM
좌파	좌파/NNG
경제학자였다.	경제학자/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.94.7.2
1996~98년 총리를 맡은 뒤 1999년부터 5년 동안 유럽연합 집행위원장을 역임했고 2006~2008년 다시 총리로 활동했다.

1996~98년	1996/SN+~/SO+98/SN+년/NNB
총리를	총리/NNG+를/JKO
맡은	맡/VV+은/ETM
뒤	뒤/NNG
1999년부터	1999/SN+년/NNB+부터/JX
5년	5/SN+년/NNB
동안	동안/NNG
유럽연합	유럽연합/NNP
집행위원장을	집행/NNG+위원장/NNG+을/JKO
역임했고	역임/NNG+하/XSV+았/EP+고/EC
2006~2008년	2006/SN+~/SO+2008/SN+년/NNB
다시	다시/MAG
총리로	총리/NNG+로/JKB
활동했다.	활동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.94.7.3
중국유럽국제공상학원은 <파이낸셜 타임스>가 지난 1월 발표한 ‘2010년 세계 경영학석사(MBA) 과정 순위’에서 22위에 오른 중국 최고 수준의 경영대학원이다.

중국유럽국제공상학원은	중국유럽국제공상학원/NNP+은/JX
<파이낸셜	</SS+파이낸셜/NNP
타임스>가	타임스/NNP+>/SS+가/JKS
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘2010년	‘/SS+2010/SN+년/NNB
세계	세계/NNG
경영학석사(MBA)	경영학/NNG+석사/NNG+(/SS+MBA/SL+)/SS
과정	과정/NNG
순위’에서	순위/NNG+’/SS+에서/JKB
22위에	22/SN+위/NNB+에/JKB
오른	오르/VV+ㄴ/ETM
중국	중국/NNP
최고	최고/NNG
수준의	수준/NNG+의/JKG
경영대학원이다.	경영/NNG+대학원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.94.7.4
그는 이탈리아에 거주하면서 상하이 캠퍼스를 오가며 강의할 것으로 알려졌다.

그는	그/NP+는/JX
이탈리아에	이탈리아/NNP+에/JKB
거주하면서	거주/NNG+하/XSV+면서/EC
상하이	상하이/NNP
캠퍼스를	캠퍼스/NNG+를/JKO
오가며	오가/VV+며/EC
강의할	강의/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


