# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.314
metadata : {}


# id : NWRW1800000030.314.1.1
'KBS 수신료 인상' 반대 여론에 무산

'KBS	'/SS+KBS/SL
참여하겠다"고	참여/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
했기	하/VV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
한나라당은	한나라당/NNP+은/JX
처리를	처리/NNG+를/JKO
낙관했다.	낙관/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.314.5.1
그러나 물가급등세가 심각한데 수신료까지 연 3만원에서 4만2000원으로 40% 인상할 경우, 국민 부담이 커진다는 비판 여론이 비등하자, 민주당은 '소위 불참' 방침을 바꿔 "표결에 참여해 반대하겠다"고 나섰다.

그러나	그러나/MAJ
물가급등세가	물가/NNG+급등세/NNG+가/JKS
심각한데	심각하/VA+ㄴ데/EC
수신료까지	수신료/NNG+까지/JX
연	연/NNG
3만원에서	3/SN+만/NR+원/NNB+에서/JKB
4만2000원으로	4/SN+만/NR+2000/SN+원/NNB+으로/JKB
40%	40/SN+%/SW
인상할	인상/NNG+하/XSV+ㄹ/ETM
경우,	경우/NNG+,/SP
국민	국민/NNG
부담이	부담/NNG+이/JKS
커진다는	커지/VV+ㄴ다는/ETM
비판	비판/NNG
여론이	여론/NNG+이/JKS
비등하자,	비등하/VA+자/EC+,/SP
민주당은	민주당/NNP+은/JX
'소위	'/SS+소위/MAG
불참'	불참/NNG+'/SS
방침을	방침/NNG+을/JKO
바꿔	바꾸/VV+어/EC
"표결에	"/SS+표결/NNG+에/JKB
참여해	참여/NNG+하/XSV+아/EC
반대하겠다"고	반대/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.314.5.2
민주당이 이날 소위에 불참해 인상안이 통과될 경우 "민주당이 국민부담이 크다는 걸 알면서도 묵인해 줬다"는 비판이 쏟아질 것을 우려한 것으로 보인다.

민주당이	민주당/NNP+이/JKS
이날	이날/NNG
소위에	소위/NNG+에/JKB
불참해	불참/NNG+하/XSV+아/EC
인상안이	인상안/NNG+이/JKS
통과될	통과/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
"민주당이	"/SS+민주당/NNP+이/JKS
국민부담이	국민/NNG+부담/NNG+이/JKS
크다는	크/VA+다는/ETM
걸	거/NNB+ㄹ/JKO
알면서도	알/VV+면서/EC+도/JX
묵인해	묵인/NNG+하/XSV+아/EC
줬다"는	주/VX+었/EP+다/EF+"/SS+는/ETM
비판이	비판/NNG+이/JKS
쏟아질	쏟아지/VV+ㄹ/ETM
것을	것/NNB+을/JKO
우려한	우려/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.314.6.1
자유선진당은 겉으로는 수신료 인상에 반대하면서도 내부적으론 "KBS와 척지지 말자" "대표 라디오 연설 등 실속을 챙기자"는 말이 나왔다.

자유선진당은	자유선진당/NNP+은/JX
겉으로는	겉/NNG+으로/JKB+는/JX
수신료	수신료/NNG
인상에	인상/NNG+에/JKB
반대하면서도	반대/NNG+하/XSV+면서/EC+도/JX
내부적으론	내부/NNG+적/XSN+으로/JKB+ㄴ/JX
"KBS와	"/SS+KBS/SL+와/JKB
척지지	척지/VV+지/EC
말자"	말/VX+자/EF+"/SS
"대표	"/SS+대표/NNG
라디오	라디오/NNG
연설	연설/NNG
등	등/NNB
실속을	실속/NNG+을/JKO
챙기자"는	챙기/VV+자/EF+"/SS+는/ETM
말이	말/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.314.6.2
선진당이 이날 소위에 참여할 경우 의결정족수를 채워주게 돼 통과 책임을 뒤집어쓸 수밖에 없는 상황이었다.

선진당이	선진당/NNP+이/JKS
이날	이날/NNG
소위에	소위/NNG+에/JKB
참여할	참여/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
의결정족수를	의결/NNG+정족수/NNG+를/JKO
채워주게	채우/VV+어/EC+주/VX+게/EC
돼	되/VV+어/EC
통과	통과/NNG
책임을	책임/NNG+을/JKO
뒤집어쓸	뒤집어쓰/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
상황이었다.	상황/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.314.7.1
이날 오후 2시에 열린 소위에는 여야 의원 8명이 모두 참석했다.

이날	이날/NNG
오후	오후/NNG
2시에	2/SN+시/NNB+에/JKB
열린	열리/VV+ㄴ/ETM
소위에는	소위/NNG+에/JKB+는/JX
여야	여야/NNG
의원	의원/NNG
8명이	8/SN+명/NNB+이/JKS
모두	모두/MAG
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.314.7.2
야당 의원 4명은 회의 직전에 별도로 모여 의견을 모았다.

야당	야당/NNG
의원	의원/NNG
4명은	4/SN+명/NNB+은/JX
회의	회의/NNG
직전에	직전/NNG+에/JKB
별도로	별도/NNG+로/JKB
모여	모이/VV+어/EC
의견을	의견/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.314.7.3
민주당 간사인 김재윤 의원은 "민주당 의원 3명 모두 반대표를 던질 것"이라고 했고, 김창수 의원도 "KBS의 공정·공영성을 담보하는 장치가 마련되지 않으면 동의할 수 없다"고 했다.

민주당	민주당/NNP
간사인	간사/NNG+이/VCP+ㄴ/ETM
김재윤	김재윤/NNP
의원은	의원/NNG+은/JX
"민주당	"/SS+민주당/NNP
의원	의원/NNG
3명	3/SN+명/NNB
모두	모두/MAG
반대표를	반대표/NNG+를/JKO
던질	던지/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
김창수	김창수/NNP
의원도	의원/NNG+도/JX
"KBS의	"/SS+KBS/SL+의/JKG
공정·공영성을	공정/NNG+·/SP+공영/NNG+성/XSN+을/JKO
담보하는	담보/NNG+하/XSV+는/ETM
장치가	장치/NNG+가/JKS
마련되지	마련/NNG+되/XSV+지/EC
않으면	않/VX+으면/EC
동의할	동의/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.314.8.1
상황이 다급하게 돌아가자 한나라당 김무성 원내대표와 이군현 원내수석부대표까지 소위로 달려왔다.

상황이	상황/NNG+이/JKS
다급하게	다급하/VA+게/EC
돌아가자	돌아가/VV+자/EC
한나라당	한나라당/NNP
김무성	김무성/NNP
원내대표와	원내/NNG+대표/NNG+와/JC
이군현	이군현/NNP
원내수석부대표까지	원내/NNG+수석/NNG+부대표/NNG+까지/JX
소위로	소위/NNG+로/JKB
달려왔다.	달려오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.314.8.2
그러나 표결을 하면 과반(5명) 미달로 인상안이 부결될 수밖에 없게 되자, 6월 국회에서 논의하기로 하고, 표결을 미뤘다.

그러나	그러나/MAJ
표결을	표결/NNG+을/JKO
하면	하/VV+면/EC
과반(5명)	과반/NNG+(/SS+5/SN+명/NNB+)/SS
미달로	미달/NNG+로/JKB
인상안이	인상안/NNG+이/JKS
부결될	부결/NNG+되/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없게	없/VA+게/EC
되자,	되/VV+자/EC+,/SP
6월	6/SN+월/NNB
국회에서	국회/NNG+에서/JKB
논의하기로	논의/NNG+하/XSV+기/ETN+로/JKB
하고,	하/VV+고/EC+,/SP
미뤘다.	미루/VV+었/EP+다/EF+./SF


