# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.366
metadata : {}


# id : NWRW1800000036.366.1.1
“해군기지 수녀들 연행, 독재때도 없던 행태”

“해군기지	“/SS+해군/NNG+기지/NNG
장상연합회는 수녀회 대표들의 모임이고, 천주교연대는 전국 각 교구별 정의평화위원회와 인권위원회 등 19개 천주교단체가 참여하고 있다.

장상연합회는	장상연합회/NNP+는/JX
수녀회	수녀회/NNG
대표들의	대표/NNG+들/XSN+의/JKG
모임이고,	모임/NNG+이/VCP+고/EC+,/SP
천주교연대는	천주교/NNG+연대/NNG+는/JX
전국	전국/NNG
각	각/MMD
교구별	교구/NNG+별/XSN
정의평화위원회와	정의/NNG+평화/NNG+위원회/NNG+와/JC
인권위원회	인권/NNG+위원회/NNG
등	등/NNB
19개	19/SN+개/NNB
천주교단체가	천주교/NNG+단체/NNG+가/JKS
참여하고	참여/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.366.5.3
이날 회견장에는 장상연합회 소속 수녀 30여명과 제주교구 신부 10여명이 참석했다.

이날	이날/NNG
회견장에는	회견장/NNG+에/JKB+는/JX
장상연합회	장상연합회/NNP
소속	소속/NNG
수녀	수녀/NNG
30여명과	30/SN+여/XSN+명/NNB+과/JC
제주교구	제주/NNP+교구/NNG
신부	신부/NNG
10여명이	10/SN+여/XSN+명/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.366.5.4
강동균 강정마을회장 등 마을 주민들과 활동가들도 자리를 함께했다.

강동균	강동균/NNP
강정마을회장	강정마을/NNP+회장/NNG
등	등/NNB
마을	마을/NNG
주민들과	주민/NNG+들/XSN+과/JC
활동가들도	활동가/NNG+들/XSN+도/JX
자리를	자리/NNG+를/JKO
함께했다.	함께/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.366.6.1
이들은 이날 성명에서 “정부와 해군이 ‘평화의 섬’제주를 파괴하며 건설하려는 해군기지는 한반도와 아시아의 평화를 위협하는 존재가 될 것”이라며 제주해군기지 건설공사의 즉각 중단을 요구했다.

이들은	이/NP+들/XSN+은/JX
이날	이날/NNG
성명에서	성명/NNG+에서/JKB
“정부와	“/SS+정부/NNG+와/JC
해군이	해군/NNG+이/JKS
‘평화의	‘/SS+평화/NNG+의/JKG
섬’제주를	섬/NNG+’/SS+제주/NNP+를/JKO
파괴하며	파괴/NNG+하/XSV+며/EC
건설하려는	건설/NNG+하/XSV+려는/ETM
해군기지는	해군/NNG+기지/NNG+는/JX
한반도와	한반도/NNP+와/JC
아시아의	아시아/NNP+의/JKG
평화를	평화/NNG+를/JKO
위협하는	위협/NNG+하/XSV+는/ETM
존재가	존재/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
제주해군기지	제주해군기지/NNP
건설공사의	건설/NNG+공사/NNG+의/JKG
즉각	즉각/MAG
중단을	중단/NNG+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.366.6.2
이어 “수도복을 입은 수녀가 경찰서로 연행된 일은 군사독재정권 시절에도 없었던 일이며, 더욱이 기도중인 수도자들에 대한 물리적이고 강압적인 연행은 묵과할 수 없는 일”이라며 “조현오 경찰청장과 정철수 제주경찰청장은 마땅한 책임을 져야 한다”며 정부와 경찰의 사과를 촉구했다.

이어	이어/MAG
“수도복을	“/SS+수도복/NNG+을/JKO
입은	입/VV+은/ETM
수녀가	수녀/NNG+가/JKS
경찰서로	경찰서/NNG+로/JKB
연행된	연행/NNG+되/XSV+ㄴ/ETM
일은	일/NNG+은/JX
군사독재정권	군사/NNG+독재/NNG+정권/NNG
시절에도	시절/NNG+에/JKB+도/JX
없었던	없/VA+었/EP+던/ETM
일이며,	일/NNG+이/VCP+며/EC+,/SP
더욱이	더욱이/MAG
기도중인	기도/NNG+중/NNB+이/VCP+ㄴ/ETM
수도자들에	수도자/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
물리적이고	물리/NNG+적/XSN+이/VCP+고/EC
강압적인	강압/NNG+적/XSN+이/VCP+ㄴ/ETM
연행은	연행/NNG+은/JX
묵과할	묵과/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
일”이라며	일/NNG+”/SS+이/VCP+라며/EC
“조현오	“/SS+조현오/NNP
경찰청장과	경찰청장/NNG+과/JC
정철수	정철수/NNP
제주경찰청장은	제주/NNP+경찰청장/NNG+은/JX
마땅한	마땅하/VA+ㄴ/ETM
책임을	책임/NNG+을/JKO
져야	지/VV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
정부와	정부/NNG+와/JC
경찰의	경찰/NNG+의/JKG
사과를	사과/NNG+를/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.366.6.3
이들은 또 강정마을에서 공권력과 용역회사 직원 등에 의한 폭력과 폭언이 사라질 수 있도록 책임있는 대책을 정부에 요구했다.

이들은	이/NP+들/XSN+은/JX
또	또/MAG
강정마을에서	강정마을/NNP+에서/JKB
공권력과	공권력/NNG+과/JC
용역회사	용역/NNG+회사/NNG
직원	직원/NNG
등에	등/NNB+에/JKB
의한	의하/VV+ㄴ/ETM
폭력과	폭력/NNG+과/JC
폭언이	폭언/NNG+이/JKS
사라질	사라지/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
책임있는	책임/NNG+있/VA+는/ETM
대책을	대책/NNG+을/JKO
정부에	정부/NNG+에/JKB
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.366.7.1
천주교연대 공동위원장인 고병수 신부는 “천주교 역사상 수녀 18명이 연행된 것은 이번이 처음이자, 비극적인 일”이라며 “묵주기도 중간에 연행하는 것은 종교탄압이며, 국가권력의 부당한 업무집행”이라고 비난했다.

천주교연대	천주교/NNG+연대/NNG
공동위원장인	공동/NNG+위원장/NNG+이/VCP+ㄴ/ETM
고병수	고병수/NNP
신부는	신부/NNG+는/JX
“천주교	“/SS+천주교/NNG
역사상	역사/NNG+상/XSN
수녀	수녀/NNG
18명이	18/SN+명/NNB+이/JKS
연행된	연행/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이자,	처음/NNG+이/VCP+자/EC+,/SP
비극적인	비극/NNG+적/XSN+이/VCP+ㄴ/ETM
일”이라며	일/NNG+”/SS+이/VCP+라며/EC
“묵주기도	“/SS+묵주/NNG+기도/NNG
중간에	중간/NNG+에/JKB
연행하는	연행/NNG+하/XSV+는/ETM
종교탄압이며,	종교/NNG+탄압/NNG+이/VCP+며/EC+,/SP
국가권력의	국가/NNG+권력/NNG+의/JKG
부당한	부당/NNG+하/XSA+ㄴ/ETM
업무집행”이라고	업무/NNG+집행/NNG+”/SS+이라고/JKQ
비난했다.	비난/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.366.7.2
이들은 조만간 경찰청을 항의방문하기로 하는 한편, 여야 정당을 방문해 강정마을에서 일어나는 상황과 제주해군기지 건설과 관련한 갈등 문제를 제기할 계획이다.

이들은	이/NP+들/XSN+은/JX
조만간	조만간/MAG
경찰청을	경찰청/NNG+을/JKO
항의방문하기로	항의/NNG+방문/NNG+하/XSV+기/ETN+로/JKB
하는	하/VV+는/ETM
한편,	한편/NNG+,/SP
여야	여야/NNG
정당을	정당/NNG+을/JKO
방문해	방문/NNG+하/XSV+아/EC
강정마을에서	강정마을/NNP+에서/JKB
일어나는	일어나/VV+는/ETM
상황과	상황/NNG+과/JC
제주해군기지	제주해군기지/NNP
건설과	건설/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
갈등	갈등/NNG
문제를	문제/NNG+를/JKO
제기할	제기/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.366.8.1
오는 31일 오전 11시 서울 정동프란치스코 회관에서는 전국의 수녀들과 천주교연대 소속 신부들이 참여하는 시국기도회를 열기로 하는 등 천주교의 반발이 거세지고 있다.

오는	오/VV+는/ETM
31일	31/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
서울	서울/NNP
정동프란치스코	정동/NNP+프란치스코/NNP
회관에서는	회관/NNG+에서/JKB+는/JX
전국의	전국/NNG+의/JKG
수녀들과	수녀/NNG+들/XSN+과/JC
천주교연대	천주교/NNG+연대/NNG
소속	소속/NNG
신부들이	신부/NNG+들/XSN+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
시국기도회를	시국/NNG+기도회/NNG+를/JKO
열기로	열/VV+기/ETN+로/JKB
하는	하/VV+는/ETM
등	등/NNB
천주교의	천주교/NNG+의/JKG
반발이	반발/NNG+이/JKS
거세지고	거세지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.366.9.1
수녀들과 신부들은 이날 기자회견이 끝난 뒤 정철수 제주경찰청장을 항의 방문할 예정이었으나 정 청장이 출장을 간 바람에 방문하지 않았다.

수녀들과	수녀/NNG+들/XSN+과/JC
신부들은	신부/NNG+들/XSN+은/JX
이날	이날/NNG
기자회견이	기자/NNG+회견/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
정철수	정철수/NNP
제주경찰청장을	제주/NNP+경찰청장/NNG+을/JKO
항의	항의/NNG
방문할	방문/NNG+하/XSV+ㄹ/ETM
예정이었으나	예정/NNG+이/VCP+었/EP+으나/EC
정	정/NNP
청장이	청장/NNG+이/JKS
출장을	출장/NNG+을/JKO
간	가/VV+ㄴ/ETM
바람에	바람/NNB+에/JKB
방문하지	방문/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.366.10.1
앞서 경찰은 지난 10일 제주해군기지 건설공사 현장 앞에서 기도중이던 한국천주교 여자수도회 장상연합회 소속 수녀 18명과 예수회 수사 1명 등 29명을 업무방해 등의 혐의로 강제연행했다가 풀어줬다.

앞서	앞서/MAG
경찰은	경찰/NNG+은/JX
지난	지나/VV+ㄴ/ETM
10일	10/SN+일/NNB
제주해군기지	제주해군기지/NNP
건설공사	건설/NNG+공사/NNG
현장	현장/NNG
앞에서	앞/NNG+에서/JKB
기도중이던	기도/NNG+중/NNB+이/VCP+던/ETM
한국천주교	한국/NNP+천주교/NNG
여자수도회	여자/NNG+수도회/NNG
장상연합회	장상연합회/NNP
소속	소속/NNG
수녀	수녀/NNG
18명과	18/SN+명/NNB+과/JC
예수회	예수회/NNP
수사	수사/NNG
1명	1/SN+명/NNB
등	등/NNB
29명을	29/SN+명/NNB+을/JKO
업무방해	업무/NNG+방해/NNG
등의	등/NNB+의/JKG
혐의로	혐의/NNG+로/JKB
강제연행했다가	강제/NNG+연행/NNG+하/XSV+았/EP+다가/EC
풀어줬다.	풀/VV+어/EC+주/VX+었/EP+다/EF+./SF


