# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.250
metadata : {}


# id : NWRW1800000045.250.1.1
인비 불끈… “끝까지 간다”

인비	인비/NNP
2012년 베어트로피(최저타수상), 2013년 올해의 선수와 상금왕을 차지하며 해마다 한 개 이상의 타이틀을 안았던 박인비로서는 자존심이 상할 만했다.

2012년	2012/SN+년/NNB
베어트로피(최저타수상),	베어트로피/NNG+(/SS+최저/NNG+타수/NNG+상/NNG+)/SS+,/SP
2013년	2013/SN+년/NNB
올해의	올해/NNG+의/JKG
선수와	선수/NNG+와/JC
상금왕을	상금왕/NNG+을/JKO
차지하며	차지/NNG+하/XSV+며/EC
해마다	해마다/MAG
한	한/MMN
개	개/NNB
이상의	이상/NNG+의/JKG
타이틀을	타이틀/NNG+을/JKO
안았던	안/VV+았/EP+던/ETM
박인비로서는	박인비/NNP+로서/JKB+는/JX
자존심이	자존심/NNG+이/JKS
상할	상하/VV+ㄹ/ETM
만했다.	만/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000045.250.4.1
달갑지 않은 ‘넘버 2’의 기억은 한 번으로 족하다고 여겼을까.

달갑지	달갑/VA+지/EC
않은	않/VX+은/ETM
‘넘버	‘/SS+넘버/NNG
2’의	2/SN+’/SS+의/JKG
기억은	기억/NNG+은/JX
한	한/MMN
번으로	번/NNB+으로/JKB
족하다고	족하/VA+다고/EC
여겼을까.	여기/VV+었/EP+을까/EF+./SF


# id : NWRW1800000045.250.4.2
박인비가 16일 끝난 LPGA투어 로레나 오초아 인비테이셔널에서 매서운 뒷심으로 우승 트로피를 안으며 리디아 고(18)와의 개인 타이틀 경쟁에 불을 붙였다.

박인비가	박인비/NNP+가/JKS
16일	16/SN+일/NNB
끝난	끝나/VV+ㄴ/ETM
LPGA투어	LPGA/SL+투어/NNG
로레나	로레나/NNP
오초아	오초아/NNP
인비테이셔널에서	인비테이셔널/NNG+에서/JKB
매서운	매섭/VA+ㄴ/ETM
뒷심으로	뒷심/NNG+으로/JKB
우승	우승/NNG
트로피를	트로피/NNG+를/JKO
안으며	안/VV+으며/EC
리디아	리디아/NNP
고(18)와의	고/NNP+(/SS+18/SN+)/SS+와/JKB+의/JKG
개인	개인/NNG
타이틀	타이틀/NNG
경쟁에	경쟁/NNG+에/JKB
불을	불/NNG+을/JKO
붙였다.	붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.250.4.3
이날 멕시코시티의 멕시코GC(파72)에서 열린 대회 4라운드에서 박인비는 보기 없이 버디 8개로 올 시즌 자신의 베스트 스코어인 8언더파 64타를 쳐 합계 18언더파 270타로 정상에 올랐다.

이날	이날/NNG
멕시코시티의	멕시코시티/NNP+의/JKG
멕시코GC(파72)에서	멕시코/NNP+GC/SL+(/SS+파/NNG+72/SN+)/SS+에서/JKB
열린	열리/VV+ㄴ/ETM
대회	대회/NNG
4라운드에서	4/SN+라운드/NNG+에서/JKB
박인비는	박인비/NNP+는/JX
보기	보기/NNG
없이	없이/MAG
버디	버디/NNG
8개로	8/SN+개/NNB+로/JKB
올	올/NNG
시즌	시즌/NNG
자신의	자신/NNG+의/JKG
베스트	베스트/NNG
스코어인	스코어/NNG+이/VCP+ㄴ/ETM
8언더파	8/SN+언더/NNG+파/NNG
64타를	64/SN+타/NNG+를/JKO
쳐	치/VV+어/EC
합계	합계/NNG
18언더파	18/SN+언더/NNG+파/NNG
270타로	270/SN+타/NNG+로/JKB
정상에	정상/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.250.4.4
LPGA투어 73번째 도전 만에 첫 우승을 노린 카를로타 시간다(스페인)는 생애 최저타인 9언더파 63타를 몰아쳤다.

LPGA투어	LPGA/SL+투어/NNG
73번째	73/SN+번/NNB+째/XSN
도전	도전/NNG
만에	만/NNB+에/JKB
첫	첫/MMN
우승을	우승/NNG+을/JKO
노린	노리/VV+ㄴ/ETM
카를로타	카를로타/NNP
시간다(스페인)는	시간다/NNP+(/SS+스페인/NNP+)/SS+는/JX
생애	생애/NNG
최저타인	최저타/NNG+이/VCP+ㄴ/ETM
9언더파	9/SN+언더/NNG+파/NNG
63타를	63/SN+타/NNG+를/JKO
몰아쳤다.	몰아치/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.250.4.5
하지만 18홀 내내 표정 변화 한 번 없이 완벽에 가까운 플레이를 펼친 박인비의 벽을 넘기에는 역부족이었다.

하지만	하지만/MAJ
18홀	18/SN+홀/NNG
내내	내내/MAG
표정	표정/NNG
변화	변화/NNG
한	한/MMN
번	번/NNB
없이	없이/MAG
완벽에	완벽/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
플레이를	플레이/NNG+를/JKO
펼친	펼치/VV+ㄴ/ETM
박인비의	박인비/NNP+의/JKG
벽을	벽/NNG+을/JKO
넘기에는	넘/VV+기/ETN+에/JKB+는/JX
역부족이었다.	역부족/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.250.4.6
3타 차로 준우승한 시간다는 “믿을 수 없는 기량을 보인 인비는 승리하는 법을 알고 있었다”고 칭찬했다.

3타	3/SN+타/NNG
차로	차/NNG+로/JKB
준우승한	준/XPN+우승/NNG+하/XSV+ㄴ/ETM
시간다는	시간다/NNP+는/JX
“믿을	“/SS+믿/VV+을/ETM
수	수/NNB
없는	없/VA+는/ETM
기량을	기량/NNG+을/JKO
보인	보이/VV+ㄴ/ETM
인비는	인비/NNP+는/JX
승리하는	승리/NNG+하/XSV+는/ETM
법을	법/NNB+을/JKO
알고	알/VV+고/EC
있었다”고	있/VX+었/EP+다/EF+”/SS+고/JKQ
칭찬했다.	칭찬/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.250.5.1
이날 우승으로 박인비는 올해의 선수 포인트 30점을 보태며 이번 대회에 불참한 1위 리디아 고를 3점 차로 쫓았다.

이날	이날/NNG
우승으로	우승/NNG+으로/JKB
박인비는	박인비/NNP+는/JX
올해의	올해/NNG+의/JKG
선수	선수/NNG
포인트	포인트/NNG
30점을	30/SN+점/NNB+을/JKO
보태며	보태/VV+며/EC
이번	이번/NNG
대회에	대회/NNG+에/JKB
불참한	불참/NNG+하/XSV+ㄴ/ETM
1위	1/SN+위/NNB
리디아	리디아/NNP
고를	고/NNP+를/JKO
3점	3/SN+점/NNB
차로	차/NNG+로/JKB
쫓았다.	쫓/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.250.5.2
17, 18번홀에서도 집중력을 지키며 버디를 낚은 데 힘입어 최저타수 부문에서는 69.433타로 리디아 고(69.449타)를 2위로 밀어내고 선두에 나섰다.

17,	17/SN+,/SP
18번홀에서도	18/SN+번/NNB+홀/NNG+에서/JKB+도/JX
집중력을	집중력/NNG+을/JKO
지키며	지키/VV+며/EC
버디를	버디/NNG+를/JKO
낚은	낚/VV+은/ETM
데	데/NNB
힘입어	힘입/VV+어/EC
최저타수	최저/NNG+타수/NNG
부문에서는	부문/NNG+에서/JKB+는/JX
69.433타로	69/SN+./SP+433/SN+타/NNG+로/JKB
리디아	리디아/NNP
고(69.449타)를	고/NNP+(/SS+69/SN+./SP+449/SN+타/NNG+)/SS+를/JKO
2위로	2/SN+위/NNB+로/JKB
밀어내고	밀어내/VV+고/EC
선두에	선두/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.250.5.3
상금에서도 20만 달러를 보태며 시즌 상금 257만96달러를 기록해 1위 리디아 고(275만8417달러)와의 격차를 18만8000여 달러로 좁혔다.

상금에서도	상금/NNG+에서/JKB+도/JX
20만	20/SN+만/NR
달러를	달러/NNB+를/JKO
보태며	보태/VV+며/EC
시즌	시즌/NNG
상금	상금/NNG
257만96달러를	257/SN+만/NR+96/SN+달러/NNB+를/JKO
기록해	기록/NNG+하/XSV+아/EC
1위	1/SN+위/NNB
리디아	리디아/NNP
고(275만8417달러)와의	고/NNP+(/SS+275/SN+만/NR+8417/SN+달러/NNB+)/SS+와/JKB+의/JKG
격차를	격차/NNG+를/JKO
18만8000여	18/SN+만/NR+8000/SN+여/XSN
달러로	달러/NNB+로/JKB
좁혔다.	좁히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.250.6.1
박인비는 19일 미국 플로리다 주 네이플스에서 열리는 시즌 최종전인 투어 챔피언십(우승 상금 50만 달러)에서 대회 2연패를 노리는 리디아 고와 최고의 자리를 놓고 마지막 승부를 벌인다.

박인비는	박인비/NNP+는/JX
19일	19/SN+일/NNB
미국	미국/NNP
플로리다	플로리다/NNP
주	주/NNG
네이플스에서	네이플스/NNP+에서/JKB
열리는	열리/VV+는/ETM
시즌	시즌/NNG
최종전인	최종전/NNG+이/VCP+ㄴ/ETM
투어	투어/NNG
챔피언십(우승	챔피언십/NNG+(/SS+우승/NNG
상금	상금/NNG
50만	50/SN+만/NR
달러)에서	달러/NNB+)/SS+에서/JKB
대회	대회/NNG
2연패를	2/SN+연패/NNG+를/JKO
노리는	노리/VV+는/ETM
리디아	리디아/NNP
고와	고/NNP+와/JKB
최고의	최고/NNG+의/JKG
자리를	자리/NNG+를/JKO
놓고	놓/VV+고/EC
마지막	마지막/NNG
승부를	승부/NNG+를/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.250.7.1
“흠잡을 데가 없다”는 자평대로 이번 대회에서 박인비는 절정의 기량을 펼쳤다.

“흠잡을	“/SS+흠잡/VV+을/ETM
데가	데/NNB+가/JKS
없다”는	없/VA+다/EF+”/SS+는/ETM
자평대로	자평/NNG+대로/JX
이번	이번/NNG
대회에서	대회/NNG+에서/JKB
박인비는	박인비/NNP+는/JX
절정의	절정/NNG+의/JKG
기량을	기량/NNG+을/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.250.7.2
특히 ‘짠물 퍼팅’이 인상적이었다.

특히	특히/MAG
‘짠물	‘/SS+짠물/NNG
퍼팅’이	퍼팅/NNG+’/SS+이/JKS
인상적이었다.	인상/NNG+적/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.250.7.3
나흘 동안 라운드당 평균 퍼팅 수는 26.5개에 불과했다.

나흘	나흘/NNG
동안	동안/NNG
라운드당	라운드/NNG+당/XSN
평균	평균/NNG
퍼팅	퍼팅/NNG
수는	수/NNG+는/JX
26.5개에	26/SN+./SP+5/SN+개/NNB+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000045.250.7.4
4라운드에서 페어웨이와 그린을 놓친 홀이 각각 1개였을 만큼 컴퓨터 같은 샷 감각을 과시했다.

4라운드에서	4/SN+라운드/NNG+에서/JKB
페어웨이와	페어웨이/NNG+와/JC
그린을	그린/NNG+을/JKO
놓친	놓치/VV+ㄴ/ETM
홀이	홀/NNG+이/JKS
각각	각각/MAG
1개였을	1/SN+개/NNB+이/VCP+었/EP+을/ETM
만큼	만큼/NNB
컴퓨터	컴퓨터/NNG
같은	같/VA+은/ETM
샷	샷/NNG
감각을	감각/NNG+을/JKO
과시했다.	과시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.250.7.5
명예의 전당 가입 포인트 27점에 1점만을 남겨둔 박인비는 “지난해 아쉬운 마무리가 올해의 동기부여가 됐다.

명예의	명예/NNG+의/JKG
전당	전당/NNG
가입	가입/NNG
포인트	포인트/NNG
27점에	27/SN+점/NNB+에/JKB
1점만을	1/SN+점/NNB+만/JX+을/JKO
남겨둔	남기/VV+어/EC+두/VX+ㄴ/ETM
박인비는	박인비/NNP+는/JX
“지난해	“/SS+지난해/NNG
아쉬운	아쉽/VA+ㄴ/ETM
마무리가	마무리/NNG+가/JKS
올해의	올해/NNG+의/JKG
동기부여가	동기/NNG+부여/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.250.7.6
이번 우승으로 많은 기회를 잡은 만큼 남은 한 대회가 기다려진다.

이번	이번/NNG
우승으로	우승/NNG+으로/JKB
많은	많/VA+은/ETM
기회를	기회/NNG+를/JKO
잡은	잡/VV+은/ETM
만큼	만큼/NNB
남은	남/VV+은/ETM
한	한/MMN
대회가	대회/NNG+가/JKS
기다려진다.	기다려지/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.250.7.7
시즌을 마친 뒤 빈손으로 귀국하고 싶지 않다.

시즌을	시즌/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
빈손으로	빈손/NNG+으로/JKB
귀국하고	귀국/NNG+하/XSV+고/EC
싶지	싶/VX+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000045.250.7.8
뭐라도 들고 가겠다”고 다짐했다.

뭐라도	뭐/NP+라도/JX
들고	들/VV+고/EC
가겠다”고	가/VX+겠/EP+다/EF+”/SS+고/JKQ
다짐했다.	다짐/NNG+하/XSV+았/EP+다/EF+./SF


