# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.226
metadata : {}


# id : NWRW1800000048.226.1.1
노사정위, 비정규직 줄다리기 돌입

노사정위,	노사정위/NNG+,/SP
제한·해고	제한/NNG+·/SP+해고/NNG
요건	요건/NNG
완화	완화/NNG
방안에	방안/NNG+에/JKB
노동계가	노동/NNG+계/XSN+가/JKS
강력	강력/NNG
반발하며	반발/NNG+하/XSV+며/EC
규제	규제/NNG
강화를	강화/NNG+를/JKO
요구하는	요구/NNG+하/XSV+는/ETM
반면	반면/NNG
경총은	경총/NNP+은/JX
더	더/MAG
완화해야	완화/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.226.7.3
정부 비정규직 종합대책의 핵심인 기간제 노동자의 고용 제한 기간 연장 방안(2년→4년)에 한국노총은 △상시·지속 업무의 정규직 고용 원칙 법제화 △기간제 노동자 사용 사유 제한 요구로 맞섰다.

정부	정부/NNG
비정규직	비/XPN+정규직/NNG
종합대책의	종합/NNG+대책/NNG+의/JKG
핵심인	핵심/NNG+이/VCP+ㄴ/ETM
기간제	기간/NNG+제/XSN
노동자의	노동자/NNG+의/JKG
고용	고용/NNG
제한	제한/NNG
기간	기간/NNG
연장	연장/NNG
방안(2년→4년)에	방안/NNG+(/SS+2/SN+년/NNB+→/SW+4/SN+년/NNB+)/SS+에/JKB
한국노총은	한국노총/NNP+은/JX
△상시·지속	△/SW+상시/NNG+·/SP+지속/NNG
업무의	업무/NNG+의/JKG
정규직	정규직/NNG
원칙	원칙/NNG
법제화	법제/NNG+화/XSN
△기간제	△/SW+기간/NNG+제/XSN
노동자	노동자/NNG
사용	사용/NNG
사유	사유/NNG
요구로	요구/NNG+로/JKB
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.226.7.4
경총은 오히려 고용 제한 기간을 없애자고 주장했다.

경총은	경총/NNP+은/JX
오히려	오히려/MAG
고용	고용/NNG
제한	제한/NNG
기간을	기간/NNG+을/JKO
없애자고	없애/VV+자고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.226.7.5
정부의 55살 이상 파견 노동자의 파견 허용 업종 확대 방안에 한국노총은 반대를, 경총은 모든 연령대의 파견 허용 업종 확대를 요구했다.

정부의	정부/NNG+의/JKG
55살	55/SN+살/NNB
이상	이상/NNG
파견	파견/NNG
노동자의	노동자/NNG+의/JKG
허용	허용/NNG
업종	업종/NNG
확대	확대/NNG
방안에	방안/NNG+에/JKB
한국노총은	한국노총/NNP+은/JX
반대를,	반대/NNG+를/JKO+,/SP
경총은	경총/NNP+은/JX
모든	모든/MMN
연령대의	연령대/NNG+의/JKG
확대를	확대/NNG+를/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.226.7.6
겉으론 정부를 가운데 두고 노와 사가 정면 대립하는 모양새다.

겉으론	겉/NNG+으로/JKB+ㄴ/JX
정부를	정부/NNG+를/JKO
가운데	가운데/NNG
두고	두/VV+고/EC
노와	노/NNG+와/JC
사가	사/NNG+가/JKS
정면	정면/NNG
대립하는	대립/NNG+하/XSV+는/ETM
모양새다.	모양새/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.226.7.7
하지만 근본적으론 정규직·비정규직 격차의 원인을 ‘정규직 과보호’로 보는 정부·경총과 ‘기업과 노동자 간의 불균형’에서 찾는 한국노총의 시각차에서 비롯된 측면이 크다.

하지만	하지만/MAJ
근본적으론	근본/NNG+적/XSN+으로/JKB+ㄴ/JX
정규직·비정규직	정규직/NNG+·/SP+비/XPN+정규직/NNG
격차의	격차/NNG+의/JKG
원인을	원인/NNG+을/JKO
‘정규직	‘/SS+정규직/NNG
과보호’로	과/XPN+보호/NNG+’/SS+로/JKB
보는	보/VV+는/ETM
정부·경총과	정부/NNG+·/SP+경총/NNP+과/JC
‘기업과	‘/SS+기업/NNG+과/JC
노동자	노동자/NNG
간의	간/NNB+의/JKG
불균형’에서	불/XPN+균형/NNG+’/SS+에서/JKB
찾는	찾/VV+는/ETM
한국노총의	한국노총/NNP+의/JKG
시각차에서	시각차/NNG+에서/JKB
비롯된	비롯되/VV+ㄴ/ETM
측면이	측면/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000048.226.8.1
통상임금·근로시간 단축·정년 연장 같은 ‘3대 현안’은 지난해 국회 환경노동위원회 노사정소위원회에서 논의된 내용과 큰 차이가 없다.

통상임금·근로시간	통상/NNG+임금/NNG+·/SP+근로/NNG+시간/NNG
단축·정년	단축/NNG+·/SP+정년/NNG
연장	연장/NNG
같은	같/VA+은/ETM
‘3대	‘/SS+3/SN+대/NNG
현안’은	현안/NNG+’/SS+은/JX
지난해	지난해/NNG
국회	국회/NNG
환경노동위원회	환경/NNG+노동/NNG+위원회/NNG
노사정소위원회에서	노사정/NNG+소/XPN+위원회/NNG+에서/JKB
논의된	논의/NNG+되/XSV+ㄴ/ETM
내용과	내용/NNG+과/JKB
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000048.226.8.2
이 또한 견해차가 워낙 커 힘겨루기가 불가피하다.

이	이/NP
또한	또한/MAG
견해차가	견해차/NNG+가/JKS
워낙	워낙/MAG
커	크/VA+어/EC
힘겨루기가	힘겨루기/NNG+가/JKS
불가피하다.	불가피하/VA+다/EF+./SF


# id : NWRW1800000048.226.8.3
노사정은 대법원이 통상임금 기준으로 제시한 정기성·일률성·고정성의 뜻을 명확히 한다는 원칙에 공감하면서도, 이를 어찌 해석하느냐를 두고 견해가 갈렸다.

노사정은	노사정/NNG+은/JX
대법원이	대/XPN+법원/NNG+이/JKS
통상임금	통상/NNG+임금/NNG
기준으로	기준/NNG+으로/JKB
제시한	제시/NNG+하/XSV+ㄴ/ETM
정기성·일률성·고정성의	정기/NNG+성/XSN+·/SP+일률/NNG+성/XSN+·/SP+고정/NNG+성/XSN+의/JKG
뜻을	뜻/NNG+을/JKO
명확히	명확히/MAG
한다는	하/VV+ㄴ다는/ETM
원칙에	원칙/NNG+에/JKB
공감하면서도,	공감/NNG+하/XSV+면서/EC+도/JX+,/SP
이를	이/NP+를/JKO
어찌	어찌/MAG
해석하느냐를	해석/NNG+하/XSV+느냐/EF+를/JKO
두고	두/VV+고/EC
견해가	견해/NNG+가/JKS
갈렸다.	갈리/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.226.8.4
노동시간 단축도 정부와 경총은 현재 주 68시간에서 60시간까지 단계적으로 줄이자는 반면 한국노총은 법대로 주 52시간을 당장 시행해야 한다고 맞섰다.

노동시간	노동/NNG+시간/NNG
단축도	단축/NNG+도/JX
정부와	정부/NNG+와/JC
경총은	경총/NNP+은/JX
현재	현재/MAG
주	주/NNG
68시간에서	68/SN+시간/NNB+에서/JKB
60시간까지	60/SN+시간/NNB+까지/JX
단계적으로	단계/NNG+적/XSN+으로/JKB
줄이자는	줄이/VV+자는/ETM
반면	반면/NNG
한국노총은	한국노총/NNP+은/JX
법대로	법/NNG+대로/JX
52시간을	52/SN+시간/NNB+을/JKO
당장	당장/NNG
시행해야	시행/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.226.8.5
정년 60살 연장에 따른 ‘임금피크제’에 정부와 경총은 찬성하지만 한국노총은 반대다.

정년	정년/NNG
60살	60/SN+살/NNB
연장에	연장/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
‘임금피크제’에	‘/SS+임금/NNG+피크/NNG+제/XSN+’/SS+에/JKB
정부와	정부/NNG+와/JC
경총은	경총/NNP+은/JX
찬성하지만	찬성/NNG+하/XSV+지만/EC
한국노총은	한국노총/NNP+은/JX
반대다.	반대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.226.9.1
김대환 위원장은 “전문가 그룹이 패키지 딜을 위한 대안을 마련하면 특위에서 대타협을 추진하겠다”고 밝혔다.

김대환	김대환/NNP
위원장은	위원장/NNG+은/JX
“전문가	“/SS+전문가/NNG
그룹이	그룹/NNG+이/JKS
패키지	패키지/NNG
딜을	딜/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
대안을	대안/NNG+을/JKO
마련하면	마련/NNG+하/XSV+면/EC
특위에서	특위/NNG+에서/JKB
대타협을	대/XPN+타협/NNG+을/JKO
추진하겠다”고	추진/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.226.10.1
그러나 한국노총 관계자는 “정부와 경총이 뜻을 같이해 노동계를 압박하는 건 지난해 국회 소위 상황과 똑같다”며 “3대 현안만 가지고 논의했을 때도 합의하기 어려웠는데 비정규직·해고 문제까지 추가돼 지금이 더 어려운 상황”이라고 말했다.

그러나	그러나/MAJ
한국노총	한국노총/NNP
관계자는	관계자/NNG+는/JX
“정부와	“/SS+정부/NNG+와/JC
경총이	경총/NNP+이/JKS
뜻을	뜻/NNG+을/JKO
같이해	같이/MAG+하/XSV+아/EC
노동계를	노동/NNG+계/XSN+를/JKO
압박하는	압박/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
지난해	지난해/NNG
국회	국회/NNG
소위	소위/NNG
상황과	상황/NNG+과/JKB
똑같다”며	똑같/VA+다/EF+”/SS+며/EC
“3대	“/SS+3/SN+대/NNG
현안만	현안/NNG+만/JX
가지고	가지/VV+고/EC
논의했을	논의/NNG+하/XSV+았/EP+을/ETM
때도	때/NNG+도/JX
합의하기	합의/NNG+하/XSV+기/ETN
어려웠는데	어렵/VA+었/EP+는데/EC
비정규직·해고	비/XPN+정규직/NNG+·/SP+해고/NNG
문제까지	문제/NNG+까지/JX
추가돼	추가/NNG+되/XSV+어/EC
지금이	지금/NNG+이/JKS
더	더/MAG
어려운	어렵/VA+ㄴ/ETM
상황”이라고	상황/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


