# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.349
metadata : {}


# id : NWRW1800000028.349.1.1
달러당 1118원…절상률, 엔 웃돌아 /자동차·가전 ‘울상’ 항공·정유 ‘담담’

달러당	달러/NNG+당/XSN
수출시장인	수출/NNG+시장/NNG+이/VCP+ㄴ/ETM
미국,	미국/NNP+,/SP
유럽,	유럽/NNP+,/SP
일본	일본/NNP
시장에서	시장/NNG+에서/JKB
우리	우리/NP
제품의	제품/NNG+의/JKG
가격	가격/NNG
경쟁력	경쟁력/NNG
약화로	약화/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000028.349.3.6
엘지(LG)전자 관계자는 “국외 생산 물량이 많은 휴대전화보다는 국내 생산이 많은 냉장고, 세탁기 등 가전 부문에서 부정적인 영향을 더 크게 받게 될 것”이라고 내다봤다.

엘지(LG)전자	엘지(LG)전자/NNP
관계자는	관계자/NNG+는/JX
“국외	“/SS+국외/NNG
생산	생산/NNG
물량이	물량/NNG+이/JKS
많은	많/VA+은/ETM
휴대전화보다는	휴대/NNG+전화/NNG+보다/JKB+는/JX
국내	국내/NNG
생산이	생산/NNG+이/JKS
냉장고,	냉장고/NNG+,/SP
세탁기	세탁기/NNG
등	등/NNB
가전	가전/NNG
부문에서	부문/NNG+에서/JKB
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
영향을	영향/NNG+을/JKO
더	더/MAG
크게	크/VA+게/EC
받게	받/VV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.349.3.7
그나마 반도체나 디스플레이 등 국내업체가 세계 최고수준을 자랑하는 분야의 경우엔, 아직은 다소 여유가 있다는 평가도 나온다.

그나마	그나마/MAG
반도체나	반도체/NNG+나/JC
디스플레이	디스플레이/NNG
등	등/NNB
국내업체가	국내/NNG+업체/NNG+가/JKS
세계	세계/NNG
최고수준을	최고/NNG+수준/NNG+을/JKO
자랑하는	자랑/NNG+하/XSV+는/ETM
분야의	분야/NNG+의/JKG
경우엔,	경우/NNG+에/JKB+ㄴ/JX+,/SP
아직은	아직/MAG+은/JX
다소	다소/MAG
여유가	여유/NNG+가/JKS
있다는	있/VA+다는/ETM
평가도	평가/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.349.3.8
윤혁진 신영증권 연구원은 “단기적인 손해야 있겠지만 환율 900원대에서 경쟁력을 키워왔고 품질 경쟁력이 있는 회사들이라 가격 상승에 따른 큰 부담은 없을 것”이라고 내다봤다.

윤혁진	윤혁진/NNP
신영증권	신영증권/NNP
연구원은	연구원/NNG+은/JX
“단기적인	“/SS+단기/NNG+적/XSN+이/VCP+ㄴ/ETM
손해야	손해/NNG+야/JX
있겠지만	있/VA+겠/EP+지만/EC
환율	환율/NNG
900원대에서	900/SN+원/NNB+대/XSN+에서/JKB
경쟁력을	경쟁력/NNG+을/JKO
키워왔고	키우/VV+어/EC+오/VX+았/EP+고/EC
품질	품질/NNG
경쟁력이	경쟁력/NNG+이/JKS
있는	있/VA+는/ETM
회사들이라	회사/NNG+들/XSN+이/VCP+라/EC
가격	가격/NNG
상승에	상승/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
큰	크/VA+ㄴ/ETM
부담은	부담/NNG+은/JX
없을	없/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.349.4.1
이에 반해, 항공·정유·철강업계는 비교적 담담한 태도를 보였다.

이에	이/NP+에/JKB
반해,	반하/VV+아/EC+,/SP
항공·정유·철강업계는	항공·정유·철강업/NNG+계/XSN+는/JX
비교적	비교/NNG+적/XSN
담담한	담담하/VA+ㄴ/ETM
태도를	태도/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.349.4.2
항공업계는 환율이 떨어지면 외국으로 여행하는 사람이 많아지는데다 항공기 리스비 등 외화 부채가 줄어들어 되레 이익을 기대할 수 있는 처지다.

항공업계는	항공업/NNG+계/XSN+는/JX
환율이	환율/NNG+이/JKS
떨어지면	떨어지/VV+면/EC
외국으로	외국/NNG+으로/JKB
여행하는	여행/NNG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
많아지는데다	많아지/VV+는/ETM+데/NNB+다/JX
항공기	항공기/NNG
리스비	리스비/NNG
등	등/NNB
외화	외화/NNG
부채가	부채/NNG+가/JKS
줄어들어	줄어들/VV+어/EC
되레	되레/MAG
이익을	이익/NNG+을/JKO
기대할	기대/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
처지다.	처지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.349.4.3
환율이 10원씩 떨어질 때마다 대한항공은 540억원, 아시아나항공은 68억원씩 이익이 늘어난다.

환율이	환율/NNG+이/JKS
10원씩	10/SN+원/NNB+씩/XSN
떨어질	떨어지/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
대한항공은	대한항공/NNP+은/JX
540억원,	540/SN+억/NR+원/NNB+,/SP
아시아나항공은	아시아나항공/NNP+은/JX
68억원씩	68/SN+억/NR+원/NNB+씩/XSN
이익이	이익/NNG+이/JKS
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.349.4.4
물론, 수출 화물이 줄어들기 때문에 마냥 반가워할 수만은 없다.

물론,	물론/MAG+,/SP
수출	수출/NNG
화물이	화물/NNG+이/JKS
줄어들기	줄어들/VV+기/ETN
때문에	때문/NNB+에/JKB
마냥	마냥/MAG
반가워할	반가워하/VV+ㄹ/ETM
수만은	수/NNB+만/JX+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000028.349.5.1
정유업계 사정도 마찬가지다.

정유업계	정유업/NNG+계/XSN
사정도	사정/NNG+도/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.349.5.2
환율이 떨어지면 원유를 수입할 때 잡아놓은 외화표시 부채에서 환차익이 발생하지만, 수출이 전체 물량의 60% 이상을 차지하고 있어 영업이익 감소는 피하기 어렵다.

환율이	환율/NNG+이/JKS
떨어지면	떨어지/VV+면/EC
원유를	원유/NNG+를/JKO
수입할	수입/NNG+하/XSV+ㄹ/ETM
때	때/NNG
잡아놓은	잡/VV+아/EC+놓/VX+은/ETM
외화표시	외화/NNG+표시/NNG
부채에서	부채/NNG+에서/JKB
환차익이	환차익/NNG+이/JKS
발생하지만,	발생/NNG+하/XSV+지만/EC+,/SP
수출이	수출/NNG+이/JKS
전체	전체/NNG
물량의	물량/NNG+의/JKG
60%	60/SN+%/SW
이상을	이상/NNG+을/JKO
차지하고	차지/NNG+하/XSV+고/EC
있어	있/VX+어/EC
영업이익	영업/NNG+이익/NNG
감소는	감소/NNG+는/JX
피하기	피하/VV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


