# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.111
metadata : {}


# id : NWRW1800000038.111.1.1
"6·25 국군포로들 구할 시간, 얼마 남지 않았습니다"

"6·25	"/SS+6/SN+·/SP+25/SN
국군포로들	국군/NNG+포로/NNG+들/XSN
알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
1994년.	1994/SN+년/NNB+./SF


# id : NWRW1800000038.111.5.2
그해 6·25때 북한군 포로가 됐던 조창호 소위가 북한을 탈출해 한국에 왔다.

그해	그해/NNG
6·25때	6/SN+·/SP+25/SN+때/NNG
북한군	북한군/NNG
포로가	포로/NNG+가/JKC
됐던	되/VV+었/EP+던/ETM
조창호	조창호/NNP
소위가	소위/NNG+가/JKS
북한을	북한/NNP+을/JKO
탈출해	탈출/NNG+하/XSV+아/EC
한국에	한국/NNP+에/JKB
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.111.5.3
정 회장은 뉴스에서 조 소위의 탈출 소식을 듣고 큰 충격을 받았다.

정	정/NNP
회장은	회장/NNG+은/JX
뉴스에서	뉴스/NNG+에서/JKB
조	조/NNP
소위의	소위/NNG+의/JKG
탈출	탈출/NNG
소식을	소식/NNG+을/JKO
듣고	듣/VV+고/EC
큰	크/VA+ㄴ/ETM
충격을	충격/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.111.5.4
'돌아오지 않은 사람이 훨씬 많은 게 아닐까?'

'돌아오지	'/SS+돌아오/VV+지/EC
않은	않/VX+은/ETM
사람이	사람/NNG+이/JKS
훨씬	훨씬/MAG
많은	많/VA+은/ETM
게	거/NNB+이/JKC
아닐까?'	아니/VCN+ㄹ까/EF+?/SF+'/SS


# id : NWRW1800000038.111.5.5
그때부터 한국과 미국을 오가며 국군포로 관련 자료를 수집하기 시작했다.

그때부터	그때/NNG+부터/JX
한국과	한국/NNP+과/JC
미국을	미국/NNP+을/JKO
오가며	오가/VV+며/EC
국군포로	국군/NNG+포로/NNG
관련	관련/NNG
자료를	자료/NNG+를/JKO
수집하기	수집/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.111.6.1
정 회장은 "의무라는 생각이 들었다"고 했다.

정	정/NNP
회장은	회장/NNG+은/JX
"의무라는	"/SS+의무/NNG+이/VCP+라는/ETM
생각이	생각/NNG+이/JKS
들었다"고	들/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.111.6.2
그는 6·25 참전 용사다.

그는	그/NP+는/JX
6·25	6/SN+·/SP+25/SN
참전	참전/NNG
용사다.	용사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.111.6.3
23세였던 1950년 국군 소위로 참전했다.

23세였던	23/SN+세/NNB+이/VCP+었/EP+던/ETM
1950년	1950/SN+년/NNB
국군	국군/NNG
소위로	소위/NNG+로/JKB
참전했다.	참전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.111.6.4
그해 12월 전투에서 부상을 당해 마산의 병원으로 이송될 때까지 전방을 누볐다.

그해	그해/NNG
12월	12/SN+월/NNB
전투에서	전투/NNG+에서/JKB
부상을	부상/NNG+을/JKO
당해	당하/VV+아/EC
마산의	마산/NNP+의/JKG
병원으로	병원/NNG+으로/JKB
이송될	이송/NNG+되/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
전방을	전방/NNG+을/JKO
누볐다.	누비/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.111.6.5
126명이었던 그의 중대는 전투가 계속되자 31명으로 줄었다.

126명이었던	126/SN+명/NNB+이/VCP+었/EP+던/ETM
그의	그/NP+의/JKG
중대는	중대/NNG+는/JX
전투가	전투/NNG+가/JKS
계속되자	계속/NNG+되/XSV+자/EC
31명으로	31/SN+명/NNB+으로/JKB
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.111.6.6
전사자, 부상자도 있었지만 실종된 사람도 적지 않았다.

전사자,	전사자/NNG+,/SP
부상자도	부상자/NNG+도/JX
있었지만	있/VA+었/EP+지만/EC
실종된	실종/NNG+되/XSV+ㄴ/ETM
사람도	사람/NNG+도/JX
적지	적/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.111.7.1
2000년대 들어 국군포로들이 북한을 탈출하고, 이들로부터 북한 광산에서 탄광 일에 동원됐다는 이야기를 듣게 된 정 회장은 실종됐던 전우들을 떠올렸다.

2000년대	2000/SN+년대/NNB
들어	들/VV+어/EC
국군포로들이	국군/NNG+포로/NNG+들/XSN+이/JKS
북한을	북한/NNP+을/JKO
탈출하고,	탈출/NNG+하/XSV+고/EC+,/SP
이들로부터	이/NP+들/XSN+로부터/JKB
북한	북한/NNP
광산에서	광산/NNG+에서/JKB
탄광	탄광/NNG
일에	일/NNG+에/JKB
동원됐다는	동원/NNG+되/XSV+었/EP+다는/ETM
이야기를	이야기/NNG+를/JKO
듣게	듣/VV+게/EC
된	되/VV+ㄴ/ETM
정	정/NNP
회장은	회장/NNG+은/JX
실종됐던	실종/NNG+되/XSV+었/EP+던/ETM
전우들을	전우/NNG+들/XSN+을/JKO
떠올렸다.	떠올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.111.7.2
소위 시절 전속 전령병(傳令兵)도 그중 한 사람이다.

소위	소위/NNG
시절	시절/NNG
전속	전속/NNG
전령병(傳令兵)도	전령병/NNG+(/SS+傳令兵/SH+)/SS+도/JX
그중	그중/NNG
한	한/MMN
사람이다.	사람/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.111.7.3
"저보다 네 살 어린 부산 출신 친구였는데 어느 날 실종됐습니다.

"저보다	"/SS+저/NP+보다/JKB
네	네/MMN
살	살/NNB
어린	어리/VA+ㄴ/ETM
부산	부산/NNP
출신	출신/NNG
친구였는데	친구/NNG+이/VCP+었/EP+는데/EC
어느	어느/MMD
날	날/NNG
실종됐습니다.	실종/NNG+되/XSV+었/EP+습니다/EF+./SF


# id : NWRW1800000038.111.7.4
북한군에 포로가 됐을 가능성도 있었지만 그때는 전투 중이라 제대로 확인도 못 하고…."

북한군에	북한군/NNG+에/JKB
포로가	포로/NNG+가/JKC
됐을	되/VV+었/EP+을/ETM
가능성도	가능/NNG+성/XSN+도/JX
있었지만	있/VA+었/EP+지만/EC
그때는	그때/NNG+는/JX
전투	전투/NNG
중이라	중/NNB+이/VCP+라/EC
제대로	제대로/MAG
확인도	확인/NNG+도/JX
못	못/MAG
하고…."	하/VV+고/EC+…/SE+./SF+"/SS


# id : NWRW1800000038.111.8.1
정 회장은 국군포로 문제를 공론화시키기 위해 탈북 국군포로를 미국으로 초청해 미국 의회에서 증언하도록 주선했고, 2005년 이후 미 의회가 국군포로 결의안을 3차례 통과시키는 과정에도 깊숙이 관여했다.

정	정/NNP
회장은	회장/NNG+은/JX
국군포로	국군/NNG+포로/NNG
문제를	문제/NNG+를/JKO
공론화시키기	공론/NNG+화/XSN+시키/XSV+기/ETN
위해	위하/VV+아/EC
탈북	탈북/NNG
국군포로를	국군/NNG+포로/NNG+를/JKO
미국으로	미국/NNP+으로/JKB
초청해	초청/NNG+하/XSV+아/EC
미국	미국/NNP
의회에서	의회/NNG+에서/JKB
증언하도록	증언/NNG+하/XSV+도록/EC
주선했고,	주선/NNG+하/XSV+았/EP+고/EC+,/SP
2005년	2005/SN+년/NNB
이후	이후/NNG
미	미/NNP
의회가	의회/NNG+가/JKS
결의안을	결의안/NNG+을/JKO
3차례	3/SN+차례/NNG
통과시키는	통과/NNG+시키/XSV+는/ETM
과정에도	과정/NNG+에/JKB+도/JX
깊숙이	깊숙이/MAG
관여했다.	관여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.111.8.2
2011년에 유엔인권이사회에도 진정서를 냈다.

2011년에	2011/SN+년/NNB+에/JKB
유엔인권이사회에도	유엔인권이사회/NNP+에/JKB+도/JX
진정서를	진정서/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.111.8.3
그가 가장 안타까워하는 것은 한국 정부의 무관심이다.

그가	그/NP+가/JKS
가장	가장/MAG
안타까워하는	안타까워하/VV+는/ETM
것은	것/NNB+은/JX
한국	한국/NNP
정부의	정부/NNG+의/JKG
무관심이다.	무/XPN+관심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.111.8.4
"국가가 적극적으로 나서줘야 합니다.

"국가가	"/SS+국가/NNG+가/JKS
적극적으로	적극/NNG+적/XSN+으로/JKB
나서줘야	나서/VV+어/EC+주/VX+어야/EC
합니다.	하/VX+ㅂ니다/EF+./SF


# id : NWRW1800000038.111.8.5
저 같은 개인이 할 수 있는 일이란 적으니까요." 정 회장은 "국군포로들도 나처럼 나이가 여든이 넘어 1~2년밖에 시간이 남지 않았다"며 "박근혜 대통령이, 반기문 유엔 사무총장이 관심을 가져달라"고 말했다.

저	저/NP
같은	같/VA+은/ETM
개인이	개인/NNG+이/JKS
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
일이란	일/NNG+이란/JX
적으니까요."	적/VA+으니까/EC+요/JX+./SF+"/SS
정	정/NNP
회장은	회장/NNG+은/JX
"국군포로들도	"/SS+국군/NNG+포로/NNG+들/XSN+도/JX
나처럼	나/NP+처럼/JKB
나이가	나이/NNG+가/JKS
여든이	여든/NR+이/JKS
넘어	넘/VV+어/EC
1~2년밖에	1/SN+~/SO+2/SN+년/NNB+밖에/JX
시간이	시간/NNG+이/JKS
남지	남/VV+지/EC
않았다"며	않/VX+았/EP+다/EF+"/SS+며/EC
"박근혜	"/SS+박근혜/NNP
대통령이,	대통령/NNG+이/JKS+,/SP
반기문	반기문/NNP
유엔	유엔/NNP
사무총장이	사무총장/NNG+이/JKS
관심을	관심/NNG+을/JKO
가져달라"고	가지/VV+어/EC+달/VX+라/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


