# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.138
metadata : {}


# id : NWRW1800000033.138.1.1
[신나는 공부/School Diary]영화·공연·찾아가는 서비스… 지방대, 수험생 마음 잡아라!

[신나는	[/SS+신나/VV+는/ETM
공략에	공략/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.138.6.1
이들 대학이 여는 입시설명회의 키워드는 ‘볼거리 제공’.

이들	이/NP+들/XSN
대학이	대학/NNG+이/JKS
여는	열/VV+는/ETM
입시설명회의	입시/NNG+설명회/NNG+의/JKG
키워드는	키워드/NNG+는/JX
‘볼거리	‘/SS+볼거리/NNG
제공’.	제공/NNG+’/SS+./SF


# id : NWRW1800000033.138.6.2
학교에 대한 설명은 최소화하고 학생들이 진정으로 즐길 수 있는 시간을 제공한다는 것.

학교에	학교/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
설명은	설명/NNG+은/JX
최소화하고	최소/NNG+화/XSN+하/XSV+고/EC
학생들이	학생/NNG+들/XSN+이/JKS
진정으로	진정/NNG+으로/JKB
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시간을	시간/NNG+을/JKO
제공한다는	제공/NNG+하/XSV+ㄴ다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000033.138.7.1
대학의 특징과 입시전형을 일방적으로 설명하는 밋밋한 방식으로는 수험생들의 마음을 붙잡을 수 없다는 판단에서다.

대학의	대학/NNG+의/JKG
특징과	특징/NNG+과/JC
입시전형을	입시/NNG+전형/NNG+을/JKO
일방적으로	일방/NNG+적/XSN+으로/JKB
설명하는	설명/NNG+하/XSV+는/ETM
밋밋한	밋밋하/VA+ㄴ/ETM
방식으로는	방식/NNG+으로/JKB+는/JX
수험생들의	수험/NNG+생/XSN+들/XSN+의/JKG
마음을	마음/NNG+을/JKO
붙잡을	붙잡/VV+을/ETM
수	수/NNB
없다는	없/VA+다는/ETM
판단에서다.	판단/NNG+에서/JKB+이/VCP+다/EF+./SF


# id : NWRW1800000033.138.7.2
대학들의 절박한 마음이 엿보이는 대목이다.

대학들의	대학/NNG+들/XSN+의/JKG
절박한	절박하/VA+ㄴ/ETM
마음이	마음/NNG+이/JKS
엿보이는	엿보이/VV+는/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.138.8.1
경남대는 경남지역 고교생 1만여 명을 초청한 입시설명회에서 댄스공연과 레이저 퍼포먼스, 에어로빅 쇼 등을 선보였다.

경남대는	경남대/NNP+는/JX
경남지역	경남지역/NNP
고교생	고교/NNG+생/XSN
1만여	1/SN+만/NR+여/XSN
명을	명/NNB+을/JKO
초청한	초청/NNG+하/XSV+ㄴ/ETM
입시설명회에서	입시/NNG+설명회/NNG+에서/JKB
댄스공연과	댄스/NNG+공연/NNG+과/JC
레이저	레이저/NNG
퍼포먼스,	퍼포먼스/NNG+,/SP
에어로빅	에어로빅/NNG
쇼	쇼/NNG
등을	등/NNB+을/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.138.8.2
이 대학 음악교육과 강사가 무대에 올라 댄스공연을 선보여 수험생들의 눈길을 끌었다.

이	이/MMD
대학	대학/NNG
음악교육과	음악/NNG+교육과/NNG
강사가	강사/NNG+가/JKS
무대에	무대/NNG+에/JKB
올라	오르/VV+아/EC
댄스공연을	댄스/NNG+공연/NNG+을/JKO
선보여	선보이/VV+어/EC
수험생들의	수험/NNG+생/XSN+들/XSN+의/JKG
눈길을	눈길/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.138.9.1
학생들의 반응이 가장 뜨거운 입시설명회는 단연 최신 영화를 상영하는 설명회다.

학생들의	학생/NNG+들/XSN+의/JKG
반응이	반응/NNG+이/JKS
가장	가장/MAG
뜨거운	뜨겁/VA+ㄴ/ETM
입시설명회는	입시/NNG+설명회/NNG+는/JX
단연	단연/MAG
최신	최신/NNG
영화를	영화/NNG+를/JKO
상영하는	상영/NNG+하/XSV+는/ETM
설명회다.	설명회/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.138.9.2
설명회 전날 3학년 전교생이 투표를 해 어떤 영화를 볼 것인지를 미리 정한 뒤 이를 대학 측에 전달하는 것도 이전에는 볼 수 없었던 풍경.

설명회	설명회/NNG
전날	전날/NNG
3학년	3/SN+학년/NNG
전교생이	전교/NNG+생/XSN+이/JKS
투표를	투표/NNG+를/JKO
해	하/VV+아/EC
어떤	어떤/MMD
영화를	영화/NNG+를/JKO
볼	보/VV+ㄹ/ETM
것인지를	것/NNB+이/VCP+ㄴ지/EC+를/JKO
미리	미리/MAG
정한	정하/VV+ㄴ/ETM
뒤	뒤/NNG
이를	이/NP+를/JKO
대학	대학/NNG
측에	측/NNB+에/JKB
전달하는	전달/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
이전에는	이전/NNG+에/JKB+는/JX
수	수/NNB
없었던	없/VA+었/EP+던/ETM
풍경.	풍경/NNG+./SF


# id : NWRW1800000033.138.9.3
일부 대학은 수험생들에게 현장에서 팝콘도 제공한다.

일부	일부/NNG
대학은	대학/NNG+은/JX
수험생들에게	수험/NNG+생/XSN+들/XSN+에게/JKB
현장에서	현장/NNG+에서/JKB
팝콘도	팝콘/NNG+도/JX
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.138.10.1
한편 교직원, 교수가 직접 고교를 방문하는 ‘찾아가는 서비스’도 진행 중이다.

한편	한편/MAG
교직원,	교직원/NNG+,/SP
교수가	교수/NNG+가/JKS
직접	직접/MAG
고교를	고교/NNG+를/JKO
방문하는	방문/NNG+하/XSV+는/ETM
‘찾아가는	‘/SS+찾아가/VV+는/ETM
서비스’도	서비스/NNG+’/SS+도/JX
진행	진행/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.138.10.2
목원대 교직원들은 7월부터 전국 400여 개 고교를 돌며 대학의 장학금 제도와 기숙사 시설 등 자랑거리를 홍보했다.

목원대	목원대/NNP
교직원들은	교직원/NNG+들/XSN+은/JX
7월부터	7/SN+월/NNB+부터/JX
전국	전국/NNG
400여	400/SN+여/XSN
개	개/NNB
고교를	고교/NNG+를/JKO
돌며	돌/VV+며/EC
대학의	대학/NNG+의/JKG
장학금	장학금/NNG
제도와	제도/NNG+와/JC
기숙사	기숙사/NNG
시설	시설/NNG
등	등/NNB
자랑거리를	자랑거리/NNG+를/JKO
홍보했다.	홍보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.138.11.1
동신대 교수들도 지역 고교를 돌며 수험생을 위한 맞춤형 특강을 진행한다.

동신대	동신대/NNP
교수들도	교수/NNG+들/XSN+도/JX
지역	지역/NNG
고교를	고교/NNG+를/JKO
돌며	돌/VV+며/EC
수험생을	수험/NNG+생/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
맞춤형	맞춤/NNG+형/XSN
특강을	특강/NNG+을/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.138.11.2
△‘동안’ 피부 관리법 △청소년 성공 로드맵 △수험생 눈 관리법 등 대학생활에서 도움이 될 정보를 전공 교수가 직접 강의하는 게 특징.

△‘동안’	△/SW+‘/SS+동안/NNG+’/SS
피부	피부/NNG
관리법	관리법/NNG
△청소년	△/SW+청소년/NNG
성공	성공/NNG
로드맵	로드맵/NNG
△수험생	△/SW+수험/NNG+생/XSN
눈	눈/NNG
등	등/NNB
대학생활에서	대학/NNG+생활/NNG+에서/JKB
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
정보를	정보/NNG+를/JKO
전공	전공/NNG
교수가	교수/NNG+가/JKS
직접	직접/MAG
강의하는	강의/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
특징.	특징/NNG+./SF


# id : NWRW1800000033.138.12.1
교수들을 출신 고교에 보내 선후배 만남의 시간을 마련하는 제주대의 입시설명회 전략도 눈에 띈다.

교수들을	교수/NNG+들/XSN+을/JKO
출신	출신/NNG
고교에	고교/NNG+에/JKB
보내	보내/VV+어/EC
선후배	선후배/NNG
만남의	만남/NNG+의/JKG
시간을	시간/NNG+을/JKO
마련하는	마련/NNG+하/XSV+는/ETM
제주대의	제주대/NNP+의/JKG
입시설명회	입시/NNG+설명회/NNG
전략도	전략/NNG+도/JX
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.138.13.1
수험생 유치 작전에 대학신문사가 나선 곳도 있다.

수험생	수험/NNG+생/XSN
유치	유치/NNG
작전에	작전/NNG+에/JKB
대학신문사가	대학/NNG+신문사/NNG+가/JKS
나선	나서/VV+ㄴ/ETM
곳도	곳/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.138.13.2
전북대신문 편집장을 맡고 있는 정상석 씨(22·경영학과 3학년)는 “지역의 우수한 학생들이 우리 대학에 주목해 주기를 바라는 마음에 전북대의 자랑거리를 소개한 호외판 ‘수험생을 위한 대학신문’ 10만 부를 발행해 12일 전북지역 고교와 가정에 배포했다”고 말했다.

전북대신문	전북대/NNP+신문/NNG
편집장을	편집장/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
정상석	정상석/NNP
씨(22·경영학과	씨/NNB+(/SS+22/SN+·/SP+경영학과/NNG
3학년)는	3/SN+학년/NNG+)/SS+는/JX
“지역의	“/SS+지역/NNG+의/JKG
우수한	우수/NNG+하/XSA+ㄴ/ETM
학생들이	학생/NNG+들/XSN+이/JKS
우리	우리/NP
대학에	대학/NNG+에/JKB
주목해	주목/NNG+하/XSV+아/EC
주기를	주/VX+기/ETN+를/JKO
바라는	바라/VV+는/ETM
마음에	마음/NNG+에/JKB
전북대의	전북대/NNP+의/JKG
자랑거리를	자랑거리/NNG+를/JKO
소개한	소개/NNG+하/XSV+ㄴ/ETM
호외판	호외판/NNG
‘수험생을	‘/SS+수험/NNG+생/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
대학신문’	대학/NNG+신문/NNG+’/SS
10만	10/SN+만/NR
부를	부/NNB+를/JKO
발행해	발행/NNG+하/XSV+아/EC
12일	12/SN+일/NNB
전북지역	전북/NNP+지역/NNG
고교와	고교/NNG+와/JC
가정에	가정/NNG+에/JKB
배포했다”고	배포/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.138.14.1
대학들의 이 같은 신입생 유치 작전은 지역 대학에 대한 수험생들의 관심을 끌어모으는데 어느 정도 효과가 있을 것으로 보인다.

대학들의	대학/NNG+들/XSN+의/JKG
이	이/NP
같은	같/VA+은/ETM
신입생	신입/NNG+생/XSN
유치	유치/NNG
작전은	작전/NNG+은/JX
지역	지역/NNG
대학에	대학/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수험생들의	수험/NNG+생/XSN+들/XSN+의/JKG
관심을	관심/NNG+을/JKO
끌어모으는데	끌어모으/VV+는데/EC
어느	어느/MMD
정도	정도/NNG
효과가	효과/NNG+가/JKS
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.138.14.2
하지만 지나치게 흥미 위주로 구성된 입시설명회에 대한 수험생들의 반응이 좋지만은 않다.

하지만	하지만/MAJ
지나치게	지나치/VA+게/EC
흥미	흥미/NNG
위주로	위주/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
입시설명회에	입시/NNG+설명회/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수험생들의	수험/NNG+생/XSN+들/XSN+의/JKG
반응이	반응/NNG+이/JKS
좋지만은	좋/VA+지/EC+만/JX+은/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000033.138.15.1
최근 부산시내 총 다섯 개 대학의 입시설명회를 돌아본 수험생 전현성 군(18·부산 내성고 3학년)은 “해당 대학에 대한 설명은 5∼10분 내로 마치고 대부분의 시간을 레크리에이션이나 공연으로 채울 경우 정작 학생들은 이렇다할 정보를 얻지 못해 아쉬움을 느낄 때도 있다”고 말했다.

최근	최근/NNG
부산시내	부산/NNP+시내/NNG
총	총/MMA
다섯	다섯/NR
개	개/NNB
대학의	대학/NNG+의/JKG
입시설명회를	입시/NNG+설명회/NNG+를/JKO
돌아본	돌아보/VV+ㄴ/ETM
수험생	수험/NNG+생/XSN
전현성	전현성/NNP
군(18·부산	군/NNB+(/SS+18/SN+·/SP+부산/NNP
내성고	내성고/NNP
3학년)은	3/SN+학년/NNG+)/SS+은/JX
“해당	“/SS+해당/NNG
대학에	대학/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
설명은	설명/NNG+은/JX
5∼10분	5/SN+∼/SO+10/SN+분/NNB
내로	내/NNB+로/JKB
마치고	마치/VV+고/EC
대부분의	대/XPN+부분/NNG+의/JKG
시간을	시간/NNG+을/JKO
레크리에이션이나	레크리에이션/NNG+이나/JC
공연으로	공연/NNG+으로/JKB
채울	채우/VV+ㄹ/ETM
경우	경우/NNG
정작	정작/MAG
학생들은	학생/NNG+들/XSN+은/JX
이렇다할	이렇/VA+다/EF+하/VV+ㄹ/ETM
정보를	정보/NNG+를/JKO
얻지	얻/VV+지/EC
못해	못하/VX+아/EC
아쉬움을	아쉬움/NNG+을/JKO
느낄	느끼/VV+ㄹ/ETM
때도	때/NNG+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


