# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.268
metadata : {}


# id : NWRW1800000040.268.1.1
‘TV수신료’ 올해도 배달부가 ‘왕서방’

‘TV수신료’	‘/SS+TV/SL+수신료/NNG+’/SS
미치는	미치/VV+는/ETM
것도	것/NNB+도/JX
법	법/NNG
위반”이라고	위반/NNG+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.268.7.1
한국방송은 “수신료 수입은 일정한데 징수 비용은 물가 등과 연동되어 인상이 불가피하기 때문”이라며 “외부 지적을 감안해 2013년부터 3년 동안 위탁수수료율을 6.15%로 동결하기로 했다”고 밝혔다.

한국방송은	한국방송/NNP+은/JX
“수신료	“/SS+수신료/NNG
수입은	수입/NNG+은/JX
일정한데	일정/NNG+하/XSA+ㄴ데/EC
징수	징수/NNG
비용은	비용/NNG+은/JX
물가	물가/NNG
등과	등/NNB+과/JKB
연동되어	연동/NNG+되/XSV+어/EC
인상이	인상/NNG+이/JKS
불가피하기	불가피하/VA+기/ETN
때문”이라며	때문/NNB+”/SS+이/VCP+라며/EC
“외부	“/SS+외부/NNG
지적을	지적/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
2013년부터	2013/SN+년/NNB+부터/JX
3년	3/SN+년/NNB
동안	동안/NNG
위탁수수료율을	위탁/NNG+수수료/NNG+율/XSN+을/JKO
6.15%로	6/SN+./SP+15/SN+%/SW+로/JKB
동결하기로	동결/NNG+하/XSV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


