# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.284
metadata : {}


# id : NWRW1800000054.284.1.1
[조용헌 살롱] (1075) 自己執筆能力

[조용헌	[/SS+조용헌/NNP
자기가	자기/NP+가/JKS
할	하/VV+ㄹ/ETM
말의	말/NNG+의/JKG
연설문	연설문/NNG
정도는	정도/NNG+는/JX
자신이	자신/NNG+이/JKS
집필할	집필/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.284.2.5
세부적인 부분까지는 참모가 다듬는다고 하더라도 중요한 대국민 메시지의 골격 정도는 자기가 짤 수 있는 지성이 있어야지, 그것도 못 하면 그게 무슨 지도자란 말인가!

세부적인	세부/NNG+적/XSN+이/VCP+ㄴ/ETM
부분까지는	부분/NNG+까지/JX+는/JX
참모가	참모/NNG+가/JKS
다듬는다고	다듬/VV+는다고/EC
하더라도	하/VV+더라도/EC
중요한	중요/NNG+하/XSA+ㄴ/ETM
대국민	대국민/NNG
메시지의	메시지/NNG+의/JKG
골격	골격/NNG
정도는	정도/NNG+는/JX
자기가	자기/NP+가/JKS
짤	짜/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
지성이	지성/NNG+이/JKS
있어야지,	있/VA+어야지/EC+,/SP
그것도	그것/NP+도/JX
못	못/MAG
하면	하/VV+면/EC
그게	그거/NP+이/JKS
무슨	무슨/MMD
지도자란	지도자/NNG+이/VCP+란/ETM
말인가!	말/NNG+이/VCP+ㄴ가/EF+!/SF


# id : NWRW1800000054.284.3.1
'자기집필능력'을 갖추려면 어떤 전제조건이 필요할까?

'자기집필능력'을	'/SS+자기/NNG+집필/NNG+능력/NNG+'/SS+을/JKO
갖추려면	갖추/VV+려면/EC
어떤	어떤/MMD
전제조건이	전제/NNG+조건/NNG+이/JKS
필요할까?	필요/NNG+하/XSA+ㄹ까/EF+?/SF


# id : NWRW1800000054.284.3.2
먼저 독서가 이루어져야 한다.

먼저	먼저/MAG
독서가	독서/NNG+가/JKS
이루어져야	이루어지/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.284.3.3
유교 문명권의 특징은 '독서인(讀書人)'을 양성하는 데에 있었다.

유교	유교/NNG
문명권의	문명/NNG+권/XSN+의/JKG
특징은	특징/NNG+은/JX
'독서인(讀書人)'을	'/SS+독서인/NNG+(/SS+讀書人/SH+)/SS+'/SS+을/JKO
양성하는	양성/NNG+하/XSV+는/ETM
데에	데/NNB+에/JKB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.284.3.4
유교의 도 닦는 방법은 기도나 명상, 단전호흡이 아니라 바로 매일 새벽부터 경상(經床)에다가 경전과 책을 놓고 소리 내어 읽는 방법이었다.

유교의	유교/NNG+의/JKG
도	도/NNG
닦는	닦/VV+는/ETM
방법은	방법/NNG+은/JX
기도나	기도/NNG+나/JC
명상,	명상/NNG+,/SP
단전호흡이	단전/NNG+호흡/NNG+이/JKC
아니라	아니/VCN+라/EC
바로	바로/MAG
매일	매일/NNG
새벽부터	새벽/NNG+부터/JX
경상(經床)에다가	경상/NNG+(/SS+經床/SH+)/SS+에/JKB+다가/JX
경전과	경전/NNG+과/JC
책을	책/NNG+을/JKO
놓고	놓/VV+고/EC
소리	소리/NNG
내어	내/VV+어/EC
읽는	읽/VV+는/ETM
방법이었다.	방법/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.284.3.5
책을 읽는 행위야말로 인간을 변화시킬 수 있는 가장 보편적인 방법이라고 여겼던 것이다.

책을	책/NNG+을/JKO
읽는	읽/VV+는/ETM
행위야말로	행위/NNG+야말로/JX
인간을	인간/NNG+을/JKO
변화시킬	변화/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
가장	가장/MAG
보편적인	보편/NNG+적/XSN+이/VCP+ㄴ/ETM
방법이라고	방법/NNG+이/VCP+라고/EC
여겼던	여기/VV+었/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.284.4.1
필자는 '책상물림' 팔자를 타고나서인지는 몰라도 동굴에 가서 기도도 해보았고, 나름대로 명상도 해 보았지만 결정적인 효과를 못 보았다.

필자는	필자/NNG+는/JX
'책상물림'	'/SS+책상물림/NNG+'/SS
팔자를	팔자/NNG+를/JKO
타고나서인지는	타고나/VV+아서/EC+이/VCP+ㄴ지/EF+는/JX
몰라도	모르/VV+아도/EC
동굴에	동굴/NNG+에/JKB
가서	가/VV+아서/EC
기도도	기도/NNG+도/JX
해보았고,	하/VV+아/EC+보/VX+았/EP+고/EC+,/SP
나름대로	나름/NNB+대로/JX
명상도	명상/NNG+도/JX
해	하/VV+아/EC
보았지만	보/VX+았/EP+지만/EC
결정적인	결정/NNG+적/XSN+이/VCP+ㄴ/ETM
효과를	효과/NNG+를/JKO
못	못/MAG
보았다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.284.4.2
결국은 책 읽는 것이 기도요, 도 닦는 것이요, 종교적 수행이라는 사실을 깨달아가고 있다.

결국은	결국/NNG+은/JX
책	책/NNG
읽는	읽/VV+는/ETM
것이	것/NNB+이/JKS
기도요,	기도/NNG+이/VCP+요/EC+,/SP
도	도/NNG
닦는	닦/VV+는/ETM
것이요,	것/NNB+이/VCP+요/EC+,/SP
종교적	종교/NNG+적/XSN
수행이라는	수행/NNG+이/VCP+라는/ETM
사실을	사실/NNG+을/JKO
깨달아가고	깨닫/VV+아/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.284.4.3
독서를 하다 보면 어휘 구사력, 논리의 전개, 사안을 보는 시야의 확대가 이루어진다.

독서를	독서/NNG+를/JKO
하다	하/VV+다/EC
보면	보/VX+면/EC
어휘	어휘/NNG
구사력,	구사력/NNG+,/SP
논리의	논리/NNG+의/JKG
전개,	전개/NNG+,/SP
사안을	사안/NNG+을/JKO
보는	보/VV+는/ETM
시야의	시야/NNG+의/JKG
확대가	확대/NNG+가/JKS
이루어진다.	이루어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.284.4.4
독서는 과거 역사에서 가장 지성적이었던 인물들과의 대화이다.

독서는	독서/NNG+는/JX
과거	과거/NNG
역사에서	역사/NNG+에서/JKB
가장	가장/MAG
지성적이었던	지성/NNG+적/XSN+이/VCP+었/EP+던/ETM
인물들과의	인물/NNG+들/XSN+과/JKB+의/JKG
대화이다.	대화/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.284.4.5
수평적 대화가 식사 자리, 차(茶) 자리에서 이루어진다면 수직적 대화는 독서이다.

수평적	수평/NNG+적/XSN
대화가	대화/NNG+가/JKS
식사	식사/NNG
자리,	자리/NNG+,/SP
차(茶)	차/NNG+(/SS+茶/SH+)/SS
자리에서	자리/NNG+에서/JKB
이루어진다면	이루어지/VV+ㄴ다면/EC
수직적	수직/NNG+적/XSN
대화는	대화/NNG+는/JX
독서이다.	독서/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.284.4.6
골동품 중에서도 최고의 썩지 않는 골동이 바로 이들이 남긴 고전이다.

골동품	골동품/NNG
중에서도	중/NNB+에서/JKB+도/JX
최고의	최고/NNG+의/JKG
썩지	썩/VV+지/EC
않는	않/VX+는/ETM
골동이	골동/NNG+이/JKS
바로	바로/MAG
이들이	이/NP+들/XSN+이/JKS
남긴	남기/VV+ㄴ/ETM
고전이다.	고전/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.284.4.7
동아시아 유교 문화권의 과거(科擧) 제도라는 것도 따지고 보면 자기집필능력을 테스트하는 일이었다.

동아시아	동아시아/NNP
유교	유교/NNG
문화권의	문화/NNG+권/XSN+의/JKG
과거(科擧)	과거/NNG+(/SS+科擧/SH+)/SS
제도라는	제도/NNG+이/VCP+라는/ETM
것도	것/NNB+도/JX
따지고	따지/VV+고/EC
보면	보/VX+면/EC
자기집필능력을	자기/NNG+집필/NNG+능력/NNG+을/JKO
테스트하는	테스트/NNG+하/XSV+는/ETM
일이었다.	일/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.284.4.8
조선조의 왕들이 신하들과 고전의 내용을 놓고 토론하는 경연(經筵)도 그렇다.

조선조의	조선조/NNG+의/JKG
왕들이	왕/NNG+들/XSN+이/JKS
신하들과	신하/NNG+들/XSN+과/JKB
고전의	고전/NNG+의/JKG
내용을	내용/NNG+을/JKO
놓고	놓/VV+고/EC
토론하는	토론/NNG+하/XSV+는/ETM
경연(經筵)도	경연/NNG+(/SS+經筵/SH+)/SS+도/JX
그렇다.	그렇/VA+다/EF+./SF


# id : NWRW1800000054.284.4.9
왕 노릇 하느라고 매일 업무가 바쁘니까 아예 공식 스케줄에다 신하들과의 독서 토론 과목을 집어넣어서 의무적으로 하도록 한 것이 조선의 정치제도였다.

왕	왕/NNG
노릇	노릇/NNG
하느라고	하/VV+느라고/EC
매일	매일/MAG
업무가	업무/NNG+가/JKS
바쁘니까	바쁘/VA+니까/EC
아예	아예/MAG
공식	공식/NNG
스케줄에다	스케줄/NNG+에다/JKB
신하들과의	신하/NNG+들/XSN+과/JKB+의/JKG
독서	독서/NNG
토론	토론/NNG
과목을	과목/NNG+을/JKO
집어넣어서	집어넣/VV+어서/EC
의무적으로	의무/NNG+적/XSN+으로/JKB
하도록	하/VV+도록/EC
한	하/VX+ㄴ/ETM
것이	것/NNB+이/JKS
조선의	조선/NNP+의/JKG
정치제도였다.	정치/NNG+제도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.284.4.10
고대 로마제국의 초석을 닦은 율리우스 카이사르를 역사상 가장 위대한 지도자로 꼽는 사가(史家)가 많다.

고대	고대/NNG
로마제국의	로마/NNP+제국/NNG+의/JKG
초석을	초석/NNG+을/JKO
닦은	닦/VV+은/ETM
율리우스	율리우스/NNP
카이사르를	카이사르/NNP+를/JKO
역사상	역사/NNG+상/XSN
가장	가장/MAG
위대한	위대하/VA+ㄴ/ETM
지도자로	지도자/NNG+로/JKB
꼽는	꼽/VV+는/ETM
사가(史家)가	사가/NNG+(/SS+史家/SH+)/SS+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000054.284.4.11
그 이유 중 하나가 피 튀기는 전쟁터에도 '갈리아 전쟁기'와 같은 명문장을 남겼기 때문이다.

그	그/MMD
이유	이유/NNG
중	중/NNB
하나가	하나/NR+가/JKS
피	피/NNG
튀기는	튀기/VV+는/ETM
전쟁터에도	전쟁터/NNG+에/JKB+도/JX
'갈리아	'/SS+갈리아/NNP
전쟁기'와	전쟁기/NNG+'/SS+와/JKB
같은	같/VA+은/ETM
명문장을	명문장/NNG+을/JKO
남겼기	남기/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.284.4.12
우리는 언제나 이런 지도자를 만날까?

우리는	우리/NP+는/JX
언제나	언제나/MAG
이런	이런/MMD
지도자를	지도자/NNG+를/JKO
만날까?	만나/VV+ㄹ까/EF+?/SF


