# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.158
metadata : {}


# id : NWRW1800000030.158.1.1
부모따라 조기 유학갔다가 한국으로 U턴… '大入 연어족' 늘었다

부모따라	부모/NNG+따라/JX
경쟁률을	경쟁/NNG+률/XSN+을/JKO
기록했다고	기록/NNG+하/XSV+았/EP+다고/EC
10일	10/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.158.7.5
2009학년도(11.07대 1)에 비해 무려 2배 이상으로 크게 늘어난 것이다.

2009학년도(11.07대	2009/SN+학년도/NNG+(/SS+11/SN+./SP+07/SN+대/NNB
1)에	1/SN+)/SS+에/JKB
비해	비/NNG+하/XSV+아/EC
무려	무려/MAG
2배	2/SN+배/NNG
이상으로	이상/NNG+으로/JKB
크게	크/VA+게/EC
늘어난	늘어나/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.158.8.1
이런 경향이 나타나는 것은 한국 기업이나 대학, 연구소 등이 글로벌화되면서 해외 파견 근무 등이 늘어나는 것도 큰 원인이지만 수학능력시험과 내신 성적 경쟁을 피해 의도적으로 외국에서 고교를 마치고 돌아오는 편법이 증가하고 있기 때문이다.

이런	이런/MMD
경향이	경향/NNG+이/JKS
나타나는	나타나/VV+는/ETM
것은	것/NNB+은/JX
한국	한국/NNP
기업이나	기업/NNG+이나/JC
대학,	대학/NNG+,/SP
연구소	연구소/NNG
등이	등/NNB+이/JKS
글로벌화되면서	글로벌/NNG+화/XSN+되/XSV+면서/EC
해외	해외/NNG
파견	파견/NNG
근무	근무/NNG
늘어나는	늘어나/VV+는/ETM
것도	것/NNB+도/JX
큰	크/VA+ㄴ/ETM
원인이지만	원인/NNG+이/VCP+지만/EC
수학능력시험과	수학/NNG+능력/NNG+시험/NNG+과/JC
내신	내신/NNG
성적	성적/NNG
경쟁을	경쟁/NNG+을/JKO
피해	피하/VV+아/EC
의도적으로	의도/NNG+적/XSN+으로/JKB
외국에서	외국/NNG+에서/JKB
고교를	고교/NNG+를/JKO
마치고	마치/VV+고/EC
돌아오는	돌아오/VV+는/ETM
편법이	편법/NNG+이/JKS
증가하고	증가/NNG+하/XSV+고/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.158.9.1
임성호 하늘교육 대표는 "재외국민 전형은 특례 입학 준비생들끼리만 경쟁한다"며 "일반 고등학생은 수능부터 논술, 면접까지 준비해야 하는데 특례 준비생들은 어학 성적과 면접만 준비하면 되기 때문에 훨씬 수월하다"고 말했다.

임성호	임성호/NNP
하늘교육	하늘교육/NNP
대표는	대표/NNG+는/JX
"재외국민	"/SS+재외/NNG+국민/NNG
전형은	전형/NNG+은/JX
특례	특례/NNG
입학	입학/NNG
준비생들끼리만	준비/NNG+생/XSN+들/XSN+끼리/XSN+만/JX
경쟁한다"며	경쟁/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"일반	"/SS+일반/NNG
고등학생은	고등학생/NNG+은/JX
수능부터	수능/NNG+부터/JX
논술,	논술/NNG+,/SP
면접까지	면접/NNG+까지/JX
준비해야	준비/NNG+하/XSV+아야/EC
하는데	하/VX+는데/EC
준비생들은	준비/NNG+생/XSN+들/XSN+은/JX
어학	어학/NNG
성적과	성적/NNG+과/JC
면접만	면접/NNG+만/JX
준비하면	준비/NNG+하/XSV+면/EC
되기	되/VV+기/ETN
때문에	때문/NNB+에/JKB
훨씬	훨씬/MAG
수월하다"고	수월하/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.158.10.1
재외국민 전형은 부모가 자녀와 함께 외국에 거주하면서 경제활동을 해야 하기 때문에 자녀들만 유학을 보내서는 조건을 갖출 수 없다.

재외국민	재외/NNG+국민/NNG
전형은	전형/NNG+은/JX
부모가	부모/NNG+가/JKS
자녀와	자녀/NNG+와/JKB
함께	함께/MAG
외국에	외국/NNG+에/JKB
거주하면서	거주/NNG+하/XSV+면서/EC
경제활동을	경제/NNG+활동/NNG+을/JKO
해야	하/VV+아야/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
자녀들만	자녀/NNG+들/XSN+만/JX
유학을	유학/NNG+을/JKO
보내서는	보내/VV+어서/EC+는/JX
조건을	조건/NNG+을/JKO
갖출	갖추/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.158.10.2
이 때문에 재외국민 입학 자격을 충족시키기 위한 편법이 동원된다.

이	이/NP
때문에	때문/NNB+에/JKB
재외국민	재외/NNG+국민/NNG
입학	입학/NNG
자격을	자격/NNG+을/JKO
충족시키기	충족/NNG+시키/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
편법이	편법/NNG+이/JKS
동원된다.	동원/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.158.10.3
강남이나 목동 일대 학원가에는 동남아나 중국 등에 형식적으로 작은 가게를 내고 자녀를 유학시키는 학부모가 늘어나는 추세다.

강남이나	강남/NNP+이나/JC
목동	목동/NNP
일대	일대/NNG
학원가에는	학원가/NNG+에/JKB+는/JX
동남아나	동남아/NNP+나/JX
중국	중국/NNP
등에	등/NNB+에/JKB
형식적으로	형식/NNG+적/XSN+으로/JKB
작은	작/VA+은/ETM
가게를	가게/NNG+를/JKO
내고	내/VV+고/EC
자녀를	자녀/NNG+를/JKO
유학시키는	유학/NNG+시키/XSV+는/ETM
학부모가	학부모/NNG+가/JKS
늘어나는	늘어나/VV+는/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.158.11.1
고등학생 자녀를 둔 최모(47)씨는 "강남 엄마들 사이에서 '동남아에 가서 3∼4년 보내다가 아이들이 재외국민 전형 자격이 되면 돌아오는 게 대학을 보내는 가장 쉬운 방법 중 하나'라는 이야기가 돌 정도"라고 말했다.

고등학생	고등학생/NNG
자녀를	자녀/NNG+를/JKO
둔	두/VV+ㄴ/ETM
최모(47)씨는	최/NNP+모/NP+(/SS+47/SN+)/SS+씨/NNB+는/JX
"강남	"/SS+강남/NNP
엄마들	엄마/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
'동남아에	'/SS+동남아/NNP+에/JKB
가서	가/VV+아서/EC
3∼4년	3/SN+∼/SO+4/SN+년/NNB
보내다가	보내/VV+다가/EC
아이들이	아이/NNG+들/XSN+이/JKS
재외국민	재외/NNG+국민/NNG
전형	전형/NNG
자격이	자격/NNG+이/JKC
되면	되/VV+면/EC
돌아오는	돌아오/VV+는/ETM
게	거/NNB+이/JKS
대학을	대학/NNG+을/JKO
보내는	보내/VV+는/ETM
가장	가장/MAG
쉬운	쉽/VA+ㄴ/ETM
방법	방법/NNG
중	중/NNB
하나'라는	하나/NR+'/SS+이/VCP+라는/ETM
이야기가	이야기/NNG+가/JKS
돌	돌/VV+ㄹ/ETM
정도"라고	정도/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.158.12.1
양정호 성균관대 교육학과 교수는 "재외국민 전형이 대학 진학의 '우회로'로 전락하는 것을 막으려면 재외국민 전형 지원 자격과 제출 서류 기준을 강화해야 한다"고 말했다.

양정호	양정호/NNP
성균관대	성균관대/NNP
교육학과	교육학과/NNG
교수는	교수/NNG+는/JX
"재외국민	"/SS+재외/NNG+국민/NNG
전형이	전형/NNG+이/JKS
대학	대학/NNG
진학의	진학/NNG+의/JKG
'우회로'로	'/SS+우회로/NNG+'/SS+로/JKB
전락하는	전락/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
막으려면	막/VV+으려면/EC
재외국민	재외/NNG+국민/NNG
전형	전형/NNG
지원	지원/NNG
자격과	자격/NNG+과/JC
제출	제출/NNG
서류	서류/NNG
기준을	기준/NNG+을/JKO
강화해야	강화/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


