# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.101
metadata : {}


# id : NWRW1800000026.101.1.1
광산업의 어제와 오늘_국내 광산업 생산 39조원… 제품의 92% 수출

광산업의	광산업/NNG+의/JKG
가능성을	가능/NNG+성/XSN+을/JKO
높여준다.	높이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.101.6.1
◆광산업의 역사와 변천

◆광산업의	◆/SW+광산업/NNG+의/JKG
역사와	역사/NNG+와/JC
변천	변천/NNG


# id : NWRW1800000026.101.7.1
20세기 중반까지는 렌즈·망원경 등 군수산업형 광학기기가 핵심이었으나, 1960년 레이저 발명으로 광기술 발전이 본격화했다.

20세기	20/SN+세기/NNG
중반까지는	중반/NNG+까지/JX+는/JX
렌즈·망원경	렌즈/NNG+·/SP+망원경/NNG
등	등/NNB
군수산업형	군수/NNG+산업/NNG+형/XSN
광학기기가	광학/NNG+기기/NNG+가/JKS
핵심이었으나,	핵심/NNG+이/VCP+었/EP+으나/EC+,/SP
1960년	1960/SN+년/NNB
레이저	레이저/NNG
발명으로	발명/NNG+으로/JKB
광기술	광/NNG+기술/NNG
발전이	발전/NNG+이/JKS
본격화했다.	본격/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.101.7.2
특히 1960년대 발광소자(LED) 등 광원 개발로 응용분야가 확대됐다.

특히	특히/MAG
1960년대	1960/SN+년대/NNB
발광소자(LED)	발광/NNG+소자/NNG+(/SS+LED/SL+)/SS
등	등/NNB
광원	광원/NNG
개발로	개발/NNG+로/JKB
응용분야가	응용/NNG+분야/NNG+가/JKS
확대됐다.	확대/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.101.7.3
현재는 광통신·광원·광정보·광정밀·광소재·광학 등 분야별 광산업이 중심을 이루고 있다면, 미래에는 광+정보기술(IT), 광+나노기술(NT), 광+의료, 광+에너지, 광+환경 등 융·복합형 광산업으로 변화할 것으로 전문가들은 예측한다.

현재는	현재/NNG+는/JX
광통신·광원·광정보·광정밀·광소재·광학	광/NNG+통신/NNG+·/SP+광원/NNG+·/SP+광/NNG+정보/NNG+·/SP+광/NNG+정밀/NNG+·/SP+광/NNG+소재/NNG+·/SP+광학/NNG
등	등/NNB
분야별	분야/NNG+별/XSN
광산업이	광산업/NNG+이/JKS
중심을	중심/NNG+을/JKO
이루고	이루/VV+고/EC
있다면,	있/VX+다면/EC+,/SP
미래에는	미래/NNG+에/JKB+는/JX
광+정보기술(IT),	광/NNG++/SW+정보/NNG+기술/NNG+(/SS+IT/SL+)/SS+,/SP
광+나노기술(NT),	광/NNG++/SW+나노/NNG+기술/NNG+(/SS+NT/SL+)/SS+,/SP
광+의료,	광/NNG++/SW+의료/NNG+,/SP
광+에너지,	광/NNG++/SW+에너지/NNG+,/SP
광+환경	광/NNG++/SW+환경/NNG
융·복합형	융·복합/NNG+형/XSN
광산업으로	광산업/NNG+으로/JKB
변화할	변화/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전문가들은	전문가/NNG+들/XSN+은/JX
예측한다.	예측/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.101.8.1
◆세계 광산업 동향

◆세계	◆/SW+세계/NNG
광산업	광산업/NNG
동향	동향/NNG


# id : NWRW1800000026.101.9.1
2009년 세계시장 규모는 3650억달러로 2005년 이후 연평균 7.5%의 성장률을 보이고 있다.

2009년	2009/SN+년/NNB
세계시장	세계/NNG+시장/NNG
규모는	규모/NNG+는/JX
3650억달러로	3650/SN+억/NR+달러/NNB+로/JKB
2005년	2005/SN+년/NNB
이후	이후/NNG
연평균	연평균/NNG
7.5%의	7/SN+./SP+5/SN+%/SW+의/JKG
성장률을	성장/NNG+률/XSN+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.101.9.2
미주(29.1%)와 아시아(27.9%), 일본(18.8%)이 세계시장의 75.8%를 차지했다.

미주(29.1%)와	미주/NNP+(/SS+29/SN+./SP+1/SN+%/SW+)/SS+와/JC
아시아(27.9%),	아시아/NNP+(/SS+27/SN+./SP+9/SN+%/SW+)/SS+,/SP
일본(18.8%)이	일본/NNP+(/SS+18/SN+./SP+8/SN+%/SW+)/SS+이/JKS
세계시장의	세계/NNG+시장/NNG+의/JKG
75.8%를	75/SN+./SP+8/SN+%/SW+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.101.9.3
분야별로는 광정보기기가 가장 큰 시장을 형성했으며, 영상표시기 부문이 전체 광정보기기 시장의 45.5%로 가장 큰 비중을 차지했다.

분야별로는	분야/NNG+별/XSN+로/JKB+는/JX
광정보기기가	광/NNG+정보/NNG+기기/NNG+가/JKS
가장	가장/MAG
큰	크/VA+ㄴ/ETM
시장을	시장/NNG+을/JKO
형성했으며,	형성/NNG+하/XSV+았/EP+으며/EC+,/SP
영상표시기	영상/NNG+표시기/NNG
부문이	부문/NNG+이/JKS
전체	전체/NNG
광정보기기	광/NNG+정보/NNG+기기/NNG
시장의	시장/NNG+의/JKG
45.5%로	45/SN+./SP+5/SN+%/SW+로/JKB
비중을	비중/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.101.10.1
통신시장 회복과 광가입자망(FTTH) 수요확대 등에 따른 광통신 시장 회복과 조명용 면광원기술 개발, 태양광 발전설비 증가, 의료용 레이저기기시장 고성장 등에 힘입어 지속적 고성장세를 유지할 것으로 업계는 전망한다.

통신시장	통신/NNG+시장/NNG
회복과	회복/NNG+과/JC
광가입자망(FTTH)	광/NNG+가입자망/NNG+(/SS+FTTH/SL+)/SS
수요확대	수요/NNG+확대/NNG
등에	등/NNB+에/JKB
따른	따르/VV+ㄴ/ETM
광통신	광/NNG+통신/NNG
시장	시장/NNG
조명용	조명/NNG+용/XSN
면광원기술	면광원/NNG+기술/NNG
개발,	개발/NNG+,/SP
태양광	태양광/NNG
발전설비	발전/NNG+설비/NNG
증가,	증가/NNG+,/SP
의료용	의료/NNG+용/XSN
레이저기기시장	레이저/NNG+기기/NNG+시장/NNG
고성장	고/XPN+성장/NNG
힘입어	힘입/VV+어/EC
지속적	지속/NNG+적/XSN
고성장세를	고/XPN+성장세/NNG+를/JKO
유지할	유지/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
업계는	업계/NNG+는/JX
전망한다.	전망/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.101.11.1
미국은 광통신과 광정밀기기, 일본은 광원 및 광전소자와 광소재, 독일은 광학기기 분야에서 기술경쟁력의 우위를 보이고 있다.

미국은	미국/NNP+은/JX
광통신과	광/NNG+통신/NNG+과/JC
광정밀기기,	광/NNG+정밀/NNG+기기/NNG+,/SP
일본은	일본/NNP+은/JX
광원	광원/NNG
및	및/MAG
광전소자와	광전/NNG+소자/NNG+와/JC
광소재,	광/NNG+소재/NNG+,/SP
독일은	독일/NNP+은/JX
광학기기	광학/NNG+기기/NNG
분야에서	분야/NNG+에서/JKB
기술경쟁력의	기술/NNG+경쟁력/NNG+의/JKG
우위를	우위/NNG+를/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.101.11.2
미국과 유럽은 기존 수동 광통신부품의 경쟁력이 약화되는 것을 예상, 기술집약도가 높은 나노포토닉스 관련 분야에 투자를 집중하고 있다.

미국과	미국/NNP+과/JC
유럽은	유럽/NNP+은/JX
기존	기존/NNG
수동	수동/NNG
광통신부품의	광/NNG+통신/NNG+부품/NNG+의/JKG
경쟁력이	경쟁력/NNG+이/JKS
약화되는	약화/NNG+되/XSV+는/ETM
것을	것/NNB+을/JKO
예상,	예상/NNG+,/SP
기술집약도가	기술/NNG+집약도/NNG+가/JKS
높은	높/VA+은/ETM
나노포토닉스	나노포토닉스/NNG
관련	관련/NNG
분야에	분야/NNG+에/JKB
투자를	투자/NNG+를/JKO
집중하고	집중/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.101.12.1
전문가들은 앞으로 한국과 중국·일본 등 아시아 시장이 크게 성장할 것으로 보고 있다.

전문가들은	전문가/NNG+들/XSN+은/JX
앞으로	앞/NNG+으로/JKB
한국과	한국/NNP+과/JC
중국·일본	중국/NNP+·/SP+일본/NNP
등	등/NNB
아시아	아시아/NNP
시장이	시장/NNG+이/JKS
크게	크/VA+게/EC
성장할	성장/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.101.13.1
◆국내 광산업 현황

◆국내	◆/SW+국내/NNG
광산업	광산업/NNG
현황	현황/NNG


# id : NWRW1800000026.101.14.1
2009년 국내 광산업 생산은 39조원, 국내 시장규모는 28조원으로, 세계시장의 7.5%를 차지하고 있다.

2009년	2009/SN+년/NNB
국내	국내/NNG
광산업	광산업/NNG
생산은	생산/NNG+은/JX
39조원,	39/SN+조/NR+원/NNB+,/SP
시장규모는	시장/NNG+규모/NNG+는/JX
28조원으로,	28/SN+조/NR+원/NNB+으로/JKB+,/SP
세계시장의	세계/NNG+시장/NNG+의/JKG
7.5%를	7/SN+./SP+5/SN+%/SW+를/JKO
차지하고	차지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.101.14.2
내수시장보다는 생산제품의 92%를 수출하고 있다.

내수시장보다는	내수/NNG+시장/NNG+보다/JKB+는/JX
생산제품의	생산/NNG+제품/NNG+의/JKG
92%를	92/SN+%/SW+를/JKO
수출하고	수출/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.101.15.1
국내 광산업체는 2001년 551개에서 2009년 1795개로 늘었다.

국내	국내/NNG
광산업체는	광산업체/NNG+는/JX
2001년	2001/SN+년/NNB
551개에서	551/SN+개/NNB+에서/JKB
2009년	2009/SN+년/NNB
1795개로	1795/SN+개/NNB+로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.101.15.2
지역별로는 경기 30%, 서울 28%, 광주 20%, 기타 22% 등 분포를 보이고 있다.

지역별로는	지역/NNG+별/XSN+로/JKB+는/JX
경기	경기/NNP
30%,	30/SN+%/SW+,/SP
서울	서울/NNP
28%,	28/SN+%/SW+,/SP
광주	광주/NNP
20%,	20/SN+%/SW+,/SP
기타	기타/NNG
22%	22/SN+%/SW
등	등/NNB
분포를	분포/NNG+를/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.101.15.3
분야별로는 광원이 31%로 가장 많고, 광통신 23%, 광정보 13%, 광정밀과 광소재 각각 12%, 광학기기 5% 등 순이었다.

분야별로는	분야/NNG+별/XSN+로/JKB+는/JX
광원이	광원/NNG+이/JKS
31%로	31/SN+%/SW+로/JKB
가장	가장/MAG
많고,	많/VA+고/EC+,/SP
광통신	광/NNG+통신/NNG
23%,	23/SN+%/SW+,/SP
광정보	광/NNG+정보/NNG
13%,	13/SN+%/SW+,/SP
광정밀과	광/NNG+정밀/NNG+과/JC
광소재	광/NNG+소재/NNG
각각	각각/MAG
12%,	12/SN+%/SW+,/SP
광학기기	광학/NNG+기기/NNG
5%	5/SN+%/SW
등	등/NNB
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.101.16.1
영상표시기 분야는 현재 국내 기업이 세계 최고의 기술력과 생산력을 보유하고 있으며, LED 분야의 시장규모가 점차 늘어나고 있다.

영상표시기	영상/NNG+표시기/NNG
분야는	분야/NNG+는/JX
현재	현재/MAG
국내	국내/NNG
기업이	기업/NNG+이/JKS
세계	세계/NNG
최고의	최고/NNG+의/JKG
기술력과	기술력/NNG+과/JC
생산력을	생산력/NNG+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
LED	LED/SL
분야의	분야/NNG+의/JKG
시장규모가	시장/NNG+규모/NNG+가/JKS
점차	점차/MAG
늘어나고	늘어나/VV+고/EC
있다.	있/VX+다/EF+./SF


