# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.144
metadata : {}


# id : NWRW1800000036.144.1.1
일 ‘홍백가합전’ 한국가수 쏙 뺀 까닭은?

일	일/NNP
방송되는	방송/NNG+되/XSV+는/ETM
홍백가합전은	홍백/NNG+가합전/NNG+은/JX
시청률이	시청/NNG+률/XSN+이/JKS
70%	70/SN+%/SW
안팎에	안팎/NNG+에/JKB
이르는	이르/VV+는/ETM
인기	인기/NNG
프로그램으로,	프로그램/NNG+으로/JKB+,/SP
저녁	저녁/NNG
7시15분	7/SN+시/NNB+15/SN+분/NNB
시작해	시작/NNG+하/XSV+아/EC
중간에	중간/NNG+에/JKB
뉴스를	뉴스/NNG+를/JKO
내보내며	내보내/VV+며/EC
11시45분까지	11/SN+시/NNB+45/SN+분/NNB+까지/JX
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.144.10.1
홍백가합전과 함께 일본 연말 3대 가요제로 꼽히는 ‘베스트 히트 가요제’(오사카 요미우리티브이 주최)와 ‘에프엔에스(FNS) 가요제’(후지티브이 주최) 출연진에도 한국 가수는 지난해와 달리 한명도 포함되지 않았다.

홍백가합전과	홍백/NNG+가합전/NNG+과/JKB
함께	함께/MAG
일본	일본/NNP
연말	연말/NNG
3대	3/SN+대/NNG
가요제로	가요제/NNG+로/JKB
꼽히는	꼽히/VV+는/ETM
‘베스트	‘/SS+베스트/NNG
히트	히트/NNG
가요제’(오사카	가요제/NNG+’/SS+(/SS+오사카/NNP
요미우리티브이	요미우리티브이/NNP
주최)와	주최/NNG+)/SS+와/JC
‘에프엔에스(FNS)	‘/SS+에프엔에스/NNP+(/SS+FNS/SL+)/SS
가요제’(후지티브이	가요제/NNG+’/SS+(/SS+후지티브이/NNP
주최)	주최/NNG+)/SS
출연진에도	출연진/NNG+에/JKB+도/JX
한국	한국/NNP
가수는	가수/NNG+는/JX
지난해와	지난해/NNG+와/JKB
달리	달리/MAG
한명도	한/MMN+명/NNB+도/JX
포함되지	포함/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


