# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.155
metadata : {}


# id : NWRW1800000041.155.1.1
[신나는 공부]‘만점짜리’ 독서감상문 쓰는 법… 책 속 등장인물을 이해하라

[신나는	[/SS+신나/VV+는/ETM
회사일	회사/NNG+일/NNG
때문에	때문/NNB+에/JKB
가서,	가/VV+아서/EC+,/SP
6개월	6/SN+개월/NNB
전에	전/NNG+에/JKB
귀국했다.	귀국/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.155.6.3
그래서 전학생이 된 것이다.

그래서	그래서/MAJ
전학생이	전학/NNG+생/XSN+이/JKC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.155.6.4
(중략) 그때 여자아이 3명이 내 책상에 다가와 이름을 말해주었고, 호감을 보였다.

(중략)	(/SS+중략/NNG+)/SS
그때	그때/NNG
여자아이	여자아이/NNG
3명이	3/SN+명/NNB+이/JKS
내	나/NP+의/JKG
책상에	책상/NNG+에/JKB
다가와	다가오/VV+아/EC
이름을	이름/NNG+을/JKO
말해주었고,	말/NNG+하/XSV+아/EC+주/VX+었/EP+고/EC+,/SP
호감을	호감/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.155.6.5
그 친구들은 마치 (책 속 등장인물) 박솔에게 다가온 종현이와 같다.’

그	그/MMD
친구들은	친구/NNG+들/XSN+은/JX
마치	마치/MAG
(책	(/SS+책/NNG
속	속/NNG
등장인물)	등장인물/NNG+)/SS
박솔에게	박솔/NNP+에게/JKB
다가온	다가오/VV+ㄴ/ETM
종현이와	종현이/NNP+와/JKB
같다.’	같/VA+다/EF+./SF+’/SS


# id : NWRW1800000041.155.6.6
(송 양이 쓴 독서감상문 일부)

(송	(/SS+송/NNP
양이	양/NNB+이/JKS
쓴	쓰/VV+ㄴ/ETM
독서감상문	독서/NNG+감상문/NNG
일부)	일부/NNG+)/SS


# id : NWRW1800000041.155.7.1
고릴라박스에서 펴낸 학습만화 ‘마인드스쿨’을 읽고 감상문을 쓴 송 양.

고릴라박스에서	고릴라/NNG+박스/NNG+에서/JKB
펴낸	펴내/VV+ㄴ/ETM
학습만화	학습/NNG+만화/NNG
‘마인드스쿨’을	‘/SS+마인드스쿨/NNG+’/SS+을/JKO
읽고	읽/VV+고/EC
감상문을	감상문/NNG+을/JKO
쓴	쓰/VV+ㄴ/ETM
송	송/NNP
양.	양/NNB+./SF


# id : NWRW1800000041.155.7.2
책 속에서 새로 초등 4학년이 된 ‘종현’은 새로운 친구와 잘 어울리지 못하는 ‘박솔’을 도와주는 따뜻한 친구로 나온다.

책	책/NNG
속에서	속/NNG+에서/JKB
새로	새로/MAG
초등	초등/NNG
4학년이	4/SN+학년/NNG+이/JKC
된	되/VV+ㄴ/ETM
‘종현’은	‘/SS+종현/NNP+’/SS+은/JX
새로운	새롭/VA+ㄴ/ETM
친구와	친구/NNG+와/JKB
잘	잘/MAG
어울리지	어울리/VV+지/EC
못하는	못하/VX+는/ETM
‘박솔’을	‘/SS+박솔/NNP+’/SS+을/JKO
도와주는	도와주/VV+는/ETM
따뜻한	따뜻하/VA+ㄴ/ETM
친구로	친구/NNG+로/JKB
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.155.8.1
송 양은 이런 상황을 자신의 경험과 연관지었다.

송	송/NNP
양은	양/NNB+은/JX
이런	이런/MMD
상황을	상황/NNG+을/JKO
자신의	자신/NNG+의/JKG
경험과	경험/NNG+과/JKB
연관지었다.	연관/NNG+짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.155.8.2
우선 자신의 이야기를 적은 뒤 이와 비슷한 상황에 처한 책 속 등장인물에 대해 설명했다.

우선	우선/MAG
자신의	자신/NNG+의/JKG
이야기를	이야기/NNG+를/JKO
적은	적/VV+은/ETM
뒤	뒤/NNG
이와	이/NP+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
상황에	상황/NNG+에/JKB
처한	처하/VV+ㄴ/ETM
책	책/NNG
속	속/NNG
등장인물에	등장인물/NNG+에/JKB
대해	대하/VV+아/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.155.9.1
송 양은 “줄거리는 누가 써도 비슷하지만 내가 겪은 이야기를 담으면 나만의 독서감상문이 된다”면서 “줄거리와 느낀 점을 재미있게 골고루 써야 읽는 사람이 내 생각을 잘 이해할 것 같았다”라고 말했다.

송	송/NNP
양은	양/NNB+은/JX
“줄거리는	“/SS+줄거리/NNG+는/JX
누가	누구/NP+가/JKS
써도	쓰/VV+어도/EC
비슷하지만	비슷하/VA+지만/EC
내가	내/NP+가/JKS
겪은	겪/VV+은/ETM
이야기를	이야기/NNG+를/JKO
담으면	담/VV+으면/EC
나만의	나/NP+만/JX+의/JKG
독서감상문이	독서/NNG+감상문/NNG+이/JKC
된다”면서	되/VV+ㄴ다/EF+”/SS+면서/EC
“줄거리와	“/SS+줄거리/NNG+와/JC
느낀	느끼/VV+ㄴ/ETM
점을	점/NNG+을/JKO
재미있게	재미있/VA+게/EC
골고루	골고루/MAG
써야	쓰/VV+어야/EC
읽는	읽/VV+는/ETM
사람이	사람/NNG+이/JKS
내	나/NP+의/JKG
생각을	생각/NNG+을/JKO
잘	잘/MAG
이해할	이해/NNG+하/XSV+ㄹ/ETM
것	것/NNB
같았다”라고	같/VA+았/EP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.155.10.1
송 양은 등장인물인 종현을 자신의 친구뿐 아니라 선생님, 엄마와 비교하며 생각을 확장시키기도 했다.

송	송/NNP
양은	양/NNB+은/JX
등장인물인	등장인물/NNG+이/VCP+ㄴ/ETM
종현을	종현/NNP+을/JKO
자신의	자신/NNG+의/JKG
친구뿐	친구/NNG+뿐/JX
아니라	아니/VCN+라/EC
선생님,	선생/NNG+님/XSN+,/SP
엄마와	엄마/NNG+와/JKB
비교하며	비교/NNG+하/XSV+며/EC
생각을	생각/NNG+을/JKO
확장시키기도	확장/NNG+시키/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.155.11.1
“처음엔 책에서 종현이를 보며 전학생 시절 제게 처음 말을 건넸던 친구들을 떠올렸어요. 하지만 읽을수록 종현이의 말과 행동에서 선생님의 다정한 포옹, 엄마의 따뜻한 마음이 느껴졌지요.”(송 양)

“처음엔	“/SS+처음/NNG+에/JKB+ㄴ/JX
책에서	책/NNG+에서/JKB
종현이를	종현이/NNP+를/JKO
보며	보/VV+며/EC
전학생	전학/NNG+생/XSN
시절	시절/NNG
제게	저/NP+에게/JKB
처음	처음/NNG
말을	말/NNG+을/JKO
건넸던	건네/VV+었/EP+던/ETM
친구들을	친구/NNG+들/XSN+을/JKO
떠올렸어요.	떠올리/VV+었/EP+어요/EF+./SF
하지만	하지만/MAJ
읽을수록	읽/VV+을수록/EC
종현이의	종현이/NNP+의/JKG
말과	말/NNG+과/JC
행동에서	행동/NNG+에서/JKB
선생님의	선생/NNG+님/XSN+의/JKG
다정한	다정/NNG+하/XSA+ㄴ/ETM
포옹,	포옹/NNG+,/SP
엄마의	엄마/NNG+의/JKG
따뜻한	따뜻하/VA+ㄴ/ETM
마음이	마음/NNG+이/JKS
느껴졌지요.”(송	느끼/VV+어/EC+지/VX+었/EP+지요/EF+./SF+”/SS+(/SS+송/NNP
양)	양/NNB+)/SS


# id : NWRW1800000041.155.12.1
박서진 양, 색다른 시작으로 눈길 ‘확’

박서진	박서진/NNP
양,	양/NNB+,/SP
색다른	색다르/VA+ㄴ/ETM
시작으로	시작/NNG+으로/JKB
눈길	눈길/NNG
‘확’	‘/SS+확/MAG+’/SS


# id : NWRW1800000041.155.13.1
‘2013년 노벨 평화상 후보였던 소녀를 알고 있는가?

‘2013년	‘/SS+2013/SN+년/NNB
노벨	노벨/NNP
평화상	평화상/NNG
후보였던	후보/NNG+이/VCP+었/EP+던/ETM
소녀를	소녀/NNG+를/JKO
알고	알/VV+고/EC
있는가?	있/VX+는가/EF+?/SF


# id : NWRW1800000041.155.13.2
또한 탈레반의 여성 교육 탄압을 알렸다는 이유 하나만으로 탈레반의 총을 맞은 파키스탄의 소녀를 알고 있는가?

또한	또한/MAG
탈레반의	탈레반/NNP+의/JKG
여성	여성/NNG
교육	교육/NNG
탄압을	탄압/NNG+을/JKO
알렸다는	알리/VV+었/EP+다는/ETM
이유	이유/NNG
하나만으로	하나/NR+만/JX+으로/JKB
총을	총/NNG+을/JKO
맞은	맞/VV+은/ETM
파키스탄의	파키스탄/NNP+의/JKG
소녀를	소녀/NNG+를/JKO
알고	알/VV+고/EC
있는가?	있/VX+는가/EF+?/SF


# id : NWRW1800000041.155.13.3
(중략) 말랄라 유사프자이는 왜 탈레반에게 총을 맞고 중태에 빠졌을까?

(중략)	(/SS+중략/NNG+)/SS
말랄라	말랄라/NNP
유사프자이는	유사프자이/NNP+는/JX
왜	왜/MAG
탈레반에게	탈레반/NNP+에게/JKB
총을	총/NNG+을/JKO
맞고	맞/VV+고/EC
중태에	중태/NNG+에/JKB
빠졌을까?	빠지/VV+었/EP+을까/EF+?/SF


# id : NWRW1800000041.155.13.4
바로 여성이 교육받을 권리를 주장했기 때문이다.

바로	바로/MAG
여성이	여성/NNG+이/JKS
교육받을	교육/NNG+받/XSV+을/ETM
권리를	권리/NNG+를/JKO
주장했기	주장/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.155.13.5
’ (박 양이 쓴 독서감상문 일부)

’	’/SS
(박	(/SS+박/NNP
양이	양/NNB+이/JKS
쓴	쓰/VV+ㄴ/ETM
독서감상문	독서/NNG+감상문/NNG
일부)	일부/NNG+)/SS


# id : NWRW1800000041.155.14.1
박 양은 삼성당에서 펴낸 ‘내 이름은 말랄라’를 읽었다.

박	박/NNP
양은	양/NNB+은/JX
삼성당에서	삼성당/NNP+에서/JKB
펴낸	펴내/VV+ㄴ/ETM
‘내	‘/SS+나/NP+의/JKG
이름은	이름/NNG+은/JX
말랄라’를	말랄라/NNP+’/SS+를/JKO
읽었다.	읽/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.155.14.2
박 양은 독서감상문을 읽는 사람에게 질문을 던지는 방식으로 색다르게 시작했다.

박	박/NNP
양은	양/NNB+은/JX
독서감상문을	독서/NNG+감상문/NNG+을/JKO
읽는	읽/VV+는/ETM
사람에게	사람/NNG+에게/JKB
질문을	질문/NNG+을/JKO
던지는	던지/VV+는/ETM
방식으로	방식/NNG+으로/JKB
색다르게	색다르/VA+게/EC
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.155.15.1
“단순히 ‘인권은 중요해요’라고 쓰면서 글을 시작하면 너무 뻔한 내용이 나올 것 같았어요. 질문을 던지면 읽는 사람이 이 질문에 대해 생각해보고, 결국 스스로 ‘인권이 중요하다’는 결론을 낼 것이라고 생각했지요.”(박 양)

“단순히	“/SS+단순히/MAG
‘인권은	‘/SS+인권/NNG+은/JX
중요해요’라고	중요/NNG+하/XSA+아요/EF+’/SS+라고/JKQ
쓰면서	쓰/VV+면서/EC
글을	글/NNG+을/JKO
시작하면	시작/NNG+하/XSV+면/EC
너무	너무/MAG
뻔한	뻔하/VA+ㄴ/ETM
내용이	내용/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
것	것/NNB
같았어요.	같/VA+았/EP+어요/EF+./SF
질문을	질문/NNG+을/JKO
던지면	던지/VV+면/EC
읽는	읽/VV+는/ETM
사람이	사람/NNG+이/JKS
이	이/MMD
질문에	질문/NNG+에/JKB
대해	대하/VV+아/EC
생각해보고,	생각/NNG+하/XSV+아/EC+보/VX+고/EC+,/SP
결국	결국/NNG
스스로	스스로/MAG
‘인권이	‘/SS+인권/NNG+이/JKS
중요하다’는	중요/NNG+하/XSA+다/EF+’/SS+는/JX
결론을	결론/NNG+을/JKO
낼	내/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
생각했지요.”(박	생각/NNG+하/XSV+았/EP+지요/EF+./SF+”/SS+(/SS+박/NNP
양)	양/NNB+)/SS


# id : NWRW1800000041.155.16.1
박 양이 책의 주인공인 말랄라 유사프자이를 깊이 이해할 수 있었던 건 자신보다 두 살 어린 동생과 책 내용을 바탕으로 상상력을 펼치며 이야기를 나눈 덕분이란다.

박	박/NNP
양이	양/NNB+이/JKS
책의	책/NNG+의/JKG
주인공인	주인공/NNG+이/VCP+ㄴ/ETM
말랄라	말랄라/NNP
유사프자이를	유사프자이/NNP+를/JKO
깊이	깊이/MAG
이해할	이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
건	거/NNB+ㄴ/JX
자신보다	자신/NNG+보다/JKB
두	두/MMN
살	살/NNB
어린	어리/VA+ㄴ/ETM
동생과	동생/NNG+과/JKB
책	책/NNG
내용을	내용/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
상상력을	상상력/NNG+을/JKO
펼치며	펼치/VV+며/EC
이야기를	이야기/NNG+를/JKO
나눈	나누/VV+ㄴ/ETM
덕분이란다.	덕분/NNG+이/VCP+란다/EF+./SF


# id : NWRW1800000041.155.17.1
“책의 내용을 두고 동생과 여러 상상을 해보았어요. 만약 말랄라가 아닌 다른 사람이 인권운동을 했다면? 오랜 대화 끝에 동생과 저는 ‘말랄라처럼 세상에 큰 영향을 미치진 못했을 것’이란 결론을 내렸어요. 말랄라가 어린 소녀이기에 전 세계가 더욱 많은 관심을 가진 것이라고 생각했지요.”(박 양)

“책의	“/SS+책/NNG+의/JKG
내용을	내용/NNG+을/JKO
두고	두/VV+고/EC
동생과	동생/NNG+과/JC
여러	여러/MMN
상상을	상상/NNG+을/JKO
해보았어요.	하/VV+아/EC+보/VX+았/EP+어요/EF+./SF
만약	만약/MAG
말랄라가	말랄라/NNP+가/JKS
아닌	아니/VCN+ㄴ/ETM
다른	다른/MMD
사람이	사람/NNG+이/JKS
인권운동을	인권/NNG+운동/NNG+을/JKO
했다면?	하/VV+았/EP+다면/EC+?/SF
오랜	오랜/MMA
대화	대화/NNG
끝에	끝/NNG+에/JKB
저는	저/NP+는/JX
‘말랄라처럼	‘/SS+말랄라/NNP+처럼/JKB
세상에	세상/NNG+에/JKB
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미치진	미치/VV+지/EC+ㄴ/JX
못했을	못하/VX+았/EP+을/ETM
것’이란	것/NNB+’/SS+이/VCP+란/ETM
결론을	결론/NNG+을/JKO
내렸어요.	내리/VV+었/EP+어요/EF+./SF
어린	어리/VA+ㄴ/ETM
소녀이기에	소녀/NNG+이/VCP+기에/EC
전	전/MMN
세계가	세계/NNG+가/JKS
더욱	더욱/MAG
많은	많/VA+은/ETM
관심을	관심/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
생각했지요.”(박	생각/NNG+하/XSV+았/EP+지요/EF+./SF+”/SS+(/SS+박/NNP
양)	양/NNB+)/SS


# id : NWRW1800000041.155.18.1
6세 때부터 책을 읽으면 꼭 독서감상문을 써왔다는 박 양.

6세	6/SN+세/NNB
때부터	때/NNG+부터/JX
책을	책/NNG+을/JKO
읽으면	읽/VV+으면/EC
꼭	꼭/MAG
독서감상문을	독서/NNG+감상문/NNG+을/JKO
써왔다는	쓰/VV+어/EC+오/VX+았/EP+다는/ETM
박	박/NNP
양.	양/NNB+./SF


# id : NWRW1800000041.155.18.2
이런 습관 덕분에 이제는 글을 쓸 때 더 정확한 뜻을 가진 낱말을 고르려 고민하는 수준에 이를 수 있었다.

이런	이런/MMD
습관	습관/NNG
덕분에	덕분/NNG+에/JKB
이제는	이제/NNG+는/JX
글을	글/NNG+을/JKO
쓸	쓰/VV+ㄹ/ETM
때	때/NNG
더	더/MAG
정확한	정확/NNG+하/XSA+ㄴ/ETM
뜻을	뜻/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
낱말을	낱말/NNG+을/JKO
고르려	고르/VV+려/EC
고민하는	고민/NNG+하/XSV+는/ETM
수준에	수준/NNG+에/JKB
이를	이르/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


