# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.344
metadata : {}


# id : NWRW1800000048.344.1.1
[편집국에서] 4대강 데자뷔 평창 / 이춘재

[편집국에서]	[/SS+편집국/NNG+에서/JKB+]/SS
후	후/NNG
첫	첫/MMN
외부	외부/NNG
공식	공식/NNG
행사가	행사/NNG+가/JKC
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000048.344.2.4
박 대통령의 임기가 폐막식 전날인 24일 끝나기 때문이다.

박	박/NNP
대통령의	대통령/NNG+의/JKG
임기가	임기/NNG+가/JKS
폐막식	폐막식/NNG
전날인	전날/NNG+이/VCP+ㄴ/ETM
24일	24/SN+일/NNB
끝나기	끝나/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.344.3.1
새 대통령이 누가 되느냐에 따라 이 일정은 달라질 수 있을 것이다.

새	새/MMA
대통령이	대통령/NNG+이/JKS
누가	누구/NP+가/JKC
되느냐에	되/VV+느냐/EF+에/JKB
따라	따르/VV+아/EC
이	이/MMD
일정은	일정/NNG+은/JX
달라질	달라지/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.344.3.2
새누리당이 정권 재창출에 성공한다면 말이다.

새누리당이	새누리당/NNP+이/JKS
정권	정권/NNG
재창출에	재/XPN+창출/NNG+에/JKB
성공한다면	성공/NNG+하/XSV+ㄴ다면/EC
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.344.3.3
분명한 건 박 대통령은 평창올림픽의 개최에만 행정부 수반으로서 책임을 질 뿐, 올림픽 ‘사후 정산’에는 아무런 책임을 지지 않는다는 사실이다.

분명한	분명/MAG+하/XSA+ㄴ/ETM
건	거/NNB+ㄴ/JX
박	박/NNP
대통령은	대통령/NNG+은/JX
평창올림픽의	평창/NNP+올림픽/NNG+의/JKG
개최에만	개최/NNG+에/JKB+만/JX
행정부	행정부/NNG
수반으로서	수반/NNG+으로서/JKB
책임을	책임/NNG+을/JKO
질	지/VV+ㄹ/ETM
뿐,	뿐/NNB+,/SP
올림픽	올림픽/NNG
‘사후	‘/SS+사후/NNG
정산’에는	정산/NNG+’/SS+에/JKB+는/JX
아무런	아무런/MMD
지지	지/VV+지/EC
않는다는	않/VX+는다는/ETM
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.344.3.4
그래서일까.

그래서일까.	그렇/VA+어서/EC+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000048.344.3.5
그는 지난달 15일 청와대 수석비서관회의에서 국제올림픽위원회(IOC)의 분산 개최 제안을 “의미 없다”고 대수롭지 않게 무시해버렸다.

그는	그/NP+는/JX
지난달	지난달/NNG
15일	15/SN+일/NNB
청와대	청와대/NNP
수석비서관회의에서	수석/NNG+비서관/NNG+회의/NNG+에서/JKB
국제올림픽위원회(IOC)의	국제올림픽위원회/NNP+(/SS+IOC/SL+)/SS+의/JKG
분산	분산/NNG
개최	개최/NNG
제안을	제안/NNG+을/JKO
“의미	“/SS+의미/NNG
없다”고	없/VA+다/EF+”/SS+고/JKQ
대수롭지	대수/NNG+롭/XSA+지/EC
않게	않/VX+게/EC
무시해버렸다.	무시/NNG+하/XSV+아/EC+버리/VX+었/EP+다/EF+./SF


# id : NWRW1800000048.344.3.6
“경기장 공사가 이미 진행 중”이라는 이유를 들어 논의할 가치조차 없다고 쐐기를 박았다.

“경기장	“/SS+경기장/NNG
공사가	공사/NNG+가/JKS
이미	이미/MAG
진행	진행/NNG
중”이라는	중/NNB+”/SS+이/VCP+라는/ETM
이유를	이유/NNG+를/JKO
들어	들/VV+어/EC
논의할	논의/NNG+하/XSV+ㄹ/ETM
가치조차	가치/NNG+조차/JX
없다고	없/VA+다고/EC
쐐기를	쐐기/NNG+를/JKO
박았다.	박/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.344.4.1
평창올림픽이 지금처럼 단독 개최를 겨냥해 준비된다면 천문학적 규모의 적자는 불가피하다.

평창올림픽이	평창/NNP+올림픽/NNG+이/JKS
지금처럼	지금/NNG+처럼/JKB
단독	단독/NNG
개최를	개최/NNG+를/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
준비된다면	준비/NNG+되/XSV+ㄴ다면/EC
천문학적	천문학/NNG+적/XSN
규모의	규모/NNG+의/JKG
적자는	적자/NNG+는/JX
불가피하다.	불가피하/VA+다/EF+./SF


# id : NWRW1800000048.344.4.2
2011년 유치 당시 9조원 규모로 예상된 평창올림픽 예산은 현재 13조원으로 불어났다.

2011년	2011/SN+년/NNB
유치	유치/NNG
당시	당시/NNG
9조원	9/SN+조/NR+원/NNB
규모로	규모/NNG+로/JKB
예상된	예상/NNG+되/XSV+ㄴ/ETM
평창올림픽	평창/NNP+올림픽/NNG
예산은	예산/NNG+은/JX
현재	현재/MAG
13조원으로	13/SN+조/NR+원/NNB+으로/JKB
불어났다.	불어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.344.4.3
설계변경에 따른 추가 공사비 등을 고려하면 15조원까지 불어날 수 있다는 분석도 나온다.

설계변경에	설계/NNG+변경/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
추가	추가/NNG
공사비	공사비/NNG
등을	등/NNB+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
15조원까지	15/SN+조/NR+원/NNB+까지/JX
불어날	불어나/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
분석도	분석/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.344.4.4
분산 개최를 반대하는 평창올림픽조직위원회와 강원도도 ‘적자 규모를 줄이기 위해 최선을 다하겠다’고 할 뿐 적자 자체를 부인하지 않는다.

분산	분산/NNG
개최를	개최/NNG+를/JKO
반대하는	반대/NNG+하/XSV+는/ETM
평창올림픽조직위원회와	평창올림픽조직위원회/NNP+와/JC
강원도도	강원도/NNP+도/JX
‘적자	‘/SS+적자/NNG
규모를	규모/NNG+를/JKO
줄이기	줄이/VV+기/ETN
위해	위하/VV+아/EC
최선을	최선/NNG+을/JKO
다하겠다’고	다/MAG+하/XSV+겠/EP+다/EF+’/SS+고/JKQ
할	하/VV+ㄹ/ETM
뿐	뿐/NNB
적자	적자/NNG
자체를	자체/NNG+를/JKO
부인하지	부인/NNG+하/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000048.344.4.5
이런 맥락에서 박 대통령의 분산 개최 논의 일축은 무책임하다.

이런	이런/MMD
맥락에서	맥락/NNG+에서/JKB
박	박/NNP
대통령의	대통령/NNG+의/JKG
분산	분산/NNG
개최	개최/NNG
논의	논의/NNG
일축은	일축/NNG+은/JX
무책임하다.	무/XPN+책임/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000048.344.5.1
국제올림픽위원회가 분산 개최 종목으로 썰매 종목(봅슬레이, 루지, 스켈레톤)을 콕 집어 제안한 것에 주목해야 한다.

국제올림픽위원회가	국제올림픽위원회/NNP+가/JKS
분산	분산/NNG
개최	개최/NNG
종목으로	종목/NNG+으로/JKB
썰매	썰매/NNG
종목(봅슬레이,	종목/NNG+(/SS+봅슬레이/NNG+,/SP
루지,	루지/NNG+,/SP
스켈레톤)을	스켈레톤/NNG+)/SS+을/JKO
콕	콕/MAG
집어	집/VV+어/EC
제안한	제안/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
주목해야	주목/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.344.5.2
썰매 종목은 경기장 건설비(약 1300억원)가 가장 많이 들면서도 사후활용이 가장 어렵다.

썰매	썰매/NNG
종목은	종목/NNG+은/JX
경기장	경기장/NNG
건설비(약	건설비/NNG+(/SS+약/MMA
1300억원)가	1300/SN+억/NR+원/NNB+)/SS+가/JKS
가장	가장/MAG
많이	많이/MAG
들면서도	들/VV+면서/EC+도/JX
사후활용이	사후/NNG+활용/NNG+이/JKS
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000048.344.5.3
사후활용은 평창조직위도 언급한 대로 각종 국제대회를 유치하는 것이다.

사후활용은	사후/NNG+활용/NNG+은/JX
평창조직위도	평창/NNP+조직위/NNG+도/JX
언급한	언급/NNG+하/XSV+ㄴ/ETM
대로	대로/NNB
각종	각종/NNG
국제대회를	국제/NNG+대회/NNG+를/JKO
유치하는	유치/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.344.5.4
문제는 그게 말처럼 쉽지 않다는 데 있다.

문제는	문제/NNG+는/JX
그게	그거/NP+이/JKS
말처럼	말/NNG+처럼/JKB
쉽지	쉽/VA+지/EC
않다는	않/VX+다는/ETM
데	데/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.344.5.5
봅슬레이 썰매를 항공기로 운반하는 데만 대당 5000만원이 든다.

봅슬레이	봅슬레이/NNG
썰매를	썰매/NNG+를/JKO
항공기로	항공기/NNG+로/JKB
운반하는	운반/NNG+하/XSV+는/ETM
데만	데/NNB+만/JX
대당	대/NNB+당/XSN
5000만원이	5000/SN+만/NR+원/NNB+이/JKS
든다.	들/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.344.5.6
올림픽이 아니라면 썰매 강국인 북유럽 선수들이 육로 운반이 가능한 유럽 대회를 놔두고 굳이 비싼 돈 들여 평창까지 올 이유가 없다.

올림픽이	올림픽/NNG+이/JKC
아니라면	아니/VCN+라면/EC
썰매	썰매/NNG
강국인	강국/NNG+이/VCP+ㄴ/ETM
북유럽	북유럽/NNP
선수들이	선수/NNG+들/XSN+이/JKS
육로	육로/NNG
운반이	운반/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
유럽	유럽/NNP
대회를	대회/NNG+를/JKO
놔두고	놔두/VV+고/EC
굳이	굳이/MAG
비싼	비싸/VA+ㄴ/ETM
돈	돈/NNG
들여	들이/VV+어/EC
평창까지	평창/NNP+까지/JX
올	오/VV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000048.344.5.7
이미 겨울올림픽(1998년)을 치른 일본 나가노를 보면 잘 알 수 있다.

이미	이미/MAG
겨울올림픽(1998년)을	겨울/NNG+올림픽/NNG+(/SS+1998/SN+년/NNB+)/SS+을/JKO
치른	치르/VV+ㄴ/ETM
일본	일본/NNP
나가노를	나가노/NNP+를/JKO
보면	보/VV+면/EC
잘	잘/MAG
알	알/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.344.5.8
나가노의 썰매경기장은 애물단지가 된 지 오래다.

나가노의	나가노/NNP+의/JKG
썰매경기장은	썰매/NNG+경기장/NNG+은/JX
애물단지가	애물단지/NNG+가/JKC
된	되/VV+ㄴ/ETM
지	지/NNB
오래다.	오래/VA+다/EF+./SF


# id : NWRW1800000048.344.5.9
대회를 유치하지 못하면서도 경기장 유지비용만 연간 50억원을 써야 한다.

대회를	대회/NNG+를/JKO
유치하지	유치/NNG+하/XSV+지/EC
못하면서도	못하/VX+면서/EC+도/JX
경기장	경기장/NNG
유지비용만	유지/NNG+비용/NNG+만/JX
연간	연간/NNG
50억원을	50/SN+억/NR+원/NNB+을/JKO
써야	쓰/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.344.5.10
2006년 겨울올림픽을 개최한 이탈리아 토리노는 유지비용을 감당할 수 없어 썰매경기장을 아예 철거해버렸다.

2006년	2006/SN+년/NNB
겨울올림픽을	겨울/NNG+올림픽/NNG+을/JKO
개최한	개최/NNG+하/XSV+ㄴ/ETM
이탈리아	이탈리아/NNP
토리노는	토리노/NNP+는/JX
유지비용을	유지/NNG+비용/NNG+을/JKO
감당할	감당/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없어	없/VA+어/EC
썰매경기장을	썰매/NNG+경기장/NNG+을/JKO
아예	아예/MAG
철거해버렸다.	철거/NNG+하/XSV+아/EC+버리/VX+었/EP+다/EF+./SF


# id : NWRW1800000048.344.6.1
국민 정서상 일본과 분산 개최가 어렵다면 전북 무주나 서울의 시설을 활용할 수도 있다.

국민	국민/NNG
정서상	정서/NNG+상/XSN
일본과	일본/NNP+과/JKB
분산	분산/NNG
개최가	개최/NNG+가/JKS
어렵다면	어렵/VA+다면/EC
전북	전북/NNP
무주나	무주/NNP+나/JC
서울의	서울/NNP+의/JKG
시설을	시설/NNG+을/JKO
활용할	활용/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.344.6.2
서울 태릉과 목동의 아이스링크를 조금만 손보면 현재 강릉에 1700억원을 들여 짓고 있는 남녀 아이스하키장을 대체할 수 있다.

서울	서울/NNP
태릉과	태릉/NNP+과/JC
목동의	목동/NNP+의/JKG
아이스링크를	아이스링크/NNG+를/JKO
조금만	조금/NNG+만/JX
손보면	손보/VV+면/EC
현재	현재/MAG
강릉에	강릉/NNP+에/JKB
1700억원을	1700/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
짓고	짓/VV+고/EC
있는	있/VX+는/ETM
남녀	남녀/NNG
아이스하키장을	아이스하키장/NNG+을/JKO
대체할	대체/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.344.6.3
<한겨레> 취재 결과 리모델링 비용은 새 경기장 공사비의 10분의 1에 불과하다.

<한겨레>	</SS+한겨레/NNP+>/SS
취재	취재/NNG
결과	결과/NNG
리모델링	리모델링/NNG
비용은	비용/NNG+은/JX
새	새/MMA
경기장	경기장/NNG
공사비의	공사비/NNG+의/JKG
10분의	10/SN+분/XSN+의/JKG
1에	1/SN+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000048.344.6.4
1997년 유니버시아드 대회를 치른 무주의 활강 스키장은 환경파괴 논란까지 빚고 있는 가리왕산 중봉 스키장을 충분히 대체할 수 있다.

1997년	1997/SN+년/NNB
유니버시아드	유니버시아드/NNG
대회를	대회/NNG+를/JKO
치른	치르/VV+ㄴ/ETM
무주의	무주/NNP+의/JKG
활강	활강/NNG
스키장은	스키장/NNG+은/JX
환경파괴	환경/NNG+파괴/NNG
논란까지	논란/NNG+까지/JX
빚고	빚/VV+고/EC
있는	있/VX+는/ETM
가리왕산	가리왕산/NNP
중봉	중봉/NNP
스키장을	스키장/NNG+을/JKO
충분히	충분히/MAG
대체할	대체/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.344.6.5
터파기 수준에 불과한 경기장 공사를 중단할 수 없다는 주장은 매몰비용(sunk cost)의 개념을 이해하지 못하거나 무시하는 것이다.

터파기	터/NNG+파/VV+기/ETN
수준에	수준/NNG+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
경기장	경기장/NNG
공사를	공사/NNG+를/JKO
중단할	중단/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
주장은	주장/NNG+은/JX
매몰비용(sunk	매몰/NNG+비용/NNG+(/SS+sunk/SL
cost)의	cost/SL+)/SS+의/JKG
개념을	개념/NNG+을/JKO
이해하지	이해/NNG+하/XSV+지/EC
못하거나	못하/VX+거나/EC
무시하는	무시/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.344.6.6
투입된 비용을 회수할 수 없으면 추가 비용이 들지 않도록 하는 게 합리적이다.

투입된	투입/NNG+되/XSV+ㄴ/ETM
비용을	비용/NNG+을/JKO
회수할	회수/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없으면	없/VA+으면/EC
추가	추가/NNG
비용이	비용/NNG+이/JKS
들지	들/VV+지/EC
않도록	않/VX+도록/EC
하는	하/VX+는/ETM
게	거/NNB+이/JKS
합리적이다.	합리/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000048.344.6.7
“활용방안을 찾지 못하면 나중에 경기장을 해체하겠다”(최문순 강원지사)는 말은 무책임의 극치다.

“활용방안을	“/SS+활용/NNG+방안/NNG+을/JKO
찾지	찾/VV+지/EC
못하면	못하/VX+면/EC
나중에	나중/NNG+에/JKB
경기장을	경기장/NNG+을/JKO
해체하겠다”(최문순	해체/NNG+하/XSV+겠/EP+다/EF+”/SS+(/SS+최문순/NNP
강원지사)는	강원/NNP+지사/NNG+)/SS+는/JX
말은	말/NNG+은/JX
무책임의	무/XPN+책임/NNG+의/JKG
극치다.	극치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.344.7.1
평창은 4대강을 닮아가고 있다.

평창은	평창/NNP+은/JX
4대강을	4/SN+대/NNG+강/NNG+을/JKO
닮아가고	닮/VV+아/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.344.7.2
이명박 정부의 독선과 안하무인으로 22조원을 낭비한 4대강 사업은 빚더미와 함께 환경파괴라는 무거운 짐을 후대에 떠안기게 됐다.

이명박	이명박/NNP
정부의	정부/NNG+의/JKG
독선과	독선/NNG+과/JC
안하무인으로	안하무인/NNG+으로/JKB
22조원을	22/SN+조/NR+원/NNB+을/JKO
낭비한	낭비/NNG+하/XSV+ㄴ/ETM
4대강	4/SN+대/NNG+강/NNG
사업은	사업/NNG+은/JX
빚더미와	빚더미/NNG+와/JKB
함께	함께/MAG
환경파괴라는	환경/NNG+파괴/NNG+이/VCP+라는/ETM
무거운	무겁/VA+ㄴ/ETM
짐을	짐/NNG+을/JKO
후대에	후대/NNG+에/JKB
떠안기게	떠안기/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.344.7.3
사회 각계각층의 반대 의견을 묵살한 결과다.

사회	사회/NNG
각계각층의	각계각층/NNG+의/JKG
반대	반대/NNG
의견을	의견/NNG+을/JKO
묵살한	묵살/NNG+하/XSV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.344.7.4
평창은 4대강의 전철을 밟아서는 안 된다.

평창은	평창/NNP+은/JX
4대강의	4/SN+대/NNG+강/NNG+의/JKG
전철을	전철/NNG+을/JKO
밟아서는	밟/VV+아서/EC+는/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.344.7.5
대통령 뒤치다꺼리하기에 우린 너무 지쳤다.

대통령	대통령/NNG
뒤치다꺼리하기에	뒤치다꺼리/NNG+하/XSV+기/ETN+에/JKB
우린	우리/NP+ㄴ/JX
너무	너무/MAG
지쳤다.	지치/VV+었/EP+다/EF+./SF


