# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.350
metadata : {}


# id : NWRW1800000049.350.1.1
최경환-안종범 출석 공방에… 野 ‘예결위 중단’ 실력행사

최경환-안종범	최경환/NNP+-/SO+안종범/NNP
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.350.6.2
하지만 두 야당은 “청문회를 정상적으로 하지 않으면 추경안 처리를 해줄 수 없다”고 반발하면서 청문회는 물론 추경 처리도 늦춰질 가능성이 높아졌다.

하지만	하지만/MAJ
두	두/MMN
야당은	야당/NNG+은/JX
“청문회를	“/SS+청문회/NNG+를/JKO
정상적으로	정상/NNG+적/XSN+으로/JKB
하지	하/VV+지/EC
않으면	않/VX+으면/EC
추경안	추경안/NNG
처리를	처리/NNG+를/JKO
해줄	하/VV+아/EC+주/VX+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
반발하면서	반발/NNG+하/XSV+면서/EC
청문회는	청문회/NNG+는/JX
물론	물론/MAG
추경	추경/NNG
처리도	처리/NNG+도/JX
늦춰질	늦춰지/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.350.7.1
새누리당은 “예결위까지 중단하는 것은 국민에 대한 도리가 아니다”고 맞서고 있지만 추경과 연계한 야당의 공세에 뚜렷한 대응책이 없어 고심하고 있다.

새누리당은	새누리당/NNP+은/JX
“예결위까지	“/SS+예결위/NNG+까지/JX
중단하는	중단/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
국민에	국민/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
도리가	도리/NNG+가/JKC
아니다”고	아니/VCN+다/EF+”/SS+고/JKQ
맞서고	맞서/VV+고/EC
있지만	있/VX+지만/EC
추경과	추경/NNG+과/JKB
연계한	연계/NNG+하/XSV+ㄴ/ETM
야당의	야당/NNG+의/JKG
공세에	공세/NNG+에/JKB
뚜렷한	뚜렷하/VA+ㄴ/ETM
대응책이	대응책/NNG+이/JKS
없어	없/VA+어/EC
고심하고	고심/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.350.7.2
정진석 원내대표 등 원내지도부는 이날 오후 대책회의에서 ‘선 추경 후 청문회’ 방침에서 물러설 수 없다는 뜻을 재차 확인했다.

정진석	정진석/NNP
원내대표	원내/NNG+대표/NNG
등	등/NNB
원내지도부는	원내/NNG+지도부/NNG+는/JX
이날	이날/NNG
오후	오후/NNG
대책회의에서	대책/NNG+회의/NNG+에서/JKB
‘선	‘/SS+선/NNG
추경	추경/NNG
후	후/NNG
청문회’	청문회/NNG+’/SS
방침에서	방침/NNG+에서/JKB
물러설	물러서/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
뜻을	뜻/NNG+을/JKO
재차	재차/MAG
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.350.8.1
○ 여야 모두 증인 채택 “양보 없다” 강수

○	○/SW
여야	여야/NNG
모두	모두/MAG
증인	증인/NNG
채택	채택/NNG
“양보	“/SS+양보/NNG
없다”	없/VA+다/EF+”/SS
강수	강수/NNG


# id : NWRW1800000049.350.9.1
새누리당은 최 의원과 안 수석의 증인 채택 요구에 ‘수용 불가’ 방침을 고수하고 있다.

새누리당은	새누리당/NNP+은/JX
최	최/NNP
의원과	의원/NNG+과/JC
안	안/NNP
수석의	수석/NNG+의/JKG
증인	증인/NNG
채택	채택/NNG
요구에	요구/NNG+에/JKB
‘수용	‘/SS+수용/NNG
불가’	불가/NNG+’/SS
방침을	방침/NNG+을/JKO
고수하고	고수/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.350.9.2
원내 핵심 관계자는 “정권의 핵심 실세(최 의원)를 청문회에 세워놓고 ‘국민 혈세로 밑 빠진 독에 물 붓기 했다’는 책임을 지우며 정치 쟁점화하려는 의도가 불 보듯 빤히 보이는 상황에서 야당의 증인 채택 요구를 어떻게 받아들일 수 있겠느냐”고 반문했다.

원내	원내/NNG
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
“정권의	“/SS+정권/NNG+의/JKG
실세(최	실세/NNG+(/SS+최/NNP
의원)를	의원/NNG+)/SS+를/JKO
청문회에	청문회/NNG+에/JKB
세워놓고	세우/VV+어/EC+놓/VX+고/EC
‘국민	‘/SS+국민/NNG
혈세로	혈세/NNG+로/JKB
밑	밑/NNG
빠진	빠지/VV+ㄴ/ETM
독에	독/NNG+에/JKB
물	물/NNG
붓기	붓/VV+기/ETN
했다’는	하/VX+았/EP+다/EF+’/SS+는/ETM
책임을	책임/NNG+을/JKO
지우며	지우/VV+며/EC
정치	정치/NNG
쟁점화하려는	쟁점/NNG+화/XSN+하/XSV+려는/ETM
의도가	의도/NNG+가/JKS
불	불/NNG
보듯	보/VV+듯/EC
빤히	빤히/MAG
보이는	보이/VV+는/ETM
상황에서	상황/NNG+에서/JKB
야당의	야당/NNG+의/JKG
증인	증인/NNG
채택	채택/NNG
요구를	요구/NNG+를/JKO
어떻게	어떻/VA+게/EC
받아들일	받아들이/VV+ㄹ/ETM
수	수/NNB
있겠느냐”고	있/VA+겠/EP+느냐/EF+”/SS+고/JKQ
반문했다.	반문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.350.9.3
다만 김도읍 원내수석부대표는 “조선·해운업 지원의 최종 결정권은 산업은행에 있다”며 “당시 책임자였던 홍 전 회장은 증인에 포함될 수 있다”고 말했다.

다만	다만/MAG
김도읍	김도읍/NNP
원내수석부대표는	원내/NNG+수석/NNG+부대표/NNG+는/JX
“조선·해운업	“/SS+조선/NNG+·/SP+해운업/NNG
지원의	지원/NNG+의/JKG
최종	최종/NNG
결정권은	결정/NNG+권/XSN+은/JX
산업은행에	산업은행/NNP+에/JKB
있다”며	있/VA+다/EF+”/SS+며/EC
“당시	“/SS+당시/NNG
책임자였던	책임자/NNG+이/VCP+었/EP+던/ETM
홍	홍/NNP
전	전/MMD
회장은	회장/NNG+은/JX
증인에	증인/NNG+에/JKB
포함될	포함/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.350.10.1
그러나 더민주당은 당시 서별관회의의 핵심 멤버인 최 의원과 안 수석이 빠진 청문회는 의미가 없다는 태도다.

그러나	그러나/MAJ
더민주당은	더민주당/NNP+은/JX
당시	당시/NNG
서별관회의의	서/NNG+별관/NNG+회의/NNG+의/JKG
핵심	핵심/NNG
멤버인	멤버/NNG+이/VCP+ㄴ/ETM
최	최/NNP
의원과	의원/NNG+과/JC
안	안/NNP
수석이	수석/NNG+이/JKS
빠진	빠지/VV+ㄴ/ETM
청문회는	청문회/NNG+는/JX
의미가	의미/NNG+가/JKS
없다는	없/VA+다는/ETM
태도다.	태도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.350.10.2
이날 비대위에서도 “물러설 수 없다”고 결론을 내렸다.

이날	이날/NNG
비대위에서도	비대위/NNG+에서/JKB+도/JX
“물러설	“/SS+물러서/VV+ㄹ/ETM
수	수/NNB
없다”고	없/VA+다/EF+”/SS+고/JKQ
결론을	결론/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.350.10.3
한 참석자는 “증인 채택이 난항을 겪고 있는데 아무 일도 없다는 듯이 예결위를 진행할 수 없다는 데 공감대가 모아졌다”며 “이번에 밀리면 국정감사 증인 채택까지 영향을 미칠 수 있다”고 전했다.

한	한/MMN
참석자는	참석자/NNG+는/JX
“증인	“/SS+증인/NNG
채택이	채택/NNG+이/JKS
난항을	난항/NNG+을/JKO
겪고	겪/VV+고/EC
있는데	있/VX+는데/EC
아무	아무/MMD
일도	일/NNG+도/JX
없다는	없/VA+다는/ETM
듯이	듯이/NNB
예결위를	예결위/NNG+를/JKO
진행할	진행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
데	데/NNB
공감대가	공감대/NNG+가/JKS
모아졌다”며	모으/VV+아/EC+지/VX+었/EP+다/EF+”/SS+며/EC
“이번에	“/SS+이번/NNG+에/JKB
밀리면	밀리/VV+면/EC
국정감사	국정/NNG+감사/NNG
증인	증인/NNG
채택까지	채택/NNG+까지/JX
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
있다”고	있/VA+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.350.10.4
경제 정책의 컨트롤타워였던 최 의원과 안 수석을 청문회에 출석시켜 청와대를 압박하겠다는 계산도 깔려 있다.

경제	경제/NNG
정책의	정책/NNG+의/JKG
컨트롤타워였던	컨트롤/NNG+타워/NNG+이/VCP+었/EP+던/ETM
최	최/NNP
의원과	의원/NNG+과/JC
안	안/NNP
수석을	수석/NNG+을/JKO
청문회에	청문회/NNG+에/JKB
출석시켜	출석/NNG+시키/XSV+어/EC
청와대를	청와대/NNP+를/JKO
압박하겠다는	압박/NNG+하/XSV+겠/EP+다는/ETM
계산도	계산/NNG+도/JX
깔려	깔리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.350.11.1
다만 두 야당은 추경안 처리가 늦춰질 수는 있어도 무산되는 일은 없다는 분위기다.

다만	다만/MAG
두	두/MMN
야당은	야당/NNG+은/JX
추경안	추경안/NNG
처리가	처리/NNG+가/JKS
늦춰질	늦춰지/VV+ㄹ/ETM
수는	수/NNB+는/JX
있어도	있/VA+어도/EC
무산되는	무산/NNG+되/XSV+는/ETM
일은	일/NNG+은/JX
없다는	없/VA+다는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.350.11.2
더민주당 원내 핵심 관계자는 “(증인 채택 이견으로) 추경이 늦춰지는 것이지 무산되는 것은 아니다”며 “여당이 어떻게 나오느냐에 추경 처리 시점이 달려 있다”고 말했다.

더민주당	더민주당/NNP
원내	원내/NNG
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
“(증인	“/SS+(/SS+증인/NNG
채택	채택/NNG
이견으로)	이견/NNG+으로/JKB+)/SS
추경이	추경/NNG+이/JKS
늦춰지는	늦춰지/VV+는/ETM
것이지	것/NNB+이/VCP+지/EC
무산되는	무산/NNG+되/XSV+는/ETM
것은	것/NNB+은/JX
아니다”며	아니/VCN+다/EF+”/SS+며/EC
“여당이	“/SS+여당/NNG+이/JKS
어떻게	어떻/VA+게/EC
나오느냐에	나오/VV+느냐/EF+에/JKB
추경	추경/NNG
처리	처리/NNG
시점이	시점/NNG+이/JKS
달려	달리/VV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.350.11.3
국민의당 박지원 비상대책위원장 겸 원내대표도 이날 유일호 경제부총리를 만나 “어떠한 경우에도 추경은 돼야 한다.

국민의당	국민의당/NNP
박지원	박지원/NNP
비상대책위원장	비상/NNG+대책/NNG+위원장/NNG
겸	겸/NNB
원내대표도	원내/NNG+대표/NNG+도/JX
이날	이날/NNG
유일호	유일호/NNP
경제부총리를	경제/NNG+부총리/NNG+를/JKO
만나	만나/VV+아/EC
“어떠한	“/SS+어떠하/VA+ㄴ/ETM
경우에도	경우/NNG+에/JKB+도/JX
추경은	추경/NNG+은/JX
돼야	되/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.350.11.4
추경도 하면서 동시에 증인 합의에 최선을 다하고 있다”고 말했다.

추경도	추경/NNG+도/JX
하면서	하/VV+면서/EC
동시에	동시/NNG+에/JKB
증인	증인/NNG
합의에	합의/NNG+에/JKB
최선을	최선/NNG+을/JKO
다하고	다/MAG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


