# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.301
metadata : {}


# id : NWRW1800000040.301.1.1
프로축구도 김상식 은퇴 선언…김남일·설기현 재계약 무산

프로축구도	프로/NNG+축구/NNG+도/JX
은퇴 후 계획은 아직 정해지지 않았다”고 밝혔다.

은퇴	은퇴/NNG
후	후/NNG
계획은	계획/NNG+은/JX
아직	아직/MAG
정해지지	정하/VV+아/EC+지/VX+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.301.4.4
이번 시즌부터 플레잉코치를 맡은 김상식은 1999년 프로에 데뷔해 457경기에서 18골, 17도움을 기록했다.

이번	이번/NNG
시즌부터	시즌/NNG+부터/JX
플레잉코치를	플레잉코치/NNG+를/JKO
맡은	맡/VV+은/ETM
김상식은	김상식/NNP+은/JX
1999년	1999/SN+년/NNB
프로에	프로/NNG+에/JKB
데뷔해	데뷔/NNG+하/XSV+아/EC
457경기에서	457/SN+경기/NNG+에서/JKB
18골,	18/SN+골/NNG+,/SP
17도움을	17/SN+도움/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.301.4.5
은퇴 시즌이 된 올해에도 19경기에 출전하며 녹슬지 않은 기량을 보였다.

은퇴	은퇴/NNG
시즌이	시즌/NNG+이/JKC
된	되/VV+ㄴ/ETM
올해에도	올해/NNG+에/JKB+도/JX
19경기에	19/SN+경기/NNG+에/JKB
출전하며	출전/NNG+하/XSV+며/EC
녹슬지	녹슬/VV+지/EC
않은	않/VX+은/ETM
기량을	기량/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.301.4.6
2001년과 2002년, 2006년(이상 성남), 2009년과 2011년(이상 전북) 등 5차례나 K리그 정상에 올랐다.

2001년과	2001/SN+년/NNB+과/JC
2002년,	2002/SN+년/NNB+,/SP
2006년(이상	2006/SN+년/NNB+(/SS+이상/NNG
성남),	성남/NNP+)/SS+,/SP
2009년과	2009/SN+년/NNB+과/JC
2011년(이상	2011/SN+년/NNB+(/SS+이상/NNG
전북)	전북/NNP+)/SS
등	등/NNB
5차례나	5/SN+차례/NNG+나/JX
K리그	K/SL+리그/NNG
정상에	정상/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.301.5.1
2000년 5월 유고와의 친선경기에서 처음으로 태극마크를 달고 국가대표팀 경기에 출전한 이후 통산 60경기에 나와 2골을 넣었다.

2000년	2000/SN+년/NNB
5월	5/SN+월/NNB
유고와의	유고/NNP+와/JKB+의/JKG
친선경기에서	친선/NNG+경기/NNG+에서/JKB
처음으로	처음/NNG+으로/JKB
태극마크를	태극/NNG+마크/NNG+를/JKO
달고	달/VV+고/EC
국가대표팀	국가/NNG+대표/NNG+팀/NNG
경기에	경기/NNG+에/JKB
출전한	출전/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
통산	통산/NNG
60경기에	60/SN+경기/NNG+에/JKB
나와	나오/VV+아/EC
2골을	2/SN+골/NNG+을/JKO
넣었다.	넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.301.5.2
2000년 시드니올림픽과 2006년 독일월드컵에서 대표팀의 ‘감초’ 구실을 톡톡히 해냈다.

2000년	2000/SN+년/NNB
시드니올림픽과	시드니/NNP+올림픽/NNG+과/JC
2006년	2006/SN+년/NNB
독일월드컵에서	독일/NNP+월드컵/NNG+에서/JKB
대표팀의	대표/NNG+팀/NNG+의/JKG
‘감초’	‘/SS+감초/NNG+’/SS
구실을	구실/NNG+을/JKO
톡톡히	톡톡히/MAG
해냈다.	해내/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.301.5.3
김상식은 은퇴 후 지도자 연수를 받거나 곧바로 현역 지도자로 변신할 계획이다.

김상식은	김상식/NNP+은/JX
은퇴	은퇴/NNG
후	후/NNG
지도자	지도자/NNG
연수를	연수/NNG+를/JKO
받거나	받/VV+거나/EC
곧바로	곧바로/MAG
현역	현역/NNG
지도자로	지도자/NNG+로/JKB
변신할	변신/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.301.6.1
2002 한·일월드컵의 주역 김남일(36)과 설기현(34)도 현역 생활에 최대 위기를 맞았다.

2002	2002/SN
한·일월드컵의	한·일/NNP+월드컵/NNG+의/JKG
주역	주역/NNG
김남일(36)과	김남일/NNP+(/SS+36/SN+)/SS+과/JC
설기현(34)도	설기현/NNP+(/SS+34/SN+)/SS+도/JX
현역	현역/NNG
생활에	생활/NNG+에/JKB
최대	최대/NNG
위기를	위기/NNG+를/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.301.6.2
인천 유나이티드는 올 시즌 2년 계약이 끝나는 둘에게 10월 말 ‘고액 연봉과 팀 재건’을 이유로 재계약 불가 방침을 통보한 것으로 알려졌다.

인천	인천/NNP
유나이티드는	유나이티드/NNP+는/JX
올	올/NNG
시즌	시즌/NNG
2년	2/SN+년/NNB
계약이	계약/NNG+이/JKS
끝나는	끝나/VV+는/ETM
둘에게	둘/NR+에게/JKB
10월	10/SN+월/NNB
말	말/NNB
‘고액	‘/SS+고액/NNG
연봉과	연봉/NNG+과/JC
팀	팀/NNG
재건’을	재건/NNG+’/SS+을/JKO
이유로	이유/NNG+로/JKB
재계약	재/XPN+계약/NNG
불가	불가/NNG
방침을	방침/NNG+을/JKO
통보한	통보/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.301.6.3
김남일과 설기현은 허정무 전 감독과 송영길 인천시장의 설득으로 지난해 인천에 입단했다.

김남일과	김남일/NNP+과/JC
설기현은	설기현/NNP+은/JX
허정무	허정무/NNP
전	전/MMD
감독과	감독/NNG+과/JC
송영길	송영길/NNP
인천시장의	인천시장/NNG+의/JKG
설득으로	설득/NNG+으로/JKB
지난해	지난해/NNG
인천에	인천/NNP+에/JKB
입단했다.	입단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.301.6.4
시즌 초반 허 감독이 자진 사퇴해 부침을 겪었지만 둘은 팀의 구심점 역할을 톡톡히 하며 팀 재건에 앞장섰다.

시즌	시즌/NNG
초반	초반/NNG
허	허/NNP
감독이	감독/NNG+이/JKS
자진	자진/NNG
사퇴해	사퇴/NNG+하/XSV+아/EC
부침을	부침/NNG+을/JKO
겪었지만	겪/VV+었/EP+지만/EC
둘은	둘/NR+은/JX
팀의	팀/NNG+의/JKG
구심점	구심점/NNG
역할을	역할/NNG+을/JKO
톡톡히	톡톡히/MAG
하며	하/VV+며/EC
팀	팀/NNG
재건에	재건/NNG+에/JKB
앞장섰다.	앞장서/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.301.6.5
인천이 19경기 연속 무패(12승7무) 가도를 달리는 데 힘을 보탰고, 올 시즌에도 상위그룹에 진출하는데 큰 몫을 담당했다.

인천이	인천/NNP+이/JKS
19경기	19/SN+경기/NNG
연속	연속/NNG
무패(12승7무)	무패/NNG+(/SS+12/SN+승/NNB+7/SN+무/NNB+)/SS
가도를	가도/NNG+를/JKO
달리는	달리/VV+는/ETM
데	데/NNB
힘을	힘/NNG+을/JKO
보탰고,	보태/VV+었/EP+고/EC+,/SP
올	올/NNG
시즌에도	시즌/NNG+에/JKB+도/JX
상위그룹에	상위/NNG+그룹/NNG+에/JKB
진출하는데	진출/NNG+하/XSV+는데/EC
큰	크/VA+ㄴ/ETM
몫을	몫/NNG+을/JKO
담당했다.	담당/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.301.7.1
‘진공청소기’ 김남일은 2시즌 동안 정규리그 58경기에 출전해 4도움, 설기현은 65경기에 출전해 11골 5도움을 기록했다.

‘진공청소기’	‘/SS+진공청소기/NNG+’/SS
김남일은	김남일/NNP+은/JX
2시즌	2/SN+시즌/NNG
동안	동안/NNG
정규리그	정규/NNG+리그/NNG
58경기에	58/SN+경기/NNG+에/JKB
출전해	출전/NNG+하/XSV+아/EC
4도움,	4/SN+도움/NNG+,/SP
설기현은	설기현/NNP+은/JX
65경기에	65/SN+경기/NNG+에/JKB
11골	11/SN+골/NNG
5도움을	5/SN+도움/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.301.7.2
경기장 밖에서도 어린 선수들을 ‘친동생’처럼 살갑게 대하며 팀 분위기를 이끌었다.

경기장	경기장/NNG
밖에서도	밖/NNG+에서/JKB+도/JX
어린	어리/VA+ㄴ/ETM
선수들을	선수/NNG+들/XSN+을/JKO
‘친동생’처럼	‘/SS+친/XPN+동생/NNG+’/SS+처럼/JKB
살갑게	살갑/VA+게/EC
대하며	대하/VV+며/EC
팀	팀/NNG
분위기를	분위기/NNG+를/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


