# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.241
metadata : {}


# id : NWRW1800000025.241.1.1
“한국금리 4%가 적당”

“한국금리	“/SS+한국/NNP+금리/NNG
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.241.4.2
그 예로 한국은행은 최종 대부자로서 금융안정의 역할을 맡을 수도 있다고 언급했다.

그	그/MMD
예로	예/NNG+로/JKB
한국은행은	한국은행/NNP+은/JX
최종	최종/NNG
대부자로서	대부자/NNG+로서/JKB
금융안정의	금융/NNG+안정/NNG+의/JKG
역할을	역할/NNG+을/JKO
맡을	맡/VV+을/ETM
수도	수/NNB+도/JX
있다고	있/VA+다고/EC
언급했다.	언급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.241.4.3
또 재정부가 통화정책에 대한 시각을 공개적으로 표명하는 관행과 함께 올해 초부터 한국은행이 금융통화위원회 열석발언권(회의에 참석해 발언할 수 있는 권리)을 행사해 온 것도 재검토할 것을 제안했다.

또	또/MAG
재정부가	재정부/NNG+가/JKS
통화정책에	통화/NNG+정책/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
시각을	시각/NNG+을/JKO
공개적으로	공개/NNG+적/XSN+으로/JKB
표명하는	표명/NNG+하/XSV+는/ETM
관행과	관행/NNG+과/JKB
함께	함께/MAG
올해	올해/NNG
초부터	초/NNB+부터/JX
한국은행이	한국은행/NNP+이/JKS
금융통화위원회	금융/NNG+통화/NNG+위원회/NNG
열석발언권(회의에	열석/NNG+발언/NNG+권/XSN+(/SS+회의/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
발언할	발언/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
권리)을	권리/NNG+)/SS+을/JKO
행사해	행사/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
것도	것/NNB+도/JX
재검토할	재/XPN+검토/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.241.5.1
랄 과장은 또 “최근 한국 정부가 내놓은 부동산 부양책이 얼마나 효과를 낼지 판단하기 어렵다”며 “한국의 가계 부채는 이미 과다하다”고 지적했다.

랄	랄/NNP
과장은	과장/NNG+은/JX
또	또/MAG
“최근	“/SS+최근/MAG
한국	한국/NNP
정부가	정부/NNG+가/JKS
내놓은	내놓/VV+은/ETM
부동산	부동산/NNG
부양책이	부양책/NNG+이/JKS
얼마나	얼마나/MAG
효과를	효과/NNG+를/JKO
낼지	내/VV+ㄹ지/EF
판단하기	판단/NNG+하/XSV+기/ETN
어렵다”며	어렵/VA+다/EF+”/SS+며/EC
“한국의	“/SS+한국/NNP+의/JKG
가계	가계/NNG
부채는	부채/NNG+는/JX
이미	이미/MAG
과다하다”고	과다/NNG+하/XSA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.241.6.1
IMF는 이날 보고서에서 올해 한국의 경제성장률 전망치를 7월 발표(5.75%)보다 0.35%포인트 높인 6.1%로 발표했다.

IMF는	IMF/SL+는/JX
이날	이날/NNG
보고서에서	보고서/NNG+에서/JKB
올해	올해/NNG
한국의	한국/NNP+의/JKG
경제성장률	경제/NNG+성장/NNG+률/XSN
전망치를	전망/NNG+치/XSN+를/JKO
7월	7/SN+월/NNB
발표(5.75%)보다	발표/NNG+(/SS+5/SN+./SP+75/SN+%/SW+)/SS+보다/JKB
0.35%포인트	0/SN+./SP+35/SN+%포인트/NNG
높인	높이/VV+ㄴ/ETM
6.1%로	6/SN+./SP+1/SN+%/SW+로/JKB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.241.6.2
하지만 내년도 성장률 전망치는 4.5%로 종전보다 0.5%포인트 낮췄다.

하지만	하지만/MAJ
내년도	내년도/NNG
성장률	성장/NNG+률/XSN
전망치는	전망/NNG+치/XSN+는/JX
4.5%로	4/SN+./SP+5/SN+%/SW+로/JKB
종전보다	종전/NNG+보다/JKB
0.5%포인트	0/SN+./SP+5/SN+%포인트/NNG
낮췄다.	낮추/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.241.6.3
이는 올해 높은 성장률에 따른 기저(基底)효과 때문인 것으로 풀이된다.

이는	이/NP+는/JX
올해	올해/NNG
높은	높/VA+은/ETM
성장률에	성장/NNG+률/XSN+에/JKB
따른	따르/VV+ㄴ/ETM
기저(基底)효과	기저/NNG+(/SS+基底/SH+)/SS+효과/NNG
때문인	때문/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.241.7.1
글로벌 투자은행(IB)도 한국 경제에 신뢰를 보내고 있다.

글로벌	글로벌/NNG
투자은행(IB)도	투자/NNG+은행/NNG+(/SS+IB/SL+)/SS+도/JX
한국	한국/NNP
경제에	경제/NNG+에/JKB
신뢰를	신뢰/NNG+를/JKO
보내고	보내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.241.7.2
2일 국제금융센터에 따르면 주요 IB는 올해 한국의 성장률을 평균 6.0%로 전망해 지난달 집계보다 0.3%포인트 상향 조정했다.

2일	2/SN+일/NNB
국제금융센터에	국제금융센터/NNP+에/JKB
따르면	따르/VV+면/EC
주요	주요/NNG
IB는	IB/SL+는/JX
올해	올해/NNG
한국의	한국/NNP+의/JKG
성장률을	성장/NNG+률/XSN+을/JKO
평균	평균/NNG
6.0%로	6/SN+./SP+0/SN+%/SW+로/JKB
전망해	전망/NNG+하/XSV+아/EC
지난달	지난달/NNG
집계보다	집계/NNG+보다/JKB
0.3%포인트	0/SN+./SP+3/SN+%포인트/NNG
상향	상향/NNG
조정했다.	조정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.241.7.3
이는 한국 정부의 전망치(기획재정부 5.8%, 한국은행 5.9%)보다 높은 것으로 해외 금융기관이 한국 경제에 더 후한 점수를 준 것이다.

이는	이/NP+는/JX
한국	한국/NNP
정부의	정부/NNG+의/JKG
전망치(기획재정부	전망/NNG+치/XSN+(/SS+기획/NNG+재정부/NNG
5.8%,	5/SN+./SP+8/SN+%/SW+,/SP
한국은행	한국은행/NNP
5.9%)보다	5/SN+./SP+9/SN+%/SW+)/SS+보다/JKB
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
해외	해외/NNG
금융기관이	금융/NNG+기관/NNG+이/JKS
경제에	경제/NNG+에/JKB
더	더/MAG
후한	후하/VA+ㄴ/ETM
점수를	점수/NNG+를/JKO
준	주/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


