# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.218
metadata : {}


# id : NWRW1800000024.218.1.1
‘독도는 내게 맡겨라’ /독도평화호 오늘 취항

‘독도는	‘/SS+독도/NNP+는/JX
관련	관련/NNG
단체와	단체/NNG+와/JC
울릉주민	울릉/NNP+주민/NNG
등	등/NNB
300여명이	300/SN+여/XSN+명/NNB+이/JKS
참석할	참석/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.218.4.1
독도평화호는 80억원을 들여 전남 목포 고려조선에서 건조했으며, 길이 37.2m에 너비 7.4m인 177t급 알루미늄 재질의 배다.

독도평화호는	독도평화호/NNP+는/JX
80억원을	80/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
전남	전남/NNP
목포	목포/NNP
고려조선에서	고려조선/NNP+에서/JKB
건조했으며,	건조/NNG+하/XSV+았/EP+으며/EC+,/SP
길이	길이/NNG
37.2m에	37/SN+./SP+2/SN+m/SW+에/JKB
너비	너비/NNG
7.4m인	7/SN+./SP+4/SN+m/SW+이/VCP+ㄴ/ETM
177t급	177/SN+t/SW+급/NNG
알루미늄	알루미늄/NNG
재질의	재질/NNG+의/JKG
배다.	배/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.218.4.2
정원 80명에 항해 속도 30노트로 울릉~독도 구간을 3시간 안에 왕복할 수 있다.

정원	정원/NNG
80명에	80/SN+명/NNB+에/JKB
항해	항해/NNG
속도	속도/NNG
30노트로	30/SN+노트/NNB+로/JKB
울릉~독도	울릉/NNP+~/SO+독도/NNP
구간을	구간/NNG+을/JKO
3시간	3/SN+시간/NNB
안에	안/NNG+에/JKB
왕복할	왕복/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.218.4.3
경북도는 영토주권 확립 의지를 밝히기 위해 지난해 6월 이 배 건조에 들어가 1년 만인 지난달 순수 국내 기술로 완공해 시운전에 성공했다.

경북도는	경북도/NNP+는/JX
영토주권	영토/NNG+주권/NNG
확립	확립/NNG
의지를	의지/NNG+를/JKO
밝히기	밝히/VV+기/ETN
위해	위하/VV+아/EC
지난해	지난해/NNG
6월	6/SN+월/NNB
이	이/MMD
배	배/NNG
건조에	건조/NNG+에/JKB
들어가	들어가/VV+아/EC
1년	1/SN+년/NNB
만인	만/NNB+이/VCP+ㄴ/ETM
지난달	지난달/NNG
순수	순수/NNG
국내	국내/NNG
기술로	기술/NNG+로/JKB
완공해	완공/NNG+하/XSV+아/EC
시운전에	시운전/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.218.4.4
독도평화호는 △독도 행정업무와 주민생활 지원 △독도 방문객 안전 관리 △해양생태자원 조사 및 연구 활동 △독도 영유권 수호 활동 △해난사고 예방 등 업무를 수행하게 된다.

독도평화호는	독도평화호/NNP+는/JX
△독도	△/SW+독도/NNP
행정업무와	행정/NNG+업무/NNG+와/JC
주민생활	주민/NNG+생활/NNG
지원	지원/NNG
방문객	방문객/NNG
안전	안전/NNG
관리	관리/NNG
△해양생태자원	△/SW+해양/NNG+생태/NNG+자원/NNG
조사	조사/NNG
및	및/MAG
연구	연구/NNG
활동	활동/NNG
영유권	영유/NNG+권/XSN
수호	수호/NNG
△해난사고	△/SW+해난/NNG+사고/NNG
예방	예방/NNG
등	등/NNB
업무를	업무/NNG+를/JKO
수행하게	수행/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.218.4.5
경북도에서는 지난 3월 전국민을 대상으로 한 공모를 거쳐 독도평화호 명칭을 결정했다.

경북도에서는	경북도/NNP+에서/JKB+는/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
전국민을	전/MMN+국민/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
한	하/VV+ㄴ/ETM
공모를	공모/NNG+를/JKO
거쳐	거치/VV+어/EC
독도평화호	독도평화호/NNP
명칭을	명칭/NNG+을/JKO
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


