# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.279
metadata : {}


# id : NWRW1800000025.279.1.1
지난 주말 서울 6개 대학가 수시 논술 ‘대란’

지난	지나/VV+ㄴ/ETM
한국외국어대까지	한국외국어대/NNP+까지/JX
왔다는	오/VV+았/EP+다는/ETM
최모	최/NNP+모/NP
씨(44)는	씨/NNB+(/SS+44/SN+)/SS+는/JX
시험	시험/NNG
시작	시작/NNG
15분을	15/SN+분/NNB+을/JKO
남기고	남기/VV+고/EC
지하철	지하철/NNG
1호선	1/SN+호선/NNB
외대역앞	외대역/NNP+앞/NNG
지하차도에	지하/NNG+차도/NNG+에/JKB
도착했지만	도착/NNG+하/XSV+았/EP+지만/EC
교통정체로	교통/NNG+정체/NNG+로/JKB
차가	차/NNG+가/JKS
꼼짝도	꼼짝/MAG+도/JX
안	안/MAG
하자	하/VV+자/EC
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
오토바이를	오토바이/NNG+를/JKO
불렀다.	부르/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.279.8.3
최 씨는 “급한 마음에 태웠지만 대인보험에 들지 않았을 퀵서비스 오토바이를 안전 헬멧도 없이 타고 가는 모습을 보니 덜컥 겁이 난다”며 발을 동동 굴렀다.

최	최/NNP
씨는	씨/NNB+는/JX
“급한	“/SS+급하/VA+ㄴ/ETM
마음에	마음/NNG+에/JKB
태웠지만	태우/VV+었/EP+지만/EC
대인보험에	대인/NNG+보험/NNG+에/JKB
들지	들/VV+지/EC
않았을	않/VX+았/EP+을/ETM
퀵서비스	퀵서비스/NNG
오토바이를	오토바이/NNG+를/JKO
안전	안전/NNG
헬멧도	헬멧/NNG+도/JX
없이	없이/MAG
타고	타/VV+고/EC
가는	가/VV+는/ETM
모습을	모습/NNG+을/JKO
보니	보/VV+니/EC
덜컥	덜컥/MAG
겁이	겁/NNG+이/JKS
난다”며	나/VV+ㄴ다/EF+”/SS+며/EC
발을	발/NNG+을/JKO
동동	동동/MAG
굴렀다.	구르/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.279.8.4
학교와 주변 도로에는 수험생을 상대로 ‘호객’을 하는 오토바이 퀵서비스 기사로 가득했다.

학교와	학교/NNG+와/JC
주변	주변/NNG
도로에는	도로/NNG+에/JKB+는/JX
수험생을	수험/NNG+생/XSN+을/JKO
상대로	상대/NNG+로/JKB
‘호객’을	‘/SS+호객/NNG+’/SS+을/JKO
하는	하/VV+는/ETM
오토바이	오토바이/NNG
퀵서비스	퀵서비스/NNG
기사로	기사/NNG+로/JKB
가득했다.	가득/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000025.279.8.5
2일 건국대에서 논술고사를 치른 학생을 태우고 한국외국어대로 왔다는 한 퀵서비스 기사는 “한 번 이송에 8만∼10만 원을 받았다”며 “그래도 학부모들의 신청 전화가 끊이지 않는다”고 귀띔했다.

2일	2/SN+일/NNB
건국대에서	건국대/NNP+에서/JKB
논술고사를	논술/NNG+고사/NNG+를/JKO
치른	치르/VV+ㄴ/ETM
학생을	학생/NNG+을/JKO
태우고	태우/VV+고/EC
한국외국어대로	한국외국어대/NNP+로/JKB
왔다는	오/VV+았/EP+다는/ETM
한	한/MMN
퀵서비스	퀵서비스/NNG
기사는	기사/NNG+는/JX
“한	“/SS+한/MMN
번	번/NNB
이송에	이송/NNG+에/JKB
8만∼10만	8/SN+만/NR+∼/SO+10/SN+만/NR
원을	원/NNB+을/JKO
받았다”며	받/VV+았/EP+다/EF+”/SS+며/EC
“그래도	“/SS+그래도/MAJ
학부모들의	학부모/NNG+들/XSN+의/JKG
신청	신청/NNG
전화가	전화/NNG+가/JKS
끊이지	끊이/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
귀띔했다.	귀띔/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.279.9.1
교통 대란을 예상하고 아예 하루 전 서울 시내 모텔에 숙박하는 수험생도 많았다.

교통	교통/NNG
대란을	대란/NNG+을/JKO
예상하고	예상/NNG+하/XSV+고/EC
아예	아예/MAG
하루	하루/NNG
전	전/NNG
서울	서울/NNP
시내	시내/NNG
모텔에	모텔/NNG+에/JKB
숙박하는	숙박/NNG+하/XSV+는/ETM
수험생도	수험/NNG+생/XSN+도/JX
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000025.279.9.2
그 덕분에 대학가 인근 모텔은 즐거운 비명을 질렀다.

그	그/MMD
덕분에	덕분/NNG+에/JKB
대학가	대학가/NNG
인근	인근/NNG
모텔은	모텔/NNG+은/JX
즐거운	즐겁/VA+ㄴ/ETM
비명을	비명/NNG+을/JKO
질렀다.	지르/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.279.9.3
대구에서 올라온 성모 씨(45)는 “두 개 대학 시험을 쳐 2박 3일 숙박하는 데 교통비까지 합치면 30만 원 넘게 쓴다”며 “대학 인근 모텔은 한 달 전 예약이 끝나 방 구하기가 하늘의 별따기”라고 했다.

대구에서	대구/NNP+에서/JKB
올라온	올라오/VV+ㄴ/ETM
성모	성/NNP+모/NP
씨(45)는	씨/NNB+(/SS+45/SN+)/SS+는/JX
“두	“/SS+두/MMN
개	개/NNB
대학	대학/NNG
시험을	시험/NNG+을/JKO
쳐	치/VV+어/EC
2박	2/SN+박/NNB
3일	3/SN+일/NNB
숙박하는	숙박/NNG+하/XSV+는/ETM
데	데/NNB
교통비까지	교통비/NNG+까지/JX
합치면	합치/VV+면/EC
30만	30/SN+만/NR
원	원/NNB
넘게	넘/VV+게/EC
쓴다”며	쓰/VV+ㄴ다/EF+”/SS+며/EC
“대학	“/SS+대학/NNG
인근	인근/NNG
모텔은	모텔/NNG+은/JX
한	한/MMN
달	달/NNB
전	전/NNG
예약이	예약/NNG+이/JKS
끝나	끝나/VV+아/EC
방	방/NNG
구하기가	구하/VV+기/ETN+가/JKS
하늘의	하늘/NNG+의/JKG
별따기”라고	별/NNG+따/VV+기/ETN+”/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.279.10.1
○ 대학은 속수무책

○	○/SW
대학은	대학/NNG+은/JX
속수무책	속수무책/NNG


# id : NWRW1800000025.279.11.1
상황이 이런데도 대학은 별다른 대책을 내놓지 못하고 있다.

상황이	상황/NNG+이/JKS
이런데도	이렇/VA+ㄴ데/EC+도/JX
대학은	대학/NNG+은/JX
별다른	별다르/VA+ㄴ/ETM
대책을	대책/NNG+을/JKO
내놓지	내놓/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.279.11.2
이화여대 오정화 입학처장은 “인근 정류장이나 지하철역에서 학교까지 오는 길 등을 자세히 공지했다”며 “셔틀버스를 운영하는 방안을 고려했지만 되레 더 늦을 수 있어 ‘대중교통수단을 이용하라’는 정도의 공지만 띄웠다”고 말했다.

이화여대	이화여대/NNP
오정화	오정화/NNP
입학처장은	입학처장/NNG+은/JX
“인근	“/SS+인근/NNG
정류장이나	정류장/NNG+이나/JC
지하철역에서	지하철역/NNG+에서/JKB
학교까지	학교/NNG+까지/JX
오는	오/VV+는/ETM
길	길/NNG
등을	등/NNB+을/JKO
자세히	자세히/MAG
공지했다”며	공지/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“셔틀버스를	“/SS+셔틀버스/NNG+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
고려했지만	고려/NNG+하/XSV+았/EP+지만/EC
되레	되레/MAG
더	더/MAG
늦을	늦/VA+을/ETM
수	수/NNB
있어	있/VA+어/EC
‘대중교통수단을	‘/SS+대중교통/NNG+수단/NNG+을/JKO
이용하라’는	이용/NNG+하/XSV+라/EF+’/SS+는/ETM
정도의	정도/NNG+의/JKG
공지만	공지/NNG+만/JX
띄웠다”고	띄우/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.279.11.3
한 대학 관계자는 “셔틀버스를 이용하다 교통사고가 나면 아직 입학도 안 한 수험생들을 학교가 법적으로 책임져야 하는 문제가 발생하기 때문에 학교 측에서 신중하게 나간 것 아니겠느냐”고 설명했다.

한	하/VV+ㄴ/ETM
대학	대학/NNG
관계자는	관계자/NNG+는/JX
“셔틀버스를	“/SS+셔틀버스/NNG+를/JKO
이용하다	이용/NNG+하/XSV+다/EC
교통사고가	교통사고/NNG+가/JKS
나면	나/VV+면/EC
아직	아직/MAG
입학도	입학/NNG+도/JX
안	안/MAG
수험생들을	수험/NNG+생/XSN+들/XSN+을/JKO
학교가	학교/NNG+가/JKS
법적으로	법/NNG+적/XSN+으로/JKB
책임져야	책임지/VV+어야/EC
하는	하/VX+는/ETM
문제가	문제/NNG+가/JKS
발생하기	발생/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
학교	학교/NNG
측에서	측/NNB+에서/JKB
신중하게	신중/NNG+하/XSA+게/EC
나간	나가/VV+ㄴ/ETM
것	것/NNB
아니겠느냐”고	아니/VCN+겠/EP+느냐/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


