# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.204
metadata : {}


# id : NWRW1800000022.204.1.1
'對北 금수품' 실은 선박 公海서 검색 가능;안보리 제재안 골격 합의 세부사항 놓고 막판 절충

'對北	'/SS+對北/SH
공해상에서	공해/NNG+상/XSN+에서/JKB
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
수출입	수출입/NNG
금지	금지/NNG
품목을	품목/NNG+을/JKO
포함했다고	포함/NNG+하/XSV+았/EP+다고/EC
판단되는	판단/NNG+되/XSV+는/ETM
화물을	화물/NNG+을/JKO
실은	싣/VV+은/ETM
선박을	선박/NNG+을/JKO
조사할	조사/NNG+하/XSV+ㄹ/ETM
권리를	권리/NNG+를/JKO
갖는다'는	갖/VV+는다/EF+'/SS+는/ETM
내용이	내용/NNG+이/JKS
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.204.10.3
하지만 중국측은 북한의 반발로 인한 공해상의 충돌 등을 우려하고 "북한의 주권을 침해할 우려가 있다"며 난색을 표명했고, 결국 최종안에는 '증거가 있을 경우 화물 검색을 요청할 수 있다'는 정도로 수위가 낮아진 것으로 알려졌다.

하지만	하지만/MAJ
중국측은	중국/NNP+측/NNB+은/JX
북한의	북한/NNP+의/JKG
반발로	반발/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
공해상의	공해/NNG+상/XSN+의/JKG
충돌	충돌/NNG
등을	등/NNB+을/JKO
우려하고	우려/NNG+하/XSV+고/EC
"북한의	"/SS+북한/NNP+의/JKG
주권을	주권/NNG+을/JKO
침해할	침해/NNG+하/XSV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
난색을	난색/NNG+을/JKO
표명했고,	표명/NNG+하/XSV+았/EP+고/EC+,/SP
결국	결국/MAG
최종안에는	최종안/NNG+에/JKB+는/JX
'증거가	'/SS+증거/NNG+가/JKS
있을	있/VA+을/ETM
경우	경우/NNG
화물	화물/NNG
검색을	검색/NNG+을/JKO
요청할	요청/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다'는	있/VA+다/EF+'/SS+는/ETM
정도로	정도/NNG+로/JKB
수위가	수위/NNG+가/JKS
낮아진	낮/VA+아/EC+지/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.204.11.1
북한의 금융 거래 제재와 무기 수출입 관련 제재는 대부분 미·일의 주장이 받아들여진 것으로 전해졌다.

북한의	북한/NNP+의/JKG
금융	금융/NNG
거래	거래/NNG
제재와	제재/NNG+와/JC
무기	무기/NNG
수출입	수출입/NNG
관련	관련/NNG
제재는	제재/NNG+는/JX
대부분	대/XPN+부분/NNG
미·일의	미/NNP+·/SP+일/NNP+의/JKG
주장이	주장/NNG+이/JKS
받아들여진	받아들이/VV+어/EC+지/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.204.11.2
대북 금융 지원을 인도적 목적이나 비핵화 촉진 목적을 제외하고는 할 수 없도록 했고, 북한에 대한 무기 금수 품목도 기존 1718호상에서는 미사일이나 핵무기 등 대량살상무기(WMD)에 한정됐으나 이번 결의안에는 '모든 무기, 모든 관련된 물자'로 범위가 대폭 확대됐다.

대북	대북/NNG
금융	금융/NNG
지원을	지원/NNG+을/JKO
인도적	인도/NNG+적/XSN
목적이나	목적/NNG+이나/JC
비핵화	비핵/NNG+화/XSN
촉진	촉진/NNG
목적을	목적/NNG+을/JKO
제외하고는	제외/NNG+하/XSV+고/EC+는/JX
할	하/VV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
했고,	하/VX+았/EP+고/EC+,/SP
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
무기	무기/NNG
금수	금수/NNG
품목도	품목/NNG+도/JX
기존	기존/NNG
1718호상에서는	1718/SN+호/NNB+상/XSN+에서/JKB+는/JX
미사일이나	미사일/NNG+이나/JC
핵무기	핵무기/NNG
등	등/NNB
대량살상무기(WMD)에	대량/NNG+살상/NNG+무기/NNG+(/SS+WMD/SL+)/SS+에/JKB
한정됐으나	한정/NNG+되/XSV+었/EP+으나/EC
이번	이번/NNG
결의안에는	결의안/NNG+에/JKB+는/JX
'모든	'/SS+모든/MMN
무기,	무기/NNG+,/SP
모든	모든/MMN
관련된	관련/NNG+되/XSV+ㄴ/ETM
물자'로	물자/NNG+'/SS+로/JKB
범위가	범위/NNG+가/JKS
대폭	대폭/MAG
확대됐다.	확대/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.204.12.1
또 결의안은 북한의 2차 핵실험을 '가장 강력하게 규탄한다'(condemn in the strongest terms)고 했다.

또	또/MAG
결의안은	결의안/NNG+은/JX
북한의	북한/NNP+의/JKG
2차	2/SN+차/NNB
핵실험을	핵/NNG+실험/NNG+을/JKO
'가장	'/SS+가장/MAG
강력하게	강력/NNG+하/XSA+게/EC
규탄한다'(condemn	규탄/NNG+하/XSV+ㄴ다/EF+'/SS+(/SS+condemn/SL
in	in/SL
the	the/SL
strongest	strongest/SL
terms)고	terms/SL+)/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.204.12.2
이 표현은 안보리에서 특정 사안을 비난할 때 사용할 수 있는 가장 높은 수위다.

이	이/MMD
표현은	표현/NNG+은/JX
안보리에서	안보리/NNG+에서/JKB
특정	특정/NNG
사안을	사안/NNG+을/JKO
비난할	비난/NNG+하/XSV+ㄹ/ETM
때	때/NNG
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
가장	가장/MAG
높은	높/VA+은/ETM
수위다.	수위/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.204.13.1
정부 당국자는 "중국의 반대로 일부 조항에서 수위가 낮아지기는 했지만 이번 결의안은 여전히 기존의 어떤 결의안보다 강력한 제재 내용을 포함하고 있다"고 했다.

정부	정부/NNG
당국자는	당국자/NNG+는/JX
"중국의	"/SS+중국/NNP+의/JKG
반대로	반대/NNG+로/JKB
일부	일부/NNG
조항에서	조항/NNG+에서/JKB
수위가	수위/NNG+가/JKS
낮아지기는	낮/VA+아/EC+지/VX+기/ETN+는/JX
했지만	하/VX+았/EP+지만/EC
이번	이번/NNG
결의안은	결의안/NNG+은/JX
여전히	여전히/MAG
기존의	기존/NNG+의/JKG
어떤	어떤/MMD
결의안보다	결의안/NNG+보다/JKB
강력한	강력/NNG+하/XSA+ㄴ/ETM
제재	제재/NNG
내용을	내용/NNG+을/JKO
포함하고	포함/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


