# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.71
metadata : {}


# id : NWRW1800000054.71.1.1
"광개토태왕, 鐵로 제국 건설한 정복왕이자 경영자"

"광개토태왕,	"/SS+광개토/NNP+태왕/NNG+,/SP
부분에선	부분/NNG+에서/JKB+ㄴ/JX
단군	단군/NNP
신화와	신화/NNG+와/JC
도교(道敎)의	도교/NNG+(/SS+道敎/SH+)/SS+의/JKG
상상력을	상상력/NNG+을/JKO
떠올리게	떠올리/VV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.71.6.1
손씨는 "태왕의 시대는 전쟁의 중심이 전차에서 기병으로 바뀌던 때"라며 "태왕은 기병뿐 아니라 말에게도 갑옷을 씌웠는데, 말이 그 무게를 모두 감당하기 위해 초경량화된 철을 제조하는 데 성공했다"고 고구려군의 강점을 짚어냈다.

손씨는	손/NNP+씨/NNB+는/JX
"태왕의	"/SS+태왕/NNG+의/JKG
시대는	시대/NNG+는/JX
전쟁의	전쟁/NNG+의/JKG
중심이	중심/NNG+이/JKS
전차에서	전차/NNG+에서/JKB
기병으로	기병/NNG+으로/JKB
바뀌던	바뀌/VV+던/ETM
때"라며	때/NNG+"/SS+이/VCP+라며/EC
"태왕은	"/SS+태왕/NNG+은/JX
기병뿐	기병/NNG+뿐/JX
아니라	아니/VCN+라/EC
말에게도	말/NNG+에게/JKB+도/JX
갑옷을	갑옷/NNG+을/JKO
씌웠는데,	씌우/VV+었/EP+는데/EC+,/SP
말이	말/NNG+이/JKS
그	그/MMD
무게를	무게/NNG+를/JKO
모두	모두/MAG
감당하기	감당/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
초경량화된	초/XPN+경량/NNG+화/XSN+되/XSV+ㄴ/ETM
철을	철/NNG+을/JKO
제조하는	제조/NNG+하/XSV+는/ETM
데	데/NNB
성공했다"고	성공/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
고구려군의	고구려/NNP+군/NNG+의/JKG
강점을	강점/NNG+을/JKO
짚어냈다.	짚/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.71.6.2
또한 손씨는 "고구려 기병이 말을 탈 때 발받침으로 쓴 철제 '등자'도 품질이 우수해 기병과 말이 딱 합체가 됐다"고 소개했다.

또한	또한/MAG
손씨는	손/NNP+씨/NNB+는/JX
"고구려	"/SS+고구려/NNP
기병이	기병/NNG+이/JKS
말을	말/NNG+을/JKO
탈	타/VV+ㄹ/ETM
때	때/NNG
발받침으로	발받침/NNG+으로/JKB
쓴	쓰/VV+ㄴ/ETM
철제	철제/NNG
'등자'도	'/SS+등자/NNG+'/SS+도/JX
품질이	품질/NNG+이/JKS
우수해	우수/NNG+하/XSA+아/EC
기병과	기병/NNG+과/JC
말이	말/NNG+이/JKS
딱	딱/MAG
합체가	합체/NNG+가/JKC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.71.6.3
이 소설은 고구려 상단(商團)이 철기병의 호위를 받으며 우즈베키스탄까지 철을 비롯한 상품을 수출하는 과정을 재현하기도 했다.

이	이/MMD
소설은	소설/NNG+은/JX
고구려	고구려/NNP
상단(商團)이	상단/NNG+(/SS+商團/SH+)/SS+이/JKS
철기병의	철기병/NNG+의/JKG
호위를	호위/NNG+를/JKO
받으며	받/VV+으며/EC
우즈베키스탄까지	우즈베키스탄/NNP+까지/JX
철을	철/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
상품을	상품/NNG+을/JKO
수출하는	수출/NNG+하/XSV+는/ETM
과정을	과정/NNG+을/JKO
재현하기도	재현/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.71.6.4
고구려 벽화를 비롯한 유물을 통해 당시 풍속도를 되살리기도 했다.

고구려	고구려/NNP
벽화를	벽화/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
유물을	유물/NNG+을/JKO
통해	통하/VV+아/EC
당시	당시/NNG
풍속도를	풍속도/NNG+를/JKO
되살리기도	되살리/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.71.6.5
손씨는 "고구려는 검은색을 신성하게 여겼다"며 "삼족오(三足烏)가 상징이었고, 정예부대는 검은 옷을 입었다"고 말했다.

손씨는	손/NNP+씨/NNB+는/JX
"고구려는	"/SS+고구려/NNP+는/JX
검은색을	검은색/NNG+을/JKO
신성하게	신성/NNG+하/XSA+게/EC
여겼다"며	여기/VV+었/EP+다/EF+"/SS+며/EC
"삼족오(三足烏)가	"/SS+삼족오/NNG+(/SS+三足烏/SH+)/SS+가/JKS
상징이었고,	상징/NNG+이/VCP+었/EP+고/EC+,/SP
정예부대는	정예/NNG+부대/NNG+는/JX
검은	검/VA+은/ETM
옷을	옷/NNG+을/JKO
입었다"고	입/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.71.7.1
손씨는 "태왕은 정복지에서 학살하거나 약탈하지 않으며 제국을 건설해 충성을 얻어냈다"며 "그것이 홍익인간의 사상이었다"고 말했다.

손씨는	손/NNP+씨/NNB+는/JX
"태왕은	"/SS+태왕/NNG+은/JX
정복지에서	정복지/NNG+에서/JKB
학살하거나	학살/NNG+하/XSV+거나/EC
약탈하지	약탈/NNG+하/XSV+지/EC
않으며	않/VX+으며/EC
제국을	제국/NNG+을/JKO
건설해	건설/NNG+하/XSV+아/EC
충성을	충성/NNG+을/JKO
얻어냈다"며	얻/VV+어/EC+내/VX+었/EP+다/EF+"/SS+며/EC
"그것이	"/SS+그것/NP+이/JKS
홍익인간의	홍익인간/NNG+의/JKG
사상이었다"고	사상/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.71.7.2
이 소설의 초반부에서 태왕은 호기심이 많고 배움의 욕심이 많은 소년으로 묘사된다.

이	이/MMD
소설의	소설/NNG+의/JKG
초반부에서	초반부/NNG+에서/JKB
태왕은	태왕/NNG+은/JX
호기심이	호기심/NNG+이/JKS
많고	많/VA+고/EC
배움의	배우/VV+ㅁ/ETN+의/JKG
욕심이	욕심/NNG+이/JKS
많은	많/VA+은/ETM
소년으로	소년/NNG+으로/JKB
묘사된다.	묘사/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.71.7.3
병사를 치료하는 의술에서부터 시작해 병법과 수학, 천문학에 이르기까지 지식의 범위를 넓혀간다.

병사를	병사/NNG+를/JKO
치료하는	치료/NNG+하/XSV+는/ETM
의술에서부터	의술/NNG+에서부터/JKB
시작해	시작/NNG+하/XSV+아/EC
병법과	병법/NNG+과/JC
수학,	수학/NNG+,/SP
천문학에	천문학/NNG+에/JKB
이르기까지	이르/VV+기/ETN+까지/JX
지식의	지식/NNG+의/JKG
범위를	범위/NNG+를/JKO
넓혀간다.	넓히/VV+어/EC+가/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.71.7.4
태왕이 부국강병의 군주로 성공한 비결은 끊임없는 학습 결과라는 것.

태왕이	태왕/NNG+이/JKS
부국강병의	부국강병/NNG+의/JKG
군주로	군주/NNG+로/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
비결은	비결/NNG+은/JX
끊임없는	끊임없/VA+는/ETM
학습	학습/NNG
결과라는	결과/NNG+이/VCP+라는/ETM
것.	것/NNB+./SF


# id : NWRW1800000054.71.7.5
태왕이 제시한 지도자상을 강조한 손씨는 "우리 안에 숨은 광개토태왕이 다시 살아나길 바란다"고 밝혔다.

태왕이	태왕/NNG+이/JKS
제시한	제시/NNG+하/XSV+ㄴ/ETM
지도자상을	지도자상/NNG+을/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
손씨는	손/NNP+씨/NNB+는/JX
"우리	"/SS+우리/NP
안에	안/NNG+에/JKB
숨은	숨/VV+은/ETM
광개토태왕이	광개토/NNP+태왕/NNG+이/JKS
다시	다시/MAG
살아나길	살아나/VV+기/ETN+ㄹ/JKO
바란다"고	바라/VV+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


