# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.365
metadata : {}


# id : NWRW1800000038.365.1.1
[韓美 정상회담] "中, 北이 올바른 길 가게 더 큰 영향력 발휘해야… 日, 거울을 보고 책임있는 역사의식 가질 때"

[韓美	[/SS+韓美/SH
있겠다.	있/VX+겠/EP+다/EF+./SF
하지만	하지만/MAJ
지금	지금/NNG
당장은	당장/NNG+은/JX
(김정은을	(/SS+김정은/NNP+을/JKO
만나서)	만나/VV+아서/EC+)/SS
무슨	무슨/MMD
효과가	효과/NNG+가/JKS
있겠는가.	있/VA+겠/EP+는가/EF+./SF
'손뼉도	'/SS+손뼉/NNG+도/JX
마주쳐야	마주치/VV+어야/EC
소리가	소리/NNG+가/JKS
난다'는	나/VV+ㄴ다/EF+'/SS+는/ETM
한국	한국/NNP
속담이	속담/NNG+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.365.8.1
한편 박 대통령은 이날 CBS방송과의 인터뷰에서 자신이 차갑다는 평을 듣는 이유에 대해 "국민에 대한 신뢰는 깨면 안 된다는 차원에서 그 길로 가겠다고 할 때 좀 너무 차갑게 보였을 수도 있다. 그러나 원칙을 지키지 않았다면 오늘의 제가 있을 수 없고 국민도 믿어주지 않았을 것"이라고 했다.

한편	한편/MAG
박	박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
CBS방송과의	CBS방송/NNP+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
자신이	자신/NNG+이/JKS
차갑다는	차갑/VA+다는/ETM
평을	평/NNG+을/JKO
듣는	듣/VV+는/ETM
이유에	이유/NNG+에/JKB
대해	대하/VV+아/EC
"국민에	"/SS+국민/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
신뢰는	신뢰/NNG+는/JX
깨면	깨/VV+면/EC
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
차원에서	차원/NNG+에서/JKB
그	그/MMD
길로	길/NNG+로/JKB
가겠다고	가/VV+겠/EP+다고/EC
할	하/VV+ㄹ/ETM
때	때/NNG
좀	좀/MAG
너무	너무/MAG
차갑게	차갑/VA+게/EC
보였을	보이/VV+었/EP+을/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF
그러나	그러나/MAJ
원칙을	원칙/NNG+을/JKO
지키지	지키/VV+지/EC
않았다면	않/VX+았/EP+다면/EC
오늘의	오늘/NNG+의/JKG
제가	제/NP+가/JKS
있을	있/VA+을/ETM
수	수/NNB
없고	없/VA+고/EC
국민도	국민/NNG+도/JX
믿어주지	믿/VV+어/EC+주/VX+지/EC
않았을	않/VX+았/EP+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


