# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.128
metadata : {}


# id : NWRW1800000044.128.1.1
피카소·이우환 등 작품 일본서 수집해 국내에 1만점 기증‘한국미술계 숨은 은인’ 하정웅씨 에세이 냈다

피카소·이우환	피카소/NNP+·/SP+이우환/NNP
조선인들의	조선인/NNG+들/XSN+의/JKG
원혼을	원혼/NNG+을/JKO
위로하는	위로/NNG+하/XSV+는/ETM
사업을	사업/NNG+을/JKO
벌여왔고,	벌이/VV+어/EC+오/VX+았/EP+고/EC+,/SP
광주에	광주/NNP+에/JKB
시각장애인복지관을	시각/NNG+장애인/NNG+복지관/NNG+을/JKO
건립하는	건립/NNG+하/XSV+는/ETM
등	등/NNB
복지사업을	복지/NNG+사업/NNG+을/JKO
후원하기도	후원/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.128.6.1
어릴 적부터 빈센트 반 고흐를 좋아했고, 불멸의 작가가 꿈이었다는 그가 최근 자전 에세이 <날마다 한 걸음>(메디치)을 펴냈다.

어릴	어리/VA+ㄹ/ETM
적부터	적/NNB+부터/JX
빈센트	빈센트/NNP
반	반/NNP
고흐를	고흐/NNP+를/JKO
좋아했고,	좋아하/VV+았/EP+고/EC+,/SP
불멸의	불멸/NNG+의/JKG
작가가	작가/NNG+가/JKS
꿈이었다는	꿈/NNG+이/VCP+었/EP+다는/ETM
그가	그/NP+가/JKS
최근	최근/MAG
자전	자전/NNG
에세이	에세이/NNG
<날마다	</SS+날/NNG+마다/JX
한	한/MMN
걸음>(메디치)을	걸음/NNG+>/SS+(/SS+메디치/NNP+)/SS+을/JKO
펴냈다.	펴내/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.128.6.2
다큐작가 권현정씨와 함께 집필한 이 책에서 하씨는 재일한국인 2세로 역경을 딛고 자수성가한 인생역정과 ‘하정웅 컬렉션’을 만든 내력, 조선인 징용희생자들의 추복과 장애인복지 사업에 나선 사연 등을 털어놓았다.

다큐작가	다큐/NNG+작가/NNG
권현정씨와	권현정/NNP+씨/NNB+와/JKB
함께	함께/MAG
집필한	집필/NNG+하/XSV+ㄴ/ETM
이	이/MMD
책에서	책/NNG+에서/JKB
하씨는	하/NNP+씨/NNB+는/JX
재일한국인	재일/NNG+한국인/NNG
2세로	2/SN+세/NNB+로/JKB
역경을	역경/NNG+을/JKO
딛고	딛/VV+고/EC
자수성가한	자수성가/NNG+하/XSV+ㄴ/ETM
인생역정과	인생/NNG+역정/NNG+과/JC
‘하정웅	‘/SS+하정웅/NNP
컬렉션’을	컬렉션/NNG+’/SS+을/JKO
만든	만들/VV+ㄴ/ETM
내력,	내력/NNG+,/SP
조선인	조선인/NNG
징용희생자들의	징용/NNG+희생자/NNG+들/XSN+의/JKG
추복과	추복/NNG+과/JC
장애인복지	장애인/NNG+복지/NNG
사업에	사업/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
사연	사연/NNG
등을	등/NNB+을/JKO
털어놓았다.	털어놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.128.6.3
출간을 맞아 22일 서울시내 한 식당에서 기자들과 만난 그는 “컬렉션을 내 핏줄의 정체성을 다지는 ‘기억의 유산’으로 생각했기에 아낌없이 기증할 수 있었다”고 했다.

출간을	출간/NNG+을/JKO
맞아	맞/VV+아/EC
22일	22/SN+일/NNB
서울시내	서울/NNP+시내/NNG
한	한/MMN
식당에서	식당/NNG+에서/JKB
기자들과	기자/NNG+들/XSN+과/JKB
만난	만나/VV+ㄴ/ETM
그는	그/NP+는/JX
“컬렉션을	“/SS+컬렉션/NNG+을/JKO
내	나/NP+의/JKG
핏줄의	핏줄/NNG+의/JKG
정체성을	정체/NNG+성/XSN+을/JKO
다지는	다지/VV+는/ETM
‘기억의	‘/SS+기억/NNG+의/JKG
유산’으로	유산/NNG+’/SS+으로/JKB
생각했기에	생각/NNG+하/XSV+았/EP+기에/EC
아낌없이	아낌없이/MAG
기증할	기증/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.128.7.1
그는 일본 동북(도호쿠)지방 아키타에서 ‘가난한 조센진’으로 고교까지 고학했다.

그는	그/NP+는/JX
일본	일본/NNP
동북(도호쿠)지방	동북/NNG+(/SS+도호쿠/NNP+)/SS+지방/NNG
아키타에서	아키타/NNP+에서/JKB
‘가난한	‘/SS+가난/NNG+하/XSA+ㄴ/ETM
조센진’으로	조센진/NNG+’/SS+으로/JKB
고교까지	고교/NNG+까지/JX
고학했다.	고학/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.128.7.2
도쿄에서 전기기술자로 일하며 기반을 닦은 그는 20대 중반 어느 날 한 백화점 화랑에서 재일동포 1세인 고 전화황 화백의 몽환적 작품 <미륵보살>을 보고 첫눈에 매혹돼 작품 수집에 빠져들게 된다.

도쿄에서	도쿄/NNP+에서/JKB
전기기술자로	전기/NNG+기술자/NNG+로/JKB
일하며	일/NNG+하/XSV+며/EC
기반을	기반/NNG+을/JKO
닦은	닦/VV+은/ETM
그는	그/NP+는/JX
20대	20/SN+대/NNB
중반	중반/NNG
어느	어느/MMD
날	날/NNG
한	한/MMN
백화점	백화점/NNG
화랑에서	화랑/NNG+에서/JKB
재일동포	재일/NNG+동포/NNG
1세인	1/SN+세/NNB+이/VCP+ㄴ/ETM
고	고/MMA
전화황	전화황/NNP
화백의	화백/NNG+의/JKG
몽환적	몽환/NNG+적/XSN
작품	작품/NNG
<미륵보살>을	</SS+미륵보살/NNP+>/SS+을/JKO
보고	보/VV+고/EC
첫눈에	첫눈/NNG+에/JKB
매혹돼	매혹/NNG+되/XSV+어/EC
수집에	수집/NNG+에/JKB
빠져들게	빠져들/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.128.7.3
“전 화백 작품은 가난으로 작가의 뜻을 접은 저에게 컬렉터의 새 삶을 살게 해주었죠.

“전	“/SS+전/NNP
화백	화백/NNG
작품은	작품/NNG+은/JX
가난으로	가난/NNG+으로/JKB
작가의	작가/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
접은	접/VV+은/ETM
저에게	저/NP+에게/JKB
컬렉터의	컬렉터/NNG+의/JKG
새	새/MMA
삶을	삶/NNG+을/JKO
살게	살/VV+게/EC
해주었죠.	하/VX+아/EC+주/VX+었/EP+죠/EF+./SF


# id : NWRW1800000044.128.7.4
이후 한 잡지에 실린 이우환씨의 그림을 보고 관심을 갖게 됐어요.

이후	이후/NNG
한	한/MMN
잡지에	잡지/NNG+에/JKB
실린	실리/VV+ㄴ/ETM
이우환씨의	이우환/NNP+씨/NNB+의/JKG
그림을	그림/NNG+을/JKO
보고	보/VV+고/EC
관심을	관심/NNG+을/JKO
갖게	갖/VV+게/EC
됐어요.	되/VV+었/EP+어요/EF+./SF


# id : NWRW1800000044.128.7.5
그의 유럽 활동 경비를 대고 작품 42점을 모아 광주시립미술관 등에 기증했습니다.”

그의	그/NP+의/JKG
유럽	유럽/NNP
활동	활동/NNG
경비를	경비/NNG+를/JKO
대고	대/VV+고/EC
작품	작품/NNG
42점을	42/SN+점/NNB+을/JKO
모아	모으/VV+아/EC
광주시립미술관	광주시립미술관/NNP
등에	등/NNB+에/JKB
기증했습니다.”	기증/NNG+하/XSV+았/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000044.128.8.1
하씨는 틈만 나면 주위에 이씨의 작품을 널리 알렸다고 한다.

하씨는	하/NNP+씨/NNB+는/JX
틈만	틈/NNG+만/JX
나면	나/VV+면/EC
주위에	주위/NNG+에/JKB
이씨의	이/NNP+씨/NNB+의/JKG
작품을	작품/NNG+을/JKO
널리	널리/MAG
알렸다고	알리/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.128.8.2
“어린 시절 명절 때면 어머니가 집 뒤 조선인들의 무연고 무덤에 가서 절하라고 했어요.

“어린	“/SS+어리/VA+ㄴ/ETM
시절	시절/NNG
명절	명절/NNG
때면	때/NNG+이/VCP+면/EC
어머니가	어머니/NNG+가/JKS
집	집/NNG
뒤	뒤/NNG
조선인들의	조선인/NNG+들/XSN+의/JKG
무연고	무/XPN+연고/NNG
무덤에	무덤/NNG+에/JKB
가서	가/VV+아서/EC
절하라고	절/NNG+하/XSV+라고/EC
했어요.	하/VV+았/EP+어요/EF+./SF


# id : NWRW1800000044.128.8.3
커다란 돌 하나만 놓였던 그때 무덤의 기억 때문에 이 작가의 돌덩이 작품들이 가슴을 두드리는 ‘기도’로 느껴지곤 했지요.”

커다란	커다랗/VA+ㄴ/ETM
돌	돌/NNG
하나만	하나/NR+만/JX
놓였던	놓이/VV+었/EP+던/ETM
그때	그때/NNG
무덤의	무덤/NNG+의/JKG
기억	기억/NNG
때문에	때문/NNB+에/JKB
이	이/NNP
작가의	작가/NNG+의/JKG
돌덩이	돌덩이/NNG
작품들이	작품/NNG+들/XSN+이/JKS
가슴을	가슴/NNG+을/JKO
두드리는	두드리/VV+는/ETM
‘기도’로	‘/SS+기도/NNG+’/SS+로/JKB
느껴지곤	느끼/VV+어/EC+지/VX+곤/EC
했지요.”	하/VX+았/EP+지요/EF+./SF+”/SS


# id : NWRW1800000044.128.9.1
1980년대 초 광주에서 만난 시각장애인 안마사와의 인연으로 시각장애인회관을 세우고, 아키타에서 징용당해 숨진 조선인 희생자들의 넋을 기리는 추모비 건립에 나서게 된 이력도 소개한 그는 “세상에 조금이라도 보탬이 되고 싶어 사(私)를 버리는 삶을 선택한 제 인생이 훗날 ‘일보전진’이란 말로 요약되기를 바란다”고 말했다.

1980년대	1980/SN+년대/NNB
초	초/NNB
광주에서	광주/NNP+에서/JKB
만난	만나/VV+ㄴ/ETM
시각장애인	시각/NNG+장애인/NNG
안마사와의	안마사/NNG+와/JKB+의/JKG
인연으로	인연/NNG+으로/JKB
시각장애인회관을	시각/NNG+장애인/NNG+회관/NNG+을/JKO
세우고,	세우/VV+고/EC+,/SP
아키타에서	아키타/NNP+에서/JKB
징용당해	징용/NNG+당하/XSV+아/EC
숨진	숨지/VV+ㄴ/ETM
조선인	조선인/NNG
희생자들의	희생자/NNG+들/XSN+의/JKG
넋을	넋/NNG+을/JKO
기리는	기리/VV+는/ETM
추모비	추모비/NNG
건립에	건립/NNG+에/JKB
나서게	나서/VV+게/EC
된	되/VV+ㄴ/ETM
이력도	이력/NNG+도/JX
소개한	소개/NNG+하/XSV+ㄴ/ETM
그는	그/NP+는/JX
“세상에	“/SS+세상/NNG+에/JKB
조금이라도	조금/NNG+이라도/JX
보탬이	보탬/NNG+이/JKC
되고	되/VV+고/EC
싶어	싶/VX+어/EC
사(私)를	사/NNG+(/SS+私/SH+)/SS+를/JKO
버리는	버리/VV+는/ETM
삶을	삶/NNG+을/JKO
선택한	선택/NNG+하/XSV+ㄴ/ETM
제	저/NP+의/JKG
인생이	인생/NNG+이/JKS
훗날	훗날/NNG
‘일보전진’이란	‘/SS+일보/NNG+전진/NNG+’/SS+이/VCP+란/ETM
말로	말/NNG+로/JKB
요약되기를	요약/NNG+되/XSV+기/ETN+를/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


