# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.112
metadata : {}


# id : NWRW1800000026.112.1.1
[천안함 침몰 / 北 잠수정 미스테리]"천안함 절단면 칼로 자른듯 깨끗"'어뢰·기뢰 수중 폭발설' 힘 받아

[천안함	[/SS+천안함/NNP
있다고	있/VA+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.112.3.1
어뢰 또는 기뢰가 함정 밑 수중에서 폭발할 경우 강력한 충격파인 '버블 제트(bubble jet·일종의 물대포)' 효과가 발생한다.

어뢰	어뢰/NNG
또는	또는/MAG
기뢰가	기뢰/NNG+가/JKS
함정	함정/NNG
밑	밑/NNG
수중에서	수중/NNG+에서/JKB
폭발할	폭발/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
강력한	강력/NNG+하/XSA+ㄴ/ETM
충격파인	충격파/NNG+이/VCP+ㄴ/ETM
'버블	'/SS+버블/NNG
제트(bubble	제트/NNG+(/SS+bubble/SL
jet·일종의	jet/SL+·/SP+일종/NNG+의/JKG
물대포)'	물대포/NNG+)/SS+'/SS
효과가	효과/NNG+가/JKS
발생한다.	발생/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.112.3.2
그 결과 함정이 활처럼 휘고 함정 안에서 붕 뜨는 느낌을 받을 정도로 격렬하게 진동하게 된다.

그	그/MMD
결과	결과/NNG
함정이	함정/NNG+이/JKS
활처럼	활/NNG+처럼/JKB
휘고	휘/VV+고/EC
함정	함정/NNG
안에서	안/NNG+에서/JKB
붕	붕/MAG
뜨는	뜨/VV+는/ETM
느낌을	느낌/NNG+을/JKO
받을	받/VV+을/ETM
정도로	정도/NNG+로/JKB
격렬하게	격렬하/VA+게/EC
진동하게	진동/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.112.3.3
해군 출신 특수함 전문가 A씨는 "충격이 엄청나기 때문에 균열도 순간적으로 발생한다"며 "이때 일부 절단면이 용접선을 중심으로 매끈하게 나올 수 있다"고 했다.

해군	해군/NNG
출신	출신/NNG
특수함	특수/NNG+함/NNG
전문가	전문가/NNG
A씨는	A/SL+씨/NNB+는/JX
"충격이	"/SS+충격/NNG+이/JKS
엄청나기	엄청나/VA+기/ETN
때문에	때문/NNB+에/JKB
균열도	균열/NNG+도/JX
순간적으로	순간/NNG+적/XSN+으로/JKB
발생한다"며	발생/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"이때	"/SS+이때/NNG
일부	일부/NNG
절단면이	절단면/NNG+이/JKS
용접선을	용접선/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
매끈하게	매끈하/VA+게/EC
나올	나오/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.112.4.1
수중 폭파 위치와 배 절단면 위치도 다를 수 있다고 한다.

수중	수중/NNG
폭파	폭파/NNG
위치와	위치/NNG+와/JC
배	배/NNG
절단면	절단면/NNG
위치도	위치/NNG+도/JX
다를	다르/VA+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.112.4.2
A씨는 "함미 끝쪽의 밑부분에서 어뢰나 기뢰가 터져 그 충격으로 함미 부분이 솟구쳐 올랐다면 배가 휨 현상으로 두 동강이 날 수도 있다"고 설명했다.

A씨는	A/SL+씨/NNB+는/JX
"함미	"/SS+함미/NNG
끝쪽의	끝/NNG+쪽/NNB+의/JKG
밑부분에서	밑부분/NNG+에서/JKB
어뢰나	어뢰/NNG+나/JC
기뢰가	기뢰/NNG+가/JKS
터져	터지/VV+어/EC
그	그/MMD
충격으로	충격/NNG+으로/JKB
함미	함미/NNG
부분이	부분/NNG+이/JKS
솟구쳐	솟구치/VV+어/EC
올랐다면	오르/VV+았/EP+다면/EC
배가	배/NNG+가/JKS
휨	휨/NNG
현상으로	현상/NNG+으로/JKB
두	두/MMN
동강이	동강/NNG+이/JKS
날	나/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.112.5.1
일부에서 제기된 '피로 파괴설'에 대해 전문가들은 "단언하기는 어렵지만 그럴 가능성은 희박하다"고 밝혔다.

일부에서	일부/NNG+에서/JKB
제기된	제기/NNG+되/XSV+ㄴ/ETM
'피로	'/SS+피로/NNG
파괴설'에	파괴설/NNG+'/SS+에/JKB
대해	대하/VV+아/EC
전문가들은	전문가/NNG+들/XSN+은/JX
"단언하기는	"/SS+단언/NNG+하/XSV+기/ETN+는/JX
어렵지만	어렵/VA+지만/EC
그럴	그렇/VA+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
희박하다"고	희박하/VA+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.112.5.2
피로 파괴란 미세한 균열과 충격이 누적돼 파괴가 진행되는 현상을 뜻한다.

피로	피로/NNG
파괴란	파괴/NNG+란/JX
미세한	미세/NNG+하/XSA+ㄴ/ETM
균열과	균열/NNG+과/JC
충격이	충격/NNG+이/JKS
누적돼	누적/NNG+되/XSV+어/EC
파괴가	파괴/NNG+가/JKS
진행되는	진행/NNG+되/XSV+는/ETM
현상을	현상/NNG+을/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.112.5.3
절단면이 매끈하게 나타나며 선체가 둘로 갈라지는 특징이 있다.

절단면이	절단면/NNG+이/JKS
매끈하게	매끈하/VA+게/EC
나타나며	나타나/VV+며/EC
선체가	선체/NNG+가/JKS
둘로	둘/NR+로/JKB
갈라지는	갈라지/VV+는/ETM
특징이	특징/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.112.5.4
1943년 정박 중이던 미국의 유조선 'T-2 탱커'와 1998년 네덜란드에서 캐나다로 향하던 화물선 '플레어'호도 비슷한 현상을 보이며 침몰했지만 정확한 사고원인은 알려지지 않았다.

1943년	1943/SN+년/NNB
정박	정박/NNG
중이던	중/NNB+이/VCP+던/ETM
미국의	미국/NNP+의/JKG
유조선	유조선/NNG
'T-2	'/SS+T/SL+-/SO+2/SN
탱커'와	탱커/NNG+'/SS+와/JC
1998년	1998/SN+년/NNB
네덜란드에서	네덜란드/NNP+에서/JKB
캐나다로	캐나다/NNP+로/JKB
향하던	향하/VV+던/ETM
화물선	화물선/NNG
'플레어'호도	'/SS+플레어/NNP+'/SS+호/NA+도/JX
비슷한	비슷하/VA+ㄴ/ETM
현상을	현상/NNG+을/JKO
보이며	보이/VV+며/EC
침몰했지만	침몰/NNG+하/XSV+았/EP+지만/EC
정확한	정확/NNG+하/XSA+ㄴ/ETM
사고원인은	사고/NNG+원인/NNG+은/JX
알려지지	알려지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.112.6.1
1989년 취역한 천안함은 지난 1999년 연평해전 때 함미에 피격을 당했었다.

1989년	1989/SN+년/NNB
취역한	취역/NNG+하/XSV+ㄴ/ETM
천안함은	천안함/NNP+은/JX
지난	지나/VV+ㄴ/ETM
1999년	1999/SN+년/NNB
연평해전	연평/NNP+해전/NNG
때	때/NNG
함미에	함미/NNG+에/JKB
피격을	피격/NNG+을/JKO
당했었다.	당하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000026.112.6.2
실종자 가족 중 일부가 "승조원들에게 배 바닥에서 물이 새 최근 수리를 했다는 말을 들었다"고 말해 피로 파괴설이 설득력이 있는 것 아니냐는 주장도 나온다.

실종자	실종자/NNG
가족	가족/NNG
중	중/NNB
일부가	일부/NNG+가/JKS
"승조원들에게	"/SS+승조원/NNG+들/XSN+에게/JKB
배	배/NNG
바닥에서	바닥/NNG+에서/JKB
물이	물/NNG+이/JKS
새	새/MMA
최근	최근/MAG
수리를	수리/NNG+를/JKO
했다는	하/VV+았/EP+다는/ETM
말을	말/NNG+을/JKO
들었다"고	듣/VV+었/EP+다/EF+"/SS+고/JKQ
말해	말/NNG+하/XSV+아/EC
피로	피로/NNG
파괴설이	파괴설/NNG+이/JKS
설득력이	설득력/NNG+이/JKC
있는	있/VA+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
주장도	주장/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.112.7.1
그렇지만 전문가들은 피로 파괴 가능성은 거의 없다고 밝혔다.

그렇지만	그렇지만/MAJ
전문가들은	전문가/NNG+들/XSN+은/JX
피로	피로/NNG
파괴	파괴/NNG
가능성은	가능/NNG+성/XSN+은/JX
거의	거의/MAG
없다고	없/VA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.112.7.2
국책 연구소 연구원 B씨는 "피로 파괴의 경우 서서히 굽어지다가 한계치에 다다르면 분리되는 것"이라며 "'폭발 소리와 함께 순식간에 두 동강이 났다'는 천안함 생존자 진술과 배치된다"고 했다.

국책	국책/NNG
연구소	연구소/NNG
연구원	연구원/NNG
B씨는	B/SL+씨/NNB+는/JX
"피로	"/SS+피로/NNG
파괴의	파괴/NNG+의/JKG
경우	경우/NNG
서서히	서서히/MAG
굽어지다가	굽/VV+어/EC+지/VX+다가/EC
한계치에	한계/NNG+치/XSN+에/JKB
다다르면	다다르/VV+면/EC
분리되는	분리/NNG+되/XSV+는/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"'폭발	"/SS+'/SS+폭발/NNG
소리와	소리/NNG+와/JKB
함께	함께/MAG
순식간에	순식/NNG+간/XSN+에/JKB
두	두/MMN
동강이	동강/NNG+이/JKS
났다'는	나/VV+았/EP+다/EF+'/SS+는/ETM
천안함	천안함/NNP
생존자	생존자/NNG
진술과	진술/NNG+과/JKB
배치된다"고	배치/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.112.7.3
해군 출신 조함(造艦) 전문가 C씨는 "한국 해군은 1940년대 2차 대전에 활동했던 미국함정을 도입해 1990년대 말까지 운용했지만, 피로 파괴는 한 번도 발생하지 않았다"고 했다.

해군	해군/NNG
출신	출신/NNG
조함(造艦)	조함/NNG+(/SS+造艦/SH+)/SS
전문가	전문가/NNG
C씨는	C/SL+씨/NNB+는/JX
"한국	"/SS+한국/NNP
해군은	해군/NNG+은/JX
1940년대	1940/SN+년대/NNB
2차	2/SN+차/NNB
대전에	대전/NNG+에/JKB
활동했던	활동/NNG+하/XSV+았/EP+던/ETM
미국함정을	미국/NNP+함정/NNG+을/JKO
도입해	도입/NNG+하/XSV+아/EC
1990년대	1990/SN+년대/NNB
말까지	말/NNB+까지/JX
운용했지만,	운용/NNG+하/XSV+았/EP+지만/EC+,/SP
피로	피로/NNG
파괴는	파괴/NNG+는/JX
한	한/MMN
번도	번/NNB+도/JX
발생하지	발생/NNG+하/XSV+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.112.7.4
군함은 훈련에 참가한 뒤에 반드시 정비창에서 철저하게 정비를 받기 때문에 외부 충격 없이 함선의 노후 때문에 침몰됐다는 주장은 설득력이 없다는 분석이다.

군함은	군함/NNG+은/JX
훈련에	훈련/NNG+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
뒤에	뒤/NNG+에/JKB
반드시	반드시/MAG
정비창에서	정비창/NNG+에서/JKB
철저하게	철저/NNG+하/XSA+게/EC
정비를	정비/NNG+를/JKO
받기	받/VV+기/ETN
때문에	때문/NNB+에/JKB
외부	외부/NNG
충격	충격/NNG
없이	없이/MAG
함선의	함선/NNG+의/JKG
노후	노후/NNG
침몰됐다는	침몰/NNG+되/XSV+었/EP+다는/ETM
주장은	주장/NNG+은/JX
설득력이	설득력/NNG+이/JKS
없다는	없/VA+다는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


