# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.22
metadata : {}


# id : NWRW1800000033.22.1.1
고소득 근로자 조세부담, 지난해 크게 늘었다

고소득	고/XPN+소득/NNG
실제로	실제로/MAG
무자녀	무/XPN+자녀/NNG
독신자	독신자/NNG
기준	기준/NNG
저소득층의	저/XPN+소득/NNG+층/XSN+의/JKG
조세부담은	조세/NNG+부담/NNG+은/JX
2000년	2000/SN+년/NNB
대비	대비/NNG
2010년에	2010/SN+년/NNB+에/JKB
2.3%	2/SN+./SP+3/SN+%/SW
늘어났지만	늘어나/VV+았/EP+지만/EC
고소득층은	고/XPN+소득/NNG+층/XSN+은/JX
1.4%	1/SN+./SP+4/SN+%/SW
증가하는	증가/NNG+하/XSV+는/ETM
데	데/NNB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.22.11.1
기획재정부 관계자는 “지난해 소득 상위 20% 가구의 사회보험료 지출은 10.8% 늘어나 소득 하위 20% 가구(7.6%)보다 증가폭이 컸다”며 “명목소득이 증가하면서 높은 소득세율을 적용받는 사람이 늘어난 것도 고소득층 조세부담 증가에 영향을 미쳤을 것”이라고 설명했다.

기획재정부	기획/NNG+재정부/NNG
관계자는	관계자/NNG+는/JX
“지난해	“/SS+지난해/NNG
소득	소득/NNG
상위	상위/NNG
20%	20/SN+%/SW
가구의	가구/NNG+의/JKG
사회보험료	사회/NNG+보험료/NNG
지출은	지출/NNG+은/JX
10.8%	10/SN+./SP+8/SN+%/SW
늘어나	늘어나/VV+아/EC
하위	하위/NNG
가구(7.6%)보다	가구/NNG+(/SS+7/SN+./SP+6/SN+%/SW+)/SS+보다/JKB
증가폭이	증가/NNG+폭/NNG+이/JKS
컸다”며	크/VA+었/EP+다/EF+”/SS+며/EC
“명목소득이	“/SS+명목/NNG+소득/NNG+이/JKS
증가하면서	증가/NNG+하/XSV+면서/EC
높은	높/VA+은/ETM
소득세율을	소득세/NNG+율/XSN+을/JKO
적용받는	적용/NNG+받/XSV+는/ETM
사람이	사람/NNG+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
것도	것/NNB+도/JX
고소득층	고/XPN+소득/NNG+층/XSN
조세부담	조세/NNG+부담/NNG
증가에	증가/NNG+에/JKB
영향을	영향/NNG+을/JKO
미쳤을	미치/VV+었/EP+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


