# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.37
metadata : {}


# id : NWRW1800000046.37.1.1
다시, 힐러리

다시,	다시/MAG+,/SP
가격	가격/NNG
폭리를	폭리/NNG+를/JKO
보도한	보도/NNG+하/XSV+ㄴ/ETM
뉴욕타임스(NYT)	뉴욕타임스/NNP+(/SS+NYT/SL+)/SS
기사를	기사/NNG+를/JKO
링크하고	링크/NNG+하/XSV+고/EC
"이에	"/SS+이/NP+에/JKB
대한	대하/VV+ㄴ/ETM
대책을	대책/NNG+을/JKO
내일	내일/NNG
중으로	중/NNB+으로/JKB
마련할	마련/NNG+하/XSV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.37.4.2
그러자 제약·헬스케어 회사들의 주가로 구성된 나스닥 바이오테크 인덱스가 곧바로 급락해 4.7% 하락한 채 장을 마쳤다.

그러자	그러/VV+자/EC
제약·헬스케어	제약/NNG+·/SP+헬스케어/NNG
회사들의	회사/NNG+들/XSN+의/JKG
주가로	주가/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
나스닥	나스닥/NNP
바이오테크	바이오테크/NNG
인덱스가	인덱스/NNG+가/JKS
곧바로	곧바로/MAG
급락해	급락/NNG+하/XSV+아/EC
4.7%	4/SN+./SP+7/SN+%/SW
하락한	하락/NNG+하/XSV+ㄴ/ETM
채	채/NNB
장을	장/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.37.4.3
NYT는 에이즈와 각종 전염병 치료제로 62년간 사용돼온 '다라프림(Daraprim)'의 특허권이 전직 헤지펀드 매니저가 설립한 회사로 넘어간 후 약값이 13.50달러(약 1만5900원)에서 750달러(약 88만4000원)로 약 50배 오른 것 등 약값 폭리 사례를 보도했다.

NYT는	NYT/SL+는/JX
에이즈와	에이즈/NNG+와/JC
각종	각종/NNG
전염병	전염병/NNG
치료제로	치료제/NNG+로/JKB
62년간	62/SN+년/NNB+간/XSN
사용돼온	사용/NNG+되/XSV+어/EC+오/VX+ㄴ/ETM
'다라프림(Daraprim)'의	'/SS+다라프림/NNP+(/SS+Daraprim/SL+)/SS+'/SS+의/JKG
특허권이	특허/NNG+권/XSN+이/JKS
전직	전직/NNG
헤지펀드	헤지/NNG+펀드/NNG
매니저가	매니저/NNG+가/JKS
설립한	설립/NNG+하/XSV+ㄴ/ETM
회사로	회사/NNG+로/JKB
넘어간	넘어가/VV+ㄴ/ETM
후	후/NNG
약값이	약값/NNG+이/JKS
13.50달러(약	13/SN+./SP+50/SN+달러/NNB+(/SS+약/MMA
1만5900원)에서	1/SN+만/NR+5900/SN+원/NNB+)/SS+에서/JKB
750달러(약	750/SN+달러/NNB+(/SS+약/MMA
88만4000원)로	88/SN+만/NR+4000/SN+원/NNB+)/SS+로/JKB
약	약/MMA
50배	50/SN+배/NNG
오른	오르/VV+ㄴ/ETM
것	것/NNB
등	등/NNB
약값	약값/NNG
폭리	폭리/NNG
사례를	사례/NNG+를/JKO
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.37.5.1
모처럼 여론조사 지지율도 크게 올랐다.

모처럼	모처럼/MAG
여론조사	여론/NNG+조사/NNG
지지율도	지지/NNG+율/XSN+도/JX
크게	크/VA+게/EC
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.37.5.2
CNN 방송과 ORC 인터내셔널 공동 여론조사에서 클린턴 전 장관은 민주당 성향 유권자 사이에서 전국적으로 42%의 지지를 얻어 24%에 그친 버니 샌더스 버몬트 주 상원의원을 크게 앞섰다.

CNN	CNN/SL
방송과	방송/NNG+과/JC
ORC	ORC/SL
인터내셔널	인터내셔널/NNG
공동	공동/NNG
여론조사에서	여론/NNG+조사/NNG+에서/JKB
클린턴	클린턴/NNP
전	전/MMD
장관은	장관/NNG+은/JX
민주당	민주당/NNP
성향	성향/NNG
유권자	유권자/NNG
사이에서	사이/NNG+에서/JKB
전국적으로	전국/NNG+적/XSN+으로/JKB
42%의	42/SN+%/SW+의/JKG
지지를	지지/NNG+를/JKO
얻어	얻/VV+어/EC
24%에	24/SN+%/SW+에/JKB
그친	그치/VV+ㄴ/ETM
버니	버니/NNP
샌더스	샌더스/NNP
버몬트	버몬트/NNP
주	주/NNG
상원의원을	상원/NNG+의원/NNG+을/JKO
크게	크/VA+게/EC
앞섰다.	앞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.37.5.3
특히 이날 조 바이든 부통령이 가톨릭 잡지 '아메리카' 인터뷰에서 "아마도 (경선에) 나서지 않을 것"이라고 밝힌 것도 그에겐 희소식이었다.

특히	특히/MAG
이날	이날/NNG
조	조/NNP
바이든	바이든/NNP
부통령이	부통령/NNG+이/JKS
가톨릭	가톨릭/NNG
잡지	잡지/NNG
'아메리카'	'/SS+아메리카/NNP+'/SS
인터뷰에서	인터뷰/NNG+에서/JKB
"아마도	"/SS+아마도/MAG
(경선에)	(/SS+경선/NNG+에/JKB+)/SS
나서지	나서/VV+지/EC
않을	않/VX+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
밝힌	밝히/VV+ㄴ/ETM
것도	것/NNB+도/JX
그에겐	그/NP+에게/JKB+ㄴ/JX
희소식이었다.	희소식/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.37.5.4
CNN은 "지지자가 겹치는 바이든이 경선 레이스에 없다면 클린턴의 지지율은 57%까지 오를 것"이라고 전망했다.

CNN은	CNN/SL+은/JX
"지지자가	"/SS+지지자/NNG+가/JKS
겹치는	겹치/VV+는/ETM
바이든이	바이든/NNP+이/JKS
경선	경선/NNG
레이스에	레이스/NNG+에/JKB
없다면	없/VA+다면/EC
클린턴의	클린턴/NNP+의/JKG
지지율은	지지/NNG+율/XSN+은/JX
57%까지	57/SN+%/SW+까지/JX
오를	오르/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


