# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.210
metadata : {}


# id : NWRW1800000046.210.1.1
'테니스 샛별' 정현, 세계 100위 보인다

'테니스	'/SS+테니스/NNG
그가 다음 달 19일 개막하는 프랑스오픈 본선에 진출하면 한국 선수로는 2008년 8월 US오픈 본선에 오른 이형택 이후 6년9개월 만에 메이저 대회 본선 무대를 밟게 된다.

그가	그/NP+가/JKS
다음	다음/NNG
달	달/NNG
19일	19/SN+일/NNB
개막하는	개막/NNG+하/XSV+는/ETM
프랑스오픈	프랑스/NNP+오픈/NNG
본선에	본선/NNG+에/JKB
진출하면	진출/NNG+하/XSV+면/EC
한국	한국/NNP
선수로는	선수/NNG+로/JKB+는/JX
2008년	2008/SN+년/NNB
8월	8/SN+월/NNB
US오픈	US/SL+오픈/NNG
오른	오르/VV+ㄴ/ETM
이형택	이형택/NNP
이후	이후/NNG
6년9개월	6/SN+년/NNB+9/SN+개월/NNB
만에	만/NNB+에/JKB
메이저	메이저/NNG
대회	대회/NNG
본선	본선/NNG
무대를	무대/NNG+를/JKO
밟게	밟/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.210.5.5
정현은 지난 1월 열린 호주오픈에선 예선 마지막 경기에서 패하며 아쉽게 본선행 기회를 놓쳤다.

정현은	정현/NNP+은/JX
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
열린	열리/VV+ㄴ/ETM
호주오픈에선	호주/NNP+오픈/NNG+에서/JKB+ㄴ/JX
예선	예선/NNG
마지막	마지막/NNG
경기에서	경기/NNG+에서/JKB
패하며	패/NNG+하/XSV+며/EC
아쉽게	아쉽/VA+게/EC
본선행	본선행/NNG
기회를	기회/NNG+를/JKO
놓쳤다.	놓치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.210.6.1
최근의 상승세를 봤을 때 정현의 올 시즌 메이저 대회 본선 진출 가능성은 높은 편이다.

최근의	최근/NNG+의/JKG
상승세를	상승세/NNG+를/JKO
봤을	보/VV+았/EP+을/ETM
때	때/NNG
정현의	정현/NNP+의/JKG
올	올/NNG
시즌	시즌/NNG
메이저	메이저/NNG
대회	대회/NNG
본선	본선/NNG
진출	진출/NNG
가능성은	가능/NNG+성/XSN+은/JX
높은	높/VA+은/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.210.6.2
정현은 1년 사이 랭킹을 200계단 넘게 끌어올렸는데 최근 체계적인 훈련을 받으며 키운 서브 실력 덕분이다.

정현은	정현/NNP+은/JX
1년	1/SN+년/NNB
사이	사이/NNG
랭킹을	랭킹/NNG+을/JKO
200계단	200/SN+계단/NNG
넘게	넘/VV+게/EC
끌어올렸는데	끌어올리/VV+었/EP+는데/EC
최근	최근/MAG
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
훈련을	훈련/NNG+을/JKO
받으며	받/VV+으며/EC
키운	키우/VV+ㄴ/ETM
서브	서브/NNG
실력	실력/NNG
덕분이다.	덕분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.210.6.3
정현은 최근 들어 시속 200㎞ 강서브를 때리는 등 세계적인 강호와의 경쟁에서도 쉽게 밀리지 않는 모습이다.

정현은	정현/NNP+은/JX
최근	최근/MAG
들어	들/VV+어/EC
시속	시속/NNG
200㎞	200/SN+㎞/SW
강서브를	강서브/NNG+를/JKO
때리는	때리/VV+는/ETM
등	등/NNB
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
강호와의	강호/NNG+와/JKB+의/JKG
경쟁에서도	경쟁/NNG+에서/JKB+도/JX
쉽게	쉽/VA+게/EC
밀리지	밀리/VV+지/EC
않는	않/VX+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.210.6.4
지난달 메이저 대회 다음으로 등급이 높은 마이애미 오픈 1회전에서 ATP 투어 첫 승을 거뒀고, 2회전에서는 세계 9위 토마스 베르디흐(체코)에게 패했지만 선전하며 가능성을 보였다.

지난달	지난달/NNG
메이저	메이저/NNG
대회	대회/NNG
다음으로	다음/NNG+으로/JKB
등급이	등급/NNG+이/JKS
높은	높/VA+은/ETM
마이애미	마이애미/NNP
오픈	오픈/NNG
1회전에서	1/SN+회전/NNB+에서/JKB
ATP	ATP/SL
투어	투어/NNG
첫	첫/MMN
승을	승/NNG+을/JKO
거뒀고,	거두/VV+었/EP+고/EC+,/SP
2회전에서는	2/SN+회전/NNB+에서/JKB+는/JX
세계	세계/NNG
9위	9/SN+위/NNB
토마스	토마스/NNP
베르디흐(체코)에게	베르디흐/NNP+(/SS+체코/NNP+)/SS+에게/JKB
패했지만	패/NNG+하/XSV+았/EP+지만/EC
선전하며	선전/NNG+하/XSV+며/EC
가능성을	가능/NNG+성/XSN+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.210.6.5
윤용일 삼성증권 코치는 "정현의 서브 속도가 주니어 시절보다 20% 이상 빨라졌고 서브가 들어가는 코스도 상당히 예리해졌다"고 말했다.

윤용일	윤용일/NNP
삼성증권	삼성증권/NNP
코치는	코치/NNG+는/JX
"정현의	"/SS+정현/NNP+의/JKG
서브	서브/NNG
속도가	속도/NNG+가/JKS
주니어	주니어/NNG
시절보다	시절/NNG+보다/JKB
20%	20/SN+%/SW
이상	이상/NNG
빨라졌고	빠르/VA+아/EC+지/VX+었/EP+고/EC
서브가	서브/NNG+가/JKS
들어가는	들어가/VV+는/ETM
코스도	코스/NNG+도/JX
상당히	상당히/MAG
예리해졌다"고	예리하/VA+아/EC+지/VX+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.210.6.6
정현은 오는 9일 단식 본선 1회전(32강)에서 세계 138위 파쿤도 아궤요(아르헨티나)와 대결한다.

정현은	정현/NNP+은/JX
오는	오/VV+는/ETM
9일	9/SN+일/NNB
단식	단식/NNG
본선	본선/NNG
1회전(32강)에서	1/SN+회전/NNB+(/SS+32/SN+강/NNB+)/SS+에서/JKB
세계	세계/NNG
138위	138/SN+위/NNB
파쿤도	파쿤도/NNP
아궤요(아르헨티나)와	아궤요/NNP+(/SS+아르헨티나/NNP+)/SS+와/JKB
대결한다.	대결/NNG+하/XSV+ㄴ다/EF+./SF


