# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.315
metadata : {}


# id : NWRW1800000029.315.1.1
[횡설수설/권순활]北 ‘외화벌이’ 뜯어먹기

[횡설수설/권순활]北	[/SS+횡설수설/NNG+//SP+권순활/NNP+]/SS+北/SH
많지만	많/VA+지만/EC
북한	북한/NNP
외화벌이	외화벌이/NNG
일꾼들은	일/NNG+꾼/XSN+들/XSN+은/JX
외국에	외국/NNG+에/JKB
남을	남/VV+을/ETM
자유도	자유/NNG+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000029.315.5.1
▷일부 친북세력은 대한민국이 걸어온 경제발전과 성공의 역사를 폄훼하면서 북한 지배층에 대해서는 ‘내재적 접근법’ 운운하는 모순된 논리로 감싼다.

▷일부	▷/SW+일부/NNG
친북세력은	친북/NNG+세력/NNG+은/JX
대한민국이	대한민국/NNP+이/JKS
걸어온	걸어오/VV+ㄴ/ETM
경제발전과	경제/NNG+발전/NNG+과/JC
성공의	성공/NNG+의/JKG
역사를	역사/NNG+를/JKO
폄훼하면서	폄훼/NNG+하/XSV+면서/EC
북한	북한/NNP
지배층에	지배/NNG+층/XSN+에/JKB
대해서는	대하/VV+아서/EC+는/JX
‘내재적	‘/SS+내재/NNG+적/XSN
접근법’	접근법/NNG+’/SS
운운하는	운운/NNG+하/XSV+는/ETM
모순된	모순/NNG+되/XSV+ㄴ/ETM
논리로	논리/NNG+로/JKB
감싼다.	감싸/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.315.5.2
한국은 빈부 격차가 심하지만 북한은 평등하다고 주장한다.

한국은	한국/NNP+은/JX
빈부	빈부/NNG
격차가	격차/NNG+가/JKS
심하지만	심하/VA+지만/EC
북한은	북한/NNP+은/JX
평등하다고	평등/NNG+하/XSA+다고/EC
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.315.5.3
북한은 평등과도 거리가 한참 먼 사회다.

북한은	북한/NNP+은/JX
평등과도	평등/NNG+과/JKB+도/JX
거리가	거리/NNG+가/JKS
한참	한참/MAG
먼	멀/VA+ㄴ/ETM
사회다.	사회/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.315.5.4
대다수 주민은 굶주리지만 한 줌도 안 되는 북한의 특권층은 호의호식하면서 ‘천민 자본주의자’ 뺨치는 타락에 빠져 있는 것이 현실이다.

대다수	대/XPN+다수/NNG
주민은	주민/NNG+은/JX
굶주리지만	굶주리/VV+지만/EC
한	한/MMN
줌도	줌/NNG+도/JX
안	안/MAG
되는	되/VV+는/ETM
북한의	북한/NNP+의/JKG
특권층은	특권/NNG+층/XSN+은/JX
호의호식하면서	호의호식/NNG+하/XSV+면서/EC
‘천민	‘/SS+천민/NNG
자본주의자’	자본주의자/NNG+’/SS
뺨치는	뺨치/VV+는/ETM
타락에	타락/NNG+에/JKB
빠져	빠지/VV+어/EC
있는	있/VX+는/ETM
것이	것/NNB+이/JKS
현실이다.	현실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.315.5.5
인권과 평등, 진보를 들먹이는 친북좌파가 주민의 외화벌이 임금을 뜯어먹는 북한 집권층의 행태를 어떻게 생각할지 궁금하다.

인권과	인권/NNG+과/JC
평등,	평등/NNG+,/SP
진보를	진보/NNG+를/JKO
들먹이는	들먹이/VV+는/ETM
친북좌파가	친북/NNG+좌파/NNG+가/JKS
주민의	주민/NNG+의/JKG
외화벌이	외화벌이/NNG
임금을	임금/NNG+을/JKO
뜯어먹는	뜯어먹/VV+는/ETM
북한	북한/NNP
집권층의	집권/NNG+층/XSN+의/JKG
행태를	행태/NNG+를/JKO
어떻게	어떻/VA+게/EC
생각할지	생각/NNG+하/XSV+ㄹ지/EF
궁금하다.	궁금하/VA+다/EF+./SF


