# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.88
metadata : {}


# id : NWRW1800000045.88.1.1
KGC인삼공사, 헛개와 홍삼의 만남… 건강하게 속 풀자

KGC인삼공사,	KGC인삼공사/NNP+,/SP
갈증에	갈증/NNG+에/JKB
시달리기도	시달리/VV+기/ETN+도/JX
하면서	하/VX+면서/EC
건강관리에	건강/NNG+관리/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심이	관심/NNG+이/JKS
증가하고	증가/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.88.6.1
건강에 대한 관심과 음료수 수요가 만나면서 자연소재를 활용한 무탄산, 무카페인 음료 제품이 주목을 받고 있는 가운데, 정관장 ‘헛개 홍삼수’는 헛개나무 열매와 6년근 홍삼이라는 두 가지 건강요소를 100% 무방부제 제품으로 만들어내 소비자들의 관심을 받고 있는 것이다.

건강에	건강/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심과	관심/NNG+과/JC
음료수	음료수/NNG
수요가	수요/NNG+가/JKS
만나면서	만나/VV+면서/EC
자연소재를	자연/NNG+소재/NNG+를/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
무탄산,	무/XPN+탄산/NNG+,/SP
무카페인	무/XPN+카페인/NNG
음료	음료/NNG
제품이	제품/NNG+이/JKS
주목을	주목/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
가운데,	가운데/NNG+,/SP
정관장	정관장/NNP
‘헛개	‘/SS+헛개/NNG
홍삼수’는	홍삼수/NNG+’/SS+는/JX
헛개나무	헛개나무/NNG
열매와	열매/NNG+와/JC
6년근	6/SN+년/NNB+근/NNG
홍삼이라는	홍삼/NNG+이/VCP+라는/ETM
두	두/MMN
가지	가지/NNB
건강요소를	건강/NNG+요소/NNG+를/JKO
100%	100/SN+%/SW
무방부제	무/XPN+방부제/NNG
제품으로	제품/NNG+으로/JKB
만들어내	만들/VV+어/EC+내/VX+어/EC
소비자들의	소비자/NNG+들/XSN+의/JKG
관심을	관심/NNG+을/JKO
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.88.6.2
헛개나무 열매의 특성상 숙취로 인한 갈증을 건강하게 해소하고자 하는 30, 40 직장인들의 마음을 사로잡은 것도 특징이다.

헛개나무	헛개나무/NNG
열매의	열매/NNG+의/JKG
특성상	특성/NNG+상/XSN
숙취로	숙취/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
갈증을	갈증/NNG+을/JKO
건강하게	건강/NNG+하/XSA+게/EC
해소하고자	해소/NNG+하/XSV+고자/EC
하는	하/VX+는/ETM
30,	30/SN+,/SP
40	40/SN
직장인들의	직장인/NNG+들/XSN+의/JKG
마음을	마음/NNG+을/JKO
사로잡은	사로잡/VV+은/ETM
것도	것/NNB+도/JX
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.88.7.1
특히 열량이 0Cal에다가 탄수화물, 단백질, 지방 및 나트륨 함량이 0%로 다이어트 중인 소비자들도 부담 없이 마실 수 있는 장점을 가지고 있어 여름철 건강음료로 제격인 제품이다.

특히	특히/MAG
열량이	열량/NNG+이/JKS
0Cal에다가	0/SN+Cal/SW+에다가/JKB
탄수화물,	탄수화물/NNG+,/SP
단백질,	단백질/NNG+,/SP
지방	지방/NNG
및	및/MAG
나트륨	나트륨/NNG
함량이	함량/NNG+이/JKS
0%로	0/SN+%/SW+로/JKB
다이어트	다이어트/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
소비자들도	소비자/NNG+들/XSN+도/JX
부담	부담/NNG
없이	없이/MAG
마실	마시/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
장점을	장점/NNG+을/JKO
가지고	가지/VV+고/EC
있어	있/VX+어/EC
여름철	여름철/NNG
건강음료로	건강/NNG+음료/NNG+로/JKB
제격인	제격/NNG+이/VCP+ㄴ/ETM
제품이다.	제품/NNG+이/VCP+다/EF+./SF


