# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.98
metadata : {}


# id : NWRW1800000033.98.1.1
[템플스테이, 힐링 속으로]사찰 태교여행

[템플스테이,	[/SS+템플스테이/NNG+,/SP
그중 하나가 ‘숲 태교’.

그중	그중/NNG
하나가	하나/NR+가/JKS
‘숲	‘/SS+숲/NNG
태교’.	태교/NNG+’/SS+./SF


# id : NWRW1800000033.98.5.2
울창한 숲 내음과 바람, 그리고 새소리를 태아에게 직접 노출시켜주는 ‘숲 태교’가 가장 최신의 트렌드로 떠올랐다.

울창한	울창하/VA+ㄴ/ETM
숲	숲/NNG
내음과	내음/NNG+과/JC
바람,	바람/NNG+,/SP
그리고	그리고/MAJ
새소리를	새소리/NNG+를/JKO
태아에게	태아/NNG+에게/JKB
직접	직접/MAG
노출시켜주는	노출/NNG+시키/XSV+어/EC+주/VX+는/ETM
‘숲	‘/SS+숲/NNG
태교’가	태교/NNG+’/SS+가/JKS
가장	가장/MAG
최신의	최신/NNG+의/JKG
트렌드로	트렌드/NNG+로/JKB
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.98.6.1
실제 국제적 연구를 통해서도 숲 태교는 그 효과를 인정받고 있다.

실제	실제/MAG
국제적	국제/NNG+적/XSN
연구를	연구/NNG+를/JKO
통해서도	통하/VV+아서/EC+도/JX
숲	숲/NNG
태교는	태교/NNG+는/JX
그	그/MMD
효과를	효과/NNG+를/JKO
인정받고	인정/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.98.6.2
인간의 지능이 발달하는 데는 유전적인 요인보다는 자궁을 둘러싼 환경이 중요한데, 이를 결정하는 요소가 바로 ‘충분한 산소와 영양, 그리고 스트레스가 없는 환경’이라는 것이다.

인간의	인간/NNG+의/JKG
지능이	지능/NNG+이/JKS
발달하는	발달/NNG+하/XSV+는/ETM
데는	데/NNB+는/JX
유전적인	유전/NNG+적/XSN+이/VCP+ㄴ/ETM
요인보다는	요인/NNG+보다/JKB+는/JX
자궁을	자궁/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
환경이	환경/NNG+이/JKS
중요한데,	중요/NNG+하/XSA+ㄴ데/EC+,/SP
이를	이/NP+를/JKO
결정하는	결정/NNG+하/XSV+는/ETM
요소가	요소/NNG+가/JKS
바로	바로/MAG
‘충분한	‘/SS+충분하/VA+ㄴ/ETM
산소와	산소/NNG+와/JC
영양,	영양/NNG+,/SP
그리고	그리고/MAJ
스트레스가	스트레스/NNG+가/JKS
없는	없/VA+는/ETM
환경’이라는	환경/NNG+’/SS+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.98.6.3
태교에 가장 이상적인 환경은 콘크리트 숲 속의 클래식 음악이나 화려한 미술관이 아니라 오히려 푸른 나무가 울창한 숲이라는 얘기다.

태교에	태교/NNG+에/JKB
가장	가장/MAG
이상적인	이상/NNG+적/XSN+이/VCP+ㄴ/ETM
환경은	환경/NNG+은/JX
콘크리트	콘크리트/NNG
숲	숲/NNG
속의	속/NNG+의/JKG
클래식	클래식/NNG
음악이나	음악/NNG+이나/JC
화려한	화려하/VA+ㄴ/ETM
미술관이	미술관/NNG+이/JKC
아니라	아니/VCN+라/EC
오히려	오히려/MAG
푸른	푸르/VA+ㄴ/ETM
나무가	나무/NNG+가/JKS
울창한	울창하/VA+ㄴ/ETM
숲이라는	숲/NNG+이/VCP+라는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.98.7.1
박문일 한양대 의대 산부인과 교수는 “태교에 가장 이상적인 환경이 바로 숲이며 특히 자연 음악은 태아 심장의 성숙도를 증가시킨다”고 말한다.

박문일	박문일/NNP
한양대	한양대/NNP
의대	의대/NNG
산부인과	산부인과/NNG
교수는	교수/NNG+는/JX
“태교에	“/SS+태교/NNG+에/JKB
가장	가장/MAG
이상적인	이상/NNG+적/XSN+이/VCP+ㄴ/ETM
환경이	환경/NNG+이/JKS
바로	바로/MAG
숲이며	숲/NNG+이/VCP+며/EC
특히	특히/MAG
자연	자연/NNG
음악은	음악/NNG+은/JX
태아	태아/NNG
심장의	심장/NNG+의/JKG
성숙도를	성숙도/NNG+를/JKO
증가시킨다”고	증가/NNG+시키/XSV+ㄴ다/EF+”/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.98.8.1
불교계가 운영하는 ‘템플스테이’는 바로 그런 숲 태교에 가장 효과적이고 실용적인 방법 중 하나다.

불교계가	불교/NNG+계/XSN+가/JKS
운영하는	운영/NNG+하/XSV+는/ETM
‘템플스테이’는	‘/SS+템플스테이/NNG+’/SS+는/JX
바로	바로/MAG
그런	그런/MMD
숲	숲/NNG
태교에	태교/NNG+에/JKB
가장	가장/MAG
효과적이고	효과/NNG+적/XSN+이/VCP+고/EC
실용적인	실용/NNG+적/XSN+이/VCP+ㄴ/ETM
방법	방법/NNG
중	중/NNB
하나다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000033.98.8.2
전국 명산의 굽이굽이에 들어선 전통사찰을 활용해 가장 편안하고 안락하게 숲을 누릴 수 있기 때문이다.

전국	전국/NNG
명산의	명산/NNG+의/JKG
굽이굽이에	굽이굽이/NNG+에/JKB
들어선	들어서/VV+ㄴ/ETM
전통사찰을	전통/NNG+사찰/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
가장	가장/MAG
편안하고	편안/NNG+하/XSA+고/EC
안락하게	안락/NNG+하/XSA+게/EC
숲을	숲/NNG+을/JKO
누릴	누리/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.98.9.1
그 때문에 템플스테이를 활용한 태교, 특히 부부의 태교여행은 유산의 위험이 높은 임신 초기나 출산예정일을 앞둔 시기를 제외하면 자연과 호흡하기에는 최적의 환경으로 평가받는다.

그	그/MMD
때문에	때문/NNB+에/JKB
템플스테이를	템플스테이/NNG+를/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
태교,	태교/NNG+,/SP
특히	특히/MAG
부부의	부부/NNG+의/JKG
태교여행은	태교/NNG+여행/NNG+은/JX
유산의	유산/NNG+의/JKG
위험이	위험/NNG+이/JKS
높은	높/VA+은/ETM
임신	임신/NNG
초기나	초기/NNG+나/JC
출산예정일을	출산/NNG+예정일/NNG+을/JKO
앞둔	앞두/VV+ㄴ/ETM
시기를	시기/NNG+를/JKO
제외하면	제외/NNG+하/XSV+면/EC
자연과	자연/NNG+과/JKB
호흡하기에는	호흡/NNG+하/XSV+기에/EC+는/JX
최적의	최적/NNG+의/JKG
환경으로	환경/NNG+으로/JKB
평가받는다.	평가/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000033.98.10.1
어느새 도입 10주년을 맞은 템플스테이가 초기의 엄숙한 프로그램에서 탈피해 도시인들의 휴식을 위한 자율형 템플스테이가 늘면서 신선한 공기와 완벽한 자유를 찾아 태교여행을 떠나길 원하는 부부들로부터도 호평을 받기 시작했다.

어느새	어느새/MAG
도입	도입/NNG
10주년을	10/SN+주년/NNB+을/JKO
맞은	맞/VV+은/ETM
템플스테이가	템플스테이/NNG+가/JKS
초기의	초기/NNG+의/JKG
엄숙한	엄숙하/VA+ㄴ/ETM
프로그램에서	프로그램/NNG+에서/JKB
탈피해	탈피/NNG+하/XSV+아/EC
도시인들의	도시인/NNG+들/XSN+의/JKG
휴식을	휴식/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
자율형	자율/NNG+형/XSN
늘면서	늘/VV+면서/EC
신선한	신선하/VA+ㄴ/ETM
공기와	공기/NNG+와/JC
완벽한	완벽/NNG+하/XSA+ㄴ/ETM
자유를	자유/NNG+를/JKO
찾아	찾/VV+아/EC
태교여행을	태교/NNG+여행/NNG+을/JKO
떠나길	떠나/VV+기/ETN+ㄹ/JKO
원하는	원/NNG+하/XSV+는/ETM
부부들로부터도	부부/NNG+들/XSN+로부터/JKB+도/JX
호평을	호평/NNG+을/JKO
받기	받/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.98.11.1
“아이는 엄마의 마음을 세포로 직접 받아들입니다.

“아이는	“/SS+아이/NNG+는/JX
엄마의	엄마/NNG+의/JKG
마음을	마음/NNG+을/JKO
세포로	세포/NNG+로/JKB
직접	직접/MAG
받아들입니다.	받아들이/VV+ㅂ니다/EF+./SF


# id : NWRW1800000033.98.11.2
임신부들이 사찰에서 편안하게 자연을 즐기고 명상을 하는 것만으로도 그 무엇과도 비교할 수 없는 최고의 태교법이 될 겁니다.”(경기 화성 용주사 연수국장 대현 스님)

임신부들이	임신부/NNG+들/XSN+이/JKS
사찰에서	사찰/NNG+에서/JKB
편안하게	편안/NNG+하/XSA+게/EC
자연을	자연/NNG+을/JKO
즐기고	즐기/VV+고/EC
명상을	명상/NNG+을/JKO
하는	하/VV+는/ETM
것만으로도	것/NNB+만/JX+으로/JKB+도/JX
그	그/MMD
무엇과도	무엇/NP+과/JKB+도/JX
비교할	비교/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
최고의	최고/NNG+의/JKG
태교법이	태교법/NNG+이/JKC
될	되/VV+ㄹ/ETM
겁니다.”(경기	거/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS+(/SS+경기/NNP
화성	화성/NNP
용주사	용주사/NNP
연수국장	연수국장/NNG
대현	대현/NNP
스님)	스님/NNG+)/SS


# id : NWRW1800000033.98.12.1
최근 상당수 사찰들이 임신부 및 태아의 건강과 감성에 도움이 되는 숲길과 휴식 공간을 마련하고 태교여행자들에게 손짓하고 있다.

최근	최근/NNG
상당수	상당수/NNG
사찰들이	사찰/NNG+들/XSN+이/JKS
임신부	임신부/NNG
및	및/MAG
태아의	태아/NNG+의/JKG
건강과	건강/NNG+과/JC
감성에	감성/NNG+에/JKB
도움이	도움/NNG+이/JKC
되는	되/VV+는/ETM
숲길과	숲길/NNG+과/JC
휴식	휴식/NNG
공간을	공간/NNG+을/JKO
마련하고	마련/NNG+하/XSV+고/EC
태교여행자들에게	태교/NNG+여행자/NNG+들/XSN+에게/JKB
손짓하고	손짓/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.98.12.2
임신부라면 엄격한 템플스테이의 규칙에서 벗어나 자유롭게 누워서 명상을 하거나 자연을 만끽할 수도 있다.

임신부라면	임신부/NNG+이/VCP+라면/EC
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
템플스테이의	템플스테이/NNG+의/JKG
규칙에서	규칙/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
자유롭게	자유/NNG+롭/XSA+게/EC
누워서	눕/VV+어서/EC
명상을	명상/NNG+을/JKO
하거나	하/VV+거나/EC
자연을	자연/NNG+을/JKO
만끽할	만끽/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.98.13.1
특히 부부의 사찰 태교여행을 위해서 가장 중요한 조건은 임신부를 위한 편안한 숙소다.

특히	특히/MAG
부부의	부부/NNG+의/JKG
사찰	사찰/NNG
태교여행을	태교/NNG+여행/NNG+을/JKO
위해서	위하/VV+아서/EC
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
조건은	조건/NNG+은/JX
임신부를	임신부/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
편안한	편안/NNG+하/XSA+ㄴ/ETM
숙소다.	숙소/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.98.13.2
최근 템플스테이의 대중화에 맞춰 시설 현대화 작업이 확산되면서 단체숙식에서 벗어나 가족이 함께 사용할 수 있는 2인실 방사(房舍)가 대폭 늘어난 점도 고무적이다.

최근	최근/NNG
템플스테이의	템플스테이/NNG+의/JKG
대중화에	대중/NNG+화/XSN+에/JKB
맞춰	맞추/VV+어/EC
시설	시설/NNG
현대화	현대/NNG+화/XSN
작업이	작업/NNG+이/JKS
확산되면서	확산/NNG+되/XSV+면서/EC
단체숙식에서	단체/NNG+숙식/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
가족이	가족/NNG+이/JKS
함께	함께/MAG
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
2인실	2인실/NNG
방사(房舍)가	방사/NNG+(/SS+房舍/SH+)/SS+가/JKS
대폭	대폭/MAG
늘어난	늘어나/VV+ㄴ/ETM
점도	점/NNG+도/JX
고무적이다.	고무/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000033.98.14.1
2009년 문을 연 충남 공주의 전통불교문화원은 2인실에서 8인실까지 현대적이고 정갈한 숙박시설을 마련해 호평을 받고 있다.

2009년	2009/SN+년/NNB
문을	문/NNG+을/JKO
연	열/VV+ㄴ/ETM
충남	충남/NNP
공주의	공주/NNP+의/JKG
전통불교문화원은	전통불교문화원/NNP+은/JX
2인실에서	2인실/NNG+에서/JKB
8인실까지	8인실/NNG+까지/JX
현대적이고	현대/NNG+적/XSN+이/VCP+고/EC
정갈한	정갈하/VA+ㄴ/ETM
숙박시설을	숙박/NNG+시설/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
호평을	호평/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.98.14.2
이 밖에 상당수 사찰에서도 템플스테이 체험객이 집중되는 주말만 피한다면 가족이 함께 사용할 수 있는 조용한 방사를 누릴 수 있게 됐다.

이	이/MMD
밖에	밖/NNG+에/JKB
상당수	상당수/NNG
사찰에서도	사찰/NNG+에서/JKB+도/JX
템플스테이	템플스테이/NNG
체험객이	체험객/NNG+이/JKS
집중되는	집중/NNG+되/XSV+는/ETM
주말만	주말/NNG+만/JX
피한다면	피하/VV+ㄴ다면/EC
가족이	가족/NNG+이/JKS
함께	함께/MAG
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
조용한	조용하/VA+ㄴ/ETM
방사를	방사/NNG+를/JKO
누릴	누리/VV+ㄹ/ETM
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.98.15.1
숙박형 템플스테이가 부담스럽다면 하루 일정으로 가족이 함께 숲과 사찰 체험을 할 수 있는 ‘템플 라이프’ 프로그램도 고려할 만하다.

숙박형	숙박/NNG+형/XSN
템플스테이가	템플스테이/NNG+가/JKS
부담스럽다면	부담/NNG+스럽/XSA+다면/EC
하루	하루/NNG
일정으로	일정/NNG+으로/JKB
가족이	가족/NNG+이/JKS
함께	함께/MAG
숲과	숲/NNG+과/JC
사찰	사찰/NNG
체험을	체험/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘템플	‘/SS+템플/NNG
라이프’	라이프/NNG+’/SS
프로그램도	프로그램/NNG+도/JX
고려할	고려/NNG+하/XSV+ㄹ/ETM
만하다.	만/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000033.98.16.1
전통식 사찰 건물이 주는 편안함은 물론이고 고기와 자극적인 음식인 오신채(마늘, 파, 부추, 달래, 흥거)가 빠진 사찰음식 또한 임신부들에겐 빼놓을 수 없는 장점이다.

전통식	전통식/NNG
사찰	사찰/NNG
건물이	건물/NNG+이/JKS
주는	주/VV+는/ETM
편안함은	편안/NNG+하/XSA+ㅁ/ETN+은/JX
물론이고	물론/NNG+이/VCP+고/EC
고기와	고기/NNG+와/JC
자극적인	자극/NNG+적/XSN+이/VCP+ㄴ/ETM
음식인	음식/NNG+이/VCP+ㄴ/ETM
오신채(마늘,	오신채/NNG+(/SS+마늘/NNG+,/SP
파,	파/NNG+,/SP
부추,	부추/NNG+,/SP
달래,	달래/NNG+,/SP
흥거)가	흥거/NNG+)/SS+가/JKS
빠진	빠지/VV+ㄴ/ETM
사찰음식	사찰/NNG+음식/NNG
또한	또한/MAG
임신부들에겐	임신부/NNG+들/XSN+에게/JKB+ㄴ/JX
빼놓을	빼놓/VV+을/ETM
수	수/NNB
없는	없/VA+는/ETM
장점이다.	장점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.98.17.1
용주사 대현(大玄) 스님은 “불가에서는 참선을 통해 자신을 정화해야 태내에 좋은 인연이 들어설 수 있다고 한다”며 “태아가 잠들지 않고 깨어있는 오후 8시경 사찰 경내를 조용히 걸어보거나 자연의 기운이 가장 충만한 시간인 새벽녘을 활용해 숲길의 고요함을 경험해 보라”고 권했다.

용주사	용주사/NNP
대현(大玄)	대현/NNP+(/SS+大玄/SH+)/SS
스님은	스님/NNG+은/JX
“불가에서는	“/SS+불가/NNG+에서/JKB+는/JX
참선을	참선/NNG+을/JKO
통해	통하/VV+아/EC
자신을	자신/NNG+을/JKO
정화해야	정화/NNG+하/XSV+아야/EC
태내에	태내/NNG+에/JKB
좋은	좋/VA+은/ETM
인연이	인연/NNG+이/JKS
들어설	들어서/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
한다”며	하/VV+ㄴ다/EF+”/SS+며/EC
“태아가	“/SS+태아/NNG+가/JKS
잠들지	잠들/VV+지/EC
않고	않/VX+고/EC
깨어있는	깨/VV+어/EC+있/VX+는/ETM
오후	오후/NNG
8시경	8/SN+시/NNB+경/XSN
사찰	사찰/NNG
경내를	경내/NNG+를/JKO
조용히	조용히/MAG
걸어보거나	걷/VV+어/EC+보/VX+거나/EC
자연의	자연/NNG+의/JKG
기운이	기운/NNG+이/JKS
가장	가장/MAG
충만한	충만/NNG+하/XSA+ㄴ/ETM
시간인	시간/NNG+이/VCP+ㄴ/ETM
새벽녘을	새벽녘/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
숲길의	숲길/NNG+의/JKG
고요함을	고요/NNG+하/XSA+ㅁ/ETN+을/JKO
경험해	경험/NNG+하/XSV+아/EC
보라”고	보/VX+라/EF+”/SS+고/JKQ
권했다.	권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.98.18.1
주말형 템플스테이의 인기를 바탕으로 이제는 1년 365일 언제든 산사에서 쉬어갈 수 있는 ‘휴식형 템플스테이’가 대폭 늘어난 것도 주목할 만한 변화다.

주말형	주말/NNG+형/XSN
템플스테이의	템플스테이/NNG+의/JKG
인기를	인기/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
이제는	이제/NNG+는/JX
1년	1/SN+년/NNB
365일	365/SN+일/NNB
언제든	언제/NP+든/JX
산사에서	산사/NNG+에서/JKB
쉬어갈	쉬/VV+어/EC+가/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘휴식형	‘/SS+휴식/NNG+형/XSN
템플스테이’가	템플스테이/NNG+’/SS+가/JKS
대폭	대폭/MAG
늘어난	늘어나/VV+ㄴ/ETM
것도	것/NNB+도/JX
주목할	주목/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
변화다.	변화/NNG+이/VCP+다/EF+./SF


