# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.434
metadata : {}


# id : NWRW1800000032.434.1.1
수제비에 핫도그까지 ‘우리밀의 진화’

수제비에	수제비/NNG+에/JKB
모아	모으/VV+아/EC
건조대와	건조대/NNG+와/JC
포장실로	포장실/NNG+로/JKB
옮기느라	옮기/VV+느라/EC
바쁘게	바쁘/VA+게/EC
움직였다.	움직이/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.434.4.1
우리밀 산업이 1차 산업인 생산에서 나아가, 2·3차 산업인 가공·유통으로 진화하고 있다.

우리밀	우리/NP+밀/NNG
산업이	산업/NNG+이/JKS
1차	1/SN+차/NNB
산업인	산업/NNG+이/VCP+ㄴ/ETM
생산에서	생산/NNG+에서/JKB
나아가,	나아가/VV+아/EC+,/SP
2·3차	2/SN+·/SP+3/SN+차/NNB
가공·유통으로	가공/NNG+·/SP+유통/NNG+으로/JKB
진화하고	진화/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.434.4.2
우리밀농협과 생산자단체 등 8개 단체가 설립한 우리밀식품㈜이 최근 광주 평동산단 2단지에 우리밀 가공공장을 준공했다.

우리밀농협과	우리밀농협/NNP+과/JC
생산자단체	생산자/NNG+단체/NNG
등	등/NNB
8개	8/SN+개/NNB
단체가	단체/NNG+가/JKS
설립한	설립/NNG+하/XSV+ㄴ/ETM
우리밀식품㈜이	우리밀식품/NNP+㈜/SW+이/JKS
최근	최근/MAG
광주	광주/NNP
평동산단	평동산단/NNP
2단지에	2/SN+단지/NNG+에/JKB
우리밀	우리/NP+밀/NNG
가공공장을	가공/NNG+공장/NNG+을/JKO
준공했다.	준공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.434.4.3
우리밀만을 원료로 사용해 국수·쫄면·수제비·핫도그 등을 생산하는 전문 가공공장이 세워진 것은 국내에서 처음이다.

우리밀만을	우리/NP+밀/NNG+만/JX+을/JKO
원료로	원료/NNG+로/JKB
사용해	사용/NNG+하/XSV+아/EC
국수·쫄면·수제비·핫도그	국수/NNG+·/SP+쫄면/NNG+·/SP+수제비/NNG+·/SP+핫도그/NNG
등을	등/NNB+을/JKO
생산하는	생산/NNG+하/XSV+는/ETM
전문	전문/NNG
가공공장이	가공/NNG+공장/NNG+이/JKS
세워진	세우/VV+어/EC+지/VX+ㄴ/ETM
것은	것/NNB+은/JX
국내에서	국내/NNG+에서/JKB
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.434.5.1
최강은 우리밀식품 대표는 “광주는 우리밀의 주산지이고 생산자들이 잘 조직돼 우리밀 산업을 발전시키는 데 최적의 공간”이라며 “지리적 표시제 등록과 우리밀 특구 추진 등으로 분위기가 뜨고 있다”고 말했다.

최강은	최강은/NNP
우리밀식품	우리밀식품/NNP
대표는	대표/NNG+는/JX
“광주는	“/SS+광주/NNP+는/JX
우리밀의	우리/NP+밀/NNG+의/JKG
주산지이고	주산지/NNG+이/VCP+고/EC
생산자들이	생산자/NNG+들/XSN+이/JKS
잘	잘/MAG
조직돼	조직/NNG+되/XSV+어/EC
우리밀	우리/NP+밀/NNG
산업을	산업/NNG+을/JKO
발전시키는	발전/NNG+시키/XSV+는/ETM
데	데/NNB
최적의	최적/NNG+의/JKG
공간”이라며	공간/NNG+”/SS+이/VCP+라며/EC
“지리적	“/SS+지리/NNG+적/XSN
표시제	표시/NNG+제/XSN
등록과	등록/NNG+과/JKB
특구	특구/NNG
추진	추진/NNG
등으로	등/NNB+으로/JKB
분위기가	분위기/NNG+가/JKS
뜨고	뜨/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.434.6.1
우리밀식품은 이 공장 가동을 계기로 가공과 유통으로 영역을 확장할 태세다.

우리밀식품은	우리밀식품/NNP+은/JX
이	이/MMD
공장	공장/NNG
가동을	가동/NNG+을/JKO
계기로	계기/NNG+로/JKB
가공과	가공/NNG+과/JC
유통으로	유통/NNG+으로/JKB
영역을	영역/NNG+을/JKO
확장할	확장/NNG+하/XSV+ㄹ/ETM
태세다.	태세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.434.6.2
터 1만여㎡에 건축 면적 2000㎡로 위해요소관리기준(HACCP)에 맞춰 친환경 공장을 짓는 데는 26억원을 들였다.

터	터/NNG
1만여㎡에	1/SN+만/NR+여/XSN+㎡/SW+에/JKB
건축	건축/NNG
면적	면적/NNG
2000㎡로	2000/SN+㎡/SW+로/JKB
위해요소관리기준(HACCP)에	위해/NNG+요소/NNG+관리/NNG+기준/NNG+(/SS+HACCP/SL+)/SS+에/JKB
맞춰	맞추/VV+어/EC
친환경	친/XPN+환경/NNG
공장을	공장/NNG+을/JKO
짓는	짓/VV+는/ETM
데는	데/NNB+는/JX
26억원을	26/SN+억/NR+원/NNB+을/JKO
들였다.	들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.434.6.3
이곳에서 한 해 1200t의 우리밀을 써 만든 제품들은 ‘우리밀로(路)’라는 상표를 붙여 전국의 친환경네트워크, 농협급식사업단 등에 공급된다.

이곳에서	이곳/NP+에서/JKB
한	한/MMN
해	해/NNB
1200t의	1200/SN+t/SW+의/JKG
우리밀을	우리/NP+밀/NNG+을/JKO
써	쓰/VV+어/EC
만든	만들/VV+ㄴ/ETM
제품들은	제품/NNG+들/XSN+은/JX
‘우리밀로(路)’라는	‘/SS+우리밀로/NNP+(/SS+路/SH+)/SS+’/SS+이/VCP+라는/ETM
상표를	상표/NNG+를/JKO
붙여	붙이/VV+어/EC
전국의	전국/NNG+의/JKG
친환경네트워크,	친/XPN+환경/NNG+네트워크/NNG+,/SP
농협급식사업단	농협급식사업단/NNP
등에	등/NNB+에/JKB
공급된다.	공급/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.434.7.1
우리밀식품은 우리밀 칼국수 점포망도 전국으로 확대할 예정이다.

우리밀식품은	우리밀식품/NNP+은/JX
우리밀	우리/NP+밀/NNG
칼국수	칼국수/NNG
점포망도	점포망/NNG+도/JX
전국으로	전국/NNG+으로/JKB
확대할	확대/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.434.7.2
지난해 8월부터 광주에 상무·용봉점 2곳을 개설해 직영한 것을 시작으로, 오는 10월엔 수도권을 중심으로 가맹점 30여곳을 모집하기로 했다.

지난해	지난해/NNG
8월부터	8/SN+월/NNB+부터/JX
광주에	광주/NNP+에/JKB
상무·용봉점	상무/NNP+·/SP+용봉점/NNP
2곳을	2/SN+곳/NNG+을/JKO
개설해	개설/NNG+하/XSV+아/EC
직영한	직영/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
시작으로,	시작/NNG+으로/JKB+,/SP
오는	오/VV+는/ETM
10월엔	10/SN+월/NNB+에/JKB+ㄴ/JX
수도권을	수도/NNG+권/XSN+을/JKO
중심으로	중심/NNG+으로/JKB
가맹점	가맹점/NNG
30여곳을	30/SN+여/XSN+곳/NNG+을/JKO
모집하기로	모집/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.434.8.1
김성찬(37) 우리밀식품 사업운영팀 과장은 “첫해 매출 예상액은 40억원”이라며 “군대·학교·기업의 단체급식과 친환경 매장 등지로 전국 판매망을 넓혀 3년 안에 연 매출을 100억원으로 끌어올리겠다”고 말했다.

김성찬(37)	김성찬/NNP+(/SS+37/SN+)/SS
우리밀식품	우리밀식품/NNP
사업운영팀	사업/NNG+운영/NNG+팀/NNG
과장은	과장/NNG+은/JX
“첫해	“/SS+첫해/NNG
매출	매출/NNG
예상액은	예상액/NNG+은/JX
40억원”이라며	40/SN+억/NR+원/NNB+”/SS+이/VCP+라며/EC
“군대·학교·기업의	“/SS+군대/NNG+·/SP+학교/NNG+·/SP+기업/NNG+의/JKG
단체급식과	단체/NNG+급식/NNG+과/JC
친환경	친/XPN+환경/NNG
매장	매장/NNG
등지로	등지/NNB+로/JKB
전국	전국/NNG
판매망을	판매망/NNG+을/JKO
넓혀	넓히/VV+어/EC
3년	3/SN+년/NNB
안에	안/NNG+에/JKB
연	연/NNG
매출을	매출/NNG+을/JKO
100억원으로	100/SN+억/NR+원/NNB+으로/JKB
끌어올리겠다”고	끌어올리/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.434.9.1
지역마다 친환경 우리밀에 대한 관심이 높아지면서 20년 전 종자 24㎏으로 시작했던 전국의 우리밀 농사는 올해 재배면적 1만7000㏊, 생산량 4만t으로 확대되어 자급률 2% 수준에 이르렀다.

지역마다	지역/NNG+마다/JX
친환경	친/XPN+환경/NNG
우리밀에	우리/NP+밀/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심이	관심/NNG+이/JKS
높아지면서	높아지/VV+면서/EC
20년	20/SN+년/NNB
전	전/MMD
종자	종자/NNG
24㎏으로	24/SN+㎏/SW+으로/JKB
시작했던	시작/NNG+하/XSV+았/EP+던/ETM
전국의	전국/NNG+의/JKG
우리밀	우리/NP+밀/NNG
농사는	농사/NNG+는/JX
올해	올해/NNG
재배면적	재배/NNG+면적/NNG
1만7000㏊,	1/SN+만/NR+7000/SN+㏊/SW+,/SP
생산량	생산량/NNG
4만t으로	4/SN+만/NR+t/SW+으로/JKB
확대되어	확대/NNG+되/XSV+어/EC
자급률	자급/NNG+률/XSN
2%	2/SN+%/SW
수준에	수준/NNG+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


