# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.257
metadata : {}


# id : NWRW1800000054.257.1.1
中, 탁구 코리아오픈 불참하더니 청소년 축구대회 한국 참가 막아

中,	中/SH+,/SP
아니겠느냐"고	아니/VCN+겠/EP+느냐/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.257.4.4
이처럼 대회를 한 달 앞두고 일방적으로 참가국 일정을 취소하는 것은 국제 대회상 전례가 드문 일이다.

이처럼	이/NP+처럼/JKB
대회를	대회/NNG+를/JKO
한	한/MMN
달	달/NNB
앞두고	앞두/VV+고/EC
일방적으로	일방/NNG+적/XSN+으로/JKB
참가국	참가국/NNG
일정을	일정/NNG+을/JKO
취소하는	취소/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
국제	국제/NNG
대회상	대회/NNG+상/XSN
전례가	전례/NNG+가/JKS
드문	드물/VA+ㄴ/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.257.4.5
정정용 감독이 이끄는 18세 이하 대표팀은 판다컵에 출전해 조직력을 다진 뒤 올해 10월 열리는 AFC(아시아축구연맹) 19세 이하 챔피언십 예선에 출전할 예정이었다.

정정용	정정용/NNP
감독이	감독/NNG+이/JKS
이끄는	이끌/VV+는/ETM
18세	18/SN+세/NNB
이하	이하/NNG
대표팀은	대표/NNG+팀/NNG+은/JX
판다컵에	판다컵/NNG+에/JKB
출전해	출전/NNG+하/XSV+아/EC
조직력을	조직력/NNG+을/JKO
다진	다지/VV+ㄴ/ETM
뒤	뒤/NNG
올해	올해/NNG
10월	10/SN+월/NNB
열리는	열리/VV+는/ETM
AFC(아시아축구연맹)	AFC/SL+(/SS+아시아축구연맹/NNP+)/SS
19세	19/SN+세/NNB
챔피언십	챔피언십/NNG
예선에	예선/NNG+에/JKB
출전할	출전/NNG+하/XSV+ㄹ/ETM
예정이었다.	예정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.257.4.6
하지만 갑작스레 대회 참가가 불가능해지면서 일정에 차질을 빚게 됐다.

하지만	하지만/MAJ
갑작스레	갑작스레/MAG
대회	대회/NNG
참가가	참가/NNG+가/JKS
불가능해지면서	불/XPN+가능/NNG+하/XSA+아/EC+지/VX+면서/EC
일정에	일정/NNG+에/JKB
차질을	차질/NNG+을/JKO
빚게	빚/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.257.5.1
축구뿐 아니다.

축구뿐	축구/NNG+뿐/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000054.257.5.2
중국은 18일 인천에서 개막한 코리아오픈 국제탁구대회에 이례적으로 선수단을 파견하지 않았다.

중국은	중국/NNP+은/JX
18일	18/SN+일/NNB
인천에서	인천/NNP+에서/JKB
개막한	개막/NNG+하/XSV+ㄴ/ETM
코리아오픈	코리아/NNP+오픈/NNG
국제탁구대회에	국제/NNG+탁구/NNG+대회/NNG+에/JKB
이례적으로	이례/NNG+적/XSN+으로/JKB
선수단을	선수단/NNG+을/JKO
파견하지	파견/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.257.5.3
중국 측은 자국 리그 일정이 겹친 2010년과 한국에서 메르스 사태가 벌어진 2015년을 제외하곤 줄곧 이 대회에 참가해왔다.

중국	중국/NNP
측은	측/NNB+은/JX
자국	자국/NNG
리그	리그/NNG
일정이	일정/NNG+이/JKS
겹친	겹치/VV+ㄴ/ETM
2010년과	2010/SN+년/NNB+과/JC
한국에서	한국/NNP+에서/JKB
메르스	메르스/NNG
사태가	사태/NNG+가/JKS
벌어진	벌어지/VV+ㄴ/ETM
2015년을	2015/SN+년/NNB+을/JKO
제외하곤	제외/NNG+하/XSV+곤/EC
줄곧	줄곧/MAG
이	이/MMD
대회에	대회/NNG+에/JKB
참가해왔다.	참가/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.257.5.4
탁구계 한 인사는 "사드가 아니고선 중국의 대회 불참을 설명하기 어려울 것 같다"고 말했다.

탁구계	탁구/NNG+계/XSN
한	한/MMN
인사는	인사/NNG+는/JX
"사드가	"/SS+사드/NNG+가/JKS
아니고선	아니/VCN+고서/EC+ㄴ/JX
중국의	중국/NNP+의/JKG
대회	대회/NNG
불참을	불참/NNG+을/JKO
설명하기	설명/NNG+하/XSV+기/ETN
어려울	어렵/VA+ㄹ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


