# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.8
metadata : {}


# id : NWRW1800000025.8.1.1
‘조정역할’ 허태열 의원, 지역구 챙기기 논란

‘조정역할’	‘/SS+조정/NNG+역할/NNG+’/SS
앞서	앞서/VV+어/EC
헌법재판소는	헌법/NNG+재판소/NNG+는/JX
2007년	2007/SN+년/NNB
3월	3/SN+월/NNB
인구편차를	인구/NNG+편차/NNG+를/JKO
고려하지	고려/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
광역	광역/NNG
선거구에	선거구/NNG+에/JKB
대해	대하/VV+아/EC
헌법불합치	헌법/NNG+불/XPN+합치/NNG
판결을	판결/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.8.3.3
헌재는 선거구당 평균 인구의 40%에 미치지 못하는 선거구는 통폐합하도록 했다.

헌재는	헌재/NNG+는/JX
선거구당	선거구/NNG+당/XSN
평균	평균/NNG
인구의	인구/NNG+의/JKG
40%에	40/SN+%/SW+에/JKB
미치지	미치/VV+지/EC
못하는	못하/VX+는/ETM
선거구는	선거구/NNG+는/JX
통폐합하도록	통폐합/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.8.4.1
그러나 본회의를 통과한 선거법 개정안에 부산 강서구 제1, 제2선거구가 그대로 살아남아 논란이 됐다.

그러나	그러나/MAJ
본회의를	본회의/NNG+를/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
선거법	선거법/NNG
개정안에	개정안/NNG+에/JKB
부산	부산/NNP
강서구	강서구/NNP
제1,	제/XPN+1/SN+,/SP
제2선거구가	제/XPN+2/SN+선거구/NNG+가/JKS
그대로	그대로/MAG
살아남아	살아남/VV+아/EC
논란이	논란/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.8.4.2
두 선거구는 최소 선거구 기준 인구(3만3805명)보다 적어 하나의 선거구로 합쳐져야 했지만 살아남았다.

두	두/MMN
선거구는	선거구/NNG+는/JX
최소	최소/NNG
선거구	선거구/NNG
기준	기준/NNG
인구(3만3805명)보다	인구/NNG+(/SS+3/SN+만/NR+3805/SN+명/NNB+)/SS+보다/JKB
적어	적/VA+어/EC
하나의	하나/NR+의/JKG
선거구로	선거구/NNG+로/JKB
합쳐져야	합치/VV+어/EC+지/VX+어야/EC
했지만	하/VX+았/EP+지만/EC
살아남았다.	살아남/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.8.4.3
부산 강서구는 한나라당 허태열 의원의 지역구(부산 북-강서을)에 속한다.

부산	부산/NNP
강서구는	강서구/NNP+는/JX
한나라당	한나라당/NNP
허태열	허태열/NNP
의원의	의원/NNG+의/JKG
지역구(부산	지역구/NNG+(/SS+부산/NNP
북-강서을)에	북-강서을/NNP+)/SS+에/JKB
속한다.	속하/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.8.4.4
허 의원은 정개특위에서 여야 간 최종 선거구 조정 협상 때 여당 측 대표였다.

허	허/NNP
의원은	의원/NNG+은/JX
정개특위에서	정개특위/NNG+에서/JKB
여야	여야/NNG
간	간/NNB
최종	최종/NNG
선거구	선거구/NNG
조정	조정/NNG
협상	협상/NNG
때	때/NNG
여당	여당/NNG
측	측/NNB
대표였다.	대표/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.8.5.1
허 의원은 “부산 중구와 부산 강서구의 광역의원이 1명씩 줄고, 느는 지역은 부산 동래구 하나뿐이어서 부산 전체의 광역의원 정원을 현행대로 유지하기 위해 강서구의 선거구를 원래대로 놔뒀다”고 설명했다.

허	허/NNP
의원은	의원/NNG+은/JX
“부산	“/SS+부산/NNP
중구와	중구/NNP+와/JC
부산	부산/NNP
강서구의	강서구/NNP+의/JKG
광역의원이	광역/NNG+의원/NNG+이/JKS
1명씩	1/SN+명/NNB+씩/XSN
줄고,	줄/VV+고/EC+,/SP
느는	늘/VV+는/ETM
지역은	지역/NNG+은/JX
동래구	동래구/NNP
하나뿐이어서	하나/NR+뿐/JX+이/VCP+어서/EC
전체의	전체/NNG+의/JKG
광역의원	광역/NNG+의원/NNG
정원을	정원/NNG+을/JKO
현행대로	현행/NNG+대로/JX
유지하기	유지/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
선거구를	선거구/NNG+를/JKO
원래대로	원래/NNG+대로/JX
놔뒀다”고	놔두/VV+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.8.5.2
그러나 광역의원 의석수 조정 과정에서 35개 선거구가 통폐합된 만큼 형평성 논란이 일 것으로 보인다.

그러나	그러나/MAJ
광역의원	광역/NNG+의원/NNG
의석수	의석수/NNG
조정	조정/NNG
과정에서	과정/NNG+에서/JKB
35개	35/SN+개/NNB
선거구가	선거구/NNG+가/JKS
통폐합된	통폐합/NNG+되/XSV+ㄴ/ETM
만큼	만큼/NNB
형평성	형평/NNG+성/XSN
논란이	논란/NNG+이/JKS
일	일/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


