# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.258
metadata : {}


# id : NWRW1800000040.258.1.1
또 투쟁 내몰린 기륭 노동자들

또	또/MAG
△4대	△/SW+4/SN+대/NNG
보험	보험/NNG
및	및/MAG
체불임금	체불/NNG+임금/NNG
즉각	즉각/MAG
지급	지급/NNG
△생산라인	△/SW+생산/NNG+라인/NNG
설치	설치/NNG
△경영투명성	△/SW+경영/NNG+투명/NNG+성/XSN
보장을	보장/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
집회도	집회/NNG+도/JX
이어갈	잇/VV+어/EC+가/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.258.8.1
김소연 전 분회장은 “내부적으로 문제를 해결하고자 했는데 회사가 ‘어렵다’ ‘생산라인을 가동할 것이니 기다려달라’고만 할 뿐 어떤 경영계획도 뚜렷이 밝히지 않고 있다.

김소연	김소연/NNP
전	전/MMD
분회장은	분회장/NNG+은/JX
“내부적으로	“/SS+내부/NNG+적/XSN+으로/JKB
문제를	문제/NNG+를/JKO
해결하고자	해결/NNG+하/XSV+고자/EC
했는데	하/VX+았/EP+는데/EC
회사가	회사/NNG+가/JKS
‘어렵다’	‘/SS+어렵/VA+다/EF+’/SS
‘생산라인을	‘/SS+생산/NNG+라인/NNG+을/JKO
가동할	가동/NNG+하/XSV+ㄹ/ETM
것이니	것/NNB+이/VCP+니/EC
기다려달라’고만	기다리/VV+어/EC+달/VX+라/EF+’/SS+고/JKQ+만/JX
할	하/VV+ㄹ/ETM
뿐	뿐/NNB
어떤	어떤/MMD
경영계획도	경영/NNG+계획/NNG+도/JX
뚜렷이	뚜렷이/MAG
밝히지	밝히/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.258.8.2
우리는 계속 8층 회의실에서 아침 9시부터 오후 6시까지 대기하고 있다”고 말했다.

우리는	우리/NP+는/JX
계속	계속/MAG
8층	8/SN+층/NNG
회의실에서	회의실/NNG+에서/JKB
아침	아침/NNG
9시부터	9/SN+시/NNB+부터/JX
오후	오후/NNG
6시까지	6/SN+시/NNB+까지/JX
대기하고	대기/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.258.9.1
기륭전자분회는 2005년 8월 불법파견 생산직 노동자의 정규직화를 요구하며 투쟁에 들어가 2010년 11월 정규직 복직 등을 이듬해 이행키로 회사 쪽과 합의했다.

기륭전자분회는	기륭전자/NNP+분회/NNG+는/JX
2005년	2005/SN+년/NNB
8월	8/SN+월/NNB
불법파견	불법/NNG+파견/NNG
생산직	생산직/NNG
노동자의	노동자/NNG+의/JKG
정규직화를	정규직/NNG+화/XSN+를/JKO
요구하며	요구/NNG+하/XSV+며/EC
투쟁에	투쟁/NNG+에/JKB
들어가	들어가/VV+아/EC
2010년	2010/SN+년/NNB
11월	11/SN+월/NNB
정규직	정규직/NNG
복직	복직/NNG
등을	등/NNB+을/JKO
이듬해	이듬해/NNG
이행키로	이행/NNG+하/XSV+기/ETN+로/JKB
회사	회사/NNG
쪽과	쪽/NNB+과/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.258.9.2
하지만 2011년 회사 쪽이 경영상의 이유를 내세워 1년 유예를 요구하고도 계속 복직 약속을 지키지 않자 지난 5월부터 출근을 시작했다.

하지만	하지만/MAJ
2011년	2011/SN+년/NNB
회사	회사/NNG
쪽이	쪽/NNB+이/JKS
경영상의	경영/NNG+상/XSN+의/JKG
이유를	이유/NNG+를/JKO
내세워	내세우/VV+어/EC
1년	1/SN+년/NNB
유예를	유예/NNG+를/JKO
요구하고도	요구/NNG+하/XSV+고/EC+도/JX
계속	계속/MAG
복직	복직/NNG
약속을	약속/NNG+을/JKO
지키지	지키/VV+지/EC
않자	않/VX+자/EC
지난	지나/VV+ㄴ/ETM
5월부터	5/SN+월/NNB+부터/JX
출근을	출근/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


