# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.78
metadata : {}


# id : NWRW1800000022.78.1.1
"독도문제 사법적 해결 마다하지 말아야 한다";백진현씨 '국제해양재판관'에

"독도문제	"/SS+독도/NNP+문제/NNG
교섭을	교섭/NNG+을/JKO
통해서	통하/VV+아서/EC
해결하되	해결/NNG+하/XSV+되/EC
필요할	필요/NNG+하/XSA+ㄹ/ETM
경우	경우/NNG
사법적	사법/NNG+적/XSN
해결을	해결/NNG+을/JKO
추구하는	추구/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
마다하지	마다하/VV+지/EC
말아야	말/VX+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.78.4.3
유엔 사무차장에 준하는 대우를 받는 ITLOS 재판관은 9년 임기로, 연임이 가능하다.

유엔	유엔/NNP
사무차장에	사무/NNG+차장/NNG+에/JKB
준하는	준하/VV+는/ETM
대우를	대우/NNG+를/JKO
받는	받/VV+는/ETM
ITLOS	ITLOS/SL
재판관은	재판관/NNG+은/JX
9년	9/SN+년/NNB
임기로,	임기/NNG+로/JKB+,/SP
연임이	연임/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


