# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.337
metadata : {}


# id : NWRW1800000045.337.1.1
SKT-부산, KT-삼성전자-대구… 사물인터넷 실증단지로 선정

SKT-부산,	SKT/SL+-/SO+부산/NNP+,/SP
발굴	발굴/NNG
가능성이	가능/NNG+성/XSN+이/JKS
크다는	크/VA+다는/ETM
점도	점/NNG+도/JX
높은	높/VA+은/ETM
점수를	점수/NNG+를/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.337.6.4
앞으로 헬스케어 실증단지에서는 청소년 비만관리 및 체력증진, 공군조종사 전투력 관리, 응급상황 알림서비스, 글로벌 협진 서비스 등을 집중적으로 다루게 된다.

앞으로	앞/NNG+으로/JKB
헬스케어	헬스케어/NNG
실증단지에서는	실증/NNG+단지/NNG+에서/JKB+는/JX
청소년	청소년/NNG
비만관리	비만/NNG+관리/NNG
및	및/MAG
체력증진,	체력/NNG+증진/NNG+,/SP
공군조종사	공군/NNG+조종사/NNG
전투력	전투력/NNG
관리,	관리/NNG+,/SP
응급상황	응급/NNG+상황/NNG
알림서비스,	알림/NNG+서비스/NNG+,/SP
글로벌	글로벌/NNG
협진	협진/NNG
서비스	서비스/NNG
등을	등/NNB+을/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
다루게	다루/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.337.7.1
한편 미래부는 실증단지와 별도로 헬스케어 허브센터(가칭), 스마트시티 실증지원센터(가칭)를 개소해 실증단지에서 발굴한 기술을 중소·벤처기업의 신제품 개발과 사업화에 연계할 예정이다.

한편	한편/MAG
미래부는	미래부/NNG+는/JX
실증단지와	실증/NNG+단지/NNG+와/JKB
별도로	별도/NNG+로/JKB
헬스케어	헬스케어/NNG
허브센터(가칭),	허브/NNG+센터/NNG+(/SS+가칭/NNG+)/SS+,/SP
스마트시티	스마트시티/NNG
실증지원센터(가칭)를	실증/NNG+지원/NNG+센터/NNG+(/SS+가칭/NNG+)/SS+를/JKO
개소해	개소/NNG+하/XSV+아/EC
실증단지에서	실증/NNG+단지/NNG+에서/JKB
발굴한	발굴/NNG+하/XSV+ㄴ/ETM
기술을	기술/NNG+을/JKO
중소·벤처기업의	중소/NNG+·/SP+벤처/NNG+기업/NNG+의/JKG
신제품	신/XPN+제품/NNG
개발과	개발/NNG+과/JC
사업화에	사업/NNG+화/XSN+에/JKB
연계할	연계/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


