# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.214
metadata : {}


# id : NWRW1800000053.214.1.1
‘손’ 묶이고 ‘이’도 빠진 슈틸리케

‘손’	‘/SS+손/NNG+’/SS
클래식팀	클래식팀/NNG
개막전을	개막전/NNG+을/JKO
이틀	이틀/NNG
앞둔	앞두/VV+ㄴ/ETM
3일	3/SN+일/NNB
구단에서	구단/NNG+에서/JKB
연습	연습/NNG
경기를	경기/NNG+를/JKO
하다	하/VV+다/EC
왼쪽	왼쪽/NNG
정강이뼈에	정강이뼈/NNG+에/JKB
실금이	실금/NNG+이/JKS
가는	가/VV+는/ETM
부상을	부상/NNG+을/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.214.5.2
최소 한 달 정도는 치료와 재활을 해야 한다.

최소	최소/NNG
한	한/MMN
달	달/NNB
정도는	정도/NNG+는/JX
치료와	치료/NNG+와/JC
재활을	재활/NNG+을/JKO
해야	하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.214.6.1
휴가를 마치고 지난달 20일 대표팀에 복귀한 슈틸리케 감독은 최근까지 경고 누적으로 중국전에 출전하지 못하는 손흥민의 공백을 어떻게 메울지를 고민해 왔다.

휴가를	휴가/NNG+를/JKO
마치고	마치/VV+고/EC
지난달	지난달/NNG
20일	20/SN+일/NNB
대표팀에	대표/NNG+팀/NNG+에/JKB
복귀한	복귀/NNG+하/XSV+ㄴ/ETM
슈틸리케	슈틸리케/NNP
감독은	감독/NNG+은/JX
최근까지	최근/NNG+까지/JX
경고	경고/NNG
누적으로	누적/NNG+으로/JKB
중국전에	중국전/NNG+에/JKB
출전하지	출전/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
손흥민의	손흥민/NNP+의/JKG
공백을	공백/NNG+을/JKO
어떻게	어떻/VA+게/EC
메울지를	메우/VV+ㄹ지/EF+를/JKO
고민해	고민/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.214.6.2
가장 확실한 대안은 이재성이었다.

가장	가장/MAG
확실한	확실하/VA+ㄴ/ETM
대안은	대안/NNG+은/JX
이재성이었다.	이재성/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.214.6.3
그는 우즈베키스탄과의 경기에서 0-1로 뒤진 후반에 교체 투입돼 짜릿한 역전승의 발판을 마련했다.

그는	그/NP+는/JX
우즈베키스탄과의	우즈베키스탄/NNP+과/JKB+의/JKG
경기에서	경기/NNG+에서/JKB
0-1로	0/SN+-/SO+1/SN+로/JKB
뒤진	뒤지/VV+ㄴ/ETM
후반에	후반/NNG+에/JKB
교체	교체/NNG
투입돼	투입/NNG+되/XSV+어/EC
짜릿한	짜릿하/VA+ㄴ/ETM
역전승의	역전승/NNG+의/JKG
발판을	발판/NNG+을/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.214.6.4
상대 수비를 헤집으며 공간을 마련한 이재성이 아니었다면 남태희의 동점골과 김신욱의 역전골은 나올 수 없었다.

상대	상대/NNG
수비를	수비/NNG+를/JKO
헤집으며	헤집/VV+으며/EC
공간을	공간/NNG+을/JKO
마련한	마련/NNG+하/XSV+ㄴ/ETM
이재성이	이재성/NNP+이/JKC
아니었다면	아니/VCN+었/EP+다면/EC
남태희의	남태희/NNP+의/JKG
동점골과	동점/NNG+골/NNG+과/JC
김신욱의	김신욱/NNP+의/JKG
역전골은	역전/NNG+골/NNG+은/JX
나올	나오/VV+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000053.214.7.1
한국은 3승 1무 3패(승점 10)로 A조 2위에 올라 있다.

한국은	한국/NNP+은/JX
3승	3/SN+승/NNB
1무	1/SN+무/NNB
3패(승점	3/SN+패/NNB+(/SS+승점/NNG
10)로	10/SN+)/SS+로/JKB
A조	A/SL+조/NNG
2위에	2/SN+위/NNB+에/JKB
올라	오르/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.214.7.2
중국은 최하위인 6위(2무 3패·승점 2)다.

중국은	중국/NNP+은/JX
최하위인	최/XPN+하위/NNG+이/VCP+ㄴ/ETM
6위(2무	6/SN+위/NNB+(/SS+2/SN+무/NNB
3패·승점	3/SN+패/NNB+·/SP+승점/NNG
2)다.	2/SN+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000053.214.7.3
그래도 중국은 결코 만만한 상대가 아니다.

그래도	그래도/MAJ
중국은	중국/NNP+은/JX
결코	결코/MAG
만만한	만만하/VA+ㄴ/ETM
상대가	상대/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000053.214.7.4
지난해 9월에 열린 안방경기에서 한국은 중국을 3-2로 간신히 이겼다.

지난해	지난해/NNG
9월에	9/SN+월/NNB+에/JKB
열린	열리/VV+ㄴ/ETM
안방경기에서	안방/NNG+경기/NNG+에서/JKB
한국은	한국/NNP+은/JX
중국을	중국/NNP+을/JKO
3-2로	3/SN+-/SO+2/SN+로/JKB
간신히	간신히/MAG
이겼다.	이기/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.214.8.1
중국은 지난해 10월 마르첼로 리피 감독(69)을 대표팀 사령탑으로 선임하면서 조직력이 크게 강화됐다는 평가를 받고 있다.

중국은	중국/NNP+은/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
마르첼로	마르첼로/NNP
리피	리피/NNP
감독(69)을	감독/NNG+(/SS+69/SN+)/SS+을/JKO
대표팀	대표/NNG+팀/NNG
사령탑으로	사령탑/NNG+으로/JKB
선임하면서	선임/NNG+하/XSV+면서/EC
조직력이	조직력/NNG+이/JKS
크게	크/VA+게/EC
강화됐다는	강화/NNG+되/XSV+었/EP+다는/ETM
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.214.8.2
유벤투스 사령탑으로 이탈리아 세리에A 5회 우승과 유럽축구연맹(UEFA) 챔피언스리그 우승을 경험한 리피 감독은 2006년 독일 월드컵에서 이탈리아를 우승으로 이끈 세계적인 명장이다.

유벤투스	유벤투스/NNP
사령탑으로	사령탑/NNG+으로/JKB
이탈리아	이탈리아/NNP
세리에A	세리에A/NNG
5회	5/SN+회/NNB
우승과	우승/NNG+과/JC
유럽축구연맹(UEFA)	유럽축구연맹/NNP+(/SS+UEFA/SL+)/SS
챔피언스리그	챔피언스리그/NNG
우승을	우승/NNG+을/JKO
경험한	경험/NNG+하/XSV+ㄴ/ETM
리피	리피/NNP
감독은	감독/NNG+은/JX
2006년	2006/SN+년/NNB
독일	독일/NNP
월드컵에서	월드컵/NNG+에서/JKB
이탈리아를	이탈리아/NNP+를/JKO
우승으로	우승/NNG+으로/JKB
이끈	이끌/VV+ㄴ/ETM
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
명장이다.	명장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.214.9.1
최종예선에서 아직 승리가 없는 중국은 사실상 월드컵 본선 진출이 어렵다.

최종예선에서	최종/NNG+예선/NNG+에서/JKB
아직	아직/MAG
승리가	승리/NNG+가/JKS
없는	없/VA+는/ETM
중국은	중국/NNP+은/JX
사실상	사실/NNG+상/XSN
월드컵	월드컵/NNG
본선	본선/NNG
진출이	진출/NNG+이/JKS
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000053.214.9.2
그렇기 때문에 안방에서 열리는 한국과의 경기에 사활을 걸고 있다.

그렇기	그렇/VA+기/ETN
때문에	때문/NNB+에/JKB
안방에서	안방/NNG+에서/JKB
열리는	열리/VV+는/ETM
한국과의	한국/NNP+과/JKB+의/JKG
경기에	경기/NNG+에/JKB
사활을	사활/NNG+을/JKO
걸고	걸/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.214.9.3
‘공한증(恐韓症)’을 앓고 있는 중국은 한국만 꺾어도 월드컵 본선에 나가지 못하는 아쉬움을 어느 정도는 달랠 수 있다는 생각이다.

‘공한증(恐韓症)’을	‘/SS+공한증/NNG+(/SS+恐韓症/SH+)/SS+’/SS+을/JKO
앓고	앓/VV+고/EC
있는	있/VX+는/ETM
중국은	중국/NNP+은/JX
한국만	한국/NNP+만/JX
꺾어도	꺾/VV+어도/EC
월드컵	월드컵/NNG
본선에	본선/NNG+에/JKB
나가지	나가/VV+지/EC
못하는	못하/VX+는/ETM
아쉬움을	아쉬움/NNG+을/JKO
어느	어느/MMD
정도는	정도/NNG+는/JX
달랠	달래/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
생각이다.	생각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.214.10.1
한국은 그동안 주축으로 활약했던 기성용(28·스완지시티)과 이청용(29·크리스털팰리스)의 컨디션도 장담할 수 없는 상황이다.

한국은	한국/NNP+은/JX
그동안	그동안/NNG
주축으로	주축/NNG+으로/JKB
활약했던	활약/NNG+하/XSV+았/EP+던/ETM
기성용(28·스완지시티)과	기성용/NNP+(/SS+28/SN+·/SP+스완지시티/NNP+)/SS+과/JC
이청용(29·크리스털팰리스)의	이청용/NNP+(/SS+29/SN+·/SP+크리스털팰리스/NNP+)/SS+의/JKG
컨디션도	컨디션/NNG+도/JX
장담할	장담/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.214.10.2
둘은 5일 잉글랜드 프리미어리그(EPL) 경기에서 아예 그라운드를 밟지 못했다.

둘은	둘/NR+은/JX
5일	5/SN+일/NNB
잉글랜드	잉글랜드/NNP
프리미어리그(EPL)	프리미어리그/NNG+(/SS+EPL/SL+)/SS
경기에서	경기/NNG+에서/JKB
아예	아예/MAG
그라운드를	그라운드/NNG+를/JKO
밟지	밟/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.214.10.3
최근 소속 팀에서 눈에 띄는 활약을 보여주지 못하고 있기에 실전 감각 저하가 우려되는 상황이다.

최근	최근/NNG
소속	소속/NNG
팀에서	팀/NNG+에서/JKB
눈에	눈/NNG+에/JKB
띄는	띄/VV+는/ETM
활약을	활약/NNG+을/JKO
보여주지	보이/VV+어/EC+주/VX+지/EC
못하고	못하/VX+고/EC
있기에	있/VX+기에/EC
실전	실전/NNG
감각	감각/NNG
저하가	저하/NNG+가/JKS
우려되는	우려/NNG+되/XSV+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.214.11.1
위기에 처한 슈틸리케 감독은 어떤 묘안을 짜낼까.

위기에	위기/NNG+에/JKB
처한	처하/VV+ㄴ/ETM
슈틸리케	슈틸리케/NNP
감독은	감독/NNG+은/JX
어떤	어떤/MMD
묘안을	묘안/NNG+을/JKO
짜낼까.	짜내/VV+ㄹ까/EF+./SF


# id : NWRW1800000053.214.11.2
대표팀 명단은 13일 발표한다.

대표팀	대표/NNG+팀/NNG
명단은	명단/NNG+은/JX
13일	13/SN+일/NNB
발표한다.	발표/NNG+하/XSV+ㄴ다/EF+./SF


