# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.200
metadata : {}


# id : NWRW1800000041.200.1.1
[휴지통]새벽 버스서 깜빡 잠… 아차! 2700만원 든 손가방

[휴지통]새벽	[/SS+휴지통/NNG+]/SS+새벽/NNG
# id : NWRW1800000041.200.4.3
김 씨는 떨리는 목소리로 “전 재산을 버스에 두고 내렸다”며 설명을 시작했다.

김	김/NNP
씨는	씨/NNB+는/JX
떨리는	떨리/VV+는/ETM
목소리로	목소리/NNG+로/JKB
“전	“/SS+전/MMN
재산을	재산/NNG+을/JKO
버스에	버스/NNG+에/JKB
두고	두/VV+고/EC
내렸다”며	내리/VV+었/EP+다/EF+”/SS+며/EC
설명을	설명/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.200.5.1
김 씨는 인천에서 짐 세 개를 싸들고 서울 영등포역으로 향하는 88번 버스에 올랐다.

김	김/NNP
씨는	씨/NNB+는/JX
인천에서	인천/NNP+에서/JKB
짐	짐/NNG
세	세/MMN
개를	개/NNB+를/JKO
싸들고	싸/VV+아/EC+들/VV+고/EC
서울	서울/NNP
영등포역으로	영등포역/NNP+으로/JKB
향하는	향하/VV+는/ETM
88번	88/SN+번/NNB
버스에	버스/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.200.5.2
영등포역에서 기차를 타고 고향인 대구에 가기 위해서였다.

영등포역에서	영등포역/NNP+에서/JKB
기차를	기차/NNG+를/JKO
타고	타/VV+고/EC
고향인	고향/NNG+이/VCP+ㄴ/ETM
대구에	대구/NNP+에/JKB
가기	가/VV+기/ETN
위해서였다.	위하/VV+아서/EC+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.200.5.3
이른 새벽에 버스 안에서 깜박 잠이 든 김 씨는 영등포역에 도착했다는 안내방송에 놀라 허겁지겁 양손에 짐을 들고 내렸다.

이른	이르/VA+ㄴ/ETM
새벽에	새벽/NNG+에/JKB
버스	버스/NNG
안에서	안/NNG+에서/JKB
깜박	깜박/MAG
잠이	잠/NNG+이/JKS
든	들/VV+ㄴ/ETM
김	김/NNP
씨는	씨/NNB+는/JX
영등포역에	영등포역/NNP+에/JKB
도착했다는	도착/NNG+하/XSV+았/EP+다는/ETM
안내방송에	안내/NNG+방송/NNG+에/JKB
놀라	놀라/VV+아/EC
허겁지겁	허겁지겁/MAG
양손에	양손/NNG+에/JKB
짐을	짐/NNG+을/JKO
들고	들/VV+고/EC
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.200.5.4
영등포역에서 기차표를 사기 위해 매표소 앞에서 지갑을 찾다가 김 씨는 평생 모은 2700만 원이 든 손가방이 없는 걸 깨달았다.

영등포역에서	영등포역/NNP+에서/JKB
기차표를	기차표/NNG+를/JKO
사기	사/VV+기/ETN
위해	위하/VV+아/EC
매표소	매표소/NNG
앞에서	앞/NNG+에서/JKB
지갑을	지갑/NNG+을/JKO
찾다가	찾/VV+다가/EC
김	김/NNP
씨는	씨/NNB+는/JX
평생	평생/NNG
모은	모으/VV+ㄴ/ETM
2700만	2700/SN+만/NR
원이	원/NNB+이/JKS
든	들/VV+ㄴ/ETM
손가방이	손가방/NNG+이/JKS
없는	없/VA+는/ETM
걸	거/NNB+ㄹ/JKO
깨달았다.	깨닫/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.200.6.1
사정을 들은 두 경찰은 재빨리 88번 버스노선을 확인했다.

사정을	사정/NNG+을/JKO
들은	듣/VV+은/ETM
두	두/MMN
경찰은	경찰/NNG+은/JX
재빨리	재빨리/MAG
88번	88/SN+번/NNB
버스노선을	버스/NNG+노선/NNG+을/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.200.6.2
영등포역을 지나 여의도환승센터를 거친 뒤 다시 영등포역으로 돌아오는 경로.

영등포역을	영등포역/NNP+을/JKO
지나	지나/VV+아/EC
여의도환승센터를	여의도환승센터/NNP+를/JKO
거친	거치/VV+ㄴ/ETM
뒤	뒤/NNG
다시	다시/MAG
영등포역으로	영등포역/NNP+으로/JKB
돌아오는	돌아오/VV+는/ETM
경로.	경로/NNG+./SF


# id : NWRW1800000041.200.6.3
두 사람은 정류장에 들어오는 88번 버스에 올라 좌석을 살폈고 오전 6시, 그대로 있던 김 씨의 가방을 찾을 수 있었다.

두	두/MMN
사람은	사람/NNG+은/JX
정류장에	정류장/NNG+에/JKB
들어오는	들어오/VV+는/ETM
88번	88/SN+번/NNB
버스에	버스/NNG+에/JKB
올라	오르/VV+아/EC
좌석을	좌석/NNG+을/JKO
살폈고	살피/VV+었/EP+고/EC
오전	오전/NNG
6시,	6/SN+시/NNB+,/SP
그대로	그대로/MAG
있던	있/VA+던/ETM
김	김/NNP
씨의	씨/NNB+의/JKG
가방을	가방/NNG+을/JKO
찾을	찾/VV+을/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.200.6.4
김 씨는 “정말 고맙다”며 사례금을 건넸지만 두 경찰관은 “마음만 받겠다”며 사양하고 김 씨를 기차역까지 배웅했다.

김	김/NNP
씨는	씨/NNB+는/JX
“정말	“/SS+정말/MAG
고맙다”며	고맙/VA+다/EF+”/SS+며/EC
사례금을	사례금/NNG+을/JKO
건넸지만	건네/VV+었/EP+지만/EC
두	두/MMN
경찰관은	경찰관/NNG+은/JX
“마음만	“/SS+마음/NNG+만/JX
받겠다”며	받/VV+겠/EP+다/EF+”/SS+며/EC
사양하고	사양/NNG+하/XSV+고/EC
씨를	씨/NNB+를/JKO
기차역까지	기차역/NNG+까지/JX
배웅했다.	배웅/NNG+하/XSV+았/EP+다/EF+./SF


