# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.43
metadata : {}


# id : NWRW1800000038.43.1.1
아베의 폭주… '총리 야스쿠니 참배 합법화' '日王, 국가원수 격상' 추진

아베의	아베/NNP+의/JKG
이 때문에 총리와 각료의 야스쿠니 신사 참배에 대해 정교분리 원칙을 어긴 것이라는 비판이 나오고 있다.

이	이/MMD
때문에	때문/NNB+에/JKB
총리와	총리/NNG+와/JC
각료의	각료/NNG+의/JKG
야스쿠니	야스쿠니/NNP
신사	신사/NNG
참배에	참배/NNG+에/JKB
대해	대하/VV+아/EC
정교분리	정교분리/NNG
원칙을	원칙/NNG+을/JKO
어긴	어기/VV+ㄴ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
비판이	비판/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.43.7.1
총리 등 각료들은 이 규정을 피하기 위해 '개인적 참배'라고 강변하고 있다.

총리	총리/NNG
등	등/NNB
각료들은	각료/NNG+들/XSN+은/JX
이	이/MMD
규정을	규정/NNG+을/JKO
피하기	피하/VV+기/ETN
위해	위하/VV+아/EC
'개인적	'/SS+개인/NNG+적/XSN
참배'라고	참배/NNG+'/SS+라고/JKQ
강변하고	강변/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.43.7.2
하지만 개정안에는 '사회적 의례, 풍속적 행위 범위를 넘지 않는 종교적 활동은 제한을 가하지 않는다'는 문구가 추가됐다.

하지만	하지만/MAJ
개정안에는	개정안/NNG+에/JKB+는/JX
'사회적	'/SS+사회/NNG+적/XSN
의례,	의례/NNG+,/SP
풍속적	풍속/NNG+적/XSN
행위	행위/NNG
범위를	범위/NNG+를/JKO
넘지	넘/VV+지/EC
않는	않/VX+는/ETM
종교적	종교/NNG+적/XSN
활동은	활동/NNG+은/JX
제한을	제한/NNG+을/JKO
가하지	가하/VV+지/EC
않는다'는	않/VX+는다/EF+'/SS+는/ETM
문구가	문구/NNG+가/JKS
추가됐다.	추가/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.43.8.1
아사히(朝日)신문은 "총리의 야스쿠니신사 참배가 위헌이라는 비판을 피하기 위한 목적"이라고 분석했다.

아사히(朝日)신문은	아사히/NNP+(/SS+朝日/SH+)/SS+신문/NNG+은/JX
"총리의	"/SS+총리/NNG+의/JKG
야스쿠니신사	야스쿠니신사/NNP
참배가	참배/NNG+가/JKS
위헌이라는	위헌/NNG+이/VCP+라는/ETM
비판을	비판/NNG+을/JKO
피하기	피하/VV+기/ETN
위한	위하/VV+ㄴ/ETM
목적"이라고	목적/NNG+"/SS+이라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.43.9.1
개정안에는 "국가는 국민과 협력해서 영토, 영해, 영공을 보전하고 그 자원을 확보하지 않으면 안 된다"고 규정하고 있다.

개정안에는	개정안/NNG+에/JKB+는/JX
"국가는	"/SS+국가/NNG+는/JX
국민과	국민/NNG+과/JKB
협력해서	협력/NNG+하/XSV+아서/EC
영토,	영토/NNG+,/SP
영해,	영해/NNG+,/SP
영공을	영공/NNG+을/JKO
보전하고	보전/NNG+하/XSV+고/EC
그	그/MMD
자원을	자원/NNG+을/JKO
확보하지	확보/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.43.9.2
이에 대해 민주당 오카와 도시오(小川敏夫) 전 법무상은 "해석 여하에 따라 징병제로 이어질 수 있다"고 비판했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
민주당	민주당/NNP
오카와	오카와/NNP
도시오(小川敏夫)	도시오/NNP+(/SS+小川敏夫/SH+)/SS
전	전/MMD
법무상은	법무상/NNG+은/JX
"해석	"/SS+해석/NNG
여하에	여하/NNG+에/JKB
따라	따르/VV+아/EC
징병제로	징병/NNG+제/XSN+로/JKB
이어질	이어지/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


