# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.198
metadata : {}


# id : NWRW1800000044.198.1.1
르노삼성·한국지엠·쌍용차 ‘먹튀 논란’ 가실까

르노삼성·한국지엠·쌍용차	르노삼성/NNP+·/SP+한국지엠/NNP+·/SP+쌍용차/NNP
르노삼성은 수입해오던 큐엠(QM)3의 국내 생산을 적극 검토하고 있는 반면, 한국지엠은 유럽 수출 물량을 대폭 줄인 가운데 일부 미국 수출용 소형차 생산 계획을 발표했다.

르노삼성은	르노삼성/NNP+은/JX
수입해오던	수입/NNG+하/XSV+아/EC+오/VX+던/ETM
큐엠(QM)3의	큐엠/NNP+(/SS+QM/SL+)/SS+3/SN+의/JKG
국내	국내/NNG
생산을	생산/NNG+을/JKO
적극	적극/NNG
검토하고	검토/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
반면,	반면/NNG+,/SP
한국지엠은	한국지엠/NNP+은/JX
유럽	유럽/NNP
수출	수출/NNG
물량을	물량/NNG+을/JKO
대폭	대폭/MAG
줄인	줄이/VV+ㄴ/ETM
가운데	가운데/NNG
일부	일부/NNG
미국	미국/NNP
수출용	수출/NNG+용/XSN
소형차	소형차/NNG
생산	생산/NNG
계획을	계획/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.198.5.3
쌍용차는 실적이 개선되고 있지만 해고노동자들의 복귀 문제를 풀지 못하고 있다.

쌍용차는	쌍용차/NNP+는/JX
실적이	실적/NNG+이/JKS
개선되고	개선/NNG+되/XSV+고/EC
있지만	있/VX+지만/EC
해고노동자들의	해고/NNG+노동자/NNG+들/XSN+의/JKG
복귀	복귀/NNG
문제를	문제/NNG+를/JKO
풀지	풀/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.198.6.1
27일 자동차업계의 말을 종합하면, 르노삼성은 이달 초 방한한 카를로스 곤 르노닛산 회장의 지시에 따라 스페인에서 수입하는 소형 스포츠유틸리티차량(SUV) 큐엠3의 국내 생산을 적극 검토하고 있다.

27일	27/SN+일/NNB
자동차업계의	자동차업/NNG+계/XSN+의/JKG
말을	말/NNG+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
르노삼성은	르노삼성/NNP+은/JX
이달	이달/NNG
초	초/NNB
방한한	방한/NNG+하/XSV+ㄴ/ETM
카를로스	카를로스/NNP
곤	곤/NNP
르노닛산	르노닛산/NNP
회장의	회장/NNG+의/JKG
지시에	지시/NNG+에/JKB
따라	따르/VV+아/EC
스페인에서	스페인/NNP+에서/JKB
수입하는	수입/NNG+하/XSV+는/ETM
소형	소형/NNG
스포츠유틸리티차량(SUV)	스포츠/NNG+유틸리티/NNG+차량/NNG+(/SS+SUV/SL+)/SS
큐엠3의	큐엠3/NNG+의/JKG
국내	국내/NNG
생산을	생산/NNG+을/JKO
적극	적극/NNG
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.198.6.2
르노삼성 고위관계자는 “애초 큐엠3의 한국 생산 계획이 없었지만 한국에서 큐엠3의 인기가 높아 곤 회장이 국내 생산 검토를 지시했다”고 전했다.

르노삼성	르노삼성/NNP
고위관계자는	고위/NNG+관계자/NNG+는/JX
“애초	“/SS+애초/NNG
큐엠3의	큐엠3/NNG+의/JKG
한국	한국/NNP
생산	생산/NNG
계획이	계획/NNG+이/JKS
없었지만	없/VA+었/EP+지만/EC
한국에서	한국/NNP+에서/JKB
인기가	인기/NNG+가/JKS
높아	높/VA+아/EC
곤	곤/NNP
회장이	회장/NNG+이/JKS
국내	국내/NNG
검토를	검토/NNG+를/JKO
지시했다”고	지시/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.198.6.3
큐엠3는 지난해 12월 한국 수입을 시작해 1000대 초도물량이 7분 만에 다 팔리는 기록을 세운 바 있다.

큐엠3는	큐엠3/NNG+는/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
한국	한국/NNP
수입을	수입/NNG+을/JKO
시작해	시작/NNG+하/XSV+아/EC
1000대	1000/SN+대/NNB
초도물량이	초도/NNG+물량/NNG+이/JKS
7분	7/SN+분/NNB
만에	만/NNB+에/JKB
다	다/MAG
팔리는	팔리/VV+는/ETM
기록을	기록/NNG+을/JKO
세운	세우/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.198.6.4
3월까지 2039대가 팔렸고, 올해 2만여대를 수입·판매할 계획이다.

3월까지	3/SN+월/NNB+까지/JX
2039대가	2039/SN+대/NNB+가/JKS
팔렸고,	팔리/VV+었/EP+고/EC+,/SP
올해	올해/NNG
2만여대를	2/SN+만/NR+여/XSN+대/NNB+를/JKO
수입·판매할	수입/NNG+·/SP+판매/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.198.7.1
그동안 르노삼성의 한국철수설은 무엇보다 추가 투자가 이뤄지지 않아 힘을 얻어왔다.

그동안	그동안/NNG
르노삼성의	르노삼성/NNP+의/JKG
한국철수설은	한국/NNP+철수설/NNG+은/JX
무엇보다	무엇/NP+보다/JKB
추가	추가/NNG
투자가	투자/NNG+가/JKS
이뤄지지	이뤄지/VV+지/EC
않아	않/VX+아/EC
힘을	힘/NNG+을/JKO
얻어왔다.	얻/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.198.7.2
르노삼성의 연구개발비는 2011년 1545억원에서 2012년 1437억원, 2013년 1405억원으로 점차 축소돼 왔다.

르노삼성의	르노삼성/NNP+의/JKG
연구개발비는	연구/NNG+개발비/NNG+는/JX
2011년	2011/SN+년/NNB
1545억원에서	1545/SN+억/NR+원/NNB+에서/JKB
2012년	2012/SN+년/NNB
1437억원,	1437/SN+억/NR+원/NNB+,/SP
2013년	2013/SN+년/NNB
1405억원으로	1405/SN+억/NR+원/NNB+으로/JKB
점차	점차/MAG
축소돼	축소/NNG+되/XSV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.198.7.3
르노삼성은 2012년 대규모 희망퇴직에 이어 최근에도 생산·정비직 520여명을 대상으로 희망퇴직 신청을 받았다.

르노삼성은	르노삼성/NNP+은/JX
2012년	2012/SN+년/NNB
대규모	대/XPN+규모/NNG
희망퇴직에	희망퇴직/NNG+에/JKB
이어	잇/VV+어/EC
최근에도	최근/NNG+에/JKB+도/JX
생산·정비직	생산/NNG+·/SP+정비직/NNG
520여명을	520/SN+여/XSN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
희망퇴직	희망퇴직/NNG
신청을	신청/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.198.7.4
특히 르노 본사가 중국 둥펑자동차와 합작해 2016년부터 중국 현지 생산을 늘리기로 하면서 르노삼성 부산공장의 미래가 불투명했다.

특히	특히/MAG
르노	르노/NNP
본사가	본사/NNG+가/JKS
중국	중국/NNP
둥펑자동차와	둥펑자동차/NNP+와/JKB
합작해	합작/NNG+하/XSV+아/EC
2016년부터	2016/SN+년/NNB+부터/JX
현지	현지/NNG
생산을	생산/NNG+을/JKO
늘리기로	늘리/VV+기/ETN+로/JKB
하면서	하/VV+면서/EC
르노삼성	르노삼성/NNP
부산공장의	부산/NNP+공장/NNG+의/JKG
미래가	미래/NNG+가/JKS
불투명했다.	불/XPN+투명/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000044.198.7.5
그래서 큐엠3의 국내 생산 검토와 더불어 르노삼성이 2016년 출시예정으로 개발 중인 에스엠(SM)5 후속 모델 등이 부산공장 가동률을 높일지 주목받고 있다.

그래서	그래서/MAJ
큐엠3의	큐엠3/NNG+의/JKG
국내	국내/NNG
생산	생산/NNG
검토와	검토/NNG+와/JKB
더불어	더불/VV+어/EC
르노삼성이	르노삼성/NNP+이/JKS
2016년	2016/SN+년/NNB
출시예정으로	출시/NNG+예정/NNG+으로/JKB
개발	개발/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
에스엠(SM)5	에스엠/NNG+(/SS+SM/SL+)/SS+5/SN
후속	후속/NNG
모델	모델/NNG
등이	등/NNB+이/JKS
부산공장	부산/NNP+공장/NNG
가동률을	가동/NNG+률/XSN+을/JKO
높일지	높이/VV+ㄹ지/EF
주목받고	주목/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.198.7.6
곤 회장은 지난 2일 “르노삼성이 르노그룹의 가장 중요한 시장인 아시아·태평양 지역에서 가장 중요한 역할을 해낼 것”이라고 말했다.

곤	곤/NNP
회장은	회장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
“르노삼성이	“/SS+르노삼성/NNP+이/JKS
르노그룹의	르노그룹/NNP+의/JKG
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
시장인	시장/NNG+이/VCP+ㄴ/ETM
아시아·태평양	아시아/NNP+·/SP+태평양/NNP
지역에서	지역/NNG+에서/JKB
역할을	역할/NNG+을/JKO
해낼	해내/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.198.8.1
한국지엠의 ‘먹튀’ 우려는 여전히 높다.

한국지엠의	한국지엠/NNP+의/JKG
‘먹튀’	‘/SS+먹튀/NNG+’/SS
우려는	우려/NNG+는/JX
여전히	여전히/MAG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000044.198.8.2
지난해 말 지엠 본사가 유럽에서 쉐보레 브랜드 철수를 결정하면서 유럽 수출 물량을 대부분 담당해온 한국지엠의 수출량은 올들어 지난해보다 20% 이상 급감했다.

지난해	지난해/NNG
말	말/NNB
지엠	지엠/NNP
본사가	본사/NNG+가/JKS
유럽에서	유럽/NNP+에서/JKB
쉐보레	쉐보레/NNP
브랜드	브랜드/NNG
철수를	철수/NNG+를/JKO
결정하면서	결정/NNG+하/XSV+면서/EC
유럽	유럽/NNP
수출	수출/NNG
물량을	물량/NNG+을/JKO
대부분	대/XPN+부분/NNG
담당해온	담당/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
한국지엠의	한국지엠/NNP+의/JKG
수출량은	수출량/NNG+은/JX
올들어	올/NNG+들/VV+어/EC
지난해보다	지난해/NNG+보다/JKB
20%	20/SN+%/SW
이상	이상/NNG
급감했다.	급감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.198.8.3
내년 말 유럽 철수가 마무리되면 한국지엠 군산공장의 생산량은 더욱 줄어들 수밖에 없다.

내년	내년/NNG
말	말/NNB
유럽	유럽/NNP
철수가	철수/NNG+가/JKS
마무리되면	마무리/NNG+되/XSV+면/EC
한국지엠	한국지엠/NNP
군산공장의	군산/NNP+공장/NNG+의/JKG
생산량은	생산량/NNG+은/JX
더욱	더욱/MAG
줄어들	줄어들/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.198.8.4
쉐보레 브랜드 유럽 철수 비용 2900억여원도 한국지엠이 부담하는 것으로 알려졌다.

쉐보레	쉐보레/NNP
브랜드	브랜드/NNG
유럽	유럽/NNP
철수	철수/NNG
비용	비용/NNG
2900억여원도	2900/SN+억/NR+여/XSN+원/NNB+도/JX
한국지엠이	한국지엠/NNP+이/JKS
부담하는	부담/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.198.8.5
중형 세단을 미국에서 수입하는 방안 역시 검토되고 있다.

중형	중형/NNG
세단을	세단/NNG+을/JKO
미국에서	미국/NNP+에서/JKB
수입하는	수입/NNG+하/XSV+는/ETM
방안	방안/NNG
역시	역시/MAG
검토되고	검토/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.198.8.6
한국지엠 역시 연구개발비 투자를 2011년 6599억원에서 지난해 5643억원으로 줄여가고 있다.

한국지엠	한국지엠/NNP
역시	역시/MAG
연구개발비	연구/NNG+개발비/NNG
투자를	투자/NNG+를/JKO
2011년	2011/SN+년/NNB
6599억원에서	6599/SN+억/NR+원/NNB+에서/JKB
지난해	지난해/NNG
5643억원으로	5643/SN+억/NR+원/NNB+으로/JKB
줄여가고	줄이/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.198.8.7
반면 중국에는 2017년까지 120억달러를 추가 투자하기로 최근 결정했다.

반면	반면/NNG
중국에는	중국/NNP+에/JKB+는/JX
2017년까지	2017/SN+년/NNB+까지/JX
120억달러를	120/SN+억/NR+달러/NNB+를/JKO
추가	추가/NNG
투자하기로	투자/NNG+하/XSV+기/ETN+로/JKB
최근	최근/NNG
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.198.8.8
다만 올 연말부터 소형 에스유브이(SUV) 쉐보레 트랙스를 부평공장에서 생산해 미국에 수출하기로 했고, 25일 인천 부평 본사에서 디자인센터를 확장해 연 것으로 ’먹튀’ 우려를 조금은 덜고 있다.

다만	다만/MAG
올	올/NNG
연말부터	연말/NNG+부터/JX
소형	소형/NNG
에스유브이(SUV)	에스유브이/NNG+(/SS+SUV/SL+)/SS
쉐보레	쉐보레/NNP
트랙스를	트랙스/NNG+를/JKO
부평공장에서	부평/NNP+공장/NNG+에서/JKB
생산해	생산/NNG+하/XSV+아/EC
미국에	미국/NNP+에/JKB
수출하기로	수출/NNG+하/XSV+기/ETN+로/JKB
했고,	하/VV+았/EP+고/EC+,/SP
25일	25/SN+일/NNB
인천	인천/NNP
부평	부평/NNP
본사에서	본사/NNG+에서/JKB
디자인센터를	디자인/NNG+센터/NNG+를/JKO
확장해	확장/NNG+하/XSV+아/EC
연	열/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
’먹튀’	’/SS+먹튀/NNG+’/SS
우려를	우려/NNG+를/JKO
조금은	조금/NNG+은/JX
덜고	덜/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.198.9.1
쌍용차는 실적 개선 속도가 빨라지면서 당장은 ‘한국철수설’에서 자유로운 편이다.

쌍용차는	쌍용차/NNP+는/JX
실적	실적/NNG
개선	개선/NNG
속도가	속도/NNG+가/JKS
빨라지면서	빠르/VA+아/EC+지/VX+면서/EC
당장은	당장/NNG+은/JX
‘한국철수설’에서	‘/SS+한국/NNP+철수설/NNG+’/SS+에서/JKB
자유로운	자유/NNG+롭/XSA+ㄴ/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.198.9.2
지엠이나 르노가 중국 시장을 중심으로 사업구조를 개편해온 것과 달리 쌍용차 대주주인 인도 마힌드라그룹은 쌍용차 정상화가 급선무다.

지엠이나	지엠/NNP+이나/JC
르노가	르노/NNP+가/JKS
중국	중국/NNP
시장을	시장/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
사업구조를	사업/NNG+구조/NNG+를/JKO
개편해온	개편/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
것과	것/NNB+과/JKB
달리	달리/MAG
쌍용차	쌍용차/NNP
대주주인	대/XPN+주주/NNG+이/VCP+ㄴ/ETM
인도	인도/NNP
마힌드라그룹은	마힌드라그룹/NNP+은/JX
정상화가	정상/NNG+화/XSN+가/JKS
급선무다.	급선무/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.198.9.3
쌍용차는 지난해 판매량이 전년 대비 20.7% 늘었고, 6년째 적자를 봤지만 영업손실이 89억원으로 줄어 올해는 흑자 가능성도 점쳐진다.

쌍용차는	쌍용차/NNP+는/JX
지난해	지난해/NNG
판매량이	판매량/NNG+이/JKS
전년	전년/NNG
대비	대비/NNG
20.7%	20/SN+./SP+7/SN+%/SW
늘었고,	늘/VV+었/EP+고/EC+,/SP
6년째	6/SN+년/NNB+째/XSN
적자를	적자/NNG+를/JKO
봤지만	보/VX+았/EP+지만/EC
영업손실이	영업/NNG+손실/NNG+이/JKS
89억원으로	89/SN+억/NR+원/NNB+으로/JKB
줄어	줄/VV+어/EC
올해는	올해/NNG+는/JX
흑자	흑자/NNG
가능성도	가능/NNG+성/XSN+도/JX
점쳐진다.	점치/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.198.9.4
쌍용차는 연구개발비도 2011년 1237억원에서 지난해 1535억원으로 늘렸다.

쌍용차는	쌍용차/NNP+는/JX
연구개발비도	연구/NNG+개발비/NNG+도/JX
2011년	2011/SN+년/NNB
1237억원에서	1237/SN+억/NR+원/NNB+에서/JKB
지난해	지난해/NNG
1535억원으로	1535/SN+억/NR+원/NNB+으로/JKB
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.198.9.5
쌍용차의 가장 큰 리스크 중 하나는 2009년 대규모 해고 사태의 책임 문제다.

쌍용차의	쌍용차/NNP+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
리스크	리스크/NNG
중	중/NNB
하나는	하나/NR+는/JX
2009년	2009/SN+년/NNB
대규모	대/XPN+규모/NNG
해고	해고/NNG
사태의	사태/NNG+의/JKG
책임	책임/NNG
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.198.9.6
지난 2월 서울고법에서 쌍용차 해고노동자 153명의 해고가 무효라는 판결이 나왔지만 쌍용차는 대법원에 상고했다.

지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
서울고법에서	서울고법/NNP+에서/JKB
쌍용차	쌍용차/NNP
해고노동자	해고/NNG+노동자/NNG
153명의	153/SN+명/NNB+의/JKG
해고가	해고/NNG+가/JKS
무효라는	무효/NNG+이/VCP+라는/ETM
판결이	판결/NNG+이/JKS
나왔지만	나오/VV+았/EP+지만/EC
쌍용차는	쌍용차/NNP+는/JX
대법원에	대/XPN+법원/NNG+에/JKB
상고했다.	상고/NNG+하/XSV+았/EP+다/EF+./SF


