# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.357
metadata : {}


# id : NWRW1800000040.357.1.1
MB ‘택시법 거부권 행사’ 시사

MB	MB/SL
국무위원들의	국무/NNG+위원/NNG+들/XSN+의/JKG
반대	반대/NNG
의견이	의견/NNG+이/JKS
잇따랐다.	잇따르/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.357.7.2
먼저 권도엽 국토부 장관은 “고정 노선이 아닌 택시를 대중교통으로 인정하는 것은 외국에도 사례가 없다.

먼저	먼저/MAG
권도엽	권도엽/NNP
국토부	국토부/NNG
장관은	장관/NNG+은/JX
“고정	“/SS+고정/NNG
노선이	노선/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
택시를	택시/NNG+를/JKO
대중교통으로	대중교통/NNG+으로/JKB
인정하는	인정/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
외국에도	외국/NNG+에/JKB+도/JX
사례가	사례/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000040.357.7.3
여객선과 전세버스 등 다른 교통수단과의 형평성에도 문제가 있다”고 말했다.

여객선과	여객선/NNG+과/JC
전세버스	전세/NNG+버스/NNG
등	등/NNB
다른	다른/MMD
교통수단과의	교통수단/NNG+과/JKB+의/JKG
형평성에도	형평/NNG+성/XSN+에/JKB+도/JX
문제가	문제/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.357.7.4
이재원 법제처장은 “택시법의 대중교통에 대한 정의가 다른 법과 충돌할 수 있다.

이재원	이재원/NNP
법제처장은	법제처장/NNG+은/JX
“택시법의	“/SS+택시/NNG+법/NNG+의/JKG
대중교통에	대중교통/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
정의가	정의/NNG+가/JKS
다른	다른/MMD
법과	법/NNG+과/JKB
충돌할	충돌/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.357.7.5
법률구조상 재의 요구 요건은 갖췄다”고 지적했다.

법률구조상	법률/NNG+구조/NNG+상/XSN
재의	재의/NNG
요구	요구/NNG
요건은	요건/NNG+은/JX
갖췄다”고	갖추/VV+었/EP+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.357.7.6
맹형규 행정안전부 장관도 “택시를 지원하는 지자체의 부담이 상당해질 수 있다”고 했다.

맹형규	맹형규/NNP
행정안전부	행정/NNG+안전부/NNG
장관도	장관/NNG+도/JX
“택시를	“/SS+택시/NNG+를/JKO
지원하는	지원/NNG+하/XSV+는/ETM
지자체의	지자체/NNG+의/JKG
부담이	부담/NNG+이/JKS
상당해질	상당/NNG+하/XSA+아/EC+지/VX+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.357.7.7
박정하 대변인은 “거부권 행사를 반대하는 의견은 한 건도 없었다.

박정하	박정하/NNP
대변인은	대변인/NNG+은/JX
“거부권	“/SS+거부/NNG+권/XSN
행사를	행사/NNG+를/JKO
반대하는	반대/NNG+하/XSV+는/ETM
의견은	의견/NNG+은/JX
한	한/MMN
건도	건/NNB+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000040.357.7.8
오는 22일 국무회의에서 택시법이 정식 안건으로 올라오면 법률안 재의 요구 여부를 결정할 것으로 보인다”고 말했다.

오는	오/VV+는/ETM
22일	22/SN+일/NNB
국무회의에서	국무/NNG+회의/NNG+에서/JKB
택시법이	택시/NNG+법/NNG+이/JKS
정식	정식/NNG
안건으로	안건/NNG+으로/JKB
올라오면	올라오/VV+면/EC
법률안	법률안/NNG
재의	재의/NNG
요구	요구/NNG
여부를	여부/NNG+를/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.357.8.1
이 대통령이 택시법에 대해 거부권 행사 쪽으로 기운 것은 여론이 우호적이라고 판단한 때문인 것으로 전해졌다.

이	이/NNP
대통령이	대통령/NNG+이/JKS
택시법에	택시/NNG+법/NNG+에/JKB
대해	대하/VV+아/EC
거부권	거부/NNG+권/XSN
행사	행사/NNG
쪽으로	쪽/NNB+으로/JKB
기운	기울/VV+ㄴ/ETM
것은	것/NNB+은/JX
여론이	여론/NNG+이/JKS
우호적이라고	우호/NNG+적/XSN+이/VCP+라고/EC
판단한	판단/NNG+하/XSV+ㄴ/ETM
때문인	때문/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.357.8.2
여야 정치권이 합의처리한 까닭에 국회에 맞서는 모양새가 될 수 있지만, 대선을 앞두고 ‘택시 표심’을 잡기 위한 무리한 입법 활동이었다는 여론이 강하다.

여야	여야/NNG
정치권이	정치/NNG+권/XSN+이/JKS
합의처리한	합의/NNG+처리/NNG+하/XSV+ㄴ/ETM
까닭에	까닭/NNG+에/JKB
국회에	국회/NNG+에/JKB
맞서는	맞서/VV+는/ETM
모양새가	모양새/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있지만,	있/VA+지만/EC+,/SP
대선을	대선/NNG+을/JKO
앞두고	앞두/VV+고/EC
‘택시	‘/SS+택시/NNG
표심’을	표심/NNG+’/SS+을/JKO
잡기	잡/VV+기/ETN
위한	위하/VV+ㄴ/ETM
무리한	무리/NNG+하/XSV+ㄴ/ETM
입법	입법/NNG
활동이었다는	활동/NNG+이/VCP+었/EP+다는/ETM
여론이	여론/NNG+이/JKS
강하다.	강하/VA+다/EF+./SF


# id : NWRW1800000040.357.8.3
그러나 택시법이 사실상 박근혜 대통령 당선인의 공약에 가까워 거부권 행사가 새 정부에 부담이 된다는 점에서 청와대도 막판 고심을 거듭하고 있다.

그러나	그러나/MAJ
택시법이	택시/NNG+법/NNG+이/JKS
사실상	사실/NNG+상/XSN
박근혜	박근혜/NNP
대통령	대통령/NNG
당선인의	당선인/NNG+의/JKG
공약에	공약/NNG+에/JKB
가까워	가깝/VA+어/EC
거부권	거부/NNG+권/XSN
행사가	행사/NNG+가/JKS
새	새/MMA
정부에	정부/NNG+에/JKB
부담이	부담/NNG+이/JKC
된다는	되/VV+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
청와대도	청와대/NNP+도/JX
막판	막판/NNG
고심을	고심/NNG+을/JKO
거듭하고	거듭/MAG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.357.9.1
청와대와 새누리당은 오는 18일 고위당정협의회를 열어 이 문제를 마지막으로 조율할 계획이다.

청와대와	청와대/NNP+와/JC
새누리당은	새누리당/NNP+은/JX
오는	오/VV+는/ETM
18일	18/SN+일/NNB
고위당정협의회를	고위/NNG+당정/NNG+협의회/NNG+를/JKO
열어	열/VV+어/EC
이	이/MMD
문제를	문제/NNG+를/JKO
마지막으로	마지막/NNG+으로/JKB
조율할	조율/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.357.9.2
이철우 새누리당 원내대변인은 “정부가 거부권을 행사하기 전에 택시업계 쪽을 설득하고 상응한 대책을 내놔야 한다.

이철우	이철우/NNP
새누리당	새누리당/NNP
원내대변인은	원내/NNG+대변인/NNG+은/JX
“정부가	“/SS+정부/NNG+가/JKS
거부권을	거부/NNG+권/XSN+을/JKO
행사하기	행사/NNG+하/XSV+기/ETN
전에	전/NNG+에/JKB
택시업계	택시/NNG+업계/NNG
쪽을	쪽/NNB+을/JKO
설득하고	설득/NNG+하/XSV+고/EC
상응한	상응/NNG+하/XSV+ㄴ/ETM
대책을	대책/NNG+을/JKO
내놔야	내놓/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.357.9.3
우리는 약속을 했기 때문에 지킬 수밖에 없다”며 정부를 압박했다.

우리는	우리/NP+는/JX
약속을	약속/NNG+을/JKO
했기	하/VV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
지킬	지키/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다”며	없/VA+다/EF+”/SS+며/EC
정부를	정부/NNG+를/JKO
압박했다.	압박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.357.10.1
이날 국무회의는 정부세종청사에서 처음 열린 것으로, 국무회의가 수도권을 벗어나 열린 것도 한국전쟁 당시를 제외하면 처음이다.

이날	이날/NNG
국무회의는	국무/NNG+회의/NNG+는/JX
정부세종청사에서	정부세종청사/NNP+에서/JKB
처음	처음/NNG
열린	열리/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
국무회의가	국무/NNG+회의/NNG+가/JKS
수도권을	수도/NNG+권/XSN+을/JKO
벗어나	벗어나/VV+아/EC
것도	것/NNB+도/JX
한국전쟁	한국/NNP+전쟁/NNG
당시를	당시/NNG+를/JKO
제외하면	제외/NNG+하/XSV+면/EC
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.357.10.2
세종시 건설을 반대하면서 박 당선인과 충돌했던 이 대통령은 이번이 세종시 초행길이기도 하다.

세종시	세종시/NNP
건설을	건설/NNG+을/JKO
반대하면서	반대/NNG+하/XSV+면서/EC
박	박/NNP
당선인과	당선인/NNG+과/JKB
충돌했던	충돌/NNG+하/XSV+았/EP+던/ETM
이	이/NNP
대통령은	대통령/NNG+은/JX
이번이	이번/NNG+이/JKS
초행길이기도	초행길/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000040.357.10.3
이 대통령은 국무회의에서 이른 시일 안에 세종시의 정상화를 위해 노력해달라고 당부했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
국무회의에서	국무/NNG+회의/NNG+에서/JKB
이른	이르/VA+ㄴ/ETM
시일	시일/NNG
안에	안/NNG+에/JKB
세종시의	세종시/NNP+의/JKG
정상화를	정상/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
노력해달라고	노력/NNG+하/XSV+아/EC+달/VX+라고/EC
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.357.10.4
그러면서도 “정부 중요부처가 (세종시 이전으로) 업무효율이 떨어지는 건 국력 낭비이고 국민에게 죄송한 일”이라며 세종시 이전에 대한 불편한 심기를 숨기지 않았다.

그러면서도	그러/VV+면서/EC+도/JX
“정부	“/SS+정부/NNG
중요부처가	중요/NNG+부처/NNG+가/JKS
(세종시	(/SS+세종시/NNP
이전으로)	이전/NNG+으로/JKB+)/SS
업무효율이	업무/NNG+효율/NNG+이/JKS
떨어지는	떨어지/VV+는/ETM
건	거/NNB+ㄴ/JX
국력	국력/NNG
낭비이고	낭비/NNG+이/VCP+고/EC
국민에게	국민/NNG+에게/JKB
죄송한	죄송하/VA+ㄴ/ETM
일”이라며	일/NNG+”/SS+이/VCP+라며/EC
세종시	세종시/NNP
이전에	이전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불편한	불편/NNG+하/XSA+ㄴ/ETM
심기를	심기/NNG+를/JKO
숨기지	숨기/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.357.10.5
그러나 이 대통령은 현지 공무원들을 격려하는 자리에선 “(세종시가) 세상에서 가장 아름다운 도시가 될 것”이라고 말하기도 했다.

그러나	그러나/MAJ
이	이/NNP
대통령은	대통령/NNG+은/JX
현지	현지/NNG
공무원들을	공무원/NNG+들/XSN+을/JKO
격려하는	격려/NNG+하/XSV+는/ETM
자리에선	자리/NNG+에서/JKB+ㄴ/JX
“(세종시가)	“/SS+(/SS+세종시/NNP+가/JKS+)/SS
세상에서	세상/NNG+에서/JKB
가장	가장/MAG
아름다운	아름답/VA+ㄴ/ETM
도시가	도시/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말하기도	말/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.357.10.6
이 대통령은 국무회의에 이어 충북 청원군에 있는 청남대를 방문해 새로 조성된 ‘이명박 대통령 길’(산책로, 3㎞) 개장식에 참석하기도 했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
국무회의에	국무/NNG+회의/NNG+에/JKB
이어	잇/VV+어/EC
충북	충북/NNP
청원군에	청원군/NNP+에/JKB
있는	있/VA+는/ETM
청남대를	청남대/NNP+를/JKO
방문해	방문/NNG+하/XSV+아/EC
새로	새로/MAG
조성된	조성/NNG+되/XSV+ㄴ/ETM
‘이명박	‘/SS+이명박/NNP
대통령	대통령/NNG
길’(산책로,	길/NNG+’/SS+(/SS+산책로/NNG+,/SP
3㎞)	3/SN+㎞/SW+)/SS
개장식에	개장식/NNG+에/JKB
참석하기도	참석/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


