# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.14
metadata : {}


# id : NWRW1800000041.14.1.1
대기업 진출로 기로에 선 가산단지 도심형 아웃렛 ‘터줏대감들’

대기업	대/XPN+기업/NNG
집중하던	집중/NNG+하/XSV+던/ETM
대기업들도	대/XPN+기업/NNG+들/XSN+도/JX
도심형	도심/NNG+형/XSN
아웃렛	아웃렛/NNG
분야로	분야/NNG+로/JKB
눈길을	눈길/NNG+을/JKO
돌리는	돌리/VV+는/ETM
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.14.4.7
서울 시내 최대 아웃렛 타운으로 알려진 서울 금천구 디지털로 가산디지털단지 인근에는 최근 ‘현대아울렛 가산점’이 입점했다.

서울	서울/NNP
시내	시내/NNG
최대	최대/NNG
아웃렛	아웃렛/NNG
타운으로	타운/NNG+으로/JKB
알려진	알려지/VV+ㄴ/ETM
금천구	금천구/NNP
디지털로	디지털로/NNP
가산디지털단지	가산디지털단지/NNP
인근에는	인근/NNG+에/JKB+는/JX
최근	최근/NNG
‘현대아울렛	‘/SS+현대/NNP+아울렛/NNG
가산점’이	가산점/NNG+’/SS+이/JKS
입점했다.	입점/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.14.4.8
현대가 아웃렛 시장에 진출한 것도 처음이지만 ‘마리오아울렛’과 ‘W몰’ 등 중견업체들이 터줏대감 노릇을 해 온 ‘아웃렛 클러스터’에 유통 대기업이 들어온 것도 처음이다.

현대가	현대/NNP+가/JKS
아웃렛	아웃렛/NNG
시장에	시장/NNG+에/JKB
진출한	진출/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
처음이지만	처음/NNG+이/VCP+지만/EC
‘마리오아울렛’과	‘/SS+마리오아울렛/NNP+’/SS+과/JC
‘W몰’	‘/SS+W몰/NNP+’/SS
등	등/NNB
중견업체들이	중견/NNG+업체/NNG+들/XSN+이/JKS
터줏대감	터줏대감/NNG
노릇을	노릇/NNG+을/JKO
해	하/VV+아/EC
온	오/VX+ㄴ/ETM
‘아웃렛	‘/SS+아웃렛/NNG
클러스터’에	클러스터/NNG+’/SS+에/JKB
유통	유통/NNG
대기업이	대/XPN+기업/NNG+이/JKS
들어온	들어오/VV+ㄴ/ETM
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.14.4.9
가산디지털단지 아웃렛 타운의 연간 시장 규모는 약 8000억 원이며 하루 유동 인구는 20만∼30만 명에 달한다.

가산디지털단지	가산디지털단지/NNP
아웃렛	아웃렛/NNG
타운의	타운/NNG+의/JKG
연간	연간/NNG
시장	시장/NNG
규모는	규모/NNG+는/JX
약	약/MMA
8000억	8000/SN+억/NR
원이며	원/NNB+이/VCP+며/EC
하루	하루/NNG
유동	유동/NNG
인구는	인구/NNG+는/JX
20만∼30만	20/SN+만/NR+∼/SO+30/SN+만/NR
명에	명/NNB+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.14.4.10
동아일보는 대기업의 진출로 신경을 곤두세우고 있는 마리오아울렛과 W몰의 최고경영자들을 만났다.

동아일보는	동아일보/NNP+는/JX
대기업의	대/XPN+기업/NNG+의/JKG
진출로	진출/NNG+로/JKB
신경을	신경/NNG+을/JKO
곤두세우고	곤두세우/VV+고/EC
있는	있/VX+는/ETM
마리오아울렛과	마리오아울렛/NNP+과/JC
W몰의	W몰/NNP+의/JKG
최고경영자들을	최고/NNG+경영자/NNG+들/XSN+을/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.14.4.11
그들은 해외 진출, 백화점 형태로의 진화 등 다양한 전략을 통해 대기업의 공세에 대응하겠다고 말했다.

그들은	그/NP+들/XSN+은/JX
해외	해외/NNG
진출,	진출/NNG+,/SP
백화점	백화점/NNG
형태로의	형태/NNG+로/JKB+의/JKG
진화	진화/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
전략을	전략/NNG+을/JKO
통해	통하/VV+아/EC
대기업의	대/XPN+기업/NNG+의/JKG
공세에	공세/NNG+에/JKB
대응하겠다고	대응/NNG+하/XSV+겠/EP+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.14.4.12
이 중견업체들의 대응은 대기업과 경쟁을 준비 중인 다른 업계에도 참고가 될 것이다.》

이	이/MMD
중견업체들의	중견/NNG+업체/NNG+들/XSN+의/JKG
대응은	대응/NNG+은/JX
대기업과	대/XPN+기업/NNG+과/JKB
경쟁을	경쟁/NNG+을/JKO
준비	준비/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
다른	다른/MMD
업계에도	업계/NNG+에/JKB+도/JX
참고가	참고/NNG+가/JKC
될	되/VV+ㄹ/ETM
것이다.》	것/NNB+이/VCP+다/EF+./SF+》/SS


# id : NWRW1800000041.14.5.1
홍성열 마리오아울렛 회장

홍성열	홍성열/NNP
마리오아울렛	마리오아울렛/NNP
회장	회장/NNG


# id : NWRW1800000041.14.6.1
“공룡에 맞서는 구멍가게 심정… 중국 관광객 많이 유치할 계획”

“공룡에	“/SS+공룡/NNG+에/JKB
맞서는	맞서/VV+는/ETM
구멍가게	구멍가게/NNG
심정…	심정/NNG+…/SE
중국	중국/NNP
관광객	관광객/NNG
많이	많이/MAG
유치할	유치/NNG+하/XSV+ㄹ/ETM
계획”	계획/NNG+”/SS


# id : NWRW1800000041.14.7.1
홍성열 마리오아울렛 주식회사 회장(60)은 인터뷰 초반부터 ‘불편한 심기’를 드러냈다.

홍성열	홍성열/NNP
마리오아울렛	마리오아울렛/NNP
주식회사	주식회사/NNG
회장(60)은	회장/NNG+(/SS+60/SN+)/SS+은/JX
인터뷰	인터뷰/NNG
초반부터	초반/NNG+부터/JX
‘불편한	‘/SS+불편/NNG+하/XSA+ㄴ/ETM
심기’를	심기/NNG+’/SS+를/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.14.7.2
그는 “백화점을 운영하는 ‘공룡’이 왜 중견기업들과 경쟁하려 하는지 모르겠다”고 말했다.

그는	그/NP+는/JX
“백화점을	“/SS+백화점/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
‘공룡’이	‘/SS+공룡/NNG+’/SS+이/JKS
왜	왜/MAG
중견기업들과	중견/NNG+기업/NNG+들/XSN+과/JKB
경쟁하려	경쟁/NNG+하/XSV+려/EC
하는지	하/VX+는지/EF
모르겠다”고	모르/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.14.7.3
홍 회장이 위기의식을 드러내는 데는 이유가 있다.

홍	홍/NNP
회장이	회장/NNG+이/JKS
위기의식을	위기의식/NNG+을/JKO
드러내는	드러내/VV+는/ETM
데는	데/NNB+는/JX
이유가	이유/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.14.7.4
도심형 아웃렛 시장 규모는 이미 커질 대로 커졌다는 것이 업계의 평가다.

도심형	도심/NNG+형/XSN
아웃렛	아웃렛/NNG
시장	시장/NNG
규모는	규모/NNG+는/JX
이미	이미/MAG
커질	커지/VV+ㄹ/ETM
대로	대로/NNB
커졌다는	커지/VV+었/EP+다는/ETM
것이	것/NNB+이/JKS
업계의	업계/NNG+의/JKG
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.14.7.5
마리오아울렛이나 W몰 모두 지난해 매출과 영업이익이 줄어들었다.

마리오아울렛이나	마리오아울렛/NNP+이나/JC
W몰	W몰/NNP
모두	모두/MAG
지난해	지난해/NNG
매출과	매출/NNG+과/JC
영업이익이	영업/NNG+이익/NNG+이/JKS
줄어들었다.	줄어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.14.7.6
이런 시장에 대기업까지 등장했다는 것이다.

이런	이런/MMD
시장에	시장/NNG+에/JKB
대기업까지	대/XPN+기업/NNG+까지/JX
등장했다는	등장/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.14.8.1
홍 회장은 마리오아울렛을 3관까지 확장하는 공사를 지난해 끝냈다.

홍	홍/NNP
회장은	회장/NNG+은/JX
마리오아울렛을	마리오아울렛/NNP+을/JKO
3관까지	3관/NNG+까지/JX
확장하는	확장/NNG+하/XSV+는/ETM
공사를	공사/NNG+를/JKO
지난해	지난해/NNG
끝냈다.	끝내/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.14.8.2
확장을 구상한 지 15년 만에 매장 규모는 13만2000m²로 늘어났다.

확장을	확장/NNG+을/JKO
구상한	구상/NNG+하/XSV+ㄴ/ETM
지	지/NNB
15년	15/SN+년/NNB
만에	만/NNB+에/JKB
매장	매장/NNG
규모는	규모/NNG+는/JX
13만2000m²로	13/SN+만/NR+2000/SN+m²/SW+로/JKB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.14.8.3
홍 회장은 앞으로 최대 규모의 아웃렛을 만들어 국내 소비자는 물론이고 중국인 관광객들까지 끌어들이는 등 경쟁 업체를 규모로 압도하겠다는 전략이다.

홍	홍/NNP
회장은	회장/NNG+은/JX
앞으로	앞/NNG+으로/JKB
최대	최대/NNG
규모의	규모/NNG+의/JKG
아웃렛을	아웃렛/NNG+을/JKO
만들어	만들/VV+어/EC
국내	국내/NNG
소비자는	소비자/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
중국인	중국인/NNG
관광객들까지	관광객/NNG+들/XSN+까지/JX
끌어들이는	끌어들이/VV+는/ETM
등	등/NNB
경쟁	경쟁/NNG
업체를	업체/NNG+를/JKO
규모로	규모/NNG+로/JKB
압도하겠다는	압도/NNG+하/XSV+겠/EP+다는/ETM
전략이다.	전략/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.14.9.1
국내 시장에 머물지 않고 해외로 진출하겠다는 계획도 세웠다.

국내	국내/NNG
시장에	시장/NNG+에/JKB
머물지	머물/VV+지/EC
않고	않/VX+고/EC
해외로	해외/NNG+로/JKB
진출하겠다는	진출/NNG+하/XSV+겠/EP+다는/ETM
계획도	계획/NNG+도/JX
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.14.9.2
하지만 내용은 철저히 한국식으로 갈 방침이다.

하지만	하지만/MAJ
내용은	내용/NNG+은/JX
철저히	철저히/MAG
한국식으로	한국식/NNG+으로/JKB
갈	가/VV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.14.9.3
홍 회장은 “국내 브랜드를 육성해 함께 가겠다”며 “앞으로도 해외 제조유통일괄형 의류(SPA) 브랜드나 해외 유명 브랜드는 입점시키지 않겠다”고 말했다.

홍	홍/NNP
회장은	회장/NNG+은/JX
“국내	“/SS+국내/NNG
브랜드를	브랜드/NNG+를/JKO
육성해	육성/NNG+하/XSV+아/EC
함께	함께/MAG
가겠다”며	가/VV+겠/EP+다/EF+”/SS+며/EC
“앞으로도	“/SS+앞/NNG+으로/JKB+도/JX
해외	해외/NNG
제조유통일괄형	제조/NNG+유통/NNG+일괄/NNG+형/XSN
의류(SPA)	의류/NNG+(/SS+SPA/SL+)/SS
브랜드나	브랜드/NNG+나/JC
유명	유명/NNG
브랜드는	브랜드/NNG+는/JX
입점시키지	입점/NNG+시키/XSV+지/EC
않겠다”고	않/VX+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.14.10.1
이윤신 원신월드 W몰 회장

이윤신	이윤신/NNP
원신월드	원신월드/NNP
W몰	W몰/NNP
회장	회장/NNG


# id : NWRW1800000041.14.11.1
“강남 시작으로 2, 3호점 출점… 전국의 유명 맛집들 입점 추진”

“강남	“/SS+강남/NNP
시작으로	시작/NNG+으로/JKB
2,	2/SN+,/SP
3호점	3/SN+호점/NNB
출점…	출점/NNG+…/SE
전국의	전국/NNG+의/JKG
유명	유명/NNG
맛집들	맛집/NNG+들/XSN
입점	입점/NNG
추진”	추진/NNG+”/SS


# id : NWRW1800000041.14.12.1
그동안 도자기 브랜드 ‘이도’의 대표로 알려졌던 이윤신 원신월드 W몰 회장(56)은 지난해 원신월드 창업주이자 부친인 이우혁 명예회장(81)에 이어 회장에 취임했다.

그동안	그동안/NNG
도자기	도자기/NNG
브랜드	브랜드/NNG
‘이도’의	‘/SS+이도/NNP+’/SS+의/JKG
대표로	대표/NNG+로/JKB
알려졌던	알려지/VV+었/EP+던/ETM
이윤신	이윤신/NNP
원신월드	원신월드/NNP
W몰	W몰/NNP
회장(56)은	회장/NNG+(/SS+56/SN+)/SS+은/JX
지난해	지난해/NNG
창업주이자	창업주/NNG+이/VCP+자/EC
부친인	부친/NNG+이/VCP+ㄴ/ETM
이우혁	이우혁/NNP
명예회장(81)에	명예/NNG+회장/NNG+(/SS+81/SN+)/SS+에/JKB
이어	잇/VV+어/EC
회장에	회장/NNG+에/JKB
취임했다.	취임/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.14.13.1
이 회장의 전략은 ‘아웃렛의 백화점화’다.

이	이/NNP
회장의	회장/NNG+의/JKG
전략은	전략/NNG+은/JX
‘아웃렛의	‘/SS+아웃렛/NNG+의/JKG
백화점화’다.	백화점/NNG+화/XSN+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000041.14.13.2
그는 “백화점을 운영하는 대기업이 아웃렛 시장에 진출하는 만큼 아웃렛 사업도 백화점 못지않게 고급스러워질 수 있다는 것을 보여주겠다”고 말했다.

그는	그/NP+는/JX
“백화점을	“/SS+백화점/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
대기업이	대/XPN+기업/NNG+이/JKS
아웃렛	아웃렛/NNG
시장에	시장/NNG+에/JKB
진출하는	진출/NNG+하/XSV+는/ETM
만큼	만큼/NNB
사업도	사업/NNG+도/JX
백화점	백화점/NNG
못지않게	못지않/VA+게/EC
고급스러워질	고급/NNG+스럽/XSA+어/EC+지/VX+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것을	것/NNB+을/JKO
보여주겠다”고	보이/VV+어/EC+주/VX+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.14.14.1
W몰 역시 가산디지털단지 밖으로의 진출을 구상 중이다.

W몰	W몰/NNP
역시	역시/MAG
가산디지털단지	가산디지털단지/NNP
밖으로의	밖/NNG+으로/JKB+의/JKG
진출을	진출/NNG+을/JKO
구상	구상/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.14.14.2
서울 강남구 및 노원구를 시작으로 지방에도 출점해 백화점처럼 브랜드화할 계획이다.

서울	서울/NNP
강남구	강남구/NNP
및	및/MAG
노원구를	노원구/NNP+를/JKO
시작으로	시작/NNG+으로/JKB
지방에도	지방/NNG+에/JKB+도/JX
출점해	출점/NNG+하/XSV+아/EC
백화점처럼	백화점/NNG+처럼/JKB
브랜드화할	브랜드/NNG+화/XSN+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.14.14.3
또 지방의 유명 빵집과 서울시내 유명 맛집을 입점시키는 등 백화점 스타일의 식음료 서비스를 강화할 예정이다.

또	또/MAG
지방의	지방/NNG+의/JKG
유명	유명/NNG
빵집과	빵집/NNG+과/JC
서울시내	서울/NNP+시내/NNG
맛집을	맛집/NNG+을/JKO
입점시키는	입점/NNG+시키/XSV+는/ETM
등	등/NNB
백화점	백화점/NNG
스타일의	스타일/NNG+의/JKG
식음료	식음료/NNG
서비스를	서비스/NNG+를/JKO
강화할	강화/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.14.14.4
백화점에 있는 유명 고가 어린이 옷 브랜드를 입점시켜 가족 단위 고객을 끌어들이겠다는 생각도 가지고 있다.

백화점에	백화점/NNG+에/JKB
있는	있/VA+는/ETM
유명	유명/NNG
고가	고가/NNG
어린이	어린이/NNG
옷	옷/NNG
브랜드를	브랜드/NNG+를/JKO
입점시켜	입점/NNG+시키/XSV+어/EC
가족	가족/NNG
단위	단위/NNG
고객을	고객/NNG+을/JKO
끌어들이겠다는	끌어들이/VV+겠/EP+다는/ETM
생각도	생각/NNG+도/JX
가지고	가지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.14.14.5
이 회장은 “그냥 아웃렛이 아니라 백화점과 아웃렛의 중간 형태의 유통채널을 만들겠다”고 말했다.

이	이/NNP
회장은	회장/NNG+은/JX
“그냥	“/SS+그냥/MAG
아웃렛이	아웃렛/NNG+이/JKC
아니라	아니/VCN+라/EC
백화점과	백화점/NNG+과/JC
아웃렛의	아웃렛/NNG+의/JKG
중간	중간/NNG
형태의	형태/NNG+의/JKG
유통채널을	유통/NNG+채널/NNG+을/JKO
만들겠다”고	만들/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


