# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.162
metadata : {}


# id : NWRW1800000033.162.1.1
‘학교폭력 근절’ 난리인데… 전교조 단체협상에 ‘학생지도 기피가능’

‘학교폭력	‘/SS+학교/NNG+폭력/NNG
광주	광주/NNP
경기	경기/NNP
강원	강원/NNP
전북	전북/NNP
전남	전남/NNP
등	등/NNB
7곳.	7/SN+곳/NNG+./SF


# id : NWRW1800000033.162.4.3
이들 지역의 단체협약은 대부분 △주번·당번교사제를 폐지한다 △방학 중 조근무를 폐지한다 △방과후 학교나 돌봄교실 운영 시 교사에게 일방적으로 근무를 명하지 않는다는 식의 업무 경감 조항을 담고 있다.

이들	이/NP+들/XSN
지역의	지역/NNG+의/JKG
단체협약은	단체/NNG+협약/NNG+은/JX
대부분	대/XPN+부분/NNG
△주번·당번교사제를	△/SW+주번/NNG+·/SP+당번/NNG+교사/NNG+제/XSN+를/JKO
폐지한다	폐지/NNG+하/XSV+ㄴ다/EF
△방학	△/SW+방학/NNG
중	중/NNB
조근무를	조/NNG+근무/NNG+를/JKO
△방과후	△/SW+방과/NNG+후/NNG
학교나	학교/NNG+나/JC
돌봄교실	돌봄/NNG+교실/NNG
운영	운영/NNG
시	시/NNB
교사에게	교사/NNG+에게/JKB
일방적으로	일방/NNG+적/XSN+으로/JKB
근무를	근무/NNG+를/JKO
명하지	명/NNG+하/XSV+지/EC
않는다는	않/VX+는다는/ETM
식의	식/NNB+의/JKG
업무	업무/NNG
경감	경감/NNG
조항을	조항/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.162.5.1
교육과학기술부 관계자는 “방학이나 방과 후에도 학교에 있는 학생이 많아 학교폭력 우려가 있다.

교육과학기술부	교육/NNG+과학/NNG+기술부/NNG
관계자는	관계자/NNG+는/JX
“방학이나	“/SS+방학/NNG+이나/JC
방과	방과/NNG
후에도	후/NNG+에/JKB+도/JX
학교에	학교/NNG+에/JKB
있는	있/VA+는/ETM
학생이	학생/NNG+이/JKS
많아	많/VA+아/EC
학교폭력	학교/NNG+폭력/NNG
우려가	우려/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.162.5.2
무조건적인 제도 폐지는 불합리한 조항”이라고 말했다.

무조건적인	무/XPN+조건/NNG+적/XSN+이/VCP+ㄴ/ETM
제도	제도/NNG
폐지는	폐지/NNG+는/JX
불합리한	불/XPN+합리/NNG+하/XSA+ㄴ/ETM
조항”이라고	조항/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.162.5.3
교원노조 단체협약은 고용노동부가 지도·감독에 대한 권한을 갖지만, 위법한 조항이 아니라 불합리한 조항에 대해서는 시정명령을 할 법적 근거가 없다.

교원노조	교원/NNG+노조/NNG
단체협약은	단체/NNG+협약/NNG+은/JX
고용노동부가	고용/NNG+노동부/NNG+가/JKS
지도·감독에	지도/NNG+·/SP+감독/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
권한을	권한/NNG+을/JKO
갖지만,	갖/VV+지만/EC+,/SP
위법한	위법/NNG+하/XSV+ㄴ/ETM
조항이	조항/NNG+이/JKC
아니라	아니/VCN+라/EC
불합리한	불/XPN+합리/NNG+하/XSA+ㄴ/ETM
조항에	조항/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
시정명령을	시정/NNG+명령/NNG+을/JKO
할	하/VV+ㄹ/ETM
법적	법/NNG+적/XSN
근거가	근거/NNG+가/JKS
없다.	없/VA+다/EF+./SF


