# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.135
metadata : {}


# id : NWRW1800000041.135.1.1
[임희윤 기자의 싱글노트]아픔과 작별하며… 난 오늘도 산다

[임희윤	[/SS+임희윤/NNP
절반은.	절반/NNG+은/JX+./SF


# id : NWRW1800000041.135.6.1
영국의 걸출한 기타리스트이자 싱어송라이터인 노플러는 ‘술탄스 오브 스윙’으로 유명한 영국 록밴드 다이어 스트레이츠의 리더였다.

영국의	영국/NNP+의/JKG
걸출한	걸출/NNG+하/XSA+ㄴ/ETM
기타리스트이자	기타리스트/NNG+이/VCP+자/EC
싱어송라이터인	싱어송라이터/NNG+이/VCP+ㄴ/ETM
노플러는	노플러/NNP+는/JX
‘술탄스	‘/SS+술탄스/NNP
오브	오브/NNP
스윙’으로	스윙/NNP+’/SS+으로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
영국	영국/NNP
록밴드	록/NNG+밴드/NNG
다이어	다이어/NNP
스트레이츠의	스트레이츠/NNP+의/JKG
리더였다.	리더/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.135.6.2
그는 TV 중계실황에서 특유의 무표정과 청회색 눈동자를 빛내며 ‘로미오 앤드 줄리엣’ ‘와이 워리’ ‘머니 포 나싱’ ‘브러더스 인 암스’ 같은 히트곡을 뛰어난 연주로 들려줬다.

그는	그/NP+는/JX
TV	TV/SL
중계실황에서	중계/NNG+실황/NNG+에서/JKB
특유의	특유/NNG+의/JKG
무표정과	무/XPN+표정/NNG+과/JC
청회색	청회색/NNG
눈동자를	눈동자/NNG+를/JKO
빛내며	빛내/VV+며/EC
‘로미오	‘/SS+로미오/NNP
앤드	앤드/NNP
줄리엣’	줄리엣/NNP+’/SS
‘와이	‘/SS+와이/NNP
워리’	워리/NNP+’/SS
‘머니	‘/SS+머니/NNP
포	포/NNP
나싱’	나싱/NNP+’/SS
‘브러더스	‘/SS+브러더스/NNP
인	인/NNP
암스’	암스/NNP+’/SS
같은	같/VA+은/ETM
히트곡을	히트곡/NNG+을/JKO
뛰어난	뛰어나/VA+ㄴ/ETM
연주로	연주/NNG+로/JKB
들려줬다.	들려주/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.135.6.3
픽(pick·기타 칠 때 쓰는 작은 채) 없이 기타의 6현을 누비는 그의 오른손은 제프 벡의 것과는 또 다른 마법이었다.

픽(pick·기타	픽/NNG+(/SS+pick/SL+·/SP+기타/NNG
칠	치/VV+ㄹ/ETM
때	때/NNG
쓰는	쓰/VV+는/ETM
작은	작/VA+은/ETM
채)	채/NNG+)/SS
없이	없이/MAG
기타의	기타/NNG+의/JKG
6현을	6/SN+현/NNG+을/JKO
누비는	누비/VV+는/ETM
그의	그/NP+의/JKG
오른손은	오른손/NNG+은/JX
제프	제프/NNP
벡의	벡/NNP+의/JKG
것과는	것/NNB+과/JKB+는/JX
또	또/MAG
다른	다른/MMD
마법이었다.	마법/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.135.7.1
노플러의 음악에 맥주 한 잔 타서 개인사, 세상사의 고단함을 잊으려던 날 소파에서 일으킨 건 공연 막바지에 그가 택한 곡, ‘이프 디스 이즈 굿바이’였다.

노플러의	노플러/NNP+의/JKG
음악에	음악/NNG+에/JKB
맥주	맥주/NNG
한	한/MMN
잔	잔/NNG
타서	타/VV+아서/EC
개인사,	개인사/NNG+,/SP
세상사의	세상사/NNG+의/JKG
고단함을	고단하/VA+ㅁ/ETN+을/JKO
잊으려던	잊/VV+으려던/ETM
날	나/NP+ㄹ/JKO
소파에서	소파/NNG+에서/JKB
일으킨	일으키/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
공연	공연/NNG
막바지에	막바지/NNG+에/JKB
그가	그/NP+가/JKS
택한	택하/VV+ㄴ/ETM
곡,	곡/NNG+,/SP
‘이프	‘/SS+이프/NNP
디스	디스/NNP
이즈	이즈/NNP
굿바이’였다.	굿바이/NNP+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.135.7.2
소설 ‘어톤먼트’를 쓴 영국 작가 이언 매큐언이 9·11테러 직후 쓴 신문 칼럼을 읽고 쓴 곡이라고 했다.

소설	소설/NNG
‘어톤먼트’를	‘/SS+어톤먼트/NNG+’/SS+를/JKO
쓴	쓰/VV+ㄴ/ETM
영국	영국/NNP
작가	작가/NNG
이언	이언/NNP
매큐언이	매큐언/NNP+이/JKS
9·11테러	9/SN+·/SP+11/SN+테러/NNG
직후	직후/NNG
신문	신문/NNG
칼럼을	칼럼/NNG+을/JKO
읽고	읽/VV+고/EC
곡이라고	곡/NNG+이/VCP+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.135.7.3
노플러의 설명은 담담했다.

노플러의	노플러/NNP+의/JKG
설명은	설명/NNG+은/JX
담담했다.	담담하/VA+았/EP+다/EF+./SF


# id : NWRW1800000041.135.7.4
“야만적인 복수가 촉발한 끔찍한 참사의 순간에도 사람들은 마지막 통화로 가족과 친지에게 사랑의 메시지를 전했죠.

“야만적인	“/SS+야만/NNG+적/XSN+이/VCP+ㄴ/ETM
복수가	복수/NNG+가/JKS
촉발한	촉발/NNG+하/XSV+ㄴ/ETM
끔찍한	끔찍하/VA+ㄴ/ETM
참사의	참사/NNG+의/JKG
순간에도	순간/NNG+에/JKB+도/JX
사람들은	사람/NNG+들/XSN+은/JX
마지막	마지막/NNG
통화로	통화/NNG+로/JKB
가족과	가족/NNG+과/JC
친지에게	친지/NNG+에게/JKB
사랑의	사랑/NNG+의/JKG
메시지를	메시지/NNG+를/JKO
전했죠.	전하/VV+았/EP+죠/EF+./SF


# id : NWRW1800000041.135.7.5
이것이야말로 인간정신의 승리입니다.”

이것이야말로	이것/NP+이야말로/JX
인간정신의	인간/NNG+정신/NNG+의/JKG
승리입니다.”	승리/NNG+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000041.135.8.1
즐거운 기억과의 ‘안녕 시간’은 너무 짧다.

즐거운	즐겁/VA+ㄴ/ETM
기억과의	기억/NNG+과/JKB+의/JKG
‘안녕	‘/SS+안녕/NNG
시간’은	시간/NNG+’/SS+은/JX
너무	너무/MAG
짧다.	짧/VA+다/EF+./SF


# id : NWRW1800000041.135.8.2
아픔과의 작별은 너무도 길다.

아픔과의	아픔/NNG+과/JKB+의/JKG
작별은	작별/NNG+은/JX
너무도	너무/MAG+도/JX
길다.	길/VA+다/EF+./SF


# id : NWRW1800000041.135.8.3
그건 때로 5000만 명의 평생만큼 걸린다.

그건	그거/NP+ㄴ/JX
때로	때로/MAG
5000만	5000/SN+만/NR
명의	명/NNB+의/JKG
평생만큼	평생/NNG+만큼/JKB
걸린다.	걸리/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.135.8.4
우리의 승리는 진행형이어야 한다.

우리의	우리/NP+의/JKG
승리는	승리/NNG+는/JX
진행형이어야	진행/NNG+형/XSN+이/VCP+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.135.9.1
‘나의 거창한 유언은/찢겨져 너덜너덜하지만/내가 말하려던 게 무엇이든/사랑합니다, 이게 다예요.

‘나의	‘/SS+나/NP+의/JKG
거창한	거창하/VA+ㄴ/ETM
유언은/찢겨져	유언/NNG+은/JX+//SP+찢기/VV+어/EC+지/VX+어/EC
너덜너덜하지만/내가	너덜너덜/MAG+하/XSA+지만/EC+//SP+내/NP+가/JKS
말하려던	말/NNG+하/XSV+려던/ETM
게	거/NNB+이/JKS
무엇이든/사랑합니다,	무엇/NP+이/VCP+든/EC+//SP+사랑/NNG+하/XSV+ㅂ니다/EF+,/SP
이게	이거/NP+이/JKS
다예요.	다/NNG+이/VCP+에요/EF+./SF


# id : NWRW1800000041.135.9.2
…나의 거창한 유언은/들려지지 않은 채 하늘의 어둠 속을 맴돌겠지만/사랑해요… 이게 굿바이라면…’.

…나의	…/SE+나/NP+의/JKG
거창한	거창하/VA+ㄴ/ETM
유언은/들려지지	유언/NNG+은/JX+//SP+들리/VV+어/EC+지/VX+지/EC
않은	않/VX+은/ETM
채	채/NNB
하늘의	하늘/NNG+의/JKG
어둠	어둠/NNG
속을	속/NNG+을/JKO
맴돌겠지만/사랑해요…	맴돌/VV+겠/EP+지만/EC+//SP+사랑/NNG+하/XSV+아요/EF+…/SE
이게	이거/NP+이/JKS
굿바이라면…’.	굿바이/NNG+이/VCP+라면/EC+…/SE+’/SS+./SF


# id : NWRW1800000041.135.9.3
(‘이프 디스 이즈 굿바이’ 중)

(‘이프	(/SS+‘/SS+이프/NNP
디스	디스/NNP
이즈	이즈/NNP
굿바이’	굿바이/NNP+’/SS
중)	중/NNB+)/SS


