# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.17
metadata : {}


# id : NWRW1800000022.17.1.1
'MB검찰 진용' 구축… 公安강화·지역안배도;● 고위간부 53명 人事 배경

'MB검찰	'/SS+MB/SL+검찰/NNG
박한철	박한철/NNP
공안부장은	공안부장/NNG+은/JX
각각	각각/MAG
부산과	부산/NNP+과/JC
대구지방검사장으로	대구/NNP+지방/NNG+검사장/NNG+으로/JKB
발령	발령/NNG
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.17.3.2
대신 그 자리에는 문성우 차관과 이인규 대검 기획조정부장, 노환균 울산지검장이 기용됐다.

대신	대신/NNG
그	그/MMD
자리에는	자리/NNG+에/JKB+는/JX
문성우	문성우/NNP
차관과	차관/NNG+과/JC
이인규	이인규/NNP
대검	대검/NNG
기획조정부장,	기획/NNG+조정부장/NNG+,/SP
노환균	노환균/NNP
울산지검장이	울산지검장/NNG+이/JKS
기용됐다.	기용/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.17.4.1
이에 대해 검찰 안팎에선 새정부 출범 이후 불법 촛불시위와 사정 수사에 대한 권력 핵심부의 불만이 이번 인사에 집약적으로 반영됐다는 해석이 나오고 있다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
검찰	검찰/NNG
안팎에선	안팎/NNG+에서/JKB+ㄴ/JX
새정부	새/MMA+정부/NNG
출범	출범/NNG
이후	이후/NNG
불법	불법/NNG
촛불시위와	촛불/NNG+시위/NNG+와/JC
사정	사정/NNG
수사에	수사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
권력	권력/NNG
핵심부의	핵심부/NNG+의/JKG
불만이	불만/NNG+이/JKS
이번	이번/NNG
인사에	인사/NNG+에/JKB
집약적으로	집약/NNG+적/XSN+으로/JKB
반영됐다는	반영/NNG+되/XSV+었/EP+다는/ETM
해석이	해석/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.17.5.1
사정기관의 한 관계자는 "대검 간부인사는 임채진 총장의 지난 1년간 성적표"라면서 "이번 인사를 통해 드디어 '이명박 검찰' 진용이 꾸려진 것이라고 보면 된다"고 말했다.

사정기관의	사정/NNG+기관/NNG+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
"대검	"/SS+대검/NNG
간부인사는	간부/NNG+인사/NNG+는/JX
임채진	임채진/NNP
총장의	총장/NNG+의/JKG
지난	지나/VV+ㄴ/ETM
1년간	1/SN+년/NNB+간/XSN
성적표"라면서	성적표/NNG+"/SS+이/VCP+라면서/EC
"이번	"/SS+이번/NNG
인사를	인사/NNG+를/JKO
통해	통하/VV+아/EC
드디어	드디어/MAG
'이명박	'/SS+이명박/NNP
검찰'	검찰/NNG+'/SS
진용이	진용/NNG+이/JKS
꾸려진	꾸리/VV+어/EC+지/VX+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
보면	보/VV+면/EC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.17.5.2
대검의 일부 검사장들은 유임을 희망했던 것으로 알려졌다.

대검의	대검/NNG+의/JKG
일부	일부/NNG
검사장들은	검사장/NNG+들/XSN+은/JX
유임을	유임/NNG+을/JKO
희망했던	희망/NNG+하/XSV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.17.6.1
이번 검찰 인사에서는 이명박 대통령의 향후 국정운영 방향을 가늠해볼 수 있는 대목이 군데군데 엿보인다.

이번	이번/NNG
검찰	검찰/NNG
인사에서는	인사/NNG+에서/JKB+는/JX
이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
향후	향후/NNG
국정운영	국정/NNG+운영/NNG
방향을	방향/NNG+을/JKO
가늠해볼	가늠/NNG+하/XSV+아/EC+보/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
대목이	대목/NNG+이/JKS
군데군데	군데군데/MAG
엿보인다.	엿보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.17.6.2
대표적으로 '공안 외길'을 걸어온 천성관 수원지검장이 서울중앙지검장으로, 노환균 울산지검장이 대검 공안부장으로 발탁된 것은 앞으로 검찰 운영방침을 헌법질서 수호, 친북세력 척결, 노사안정 등에 중점을 두겠다는 뜻으로 받아들여진다.

대표적으로	대표/NNG+적/XSN+으로/JKB
'공안	'/SS+공안/NNG
외길'을	외길/NNG+'/SS+을/JKO
걸어온	걸어오/VV+ㄴ/ETM
천성관	천성관/NNP
수원지검장이	수원지검장/NNG+이/JKS
서울중앙지검장으로,	서울중앙지검장/NNG+으로/JKB+,/SP
노환균	노환균/NNP
울산지검장이	울산지검장/NNG+이/JKS
대검	대검/NNG
공안부장으로	공안부장/NNG+으로/JKB
발탁된	발탁/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
앞으로	앞/NNG+으로/JKB
검찰	검찰/NNG
운영방침을	운영/NNG+방침/NNG+을/JKO
헌법질서	헌법/NNG+질서/NNG
수호,	수호/NNG+,/SP
친북세력	친북/NNG+세력/NNG
척결,	척결/NNG+,/SP
노사안정	노사/NNG+안정/NNG
등에	등/NNB+에/JKB
중점을	중점/NNG+을/JKO
두겠다는	두/VV+겠/EP+다는/ETM
뜻으로	뜻/NNG+으로/JKB
받아들여진다.	받아들이/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.17.7.1
천 검사장은 대검 공안과장과 서울중앙지검 공안부장, 대검 공안기획관 등 검사 시절 대부분을 '공안' 파트에 주로 몸 담았다.

천	천/NNP
검사장은	검사장/NNG+은/JX
대검	대검/NNG
공안과장과	공안과장/NNG+과/JC
서울중앙지검	서울중앙지검/NNP
공안부장,	공안부장/NNG+,/SP
공안기획관	공안/NNG+기획관/NNG
등	등/NNB
검사	검사/NNG
시절	시절/NNG
대부분을	대/XPN+부분/NNG+을/JKO
'공안'	'/SS+공안/NNG+'/SS
파트에	파트/NNG+에/JKB
주로	주로/MAG
몸	몸/NNG
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.17.7.2
천 검사장은 또 작년에 남파간첩 원정화 사건을 지휘해 주목을 받았었다.

천	천/NNP
검사장은	검사장/NNG+은/JX
또	또/MAG
작년에	작년/NNG+에/JKB
남파간첩	남파/NNG+간첩/NNG
원정화	원정화/NNP
사건을	사건/NNG+을/JKO
지휘해	지휘/NNG+하/XSV+아/EC
주목을	주목/NNG+을/JKO
받았었다.	받/VV+았었/EP+다/EF+./SF


# id : NWRW1800000022.17.8.1
이번 인사에선 지역 안배에 신경을 쓴 흔적이 보인다.

이번	이번/NNG
인사에선	인사/NNG+에서/JKB+ㄴ/JX
지역	지역/NNG
안배에	안배/NNG+에/JKB
신경을	신경/NNG+을/JKO
쓴	쓰/VV+ㄴ/ETM
흔적이	흔적/NNG+이/JKS
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.17.8.2
지난해 정권 출범 직후 단행된 검찰인사에서 대거 약진한 TK(대구·경북)세는 이번 인사에서 눈에 띄게 밀려났다.

지난해	지난해/NNG
정권	정권/NNG
출범	출범/NNG
직후	직후/NNG
단행된	단행/NNG+되/XSV+ㄴ/ETM
검찰인사에서	검찰/NNG+인사/NNG+에서/JKB
대거	대거/MAG
약진한	약진/NNG+하/XSV+ㄴ/ETM
TK(대구·경북)세는	TK/SL+(/SS+대구/NNP+·/SP+경북/NNP+)/SS+세/NNG+는/JX
이번	이번/NNG
인사에서	인사/NNG+에서/JKB
눈에	눈/NNG+에/JKB
띄게	띄/VV+게/EC
밀려났다.	밀려나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.17.9.1
검찰의 4대 요직으로 꼽히는 서울중앙지검장(충남)과 법무부 검찰국장(서울), 대검 중수부장(경기)과 공안부장(경북) 가운데 영남권은 노환균 공안부장 한 명뿐이다.

검찰의	검찰/NNG+의/JKG
4대	4/SN+대/NNG
요직으로	요직/NNG+으로/JKB
꼽히는	꼽히/VV+는/ETM
서울중앙지검장(충남)과	서울중앙지검장/NNG+(/SS+충남/NNP+)/SS+과/JC
법무부	법무부/NNG
검찰국장(서울),	검찰국장/NNG+(/SS+서울/NNP+)/SS+,/SP
대검	대검/NNG
중수부장(경기)과	중수부장/NNG+(/SS+경기/NNP+)/SS+과/JC
공안부장(경북)	공안부장/NNG+(/SS+경북/NNP+)/SS
가운데	가운데/NNG
영남권은	영남/NNP+권/XSN+은/JX
노환균	노환균/NNP
공안부장	공안부장/NNG
한	한/MMN
명뿐이다.	명/NNB+뿐/JX+이/VCP+다/EF+./SF


# id : NWRW1800000022.17.9.2
대검 차장과 법무차관은 호남출신이다.

대검	대검/NNG
차장과	차장/NNG+과/JC
법무차관은	법무/NNG+차관/NNG+은/JX
호남출신이다.	호남/NNP+출신/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.17.9.3
새로 검사장으로 승진한 6명 중에도 대구·경북출신은 김수남 법무부 기획조정실장 1명뿐이고, 충청권 2명(국민수 서울고검 공판부장·송해은 부산지검 1차장)과 서울(성영훈 대구지검 1차장), 전남(김현웅 서울고검 형사부장), 경남(정병두 서울중앙지검 1차장) 각 1명씩이다.

새로	새로/MAG
검사장으로	검사장/NNG+으로/JKB
승진한	승진/NNG+하/XSV+ㄴ/ETM
6명	6/SN+명/NNB
중에도	중/NNB+에/JKB+도/JX
대구·경북출신은	대구/NNP+·/SP+경북/NNP+출신/NNG+은/JX
김수남	김수남/NNP
법무부	법무부/NNG
기획조정실장	기획/NNG+조정실장/NNG
1명뿐이고,	1/SN+명/NNB+뿐/JX+이/VCP+고/EC+,/SP
충청권	충청/NNP+권/XSN
2명(국민수	2/SN+명/NNB+(/SS+국민수/NNP
서울고검	서울고검/NNP
공판부장·송해은	공판부장/NNG+·/SP+송해은/NNP
부산지검	부산지검/NNP
1차장)과	1/SN+차장/NNG+)/SS+과/JC
서울(성영훈	서울/NNP+(/SS+성영훈/NNP
대구지검	대구지검/NNP
1차장),	1/SN+차장/NNG+)/SS+,/SP
전남(김현웅	전남/NNP+(/SS+김현웅/NNP
형사부장),	형사부장/NNG+)/SS+,/SP
경남(정병두	경남/NNP+(/SS+정병두/NNP
서울중앙지검	서울중앙지검/NNP
1차장)	1/SN+차장/NNG+)/SS
각	각/MMD
1명씩이다.	1/SN+명/NNB+씩/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000022.17.10.1
법무부 관계자는 "집권 초기 시절 대구 경북 출신들을 중심으로 강력 드라이브를 걸려고 했지만 좋은 성과가 나온 것은 아니었다"면서 "지역보다는 능력 중심으로 이번 인사를 한 것으로 알고 있다"고 말했다.

법무부	법무부/NNG
관계자는	관계자/NNG+는/JX
"집권	"/SS+집권/NNG
초기	초기/NNG
시절	시절/NNG
대구	대구/NNP
경북	경북/NNP
출신들을	출신/NNG+들/XSN+을/JKO
중심으로	중심/NNG+으로/JKB
강력	강력/NNG
드라이브를	드라이브/NNG+를/JKO
걸려고	걸/VV+려고/EC
했지만	하/VX+았/EP+지만/EC
좋은	좋/VA+은/ETM
성과가	성과/NNG+가/JKS
나온	나오/VV+ㄴ/ETM
것은	것/NNB+은/JX
아니었다"면서	아니/VCN+었/EP+다/EF+"/SS+면서/EC
"지역보다는	"/SS+지역/NNG+보다/JKB+는/JX
능력	능력/NNG
이번	이번/NNG
인사를	인사/NNG+를/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.17.11.1
이명박 대통령의 학맥인 고려대 출신이 상당수 발탁된 것도 이번 인사의 특징이다.

이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
학맥인	학맥/NNG+이/VCP+ㄴ/ETM
고려대	고려대/NNP
출신이	출신/NNG+이/JKS
상당수	상당수/NNG
발탁된	발탁/NNG+되/XSV+ㄴ/ETM
것도	것/NNB+도/JX
이번	이번/NNG
인사의	인사/NNG+의/JKG
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.17.11.2
법무차관, 검찰국장, 대검 공안부장 등 비(非)고려대 출신들과 경합한 것으로 알려진 보직은 고려대 출신들이 휩쓸었다.

법무차관,	법무/NNG+차관/NNG+,/SP
검찰국장,	검찰국장/NNG+,/SP
대검	대검/NNG
공안부장	공안부장/NNG
등	등/NNB
비(非)고려대	비/XPN+(/SS+非/SH+)/SS+고려대/NNP
출신들과	출신/NNG+들/XSN+과/JKB
경합한	경합/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려진	알려지/VV+ㄴ/ETM
보직은	보직/NNG+은/JX
고려대	고려대/NNP
출신들이	출신/NNG+들/XSN+이/JKS
휩쓸었다.	휩쓸/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.17.12.1
지난 10년간 정치적 논란의 한복판에 있던 간부들은 이번 인사에서 밀려났다.

지난	지나/VV+ㄴ/ETM
10년간	10/SN+년/NNB+간/XSN
정치적	정치/NNG+적/XSN
논란의	논란/NNG+의/JKG
한복판에	한/XPN+복판/NNG+에/JKB
있던	있/VA+던/ETM
간부들은	간부/NNG+들/XSN+은/JX
이번	이번/NNG
인사에서	인사/NNG+에서/JKB
밀려났다.	밀려나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.17.12.2
김대중 정권 당시 서울지검 특수1부장 재직시 이른바 '병풍사건'을 맡아 편파수사 논란을 일으켰던 박영관 제주지검장은 대전지검 차장으로 '좌천'되자, 사표를 제출했다.

김대중	김대중/NNP
정권	정권/NNG
당시	당시/NNG
서울지검	서울지검/NNP
특수1부장	특수/NNG+1/SN+부장/NNG
재직시	재직/NNG+시/NNB
이른바	이른바/MAG
'병풍사건'을	'/SS+병풍/NNG+사건/NNG+'/SS+을/JKO
맡아	맡/VV+아/EC
편파수사	편파/NNG+수사/NNG
논란을	논란/NNG+을/JKO
일으켰던	일으키/VV+었/EP+던/ETM
박영관	박영관/NNP
제주지검장은	제주지검장/NNG+은/JX
대전지검	대전지검/NNP
차장으로	차장/NNG+으로/JKB
'좌천'되자,	'/SS+좌천/NNG+'/SS+되/XSV+자/EC+,/SP
사표를	사표/NNG+를/JKO
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.17.12.3
과거 정권 실세들의 강력한 천거로 검사장이 됐다는 말이 나왔거나 특정 정치세력을 비호한다는 평을 들었던 일부 검사장들도 한직으로 발령이 났다.

과거	과거/NNG
정권	정권/NNG
실세들의	실세/NNG+들/XSN+의/JKG
강력한	강력/NNG+하/XSA+ㄴ/ETM
천거로	천거/NNG+로/JKB
검사장이	검사장/NNG+이/JKC
됐다는	되/VV+었/EP+다는/ETM
말이	말/NNG+이/JKS
나왔거나	나오/VV+았/EP+거나/EC
특정	특정/NNG
정치세력을	정치/NNG+세력/NNG+을/JKO
비호한다는	비호/NNG+하/XSV+ㄴ다는/ETM
평을	평/NNG+을/JKO
들었던	듣/VV+었/EP+던/ETM
일부	일부/NNG
검사장들도	검사장/NNG+들/XSN+도/JX
한직으로	한직/NNG+으로/JKB
발령이	발령/NNG+이/JKS
났다.	나/VV+았/EP+다/EF+./SF


