# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.360
metadata : {}


# id : NWRW1800000054.360.1.1
北爆說 등 안보불안 루머 확산… 정부 "근거 없는 얘기"

北爆說	北爆說/SH
지라시(사설정보지)'들이	지라시/NNG+(/SS+사설/NNG+정보지/NNG+)/SS+'/SS+들/XSN+이/JKS
급속도로	급속도/NNG+로/JKB
퍼지면서,	퍼지/VV+면서/EC+,/SP
일부	일부/NNG
외국계	외국/NNG+계/XSN
기업들이	기업/NNG+들/XSN+이/JKS
'피난	'/SS+피난/NNG
계획'을	계획/NNG+'/SS+을/JKO
마련하는	마련/NNG+하/XSV+는/ETM
등	등/NNB
불안감이	불안감/NNG+이/JKS
확산되고	확산/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
것과	것/NNB+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
내용이었다.	내용/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.360.2.4
하지만 정부는 "북한을 타격할 계획도 징후도 없다"고 밝혔다.

하지만	하지만/MAJ
정부는	정부/NNG+는/JX
"북한을	"/SS+북한/NNP+을/JKO
타격할	타격/NNG+하/XSV+ㄹ/ETM
계획도	계획/NNG+도/JX
징후도	징후/NNG+도/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.360.3.1
최근 도는 지라시는 '이달 말까지 중국이 김정은의 망명을 설득하고 실패할 경우 미국이 선제타격에 나선다' 식의 내용을 담고 있다.

최근	최근/MAG
도는	돌/VV+는/ETM
지라시는	지라시/NNG+는/JX
'이달	'/SS+이달/NNG
말까지	말/NNB+까지/JX
중국이	중국/NNP+이/JKS
김정은의	김정은/NNP+의/JKG
망명을	망명/NNG+을/JKO
설득하고	설득/NNG+하/XSV+고/EC
실패할	실패/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
미국이	미국/NNP+이/JKS
선제타격에	선제/NNG+타격/NNG+에/JKB
나선다'	나서/VV+ㄴ다/EF+'/SS
식의	식/NNB+의/JKG
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.360.3.2
서울에 근무하는 외국 기업 관계자들은 "최근 외국계 회사 몇 곳에서 '유사시 한국 내 자산과 인력 철수 계획을 점검하라'는 지시를 내렸다는 얘기가 돌고 있다"고도 했다.

서울에	서울/NNP+에/JKB
근무하는	근무/NNG+하/XSV+는/ETM
외국	외국/NNG
기업	기업/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
"최근	"/SS+최근/NNG
외국계	외국/NNG+계/XSN
회사	회사/NNG
몇	몇/NR
곳에서	곳/NNG+에서/JKB
'유사시	'/SS+유사시/NNG
한국	한국/NNP
내	내/NNB
자산과	자산/NNG+과/JC
인력	인력/NNG
철수	철수/NNG
계획을	계획/NNG+을/JKO
점검하라'는	점검/NNG+하/XSV+라/EF+'/SS+는/ETM
지시를	지시/NNG+를/JKO
내렸다는	내리/VV+었/EP+다는/ETM
얘기가	얘기/NNG+가/JKS
돌고	돌/VV+고/EC
있다"고도	있/VX+다/EF+"/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.360.3.3
소셜미디어를 통해서 "미군의 전략 물자가 집중적으로 미 본토에서 한반도 쪽으로 수송되고 있다"는 등의 글도 퍼지고 있다.

소셜미디어를	소셜/NNG+미디어/NNG+를/JKO
통해서	통하/VV+아서/EC
"미군의	"/SS+미군/NNG+의/JKG
전략	전략/NNG
물자가	물자/NNG+가/JKS
집중적으로	집중/NNG+적/XSN+으로/JKB
미	미/NNP
본토에서	본토/NNG+에서/JKB
한반도	한반도/NNP
쪽으로	쪽/NNB+으로/JKB
수송되고	수송/NNG+되/XSV+고/EC
있다"는	있/VX+다/EF+"/SS+는/ETM
등의	등/NNB+의/JKG
글도	글/NNG+도/JX
퍼지고	퍼지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.360.4.1
여기에 외신들까지 한반도 안보 리스크를 자주 보도하고 있다.

여기에	여기/NP+에/JKB
외신들까지	외신/NNG+들/XSN+까지/JX
한반도	한반도/NNP
안보	안보/NNG
리스크를	리스크/NNG+를/JKO
자주	자주/MAG
보도하고	보도/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.360.4.2
BBC와 CNN은 전날 호주로 가다가 한반도로 항로를 바꾼 미 항모 칼빈슨호의 움직임을 주요 뉴스로 보도했다.

BBC와	BBC/SL+와/JC
CNN은	CNN/SL+은/JX
전날	전날/NNG
호주로	호주/NNP+로/JKB
가다가	가/VV+다가/EC
한반도로	한반도/NNP+로/JKB
항로를	항로/NNG+를/JKO
바꾼	바꾸/VV+ㄴ/ETM
미	미/NNP
항모	항모/NNG
칼빈슨호의	칼빈슨호/NNP+의/JKG
움직임을	움직임/NNG+을/JKO
주요	주요/NNG
뉴스로	뉴스/NNG+로/JKB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.360.4.3
지난주 미국의 NBC방송이 한국에서 뉴스를 진행하며 한반도 상황을 전한 것도 소셜미디어에서 계속 퍼날라지고 있다.

지난주	지난주/NNG
미국의	미국/NNP+의/JKG
NBC방송이	NBC/SL+방송/NNG+이/JKS
한국에서	한국/NNP+에서/JKB
뉴스를	뉴스/NNG+를/JKO
진행하며	진행/NNG+하/XSV+며/EC
한반도	한반도/NNP
상황을	상황/NNG+을/JKO
전한	전하/VV+ㄴ/ETM
것도	것/NNB+도/JX
소셜미디어에서	소셜/NNG+미디어/NNG+에서/JKB
계속	계속/MAG
퍼날라지고	푸/VV+어/EC+나르/VV+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.360.4.4
한 외국계 회사 임원은 "CNN, NBC 등에서 한국과 관련해 불안한 보도를 쏟아내면서 외국계 투자자들이 한국의 안보와 북한 사태를 주시하고 있다"고 했다.

한	한/MMN
외국계	외국/NNG+계/XSN
회사	회사/NNG
임원은	임원/NNG+은/JX
"CNN,	"/SS+CNN/SL+,/SP
NBC	NBC/SL
등에서	등/NNB+에서/JKB
한국과	한국/NNP+과/JKB
관련해	관련/NNG+하/XSV+아/EC
불안한	불안/NNG+하/XSA+ㄴ/ETM
보도를	보도/NNG+를/JKO
쏟아내면서	쏟/VV+아/EC+내/VX+면서/EC
투자자들이	투자자/NNG+들/XSN+이/JKS
한국의	한국/NNP+의/JKG
안보와	안보/NNG+와/JC
북한	북한/NNP
사태를	사태/NNG+를/JKO
주시하고	주시/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.360.5.1
그러나 정부는 미국의 선제공격설과 관련해선 "크게 우려할 필요는 없다. 미국은 한국의 대북정책을 지지한다고 했고, 우리 정부는 모든 문제를 평화적으로 해결하겠다는 입장"(통일부 대변인)이라고 했다.

그러나	그러나/MAJ
정부는	정부/NNG+는/JX
미국의	미국/NNP+의/JKG
선제공격설과	선제공격설/NNG+과/JKB
관련해선	관련/NNG+하/XSV+아서/EC+ㄴ/JX
"크게	"/SS+크/VA+게/EC
우려할	우려/NNG+하/XSV+ㄹ/ETM
필요는	필요/NNG+는/JX
없다.	없/VA+다/EF+./SF
미국은	미국/NNP+은/JX
한국의	한국/NNP+의/JKG
대북정책을	대북/NNG+정책/NNG+을/JKO
지지한다고	지지/NNG+하/XSV+ㄴ다고/EC
했고,	하/VV+았/EP+고/EC+,/SP
우리	우리/NP
모든	모든/MMN
문제를	문제/NNG+를/JKO
평화적으로	평화/NNG+적/XSN+으로/JKB
해결하겠다는	해결/NNG+하/XSV+겠/EP+다는/ETM
입장"(통일부	입장/NNG+"/SS+(/SS+통일부/NNG
대변인)이라고	대변인/NNG+)/SS+이/VCP+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.360.5.2
문상균 국방부 대변인도 "칼빈슨호의 이동은 만일의 사태를 위한 대비 차원일 뿐"이라고 했다.

문상균	문상균/NNP
국방부	국방부/NNG
대변인도	대변인/NNG+도/JX
"칼빈슨호의	"/SS+칼빈슨호/NNP+의/JKG
이동은	이동/NNG+은/JX
만일의	만일/NNG+의/JKG
사태를	사태/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
대비	대비/NNG
차원일	차원/NNG+이/VCP+ㄹ/ETM
뿐"이라고	뿐/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


