# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.160
metadata : {}


# id : NWRW1800000029.160.1.1
亞3국과 390억 달러 수출계약… 미국인 일자리 13만 개 창출

亞3국과	亞/SH+3국/NNG+과/JC
중소기업이	중소기업/NNG+이/JKS
부품을	부품/NNG+을/JKO
생산하고	생산/NNG+하/XSV+고/EC
조립작업에	조립/NNG+작업/NNG+에/JKB
참여한다.	참여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.160.6.1
제너럴일렉트릭은 인도네시아 가루다항공에 엔진 50개를 수출하는 계약을 이번에 체결했다.

제너럴일렉트릭은	제너럴일렉트릭/NNP+은/JX
인도네시아	인도네시아/NNP
가루다항공에	가루다항공/NNP+에/JKB
엔진	엔진/NNG
50개를	50/SN+개/NNB+를/JKO
수출하는	수출/NNG+하/XSV+는/ETM
계약을	계약/NNG+을/JKO
이번에	이번/NNG+에/JKB
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.160.6.2
13억 달러 규모로 오하이오와 노스캐롤라이나에 있는 GE 공장에 일자리 5000개를 만들 수 있는 규모다.

13억	13/SN+억/NR
달러	달러/NNB
규모로	규모/NNG+로/JKB
오하이오와	오하이오/NNP+와/JC
노스캐롤라이나에	노스캐롤라이나/NNP+에/JKB
있는	있/VA+는/ETM
GE	GE/SL
공장에	공장/NNG+에/JKB
일자리	일자리/NNG
5000개를	5000/SN+개/NNB+를/JKO
만들	만들/VV+ㄹ/ETM
수	수/NNB
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.160.6.3
또 시코르스키사는 브루나이 국방부와 블랙호크 헬리콥터 12대(3억2500만 달러 상당)를 팔기로 했다.

또	또/MAG
시코르스키사는	시코르스키사/NNP+는/JX
브루나이	브루나이/NNP
국방부와	국방부/NNG+와/JC
블랙호크	블랙호크/NNP
헬리콥터	헬리콥터/NNG
12대(3억2500만	12/SN+대/NNB+(/SS+3/SN+억/NR+2500/SN+만/NR
달러	달러/NNB
상당)를	상당/NNG+)/SS+를/JKO
팔기로	팔/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


