# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.202
metadata : {}


# id : NWRW1800000038.202.1.1
최태원회장 "모든 점을 반성한다" 목이 멘 최후진술

최태원회장	최태원/NNP+회장/NNG
김준홍(47)	김준홍/NNP+(/SS+47/SN+)/SS
전	전/MMD
베넥스인베스트먼트	베넥스인베스트먼트/NNP
대표에게는	대표/NNG+에게/JKB+는/JX
4년을	4/SN+년/NNB+을/JKO
각각	각각/MAG
구형했다.	구형/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.202.4.1
29일 서울고법 형사4부(재판장 문용선) 심리로 열린 결심공판에서 검찰은 "김원홍(52) 전 SK해운 고문이 일부 개입했다 하더라도 회사 돈을 빼돌린 것은 최 회장이 스스로 판단한 것"이라며 "범행을 은폐하기 위해 계열사를 동원하고 허위의 시나리오를 만드는 등 사법부를 기망(欺罔·남을 속여 넘김)하려 해 1심보다 엄벌할 필요가 있다"고 밝혔다.

29일	29/SN+일/NNB
서울고법	서울고법/NNP
형사4부(재판장	형사/NNG+4/SN+부/NNG+(/SS+재판장/NNG
문용선)	문용선/NNP+)/SS
심리로	심리/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
결심공판에서	결심/NNG+공판/NNG+에서/JKB
검찰은	검찰/NNG+은/JX
"김원홍(52)	"/SS+김원홍/NNP+(/SS+52/SN+)/SS
전	전/MMD
SK해운	SK해운/NNP
고문이	고문/NNG+이/JKS
일부	일부/NNG
개입했다	개입/NNG+하/XSV+았/EP+다/EF
하더라도	하/VV+더라도/EC
회사	회사/NNG
돈을	돈/NNG+을/JKO
빼돌린	빼돌리/VV+ㄴ/ETM
것은	것/NNB+은/JX
최	최/NNP
회장이	회장/NNG+이/JKS
스스로	스스로/MAG
판단한	판단/NNG+하/XSV+ㄴ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"범행을	"/SS+범행/NNG+을/JKO
은폐하기	은폐/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
계열사를	계열사/NNG+를/JKO
동원하고	동원/NNG+하/XSV+고/EC
허위의	허위/NNG+의/JKG
시나리오를	시나리오/NNG+를/JKO
만드는	만들/VV+는/ETM
등	등/NNB
사법부를	사법부/NNG+를/JKO
기망(欺罔·남을	기망/NNG+(/SS+欺罔/SH+·/SP+남/NNG+을/JKO
속여	속이/VV+어/EC
넘김)하려	넘기/VV+ㅁ/ETN+)/SS+하/VV+려/EC
해	하/VX+아/EC
1심보다	1심/NNG+보다/JKB
엄벌할	엄벌/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.202.4.2
검찰은 이어 "SK 공화국이 법보다 위에 있다고 생각하는 피고인들은 무소불위의 현대판 '리바이어던'(성경에 나오는 괴물)"이라고 지적했다.

검찰은	검찰/NNG+은/JX
이어	이어/MAG
"SK	"/SS+SK/SL
공화국이	공화국/NNG+이/JKS
법보다	법/NNG+보다/JKB
위에	위/NNG+에/JKB
있다고	있/VA+다고/EC
생각하는	생각/NNG+하/XSV+는/ETM
피고인들은	피고인/NNG+들/XSN+은/JX
무소불위의	무소불위/NNG+의/JKG
현대판	현대판/NNG
'리바이어던'(성경에	'/SS+리바이어던/NNP+'/SS+(/SS+성경/NNG+에/JKB
나오는	나오/VV+는/ETM
괴물)"이라고	괴물/NNG+)/SS+"/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.202.5.1
검찰 구형이 더 무거워지자 방청석에 있던 SK 임직원 100여명 사이에 깊은 탄식이 흘렀다.

검찰	검찰/NNG
구형이	구형/NNG+이/JKS
더	더/MAG
무거워지자	무거워지/VV+자/EC
방청석에	방청석/NNG+에/JKB
있던	있/VA+던/ETM
SK	SK/SL
임직원	임직원/NNG
100여명	100/SN+여/XSN+명/NNB
사이에	사이/NNG+에/JKB
깊은	깊/VA+은/ETM
탄식이	탄식/NNG+이/JKS
흘렀다.	흐르/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.202.6.1
최후진술을 위해 일어선 최 회장은 양손을 모으고 재판장에게 "모든 점을 반성한다"고 했다.

최후진술을	최후/NNG+진술/NNG+을/JKO
위해	위하/VV+아/EC
일어선	일어서/VV+ㄴ/ETM
최	최/NNP
회장은	회장/NNG+은/JX
양손을	양손/NNG+을/JKO
모으고	모으/VV+고/EC
재판장에게	재판장/NNG+에게/JKB
"모든	"/SS+모든/MMN
점을	점/NNG+을/JKO
반성한다"고	반성/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.202.6.2
이날도 법정에 나온 최 회장의 부인 노소영(52) 아트센터 관장은 재판이 열린 8시간 내내 자리를 떠나지 않고 숨죽여 최 회장을 지켜봤다.

이날도	이날/NNG+도/JX
법정에	법정/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
최	최/NNP
회장의	회장/NNG+의/JKG
부인	부인/NNG
노소영(52)	노소영/NNP+(/SS+52/SN+)/SS
아트센터	아트센터/NNG
관장은	관장/NNG+은/JX
재판이	재판/NNG+이/JKS
열린	열리/VV+ㄴ/ETM
8시간	8/SN+시간/NNB
내내	내내/MAG
자리를	자리/NNG+를/JKO
떠나지	떠나/VV+지/EC
않고	않/VX+고/EC
숨죽여	숨죽이/VV+어/EC
회장을	회장/NNG+을/JKO
지켜봤다.	지켜보/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.202.7.1
최 회장은 "펀드에 대한 욕심에 눈이 어두워 잘못된 선택을 한 것 같다"며 "제 불찰로 SK그룹의 명예에 상처를 남기고 수많은 분에게 고통을 드려 깊이 사과드린다"고 했다.

최	최/NNP
회장은	회장/NNG+은/JX
"펀드에	"/SS+펀드/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
욕심에	욕심/NNG+에/JKB
눈이	눈/NNG+이/JKS
어두워	어둡/VA+어/EC
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
선택을	선택/NNG+을/JKO
한	하/VV+ㄴ/ETM
것	것/NNB
같다"며	같/VA+다/EF+"/SS+며/EC
"제	"/SS+저/NP+의/JKG
불찰로	불찰/NNG+로/JKB
SK그룹의	SK그룹/NNP+의/JKG
명예에	명예/NNG+에/JKB
상처를	상처/NNG+를/JKO
남기고	남기/VV+고/EC
수많은	수많/VA+은/ETM
분에게	분/NNB+에게/JKB
고통을	고통/NNG+을/JKO
드려	드리/VV+어/EC
깊이	깊이/MAG
사과드린다"고	사과/NNG+드리/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.202.7.2
이어 "10년을 믿은 김원홍씨에 대한 배신감과 창피함으로 그와의 관계를 숨기려 했지만 구치소 수감생활을 하면서 더 이상은 진실을 왜곡할 수 없다는 깨달음을 얻었다"며 "다시는 제 욕심만 차리고 잘못된 결정을 하지 않겠다"고 다짐했다.

이어	이어/MAG
"10년을	"/SS+10/SN+년/NNB+을/JKO
믿은	믿/VV+은/ETM
김원홍씨에	김원홍/NNP+씨/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
배신감과	배신감/NNG+과/JC
창피함으로	창피/NNG+하/XSA+ㅁ/ETN+으로/JKB
그와의	그/NP+와/JKB+의/JKG
관계를	관계/NNG+를/JKO
숨기려	숨기/VV+려/EC
했지만	하/VX+았/EP+지만/EC
구치소	구치소/NNG
수감생활을	수감/NNG+생활/NNG+을/JKO
하면서	하/VV+면서/EC
더	더/MAG
이상은	이상/NNG+은/JX
진실을	진실/NNG+을/JKO
왜곡할	왜곡/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
깨달음을	깨달음/NNG+을/JKO
얻었다"며	얻/VV+었/EP+다/EF+"/SS+며/EC
"다시는	"/SS+다시/MAG+는/JX
제	저/NP+의/JKG
욕심만	욕심/NNG+만/JX
차리고	차리/VV+고/EC
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
결정을	결정/NNG+을/JKO
하지	하/VV+지/EC
않겠다"고	않/VX+겠/EP+다/EF+"/SS+고/JKQ
다짐했다.	다짐/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.202.7.3
한 문장을 마칠 때마다 목이 멘 듯 목소리를 가다듬다가 한참을 그냥 서 있거나 90도로 허리를 숙이기도 했다.

한	한/MMN
문장을	문장/NNG+을/JKO
마칠	마치/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
목이	목/NNG+이/JKS
멘	메/VV+ㄴ/ETM
듯	듯/NNB
목소리를	목소리/NNG+를/JKO
가다듬다가	가다듬/VV+다가/EC
한참을	한참/NNG+을/JKO
그냥	그냥/MAG
서	서/VV+어/EC
있거나	있/VX+거나/EC
90도로	90/SN+도/NNB+로/JKB
허리를	허리/NNG+를/JKO
숙이기도	숙이/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.202.8.1
최 회장이 거론한 김원홍씨는 증권회사 출신으로 역술인으로도 활약했으며, 최 회장의 선물 투자를 전담하다 큰 손실을 본 뒤 재작년 3월 중국으로 도피해 아직까지 귀국하지 않고 있다.

최	최/NNP
회장이	회장/NNG+이/JKS
거론한	거론/NNG+하/XSV+ㄴ/ETM
김원홍씨는	김원홍/NNP+씨/NNB+는/JX
증권회사	증권/NNG+회사/NNG
출신으로	출신/NNG+으로/JKB
역술인으로도	역술인/NNG+으로/JKB+도/JX
활약했으며,	활약/NNG+하/XSV+았/EP+으며/EC+,/SP
회장의	회장/NNG+의/JKG
선물	선물/NNG
투자를	투자/NNG+를/JKO
전담하다	전담/NNG+하/XSV+다/EC
큰	크/VA+ㄴ/ETM
손실을	손실/NNG+을/JKO
본	보/VV+ㄴ/ETM
뒤	뒤/NNG
재작년	재/XPN+작년/NNG
3월	3/SN+월/NNB
중국으로	중국/NNP+으로/JKB
도피해	도피/NNG+하/XSV+아/EC
아직까지	아직/MAG+까지/JX
귀국하지	귀국/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.202.9.1
이에 대해 문 재판장은 최 회장에게 마지막 질문을 건넸다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
문	문/NNP
재판장은	재판장/NNG+은/JX
최	최/NNP
회장에게	회장/NNG+에게/JKB
마지막	마지막/NNG
질문을	질문/NNG+을/JKO
건넸다.	건네/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.202.9.2
재판장은 "피고인이 범죄 사실을 자백하고 진지하게 반성하는 것이 이 재판의 또 다른 의미"라며 "마지막까지 피고인에게 그러한 기대를 걸었었다"고 했다.

재판장은	재판장/NNG+은/JX
"피고인이	"/SS+피고인/NNG+이/JKS
범죄	범죄/NNG
사실을	사실/NNG+을/JKO
자백하고	자백/NNG+하/XSV+고/EC
진지하게	진지하/VA+게/EC
반성하는	반성/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
이	이/MMD
재판의	재판/NNG+의/JKG
또	또/MAG
다른	다른/MMD
의미"라며	의미/NNG+"/SS+이/VCP+라며/EC
"마지막까지	"/SS+마지막/NNG+까지/JX
피고인에게	피고인/NNG+에게/JKB
그러한	그러하/VA+ㄴ/ETM
기대를	기대/NNG+를/JKO
걸었었다"고	걸/VV+었었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.202.9.3
그러면서 "형량을 깎기 위해 말로만 반성한 것이 아니었으면 한다"고 덧붙였다.

그러면서	그러/VV+면서/EC
"형량을	"/SS+형량/NNG+을/JKO
깎기	깎/VV+기/ETN
위해	위하/VV+아/EC
말로만	말/NNG+로/JKB+만/JX
반성한	반성/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKC
아니었으면	아니/VCN+었/EP+으면/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.202.9.4
17차례 항소심 공판을 이끌어 오며 최 회장 측의 무죄 주장에 대해 "말도 안 된다"며 다그치던 종전의 재판장 모습과는 뉘앙스가 달랐다.

17차례	17/SN+차례/NNG
항소심	항소심/NNG
공판을	공판/NNG+을/JKO
이끌어	이끌/VV+어/EC
오며	오/VX+며/EC
최	최/NNP
회장	회장/NNG
측의	측/NNB+의/JKG
무죄	무죄/NNG
주장에	주장/NNG+에/JKB
대해	대하/VV+아/EC
"말도	"/SS+말/NNG+도/JX
안	안/MAG
된다"며	되/VV+ㄴ다/EF+"/SS+며/EC
다그치던	다그치/VV+던/ETM
종전의	종전/NNG+의/JKG
재판장	재판장/NNG
모습과는	모습/NNG+과/JKB+는/JX
뉘앙스가	뉘앙스/NNG+가/JKS
달랐다.	다르/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.202.10.1
최 회장은 계열사들로부터 받은 펀드 출자금 465억원을 횡령한 혐의로 기소돼 지난 1월 징역 4년을 선고받고 법정구속됐다.

최	최/NNP
회장은	회장/NNG+은/JX
계열사들로부터	계열사/NNG+들/XSN+로부터/JKB
받은	받/VV+은/ETM
펀드	펀드/NNG
출자금	출자금/NNG
465억원을	465/SN+억/NR+원/NNB+을/JKO
횡령한	횡령/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
기소돼	기소/NNG+되/XSV+어/EC
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
징역	징역/NNG
4년을	4/SN+년/NNB+을/JKO
선고받고	선고/NNG+받/XSV+고/EC
법정구속됐다.	법정/NNG+구속/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.202.10.2
최 회장 등에 대한 항소심 선고 공판은 다음 달 9일(금요일) 열린다.

최	최/NNP
회장	회장/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
항소심	항소심/NNG
선고	선고/NNG
공판은	공판/NNG+은/JX
다음	다음/NNG
달	달/NNG
9일(금요일)	9/SN+일/NNB+(/SS+금요일/NNG+)/SS
열린다.	열리/VV+ㄴ다/EF+./SF


