# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.22
metadata : {}


# id : NWRW1800000046.22.1.1
"영국은 해체의 길로 가고있다"

"영국은	"/SS+영국/NNP+은/JX
워싱턴포스트는 "데이비드 캐머런 영국 총리가 '리틀 잉글랜드(잉글랜드만 남은 작은 영국) 건국의 아버지'가 될 수도 있다"고 표현했다.

워싱턴포스트는	워싱턴포스트/NNP+는/JX
"데이비드	"/SS+데이비드/NNP
캐머런	캐머런/NNP
영국	영국/NNP
총리가	총리/NNG+가/JKS
'리틀	'/SS+리틀/NNG
잉글랜드(잉글랜드만	잉글랜드/NNP+(/SS+잉글랜드/NNP+만/JX
남은	남/VV+은/ETM
작은	작/VA+은/ETM
영국)	영국/NNP+)/SS
건국의	건국/NNG+의/JKG
아버지'가	아버지/NNG+'/SS+가/JKC
될	되/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
표현했다.	표현/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.22.6.1
이번 선거를 계기로 잉글랜드와 스코틀랜드 주민 사이에 감정 골이 깊어진 것도 심각하게 받아들여지고 있다.

이번	이번/NNG
선거를	선거/NNG+를/JKO
계기로	계기/NNG+로/JKB
잉글랜드와	잉글랜드/NNP+와/JC
스코틀랜드	스코틀랜드/NNP
주민	주민/NNG
사이에	사이/NNG+에/JKB
감정	감정/NNG
골이	골/NNG+이/JKS
깊어진	깊어지/VV+ㄴ/ETM
것도	것/NNB+도/JX
심각하게	심각하/VA+게/EC
받아들여지고	받아들이/VV+어/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.22.7.1
정치학자 롭 퍼드는 "스코틀랜드가 목소리를 크게 내면서 잉글랜드 주민들도 이에 대항해 영국 국민이 아니라 잉글랜드인으로서 정체성을 강조하기 시작했다"고 분석했다.

정치학자	정치학자/NNG
롭	롭/NNP
퍼드는	퍼드/NNP+는/JX
"스코틀랜드가	"/SS+스코틀랜드/NNP+가/JKS
목소리를	목소리/NNG+를/JKO
크게	크/VA+게/EC
내면서	내/VV+면서/EC
잉글랜드	잉글랜드/NNP
주민들도	주민/NNG+들/XSN+도/JX
이에	이/NP+에/JKB
대항해	대항/NNG+하/XSV+아/EC
영국	영국/NNP
국민이	국민/NNG+이/JKC
아니라	아니/VCN+라/EC
잉글랜드인으로서	잉글랜드인/NNG+으로서/JKB
정체성을	정체/NNG+성/XSN+을/JKO
강조하기	강조/NNG+하/XSV+기/ETN
시작했다"고	시작/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.22.7.2
뉴욕타임스 칼럼니스트 로스 도샛은 '영국의 자살'이라는 칼럼을 통해 "소(小)민족주의가 첨예해지면서 영국이 더 이상 하나 된 나라로 존재하기 어려운 단계로 접어들고 있다. 영국이 해체의 길로 가고 있다"고 했다.

뉴욕타임스	뉴욕타임스/NNP
칼럼니스트	칼럼니스트/NNG
로스	로스/NNP
도샛은	도샛/NNP+은/JX
'영국의	'/SS+영국/NNP+의/JKG
자살'이라는	자살/NNG+'/SS+이/VCP+라는/ETM
칼럼을	칼럼/NNG+을/JKO
통해	통하/VV+아/EC
"소(小)민족주의가	"/SS+소/XPN+(/SS+小/SH+)/SS+민족주의/NNG+가/JKS
첨예해지면서	첨예하/VA+아/EC+지/VX+면서/EC
영국이	영국/NNP+이/JKS
더	더/MAG
이상	이상/NNG
하나	하나/NR
된	되/VV+ㄴ/ETM
나라로	나라/NNG+로/JKB
존재하기	존재/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
단계로	단계/NNG+로/JKB
접어들고	접어들/VV+고/EC
있다.	있/VX+다/EF+./SF
해체의	해체/NNG+의/JKG
길로	길/NNG+로/JKB
가고	가/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.22.8.1
게다가 야당인 노동당과 접전을 벌인 캐머런 총리가 선거에 이기기 위해 '브렉시트(brexit·영국의 EU 탈퇴)'를 활용한 것도 분열을 부채질하고 있다.

게다가	게다가/MAG
야당인	야당/NNG+이/VCP+ㄴ/ETM
노동당과	노동당/NNP+과/JKB
접전을	접전/NNG+을/JKO
벌인	벌이/VV+ㄴ/ETM
캐머런	캐머런/NNP
총리가	총리/NNG+가/JKS
선거에	선거/NNG+에/JKB
이기기	이기/VV+기/ETN
위해	위하/VV+아/EC
'브렉시트(brexit·영국의	'/SS+브렉시트/NNG+(/SS+brexit/SL+·/SP+영국/NNP+의/JKG
EU	EU/SL
탈퇴)'를	탈퇴/NNG+)/SS+'/SS+를/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
분열을	분열/NNG+을/JKO
부채질하고	부채/NNG+질/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.22.8.2
영국이 국민투표로 EU 탈퇴를 결정하면, 친(親) EU 성향인 스코틀랜드가 EU 잔류를 명분으로 내세우며 EU의 지원을 받아 독립을 쟁취하겠다고 나올 수 있다.

영국이	영국/NNP+이/JKS
국민투표로	국민/NNG+투표/NNG+로/JKB
EU	EU/SL
탈퇴를	탈퇴/NNG+를/JKO
결정하면,	결정/NNG+하/XSV+면/EC+,/SP
친(親)	친/XPN+(/SS+親/SH+)/SS
성향인	성향/NNG+이/VCP+ㄴ/ETM
스코틀랜드가	스코틀랜드/NNP+가/JKS
잔류를	잔류/NNG+를/JKO
명분으로	명분/NNG+으로/JKB
내세우며	내세우/VV+며/EC
EU의	EU/SL+의/JKG
지원을	지원/NNG+을/JKO
받아	받/VV+아/EC
독립을	독립/NNG+을/JKO
쟁취하겠다고	쟁취/NNG+하/XSV+겠/EP+다고/EC
나올	나오/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.22.8.3
캐머런 총리는 이민자 증가에 불만을 가진 유권자들 마음을 얻기 위해 EU 탈퇴 여부를 묻는 국민투표를 2017년 실시하겠다고 약속했다.

캐머런	캐머런/NNP
총리는	총리/NNG+는/JX
이민자	이민자/NNG
증가에	증가/NNG+에/JKB
불만을	불만/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
유권자들	유권자/NNG+들/XSN
마음을	마음/NNG+을/JKO
얻기	얻/VV+기/ETN
위해	위하/VV+아/EC
EU	EU/SL
탈퇴	탈퇴/NNG
여부를	여부/NNG+를/JKO
묻는	묻/VV+는/ETM
국민투표를	국민/NNG+투표/NNG+를/JKO
2017년	2017/SN+년/NNB
실시하겠다고	실시/NNG+하/XSV+겠/EP+다고/EC
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.22.9.1
그러나 스코틀랜드 독립이 탄력을 받을지는 지켜봐야 한다는 관측도 있다.

그러나	그러나/MAJ
스코틀랜드	스코틀랜드/NNP
독립이	독립/NNG+이/JKS
탄력을	탄력/NNG+을/JKO
받을지는	받/VV+을지/EF+는/JX
지켜봐야	지켜보/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
관측도	관측/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.22.9.2
브렉시트 여부를 묻는 국민투표가 부결될 가능성도 꽤 있기 때문이다.

브렉시트	브렉시트/NNG
여부를	여부/NNG+를/JKO
묻는	묻/VV+는/ETM
국민투표가	국민/NNG+투표/NNG+가/JKS
부결될	부결/NNG+되/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
꽤	꽤/MAG
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.22.9.3
국제 유가(油價) 하락세가 지속되면서 스코틀랜드 돈줄인 북해산 원유 판매 수입이 신통치 않다는 것도 독립에 속도를 내기 어려운 요소다.

국제	국제/NNG
유가(油價)	유가/NNG+(/SS+油價/SH+)/SS
하락세가	하락세/NNG+가/JKS
지속되면서	지속/NNG+되/XSV+면서/EC
스코틀랜드	스코틀랜드/NNP
돈줄인	돈줄/NNG+이/VCP+ㄴ/ETM
북해산	북해/NNP+산/XSN
원유	원유/NNG
판매	판매/NNG
수입이	수입/NNG+이/JKS
신통치	신통하/VA+지/EC
않다는	않/VX+다는/ETM
것도	것/NNB+도/JX
독립에	독립/NNG+에/JKB
속도를	속도/NNG+를/JKO
내기	내/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
요소다.	요소/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.22.9.4
56석을 휩쓸긴 했지만 SNP의 스코틀랜드 내 득표율은 딱 50%에 그쳤다.

56석을	56/SN+석/NNB+을/JKO
휩쓸긴	휩쓸/VV+기/ETN+ㄴ/JX
했지만	하/VX+았/EP+지만/EC
SNP의	SNP/SL+의/JKG
스코틀랜드	스코틀랜드/NNP
내	내/NNB
득표율은	득표/NNG+율/XSN+은/JX
딱	딱/MAG
50%에	50/SN+%/SW+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.22.9.5
독립했다가 연금을 못 받게 될까 봐 걱정하는 중장년층의 이탈이 많았다는 분석이다.

독립했다가	독립/NNG+하/XSV+았/EP+다가/EC
연금을	연금/NNG+을/JKO
못	못/MAG
받게	받/VV+게/EC
될까	되/VV+ㄹ까/EF
봐	보/VV+아/EC
걱정하는	걱정/NNG+하/XSV+는/ETM
중장년층의	중장년/NNG+층/XSN+의/JKG
이탈이	이탈/NNG+이/JKS
많았다는	많/VA+았/EP+다는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.22.10.1
영국 언론들은 수년 안에 영국이 쪼개지지 않더라도 캐머런 총리가 스코틀랜드와 웨일스를 달래기 위해 지방정부에 조세·예산·복지 집행 권한을 이양할 것으로 내다본다.

영국	영국/NNP
언론들은	언론/NNG+들/XSN+은/JX
수년	수년/NNG
안에	안/NNG+에/JKB
영국이	영국/NNP+이/JKS
쪼개지지	쪼개지/VV+지/EC
않더라도	않/VX+더라도/EC
캐머런	캐머런/NNP
총리가	총리/NNG+가/JKS
스코틀랜드와	스코틀랜드/NNP+와/JC
웨일스를	웨일스/NNP+를/JKO
달래기	달래/VV+기/ETN
위해	위하/VV+아/EC
지방정부에	지방/NNG+정부/NNG+에/JKB
조세·예산·복지	조세/NNG+·/SP+예산/NNG+·/SP+복지/NNG
집행	집행/NNG
권한을	권한/NNG+을/JKO
이양할	이양/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
내다본다.	내다보/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.22.10.2
작년 스코틀랜드 독립을 묻는 주민투표가 반대 55%로 부결된 후 캐머런 총리가 이미 약속했다.

작년	작년/NNG
스코틀랜드	스코틀랜드/NNP
독립을	독립/NNG+을/JKO
묻는	묻/VV+는/ETM
주민투표가	주민/NNG+투표/NNG+가/JKS
반대	반대/NNG
55%로	55/SN+%/SW+로/JKB
부결된	부결/NNG+되/XSV+ㄴ/ETM
후	후/NNG
캐머런	캐머런/NNP
총리가	총리/NNG+가/JKS
이미	이미/MAG
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.22.10.3
지방정부가 실질적 자치권을 확보하면, 단일 국가로서 결속력도 지금보다 떨어지게 된다.

지방정부가	지방/NNG+정부/NNG+가/JKS
실질적	실질/NNG+적/XSN
자치권을	자치/NNG+권/XSN+을/JKO
확보하면,	확보/NNG+하/XSV+면/EC+,/SP
단일	단일/NNG
국가로서	국가/NNG+로서/JKB
결속력도	결속력/NNG+도/JX
지금보다	지금/NNG+보다/JKB
떨어지게	떨어지/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.22.10.4
이후에도 언제든지 독립 이슈가 불붙을 수 있는 것이다.

이후에도	이후/NNG+에/JKB+도/JX
언제든지	언제/NP+든지/JX
독립	독립/NNG
이슈가	이슈/NNG+가/JKS
불붙을	불붙/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


