# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.23
metadata : {}


# id : NWRW1800000044.23.1.1
온라인 국외 직접구매 크게 늘어나

온라인	온라인/NNG
금액은	금액/NNG+은/JX
2013년	2013/SN+년/NNB
10억달러를	10/SN+억/NR+달러/NNB+를/JKO
돌파했다.	돌파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.23.7.1
최대 쇼핑 대상 나라는 미국(74%)이었으며 그 뒤로 중국(11%), 독일(5%), 홍콩(4%), 일본(2%) 순이었다.

최대	최대/NNG
쇼핑	쇼핑/NNG
대상	대상/NNG
나라는	나라/NNG+는/JX
미국(74%)이었으며	미국/NNP+(/SS+74/SN+%/SW+)/SS+이/VCP+었/EP+으며/EC
그	그/MMD
뒤로	뒤/NNG+로/JKB
중국(11%),	중국/NNP+(/SS+11/SN+%/SW+)/SS+,/SP
독일(5%),	독일/NNP+(/SS+5/SN+%/SW+)/SS+,/SP
홍콩(4%),	홍콩/NNP+(/SS+4/SN+%/SW+)/SS+,/SP
일본(2%)	일본/NNP+(/SS+2/SN+%/SW+)/SS
순이었다.	순/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.23.7.2
품목별로 보면 의류와 신발이 27%로 가장 많았으며, 건강기능식품(14%), 화장품(8%), 핸드백과 가방(8%)이 그 뒤를 이었다.

품목별로	품목/NNG+별/XSN+로/JKB
보면	보/VV+면/EC
의류와	의류/NNG+와/JC
신발이	신발/NNG+이/JKS
27%로	27/SN+%/SW+로/JKB
가장	가장/MAG
많았으며,	많/VA+았/EP+으며/EC+,/SP
건강기능식품(14%),	건강/NNG+기능/NNG+식품/NNG+(/SS+14/SN+%/SW+)/SS+,/SP
화장품(8%),	화장품/NNG+(/SS+8/SN+%/SW+)/SS+,/SP
핸드백과	핸드백/NNG+과/JC
가방(8%)이	가방/NNG+(/SS+8/SN+%/SW+)/SS+이/JKS
그	그/MMD
뒤를	뒤/NNG+를/JKO
이었다.	잇/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.23.7.3
시계나 가전 제품, 서적, 음반 등 기타 물품들은 40%를 차지했다.

시계나	시계/NNG+나/JC
가전	가전/NNG
제품,	제품/NNG+,/SP
서적,	서적/NNG+,/SP
음반	음반/NNG
등	등/NNB
기타	기타/NNG
물품들은	물품/NNG+들/XSN+은/JX
40%를	40/SN+%/SW+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.23.8.1
구매 연령대를 분석해보면 30대가 52%로 가장 많았고, 20대는 22%를 차지했다.

구매	구매/NNG
연령대를	연령대/NNG+를/JKO
분석해보면	분석/NNG+하/XSV+아/EC+보/VX+면/EC
30대가	30/SN+대/NNB+가/JKS
52%로	52/SN+%/SW+로/JKB
가장	가장/MAG
많았고,	많/VA+았/EP+고/EC+,/SP
20대는	20/SN+대/NNB+는/JX
22%를	22/SN+%/SW+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.23.8.2
인터넷에 친숙한 20~30대의 젊은 층이 해외 인터넷 쇼핑을 주로 이용하고 있는 것이다.

인터넷에	인터넷/NNG+에/JKB
친숙한	친숙/NNG+하/XSA+ㄴ/ETM
20~30대의	20/SN+~/SO+30/SN+대/NNB+의/JKG
젊은	젊/VA+은/ETM
층이	층/NNG+이/JKS
해외	해외/NNG
인터넷	인터넷/NNG
쇼핑을	쇼핑/NNG+을/JKO
주로	주로/MAG
이용하고	이용/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.23.8.3
남성보다는 여성(62%)이 많았다.

남성보다는	남성/NNG+보다/JKB+는/JX
여성(62%)이	여성/NNG+(/SS+62/SN+%/SW+)/SS+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000044.23.8.4
지역별로는 서울이 32%, 경기 지역이 27%로 수도권이 절반 이상을 차지했다.

지역별로는	지역/NNG+별/XSN+로/JKB+는/JX
서울이	서울/NNP+이/JKS
32%,	32/SN+%/SW+,/SP
경기	경기/NNP
지역이	지역/NNG+이/JKS
27%로	27/SN+%/SW+로/JKB
수도권이	수도/NNG+권/XSN+이/JKS
절반	절반/NNG
이상을	이상/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.23.8.5
올해 4월까지의 평균 구매 횟수는 2회로 나타났다.

올해	올해/NNG
4월까지의	4/SN+월/NNB+까지/JX+의/JKG
평균	평균/NNG
구매	구매/NNG
횟수는	횟수/NNG+는/JX
2회로	2/SN+회/NNB+로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.23.8.6
관세청은 “위해식품류, 가짜 상품 등 품목에 따라 국내 반입이 제한되는 물품은 인터넷쇼핑으로 구매하더라도 통관이 불가능할 수 있으며, 세금을 면제받기 위해 가격을 낮춰서 신고하는 경우에는 오히려 큰 손해를 볼 수도 있다”고 밝혔다.

관세청은	관세청/NNG+은/JX
“위해식품류,	“/SS+위해/NNG+식품/NNG+류/XSN+,/SP
가짜	가짜/NNG
상품	상품/NNG
등	등/NNB
품목에	품목/NNG+에/JKB
따라	따르/VV+아/EC
국내	국내/NNG
반입이	반입/NNG+이/JKS
제한되는	제한/NNG+되/XSV+는/ETM
물품은	물품/NNG+은/JX
인터넷쇼핑으로	인터넷/NNG+쇼핑/NNG+으로/JKB
구매하더라도	구매/NNG+하/XSV+더라도/EC
통관이	통관/NNG+이/JKS
불가능할	불/XPN+가능/NNG+하/XSA+ㄹ/ETM
수	수/NNB
있으며,	있/VA+으며/EC+,/SP
세금을	세금/NNG+을/JKO
면제받기	면제/NNG+받/XSV+기/ETN
위해	위하/VV+아/EC
가격을	가격/NNG+을/JKO
낮춰서	낮추/VV+어서/EC
신고하는	신고/NNG+하/XSV+는/ETM
경우에는	경우/NNG+에/JKB+는/JX
오히려	오히려/MAG
큰	크/VA+ㄴ/ETM
손해를	손해/NNG+를/JKO
볼	보/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


