# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.45
metadata : {}


# id : NWRW1800000049.45.1.1
“아시아 과학기술의 현주소-미래 몸으로 느꼈어요”

“아시아	“/SS+아시아/NNP
“땅이 위아래로 흔들리는 P파와 좌우로 흔들리는 S파가 합해지면 L파라고 부릅니다.

“땅이	“/SS+땅/NNG+이/JKS
위아래로	위아래/NNG+로/JKB
흔들리는	흔들리/VV+는/ETM
P파와	P/SL+파/NNG+와/JC
좌우로	좌우/NNG+로/JKB
S파가	S/SL+파/NNG+가/JKS
합해지면	합/NNG+하/XSV+아/EC+지/VX+면/EC
L파라고	L/SL+파/NNG+이/VCP+라고/EC
부릅니다.	부르/VV+ㅂ니다/EF+./SF


# id : NWRW1800000049.45.7.2
건물이 무너지는 것과 같은 큰 피해는 이때 일어나는 거예요.”

건물이	건물/NNG+이/JKS
무너지는	무너지/VV+는/ETM
것과	것/NNB+과/JKB
같은	같/VA+은/ETM
큰	크/VA+ㄴ/ETM
피해는	피해/NNG+는/JX
이때	이때/NNG
일어나는	일어나/VV+는/ETM
거예요.”	거/NNB+이/VCP+에요/EF+./SF+”/SS


# id : NWRW1800000049.45.8.1
신병학 충북교육과학연구원 연구사가 ‘P’라고 쓰인 버튼을 누르자 천장에 일렬로 설치된 빨간색 공이 앞뒤로 흔들리면서 서로 부딪쳤다.

신병학	신병학/NNP
충북교육과학연구원	충북교육과학연구원/NNP
연구사가	연구사/NNG+가/JKS
‘P’라고	‘/SS+P/SL+’/SS+라고/JKQ
쓰인	쓰이/VV+ㄴ/ETM
버튼을	버튼/NNG+을/JKO
누르자	누르/VV+자/EC
천장에	천장/NNG+에/JKB
일렬로	일렬/NNG+로/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
빨간색	빨간색/NNG
공이	공/NNG+이/JKS
앞뒤로	앞뒤/NNG+로/JKB
흔들리면서	흔들리/VV+면서/EC
서로	서로/MAG
부딪쳤다.	부딪치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.45.8.2
‘P’와 ‘S’ 버튼을 함께 누르자 이번에는 공들이 여러 방향으로 부딪치며 흔들렸다.

‘P’와	‘/SS+P/SL+’/SS+와/JC
‘S’	‘/SS+S/SL+’/SS
버튼을	버튼/NNG+을/JKO
함께	함께/MAG
누르자	누르/VV+자/EC
이번에는	이번/NNG+에/JKB+는/JX
공들이	공/NNG+들/XSN+이/JKS
여러	여러/MMN
방향으로	방향/NNG+으로/JKB
부딪치며	부딪치/VV+며/EC
흔들렸다.	흔들리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.45.8.3
충북 진천상산초 6학년 유은별 양은 “지진이 나면 저 공처럼 땅이 흔들린다고 생각하니 아찔하다”고 말했다.

충북	충북/NNP
진천상산초	진천상산초/NNP
6학년	6/SN+학년/NNG
유은별	유은별/NNP
양은	양/NNB+은/JX
“지진이	“/SS+지진/NNG+이/JKS
나면	나/VV+면/EC
저	저/MMD
공처럼	공/NNG+처럼/JKB
땅이	땅/NNG+이/JKS
흔들린다고	흔들리/VV+ㄴ다고/EC
생각하니	생각/NNG+하/XSV+니/EC
아찔하다”고	아찔하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.45.9.1
학생들은 소파와 TV 등이 있는 거실처럼 꾸며진 지진 체험공간에서 통째로 흔들리는 경험을 했다.

학생들은	학생/NNG+들/XSN+은/JX
소파와	소파/NNG+와/JC
TV	TV/SL
등이	등/NNB+이/JKS
있는	있/VA+는/ETM
거실처럼	거실/NNG+처럼/JKB
꾸며진	꾸미/VV+어/EC+지/VX+ㄴ/ETM
지진	지진/NNG
체험공간에서	체험/NNG+공간/NNG+에서/JKB
통째로	통/NNG+째/XSN+로/JKB
흔들리는	흔들리/VV+는/ETM
경험을	경험/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.45.9.2
체험공간 안에 들어간 학생들이 가장 센 강도인 ‘연약한 지반 위에 세워진 건물’ 버튼을 누르자 거실 바닥이 좌우로 마구 흔들렸다.

체험공간	체험/NNG+공간/NNG
안에	안/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
학생들이	학생/NNG+들/XSN+이/JKS
가장	가장/MAG
센	세/VA+ㄴ/ETM
강도인	강도/NNG+이/VCP+ㄴ/ETM
‘연약한	‘/SS+연약하/VA+ㄴ/ETM
지반	지반/NNG
위에	위/NNG+에/JKB
세워진	세우/VV+어/EC+지/VX+ㄴ/ETM
건물’	건물/NNG+’/SS
버튼을	버튼/NNG+을/JKO
누르자	누르/VV+자/EC
거실	거실/NNG
바닥이	바닥/NNG+이/JKS
좌우로	좌우/NNG+로/JKB
마구	마구/MAG
흔들렸다.	흔들리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.45.9.3
거실 한가운데 설치된 기둥을 붙잡고 서 있던 대전 한밭초 6학년 김서진 양과 울산 웅촌초 5학년 정민채 양은 비명을 지르며 바닥에 털썩 주저앉았다.

거실	거실/NNG
한가운데	한/XPN+가운데/NNG
설치된	설치/NNG+되/XSV+ㄴ/ETM
기둥을	기둥/NNG+을/JKO
붙잡고	붙잡/VV+고/EC
서	서/VV+어/EC
있던	있/VX+던/ETM
대전	대전/NNP
한밭초	한밭초/NNP
6학년	6/SN+학년/NNG
김서진	김서진/NNP
양과	양/NNB+과/JC
울산	울산/NNP
웅촌초	웅촌초/NNP
5학년	5/SN+학년/NNG
정민채	정민채/NNP
양은	양/NNB+은/JX
비명을	비명/NNG+을/JKO
지르며	지르/VV+며/EC
바닥에	바닥/NNG+에/JKB
털썩	털썩/MAG
주저앉았다.	주저앉/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.45.9.4
지진을 체험한 충남 논산대명초 5학년 오윤진 양은 “지진 대비 설계를 건물뿐 아니라 가구 등에 적용할 방법을 연구해보고 싶다”고 말했다.

지진을	지진/NNG+을/JKO
체험한	체험/NNG+하/XSV+ㄴ/ETM
충남	충남/NNP
논산대명초	논산/NNP+대명초/NNP
5학년	5/SN+학년/NNG
오윤진	오윤진/NNP
양은	양/NNB+은/JX
“지진	“/SS+지진/NNG
대비	대비/NNG
설계를	설계/NNG+를/JKO
건물뿐	건물/NNG+뿐/JX
아니라	아니/VCN+라/EC
가구	가구/NNG
등에	등/NNB+에/JKB
적용할	적용/NNG+하/XSV+ㄹ/ETM
방법을	방법/NNG+을/JKO
연구해보고	연구/NNG+하/XSV+아/EC+보/VX+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.45.10.1
태풍을 체험하는 원통 모양 기구 속에서 초당 35m의 거센 바람을 직접 몸으로 맞은 충북 남평초 6학년 남궁성윤 군은 “일기예보에서 숫자로만 접한 태풍이 얼마나 센지 느낄 수 있었다”고 말했다.

태풍을	태풍/NNG+을/JKO
체험하는	체험/NNG+하/XSV+는/ETM
원통	원통/NNG
모양	모양/NNG
기구	기구/NNG
속에서	속/NNG+에서/JKB
초당	초/NNB+당/XSN
35m의	35/SN+m/SW+의/JKG
거센	거세/VA+ㄴ/ETM
바람을	바람/NNG+을/JKO
직접	직접/MAG
몸으로	몸/NNG+으로/JKB
맞은	맞/VV+은/ETM
충북	충북/NNP
남평초	남평초/NNP
6학년	6/SN+학년/NNG
남궁성윤	남궁성윤/NNP
군은	군/NNB+은/JX
“일기예보에서	“/SS+일기/NNG+예보/NNG+에서/JKB
숫자로만	숫자/NNG+로/JKB+만/JX
접한	접하/VV+ㄴ/ETM
태풍이	태풍/NNG+이/JKS
얼마나	얼마나/MAG
센지	세/VA+ㄴ지/EC
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.45.11.1
학생들은 또 싱가포르국립대를 방문하고 이 학교에서 공부하고 있는 전성민 씨(23·생명공학 전공) 등 한국인 유학생들을 만나 진로 등에 대한 조언을 들었다.

학생들은	학생/NNG+들/XSN+은/JX
또	또/MAG
싱가포르국립대를	싱가포르국립대/NNP+를/JKO
방문하고	방문/NNG+하/XSV+고/EC
이	이/MMD
학교에서	학교/NNG+에서/JKB
공부하고	공부/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
전성민	전성민/NNP
씨(23·생명공학	씨/NNB+(/SS+23/SN+·/SP+생명/NNG+공학/NNG
전공)	전공/NNG+)/SS
등	등/NNB
한국인	한국인/NNG
유학생들을	유학/NNG+생/XSN+들/XSN+을/JKO
만나	만나/VV+아/EC
진로	진로/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
조언을	조언/NNG+을/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.45.11.2
싱가포르국립대는 아시아 최고 대학 중 하나로 꼽히는 명문대다.

싱가포르국립대는	싱가포르국립대/NNP+는/JX
아시아	아시아/NNP
최고	최고/NNG
대학	대학/NNG
중	중/NNB
하나로	하나/NR+로/JKB
꼽히는	꼽히/VV+는/ETM
명문대다.	명문대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.45.12.1
“생명공학을 전공하면 어떤 진로가 있나요?”(경남 창원과학고 2학년 이서현 양), “학부 과정에서도 대학원 수업을 들을 수 있어요?”(경기 일산대진고 1학년 박진서 군)

“생명공학을	“/SS+생명/NNG+공학/NNG+을/JKO
전공하면	전공/NNG+하/XSV+면/EC
어떤	어떤/MMD
진로가	진로/NNG+가/JKS
있나요?”(경남	있/VA+나요/EF+?/SF+”/SS+(/SS+경남/NNP
창원과학고	창원과학고/NNP
2학년	2/SN+학년/NNG
이서현	이서현/NNP
양),	양/NNB+)/SS+,/SP
“학부	“/SS+학부/NNG
과정에서도	과정/NNG+에서/JKB+도/JX
대학원	대학원/NNG
수업을	수업/NNG+을/JKO
들을	듣/VV+을/ETM
수	수/NNB
있어요?”(경기	있/VA+어요/EF+?/SF+”/SS+(/SS+경기/NNP
일산대진고	일산대진고/NNP
1학년	1/SN+학년/NNG
박진서	박진서/NNP
군)	군/NNB+)/SS


# id : NWRW1800000049.45.13.1
학생들은 입학 절차, 학교 생활, 졸업 후 진로 등에 큰 관심을 보였다.

학생들은	학생/NNG+들/XSN+은/JX
입학	입학/NNG
절차,	절차/NNG+,/SP
학교	학교/NNG
생활,	생활/NNG+,/SP
졸업	졸업/NNG
후	후/NNG
진로	진로/NNG
등에	등/NNB+에/JKB
큰	크/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.45.13.2
전 씨는 “공부하려는 동기를 찾는 것이 중요하다”며 “싱가포르에서 유학하던 중 2008년 금융위기를 맞아 집안 사정이 어려워졌지만 오히려 공부를 열심히 하는 계기로 삼았다”고 경험을 공유했다.

전	전/NNP
씨는	씨/NNB+는/JX
“공부하려는	“/SS+공부/NNG+하/XSV+려는/ETM
동기를	동기/NNG+를/JKO
찾는	찾/VV+는/ETM
것이	것/NNB+이/JKS
중요하다”며	중요/NNG+하/XSA+다/EF+”/SS+며/EC
“싱가포르에서	“/SS+싱가포르/NNP+에서/JKB
유학하던	유학/NNG+하/XSV+던/ETM
중	중/NNB
2008년	2008/SN+년/NNB
금융위기를	금융/NNG+위기/NNG+를/JKO
맞아	맞/VV+아/EC
집안	집안/NNG
사정이	사정/NNG+이/JKS
어려워졌지만	어렵/VA+어/EC+지/VX+었/EP+지만/EC
오히려	오히려/MAG
공부를	공부/NNG+를/JKO
열심히	열심히/MAG
하는	하/VV+는/ETM
계기로	계기/NNG+로/JKB
삼았다”고	삼/VV+았/EP+다/EF+”/SS+고/JKQ
경험을	경험/NNG+을/JKO
공유했다.	공유/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.45.14.1
학생들을 인솔한 충북 수한초 임현숙 교사는 “학생들이 더 큰 세상을 경험하면서 미래를 꿈꾸고 성장하는 데 많은 도움이 됐다고 생각한다”고 밝혔다.

학생들을	학생/NNG+들/XSN+을/JKO
인솔한	인솔/NNG+하/XSV+ㄴ/ETM
충북	충북/NNP
수한초	수한초/NNP
임현숙	임현숙/NNP
교사는	교사/NNG+는/JX
“학생들이	“/SS+학생/NNG+들/XSN+이/JKS
더	더/MAG
큰	크/VA+ㄴ/ETM
세상을	세상/NNG+을/JKO
경험하면서	경험/NNG+하/XSV+면서/EC
미래를	미래/NNG+를/JKO
꿈꾸고	꿈꾸/VV+고/EC
성장하는	성장/NNG+하/XSV+는/ETM
데	데/NNB
많은	많/VA+은/ETM
도움이	도움/NNG+이/JKC
됐다고	되/VV+었/EP+다고/EC
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


