# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.281
metadata : {}


# id : NWRW1800000054.281.1.1
굴비 엮이듯 끌려간 선수들… 평창도 이러면 큰일

굴비	굴비/NNG
스키어들을	스키어/NNG+들/XSN+을/JKO
집으로	집/NNG+으로/JKB
돌려보내기	돌려보내/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.281.4.3
문제는 월드컵에 참가하기 위해 모여 있던 선수 50여명과 스태프들이었다.

문제는	문제/NNG+는/JX
월드컵에	월드컵/NNG+에/JKB
참가하기	참가/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
모여	모이/VV+어/EC
있던	있/VX+던/ETM
선수	선수/NNG
50여명과	50/SN+여/XSN+명/NNB+과/JC
스태프들이었다.	스태프/NNG+들/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.281.4.4
한참을 대기하던 이들은 결국 스키장 측이 마련한 설상 이동 장비와 스노캣을 이용해 출발 지점으로 가는 수밖에 없었다.

한참을	한참/NNG+을/JKO
대기하던	대기/NNG+하/XSV+던/ETM
이들은	이/NNB+들/XSN+은/JX
결국	결국/NNG
스키장	스키장/NNG
측이	측/NNB+이/JKS
마련한	마련/NNG+하/XSV+ㄴ/ETM
설상	설상/NNG
이동	이동/NNG
장비와	장비/NNG+와/JC
스노캣을	스노캣/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
출발	출발/NNG
지점으로	지점/NNG+으로/JKB
가는	가/VV+는/ETM
수밖에	수/NNB+밖에/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.281.4.5
코스 상단부까지 갈 수가 없어 스타트 지점도 전날보다 460m 낮은 곳으로 변경했다.

코스	코스/NNG
상단부까지	상단부/NNG+까지/JX
갈	가/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없어	없/VA+어/EC
스타트	스타트/NNG
지점도	지점/NNG+도/JX
전날보다	전날/NNG+보다/JKB
460m	460/SN+m/SW
낮은	낮/VA+은/ETM
곳으로	곳/NNG+으로/JKB
변경했다.	변경/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.281.4.6
평창올림픽 때 이런 일이 벌어지면 어떨지, 아찔한 장면의 연속이었다.

평창올림픽	평창/NNP+올림픽/NNG
때	때/NNG
이런	이런/MMD
일이	일/NNG+이/JKS
벌어지면	벌어지/VV+면/EC
어떨지,	어떻/VA+ㄹ지/EF+,/SP
아찔한	아찔/MAG+하/XSA+ㄴ/ETM
장면의	장면/NNG+의/JKG
연속이었다.	연속/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.281.5.1
선수들은 불만을 터뜨렸다.

선수들은	선수/NNG+들/XSN+은/JX
불만을	불만/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.281.5.2
레이크 루이스 스키장에서 종목을 가리지 않고 18번 우승해 '레이크 린지(Lake Lindsey)'라고 불리는 스키 여제 린지 본(33·미국)은 "말도 안 되는 하루를 보냈다"고 했다.

레이크	레이크/NNP
루이스	루이스/NNP
스키장에서	스키장/NNG+에서/JKB
종목을	종목/NNG+을/JKO
가리지	가리/VV+지/EC
않고	않/VX+고/EC
18번	18/SN+번/NNB
우승해	우승/NNG+하/XSV+아/EC
'레이크	'/SS+레이크/NNP
린지(Lake	린지/NNP+(/SS+Lake/SL
Lindsey)'라고	Lindsey/SL+)/SS+'/SS+라고/JKQ
불리는	불리/VV+는/ETM
스키	스키/NNG
여제	여제/NNG
린지	린지/NNP
본(33·미국)은	본/NNP+(/SS+33/SN+·/SP+미국/NNP+)/SS+은/JX
"말도	"/SS+말/NNG+도/JX
안	안/MAG
되는	되/VV+는/ETM
하루를	하루/NNG+를/JKO
보냈다"고	보내/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.281.5.3
역대 여자 알파인스키 월드컵 최다승(77승) 기록 보유자인 그는 이날 1분28초48로 12위에 그쳤다.

역대	역대/NNG
여자	여자/NNG
알파인스키	알파인/NNG+스키/NNG
월드컵	월드컵/NNG
최다승(77승)	최/XPN+다승/NNG+(/SS+77/SN+승/NNB+)/SS
기록	기록/NNG
보유자인	보유자/NNG+이/VCP+ㄴ/ETM
그는	그/NP+는/JX
이날	이날/NNG
1분28초48로	1/SN+분/NNB+28/SN+초/NNB+48/SN+로/JKB
12위에	12/SN+위/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.281.5.4
짧아진 코스의 수혜자도 있었다.

짧아진	짧아지/VV+ㄴ/ETM
코스의	코스/NNG+의/JKG
수혜자도	수혜자/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.281.5.5
차세대 여왕을 노리는 미케일라 시프린(22·미국)이다.

차세대	차세대/NNG
여왕을	여왕/NNG+을/JKO
노리는	노리/VV+는/ETM
미케일라	미케일라/NNP
시프린(22·미국)이다.	시프린/NNP+(/SS+22/SN+·/SP+미국/NNP+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000054.281.5.6
회전이 주종목인 그는 이날 1분27초55로 1위에 올라 개인 통산 처음 활강 우승을 맛봤다.

회전이	회전/NNG+이/JKS
주종목인	주종목/NNG+이/VCP+ㄴ/ETM
그는	그/NP+는/JX
이날	이날/NNG
1분27초55로	1/SN+분/NNB+27/SN+초/NNB+55/SN+로/JKB
1위에	1/SN+위/NNB+에/JKB
올라	오르/VV+아/EC
개인	개인/NNG
통산	통산/NNG
처음	처음/NNG
활강	활강/NNG
우승을	우승/NNG+을/JKO
맛봤다.	맛보/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.281.5.7
회전 경기는 코스가 짧은 반면 섬세한 턴 기술이 필요하고, 활강은 스피드와 체력을 바탕으로 긴 코스를 거의 일직선으로 내려온다.

회전	회전/NNG
경기는	경기/NNG+는/JX
코스가	코스/NNG+가/JKS
짧은	짧/VA+은/ETM
반면	반면/NNG
섬세한	섬세하/VA+ㄴ/ETM
턴	턴/NNG
기술이	기술/NNG+이/JKS
필요하고,	필요/NNG+하/XSA+고/EC+,/SP
활강은	활강/NNG+은/JX
스피드와	스피드/NNG+와/JC
체력을	체력/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
긴	길/VA+ㄴ/ETM
코스를	코스/NNG+를/JKO
거의	거의/MAG
일직선으로	일직선/NNG+으로/JKB
내려온다.	내려오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.281.5.8
시프린은 "우승할 거라곤 생각도 못했다. 코스가 짧아진 게 도움이 됐다"고 했다.

시프린은	시프린/NNP+은/JX
"우승할	"/SS+우승/NNG+하/XSV+ㄹ/ETM
거라곤	거/NNB+이/VCP+라고/EC+ㄴ/JX
생각도	생각/NNG+도/JX
못했다.	못/MAG+하/VV+았/EP+다/EF+./SF
코스가	코스/NNG+가/JKS
짧아진	짧아지/VV+ㄴ/ETM
게	거/NNB+이/JKS
도움이	도움/NNG+이/JKC
됐다"고	되/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.281.5.9
스키장 전기 공급은 경기가 끝날 무렵 복구됐다.

스키장	스키장/NNG
전기	전기/NNG
공급은	공급/NNG+은/JX
경기가	경기/NNG+가/JKS
끝날	끝나/VV+ㄹ/ETM
무렵	무렵/NNB
복구됐다.	복구/NNG+되/XSV+었/EP+다/EF+./SF


