# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.193
metadata : {}


# id : NWRW1800000024.193.1.1
전기료·가스비 올려 ‘에너지 절약’ 강제

전기료·가스비	전기료/NNG+·/SP+가스비/NNG
3.9%로	3/SN+./SP+9/SN+%/SW+로/JKB
소비가	소비/NNG+가/JKS
감소하고	감소/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
다른	다른/MMD
나라들에	나라/NNG+들/XSN+에/JKB
비해	비/NNG+하/XSV+아/EC
매우	매우/MAG
높은	높/VA+은/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.193.4.4
정부는 전기요금과 가스요금이 각각 일본의 59%, 41%선에 불과해 국민들의 에너지 절약 의지가 높아지지 않는다고 판단해 가격 인상을 추진하기로 했다.

정부는	정부/NNG+는/JX
전기요금과	전기/NNG+요금/NNG+과/JC
가스요금이	가스/NNG+요금/NNG+이/JKS
각각	각각/MAG
일본의	일본/NNP+의/JKG
59%,	59/SN+%/SW+,/SP
41%선에	41/SN+%/SW+선/NNG+에/JKB
불과해	불과/MAG+하/XSA+아/EC
국민들의	국민/NNG+들/XSN+의/JKG
에너지	에너지/NNG
절약	절약/NNG
의지가	의지/NNG+가/JKS
높아지지	높아지/VV+지/EC
않는다고	않/VX+는다고/EC
판단해	판단/NNG+하/XSV+아/EC
가격	가격/NNG
인상을	인상/NNG+을/JKO
추진하기로	추진/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.193.4.5
정부는 또 원유 등 연료 가격이 오르면 전기요금도 오르는 연료비 연동제를 도입하고, 이미 연동제가 도입됐으나 지난해 상반기부터 적용이 중단된 도시가스에도 연동제를 재개할 방침이다.

정부는	정부/NNG+는/JX
또	또/MAG
원유	원유/NNG
등	등/NNB
연료	연료/NNG
가격이	가격/NNG+이/JKS
오르면	오르/VV+면/EC
전기요금도	전기/NNG+요금/NNG+도/JX
오르는	오르/VV+는/ETM
연료비	연료비/NNG
연동제를	연동/NNG+제/XSN+를/JKO
도입하고,	도입/NNG+하/XSV+고/EC+,/SP
이미	이미/MAG
연동제가	연동/NNG+제/XSN+가/JKS
도입됐으나	도입/NNG+되/XSV+었/EP+으나/EC
지난해	지난해/NNG
상반기부터	상반기/NNG+부터/JX
적용이	적용/NNG+이/JKS
중단된	중단/NNG+되/XSV+ㄴ/ETM
도시가스에도	도시가스/NNG+에/JKB+도/JX
재개할	재개/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.193.5.1
자동차 연비도 2015년부터 강화된다.

자동차	자동차/NNG
연비도	연비/NNG+도/JX
2015년부터	2015/SN+년/NNB+부터/JX
강화된다.	강화/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.193.5.2
정부는 지난해 11월 2012년부터 적용될 자동차업체별 평균 기준연비 14.5㎞/ℓ(배기량 1.6리터 이하), 11.2㎞/ℓ(1.6리터 초과) 기준을 2015년부터 선진국의 공격적인 연비 기준에 대응해 비슷한 수준으로 올리기로 했다.

정부는	정부/NNG+는/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
2012년부터	2012/SN+년/NNB+부터/JX
적용될	적용/NNG+되/XSV+ㄹ/ETM
자동차업체별	자동차/NNG+업체/NNG+별/XSN
평균	평균/NNG
기준연비	기준/NNG+연비/NNG
14.5㎞/ℓ(배기량	14/SN+./SP+5/SN+㎞/SW+//SP+ℓ/SW+(/SS+배기량/NNG
1.6리터	1/SN+./SP+6/SN+리터/NNB
이하),	이하/NNG+)/SS+,/SP
11.2㎞/ℓ(1.6리터	11/SN+./SP+2/SN+㎞/SW+//SP+ℓ/SW+(/SS+1/SN+./SP+6/SN+리터/NNB
초과)	초과/NNG+)/SS
기준을	기준/NNG+을/JKO
2015년부터	2015/SN+년/NNB+부터/JX
선진국의	선진국/NNG+의/JKG
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
연비	연비/NNG
기준에	기준/NNG+에/JKB
대응해	대응/NNG+하/XSV+아/EC
비슷한	비슷하/VA+ㄴ/ETM
수준으로	수준/NNG+으로/JKB
올리기로	올리/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.193.5.3
미국은 2015년부터 평균 연비를 16.6㎞/ℓ 이상으로 적용할 것이라고 최근 발표한 바 있다.

미국은	미국/NNP+은/JX
2015년부터	2015/SN+년/NNB+부터/JX
평균	평균/NNG
연비를	연비/NNG+를/JKO
16.6㎞/ℓ	16/SN+./SP+6/SN+㎞/SW+//SP+ℓ/SW
이상으로	이상/NNG+으로/JKB
적용할	적용/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
최근	최근/MAG
발표한	발표/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.193.6.1
정부는 또 분기별 에너지 수입 실적을 점검해 수입이 급증하고 이에 따라 경상수지가 악화하면 여름철 냉방온도 하한선과 겨울철 난방온도 상한선을 각각 26℃와 20℃로 제한하는 제도도 시행하기로 했다.

정부는	정부/NNG+는/JX
또	또/MAG
분기별	분기/NNG+별/XSN
에너지	에너지/NNG
수입	수입/NNG
실적을	실적/NNG+을/JKO
점검해	점검/NNG+하/XSV+아/EC
수입이	수입/NNG+이/JKS
급증하고	급증/NNG+하/XSV+고/EC
이에	이/NP+에/JKB
따라	따르/VV+아/EC
경상수지가	경상/NNG+수지/NNG+가/JKS
악화하면	악화/NNG+하/XSV+면/EC
여름철	여름철/NNG
냉방온도	냉방/NNG+온도/NNG
하한선과	하한선/NNG+과/JC
겨울철	겨울철/NNG
난방온도	난방/NNG+온도/NNG
상한선을	상한선/NNG+을/JKO
각각	각각/MAG
26℃와	26/SN+℃/SW+와/JC
20℃로	20/SN+℃/SW+로/JKB
제한하는	제한/NNG+하/XSV+는/ETM
제도도	제도/NNG+도/JX
시행하기로	시행/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.193.6.2
가전제품에는 ‘톱 러너제’(에너지효율 목표관리제)를 도입해, 2010년 에어컨을 시작으로 에너지효율 1등급보다 더 높은 품목별 에너지효율 목표를 생산기업에 제시해 기업들의 기술 개발을 유도하는 방안이 시행된다.

가전제품에는	가전제품/NNG+에/JKB+는/JX
‘톱	‘/SS+톱/NNG
러너제’(에너지효율	러너/NNG+제/XSN+’/SS+(/SS+에너지/NNG+효율/NNG
목표관리제)를	목표/NNG+관리/NNG+제/XSN+)/SS+를/JKO
도입해,	도입/NNG+하/XSV+아/EC+,/SP
2010년	2010/SN+년/NNB
에어컨을	에어컨/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
에너지효율	에너지/NNG+효율/NNG
1등급보다	1/SN+등급/NNG+보다/JKB
더	더/MAG
높은	높/VA+은/ETM
품목별	품목/NNG+별/XSN
목표를	목표/NNG+를/JKO
생산기업에	생산/NNG+기업/NNG+에/JKB
제시해	제시/NNG+하/XSV+아/EC
기업들의	기업/NNG+들/XSN+의/JKG
기술	기술/NNG
개발을	개발/NNG+을/JKO
유도하는	유도/NNG+하/XSV+는/ETM
방안이	방안/NNG+이/JKS
시행된다.	시행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.193.6.3
지경부는 이날 회의에서 논의된 대책의 세부 이행계획을 산업·수송·건물 등 분야별로 마련해 7월 말까지 확정하기로 했다.

지경부는	지경부/NNG+는/JX
이날	이날/NNG
회의에서	회의/NNG+에서/JKB
논의된	논의/NNG+되/XSV+ㄴ/ETM
대책의	대책/NNG+의/JKG
세부	세부/NNG
이행계획을	이행/NNG+계획/NNG+을/JKO
산업·수송·건물	산업/NNG+·/SP+수송/NNG+·/SP+건물/NNG
등	등/NNB
분야별로	분야/NNG+별/XSN+로/JKB
마련해	마련/NNG+하/XSV+아/EC
7월	7/SN+월/NNB
말까지	말/NNB+까지/JX
확정하기로	확정/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


