# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.76
metadata : {}


# id : NWRW1800000033.76.1.1
‘티켓 암거래 게이트’ 얼룩진 런던 올림픽

‘티켓	‘/SS+티켓/NNG
실제로 5월 우크라이나 올림픽위원회 사무총장 볼로디미르 게랴셴코가 암표상으로 위장한 영국 BBC방송 기자에게 “입장권 100여 장이 있다.

실제로	실제로/MAG
5월	5/SN+월/NNB
우크라이나	우크라이나/NNP
올림픽위원회	올림픽/NNG+위원회/NNG
사무총장	사무총장/NNG
볼로디미르	볼로디미르/NNP
게랴셴코가	게랴셴코/NNP+가/JKS
암표상으로	암표상/NNG+으로/JKB
위장한	위장/NNG+하/XSV+ㄴ/ETM
영국	영국/NNP
BBC방송	BBC방송/NNP
기자에게	기자/NNG+에게/JKB
“입장권	“/SS+입장/NNG+권/XSN
100여	100/SN+여/XSN
장이	장/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.76.6.4
살 생각이 있다면 (계좌이체가 아닌) 현금으로 주면 좋겠다”고 말했다가 해임됐다.

살	사/VV+ㄹ/ETM
생각이	생각/NNG+이/JKS
있다면	있/VA+다면/EC
(계좌이체가	(/SS+계좌/NNG+이체/NNG+가/JKC
아닌)	아니/VCN+ㄴ/ETM+)/SS
현금으로	현금/NNG+으로/JKB
주면	주/VV+면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
말했다가	말/NNG+하/XSV+았/EP+다가/EC
해임됐다.	해임/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.76.7.1
카프랄로스 외에 세르비아와 리투아니아, 중국의 올림픽위원회 관련 인사들도 도마에 올랐다.

카프랄로스	카프랄로스/NNP
외에	외/NNB+에/JKB
세르비아와	세르비아/NNP+와/JC
리투아니아,	리투아니아/NNP+,/SP
중국의	중국/NNP+의/JKG
올림픽위원회	올림픽/NNG+위원회/NNG
관련	관련/NNG
인사들도	인사/NNG+들/XSN+도/JX
도마에	도마/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.76.7.2
이스라엘 전직 수영 국가대표로 이스라엘·키프로스 2개국 입장권 판매 대행을 맡고 있는 요아프 브룩(40)은 남자 100m 육상경기 AA급 입장권을 포함해 여러 경기의 입장권 수백 장을 선데이타임스 기자에게 6만6000파운드(약 1억2000만 원)에 팔려고 했다.

이스라엘	이스라엘/NNP
전직	전직/NNG
수영	수영/NNG
국가대표로	국가/NNG+대표/NNG+로/JKB
이스라엘·키프로스	이스라엘/NNP+·/SP+키프로스/NNP
2개국	2/SN+개국/NNB
입장권	입장/NNG+권/XSN
판매	판매/NNG
대행을	대행/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
요아프	요아프/NNP
브룩(40)은	브룩/NNP+(/SS+40/SN+)/SS+은/JX
남자	남자/NNG
100m	100/SN+m/SW
육상경기	육상/NNG+경기/NNG
AA급	AA/SL+급/NNG
입장권을	입장/NNG+권/XSN+을/JKO
포함해	포함/NNG+하/XSV+아/EC
여러	여러/MMN
경기의	경기/NNG+의/JKG
수백	수백/NR
장을	장/NNB+을/JKO
선데이타임스	선데이타임스/NNP
기자에게	기자/NNG+에게/JKB
6만6000파운드(약	6/SN+만/NR+6000/SN+파운드/NNB+(/SS+약/MMA
1억2000만	1/SN+억/NR+2000/SN+만/NR
원)에	원/NNB+)/SS+에/JKB
팔려고	팔/VV+려고/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.76.7.3
중국 올림픽위원회 관계자도 장당 6000파운드(약 1090만 원)에 팔려고 시도했다.

중국	중국/NNP
올림픽위원회	올림픽/NNG+위원회/NNG
관계자도	관계자/NNG+도/JX
장당	장/NNB+당/XSN
6000파운드(약	6000/SN+파운드/NNB+(/SS+약/MMA
1090만	1090/SN+만/NR
원)에	원/NNB+)/SS+에/JKB
팔려고	팔/VV+려고/EC
시도했다.	시도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.76.8.1
IOC 규정에 따르면 올림픽 입장권은 개최국에 절반이 할당되고 다른 나라들은 개최국 올림픽조직위원회에 희망수량을 신청한 뒤 자신들이 공식 지정한 대행업체를 통해 팔아야 한다.

IOC	IOC/SL
규정에	규정/NNG+에/JKB
따르면	따르/VV+면/EC
올림픽	올림픽/NNG
입장권은	입장/NNG+권/XSN+은/JX
개최국에	개최국/NNG+에/JKB
절반이	절반/NNG+이/JKS
할당되고	할당/NNG+되/XSV+고/EC
다른	다른/MMD
나라들은	나라/NNG+들/XSN+은/JX
개최국	개최국/NNG
올림픽조직위원회에	올림픽/NNG+조직/NNG+위원회/NNG+에/JKB
희망수량을	희망/NNG+수량/NNG+을/JKO
신청한	신청/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
자신들이	자신/NNG+들/XSN+이/JKS
공식	공식/NNG
지정한	지정/NNG+하/XSV+ㄴ/ETM
대행업체를	대행업체/NNG+를/JKO
통해	통하/VV+아/EC
팔아야	팔/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.76.8.2
한국에서는 공식대행업체 세방여행사가 약 2700장의 입장권을 할당받아 팔고 있다.

한국에서는	한국/NNP+에서/JKB+는/JX
공식대행업체	공식/NNG+대행업체/NNG
세방여행사가	세방여행사/NNP+가/JKS
약	약/MMA
2700장의	2700/SN+장/NNB+의/JKG
입장권을	입장/NNG+권/XSN+을/JKO
할당받아	할당/NNG+받/XSV+아/EC
팔고	팔/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.76.8.3
입장권 가격은 경기에 따라 최소 20.12파운드(약 3만7000원)에서 최대 2012파운드(약 370만 원)로 정해져 있다.

입장권	입장/NNG+권/XSN
가격은	가격/NNG+은/JX
경기에	경기/NNG+에/JKB
따라	따르/VV+아/EC
최소	최소/NNG
20.12파운드(약	20/SN+./SP+12/SN+파운드/NNB+(/SS+약/MMA
3만7000원)에서	3/SN+만/NR+7000/SN+원/NNB+)/SS+에서/JKB
최대	최대/NNG
2012파운드(약	2012/SN+파운드/NNB+(/SS+약/MMA
370만	370/SN+만/NR
원)로	원/NNB+)/SS+로/JKB
정해져	정하/VV+아/EC+지/VX+어/EC
있다.	있/VX+다/EF+./SF


