# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.14
metadata : {}


# id : NWRW1800000049.14.1.1
日 아베노믹스 추락하자 ‘100엔숍’만 날개 달아

日	日/SH
3년간	3/SN+년/NNB+간/XSN
270개	270/SN+개/NNB
매장을	매장/NNG+을/JKO
개설할	개설/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.14.7.1
할인매장들이 공격적인 투자를 하는 것과는 대조적으로 대기업들은 돈 보따리를 푸는 데 주저하고 있다.

할인매장들이	할인/NNG+매장/NNG+들/XSN+이/JKS
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
투자를	투자/NNG+를/JKO
하는	하/VV+는/ETM
것과는	것/NNB+과/JKB+는/JX
대조적으로	대조/NNG+적/XSN+으로/JKB
대기업들은	대/XPN+기업/NNG+들/XSN+은/JX
돈	돈/NNG
보따리를	보따리/NNG+를/JKO
푸는	풀/VV+는/ETM
데	데/NNB
주저하고	주저/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.14.7.2
마이니치신문이 대기업 121곳을 조사해 2일 공개한 자료에 따르면 70% 기업이 현 경기상황을 ‘정체 상태’로 느끼고 있다.

마이니치신문이	마이니치신문/NNP+이/JKS
대기업	대/XPN+기업/NNG
121곳을	121/SN+곳/NNG+을/JKO
조사해	조사/NNG+하/XSV+아/EC
2일	2/SN+일/NNB
공개한	공개/NNG+하/XSV+ㄴ/ETM
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
70%	70/SN+%/SW
기업이	기업/NNG+이/JKS
현	현/MMD
경기상황을	경기/NNG+상황/NNG+을/JKO
‘정체	‘/SS+정체/NNG
상태’로	상태/NNG+’/SS+로/JKB
느끼고	느끼/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.14.7.3
‘완만한 회복세’라는 답변은 연초 53%에서 20%로 뚝 떨어졌다.

‘완만한	‘/SS+완만하/VA+ㄴ/ETM
회복세’라는	회복세/NNG+’/SS+이/VCP+라는/ETM
답변은	답변/NNG+은/JX
연초	연초/NNG
53%에서	53/SN+%/SW+에서/JKB
20%로	20/SN+%/SW+로/JKB
뚝	뚝/MAG
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.14.7.4
전년보다 설비투자를 늘리겠다는 기업은 31%로 3곳 중 1곳밖에 안 된다.

전년보다	전년/NNG+보다/JKB
설비투자를	설비/NNG+투자/NNG+를/JKO
늘리겠다는	늘리/VV+겠/EP+다는/ETM
기업은	기업/NNG+은/JX
31%로	31/SN+%/SW+로/JKB
3곳	3/SN+곳/NNG
중	중/NNB
1곳밖에	1/SN+곳/NNG+밖에/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.14.8.1
아베노믹스는 돈을 풀어 엔화 약세와 주가 상승을 유도하고 이로 인해 여유가 생긴 기업들이 투자와 임금 인상에 나서 소비를 활성화시킨다는 구상이다.

아베노믹스는	아베노믹스/NNG+는/JX
돈을	돈/NNG+을/JKO
풀어	풀/VV+어/EC
엔화	엔화/NNG
약세와	약세/NNG+와/JC
주가	주가/NNG
상승을	상승/NNG+을/JKO
유도하고	유도/NNG+하/XSV+고/EC
이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
여유가	여유/NNG+가/JKS
생긴	생기/VV+ㄴ/ETM
기업들이	기업/NNG+들/XSN+이/JKS
투자와	투자/NNG+와/JC
임금	임금/NNG
인상에	인상/NNG+에/JKB
나서	나서/VV+어/EC
소비를	소비/NNG+를/JKO
활성화시킨다는	활성/NNG+화/XSN+시키/XSV+ㄴ다는/ETM
구상이다.	구상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.14.8.2
하지만 최근 엔고는 아베노믹스의 기본 논리를 무너뜨리며 일본 기업에 큰 타격을 주고 있다.

하지만	하지만/MAJ
최근	최근/NNG
엔고는	엔고/NNG+는/JX
아베노믹스의	아베노믹스/NNG+의/JKG
기본	기본/NNG
논리를	논리/NNG+를/JKO
무너뜨리며	무너뜨리/VV+며/EC
일본	일본/NNP
기업에	기업/NNG+에/JKB
큰	크/VA+ㄴ/ETM
타격을	타격/NNG+을/JKO
주고	주/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.14.9.1
엔화 환율은 최근 달러당 106엔 안팎으로 연초보다 14엔가량 떨어졌다.

엔화	엔화/NNG
환율은	환율/NNG+은/JX
최근	최근/NNG
달러당	달러/NNG+당/XSN
106엔	106/SN+엔/NNB
안팎으로	안팎/NNG+으로/JKB
연초보다	연초/NNG+보다/JKB
14엔가량	14/SN+엔/NNB+가량/XSN
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.14.9.2
일본 대표기업인 도요타자동차는 환율이 1엔 떨어질 때마다 수익이 400억 엔(약 4300억 원) 줄어든다.

일본	일본/NNP
대표기업인	대표/NNG+기업/NNG+이/VCP+ㄴ/ETM
도요타자동차는	도요타자동차/NNP+는/JX
환율이	환율/NNG+이/JKS
1엔	1/SN+엔/NNB
떨어질	떨어지/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
수익이	수익/NNG+이/JKS
400억	400/SN+억/NR
엔(약	엔/NNB+(/SS+약/MMA
4300억	4300/SN+억/NR
원)	원/NNB+)/SS
줄어든다.	줄어들/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.14.9.3
일본 정부는 연일 환율시장에 개입할 뜻을 밝히고 있지만 미국으로부터 ‘환율 관찰대상국’으로 지정돼 노골적으로 개입하기가 부담스러운 상황이다.

일본	일본/NNP
정부는	정부/NNG+는/JX
연일	연일/MAG
환율시장에	환율/NNG+시장/NNG+에/JKB
개입할	개입/NNG+하/XSV+ㄹ/ETM
뜻을	뜻/NNG+을/JKO
밝히고	밝히/VV+고/EC
있지만	있/VX+지만/EC
미국으로부터	미국/NNP+으로부터/JKB
‘환율	‘/SS+환율/NNG
관찰대상국’으로	관찰/NNG+대상국/NNG+’/SS+으로/JKB
지정돼	지정/NNG+되/XSV+어/EC
노골적으로	노골/NNG+적/XSN+으로/JKB
개입하기가	개입/NNG+하/XSV+기/ETN+가/JKS
부담스러운	부담/NNG+스럽/XSA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.14.9.4
일본 기업들은 적정 환율을 달러당 115∼120엔으로 보지만 시장에서는 달러당 90엔까지 떨어질 것이란 예측도 나온다.

일본	일본/NNP
기업들은	기업/NNG+들/XSN+은/JX
적정	적정/NNG
환율을	환율/NNG+을/JKO
달러당	달러/NNG+당/XSN
115∼120엔으로	115/SN+∼/SO+120/SN+엔/NNB+으로/JKB
보지만	보/VV+지만/EC
시장에서는	시장/NNG+에서/JKB+는/JX
90엔까지	90/SN+엔/NNB+까지/JX
떨어질	떨어지/VV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
예측도	예측/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.14.10.1
돈이 풀리면서 잠깐 온기가 도는 듯하던 내수 경기도 침체되고 있다.

돈이	돈/NNG+이/JKS
풀리면서	풀리/VV+면서/EC
잠깐	잠깐/MAG
온기가	온기/NNG+가/JKS
도는	돌/VV+는/ETM
듯하던	듯/NNB+하/XSA+던/ETM
내수	내수/NNG
경기도	경기/NNG+도/JX
침체되고	침체/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.14.10.2
민간 조사기관 14곳은 일본의 1분기(1∼3월) 실질 국내총생산(GDP)이 소폭 증가하지만 윤년이라 하루가 더 많은 효과를 감안하면 사실상 마이너스일 것이란 분석을 내놨다.

민간	민간/NNG
조사기관	조사/NNG+기관/NNG
14곳은	14/SN+곳/NNG+은/JX
일본의	일본/NNP+의/JKG
1분기(1∼3월)	1/SN+분기/NNG+(/SS+1/SN+∼/SO+3/SN+월/NNB+)/SS
실질	실질/NNG
국내총생산(GDP)이	국내/NNG+총생산/NNG+(/SS+GDP/SL+)/SS+이/JKS
소폭	소폭/MAG
증가하지만	증가/NNG+하/XSV+지만/EC
윤년이라	윤년/NNG+이/VCP+라/EC
하루가	하루/NNG+가/JKS
더	더/MAG
많은	많/VA+은/ETM
효과를	효과/NNG+를/JKO
감안하면	감안/NNG+하/XSV+면/EC
사실상	사실/NNG+상/XSN
마이너스일	마이너스/NNG+이/VCP+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
분석을	분석/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.14.10.3
GDP의 60%가량을 차지하는 개인 소비도 윤년 효과를 감안하면 마이너스라는 견해가 많다.

GDP의	GDP/SL+의/JKG
60%가량을	60/SN+%/SW+가량/XSN+을/JKO
차지하는	차지/NNG+하/XSV+는/ETM
개인	개인/NNG
소비도	소비/NNG+도/JX
윤년	윤년/NNG
효과를	효과/NNG+를/JKO
감안하면	감안/NNG+하/XSV+면/EC
마이너스라는	마이너스/NNG+이/VCP+라는/ETM
견해가	견해/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000049.14.10.4
일본은행은 마이너스 금리까지 도입하며 소비심리를 살리기 위해 애쓰고 있지만 가계의 평균소비성향(가처분소득에서 차지하는 소비지출의 비중)은 아베노믹스 이전인 2012년 수준으로 되돌아갔다.

일본은행은	일본은행/NNP+은/JX
마이너스	마이너스/NNG
금리까지	금리/NNG+까지/JX
도입하며	도입/NNG+하/XSV+며/EC
소비심리를	소비/NNG+심리/NNG+를/JKO
살리기	살리/VV+기/ETN
위해	위하/VV+아/EC
애쓰고	애쓰/VV+고/EC
있지만	있/VX+지만/EC
가계의	가계/NNG+의/JKG
평균소비성향(가처분소득에서	평균/NNG+소비/NNG+성향/NNG+(/SS+가/XPN+처분/NNG+소득/NNG+에서/JKB
차지하는	차지/NNG+하/XSV+는/ETM
소비지출의	소비/NNG+지출/NNG+의/JKG
비중)은	비중/NNG+)/SS+은/JX
아베노믹스	아베노믹스/NNG
이전인	이전/NNG+이/VCP+ㄴ/ETM
2012년	2012/SN+년/NNB
수준으로	수준/NNG+으로/JKB
되돌아갔다.	되돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.14.11.1
중국 등 신흥국 경기 둔화로 수출도 여의치 않다보니 일본 내에서는 비관적 전망이 대세다.

중국	중국/NNP
등	등/NNB
신흥국	신흥국/NNG
경기	경기/NNG
둔화로	둔화/NNG+로/JKB
수출도	수출/NNG+도/JX
여의치	여의하/VA+지/EC
않다보니	않/VX+다/EC+보/VX+니/EC
일본	일본/NNP
내에서는	내/NNB+에서/JKB+는/JX
비관적	비관/NNG+적/XSN
전망이	전망/NNG+이/JKS
대세다.	대세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.14.11.2
한때 20,000엔을 넘던 닛케이평균주가도 16,000엔대로 주저앉았다.

한때	한때/MAG
20,000엔을	20/SN+,/SP+000/SN+엔/NNB+을/JKO
넘던	넘/VV+던/ETM
닛케이평균주가도	닛케이/NNP+평균/NNG+주가/NNG+도/JX
16,000엔대로	16/SN+,/SP+000/SN+엔/NNB+대/XSN+로/JKB
주저앉았다.	주저앉/VV+았/EP+다/EF+./SF


