# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.69
metadata : {}


# id : NWRW1800000037.69.1.1
1억이하 연대보증 빚 절반 탕감… 8만명 혜택

1억이하	1/SN+억/NR+이하/NNG
금융위원회는 26일 ‘2금융권 연대보증 폐지방안’을 내놓고 연대보증인이 5월 중순부터 ‘주 채무자가 연락이 두절됐거나 변제 의지가 없는 만큼 내가 채무를 대신 갚겠다’는 의사를 국민행복기금에 전하면 채무감면 프로그램의 도움을 받을 수 있다고 밝혔다.

금융위원회는	금융/NNG+위원회/NNG+는/JX
26일	26/SN+일/NNB
‘2금융권	‘/SS+2/SN+금융/NNG+권/XSN
연대보증	연대/NNG+보증/NNG
폐지방안’을	폐지/NNG+방안/NNG+’/SS+을/JKO
내놓고	내놓/VV+고/EC
연대보증인이	연대/NNG+보증인/NNG+이/JKS
5월	5/SN+월/NNB
중순부터	중순/NNG+부터/JX
‘주	‘/SS+주/MMA
채무자가	채무자/NNG+가/JKS
연락이	연락/NNG+이/JKS
두절됐거나	두절/NNG+되/XSV+었/EP+거나/EC
변제	변제/NNG
의지가	의지/NNG+가/JKS
없는	없/VA+는/ETM
만큼	만큼/NNB
내가	내/NP+가/JKS
채무를	채무/NNG+를/JKO
대신	대신/NNG
갚겠다’는	갚/VV+겠/EP+다/EF+’/SS+는/ETM
의사를	의사/NNG+를/JKO
국민행복기금에	국민행복기금/NNP+에/JKB
전하면	전하/VV+면/EC
채무감면	채무/NNG+감면/NNG
프로그램의	프로그램/NNG+의/JKG
도움을	도움/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다고	있/VA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.69.4.2
지금까지 주 채무자가 아닌 연대보증인은 기금의 지원 대상에서 빠져 있었다.

지금까지	지금/NNG+까지/JX
주	주/MMA
채무자가	채무자/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
연대보증인은	연대/NNG+보증인/NNG+은/JX
기금의	기금/NNG+의/JKG
지원	지원/NNG
대상에서	대상/NNG+에서/JKB
빠져	빠지/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.69.5.1
금융위는 당초 이달 말 2금융권 연대보증 관련 대책을 발표할 예정이었지만 연대보증의 폐해가 너무 커 서민의 고통이 가중되고 있다는 지적이 잇따르자 일정을 앞당겼다.

금융위는	금융위/NNG+는/JX
당초	당초/NNG
이달	이달/NNG
말	말/NNB
2금융권	2/SN+금융/NNG+권/XSN
연대보증	연대/NNG+보증/NNG
관련	관련/NNG
대책을	대책/NNG+을/JKO
발표할	발표/NNG+하/XSV+ㄹ/ETM
예정이었지만	예정/NNG+이/VCP+었/EP+지만/EC
연대보증의	연대/NNG+보증/NNG+의/JKG
폐해가	폐해/NNG+가/JKS
너무	너무/MAG
커	크/VA+어/EC
서민의	서민/NNG+의/JKG
고통이	고통/NNG+이/JKS
가중되고	가중/NNG+되/XSV+고/EC
있다는	있/VX+다는/ETM
지적이	지적/NNG+이/JKS
잇따르자	잇따르/VV+자/EC
일정을	일정/NNG+을/JKO
앞당겼다.	앞당기/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.69.6.1
○ 3만∼8만 명 채무조정 혜택

○	○/SW
3만∼8만	3/SN+만/NR+∼/SO+8/SN+만/NR
명	명/NNB
채무조정	채무/NNG+조정/NNG
혜택	혜택/NNG


# id : NWRW1800000037.69.7.1
2012년 말 기준 2금융권의 연대보증인은 155만 명, 보증액은 75조 원 규모다.

2012년	2012/SN+년/NNB
말	말/NNB
기준	기준/NNG
2금융권의	2/SN+금융/NNG+권/XSN+의/JKG
연대보증인은	연대/NNG+보증인/NNG+은/JX
155만	155/SN+만/NR
명,	명/NNB+,/SP
보증액은	보증액/NNG+은/JX
75조	75/SN+조/NR
원	원/NNB
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.69.7.2
1인당 보증금액은 대출의 경우 1600만∼7500만 원, 보증보험의 경우 평균 2억 원 정도다.

1인당	1/SN+인/NNG+당/XSN
보증금액은	보증/NNG+금액/NNG+은/JX
대출의	대출/NNG+의/JKG
경우	경우/NNG
1600만∼7500만	1600/SN+만/NR+∼/SO+7500/SN+만/NR
원,	원/NNB+,/SP
보증보험의	보증/NNG+보험/NNG+의/JKG
평균	평균/NNG
2억	2/SN+억/NR
원	원/NNB
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.69.7.3
이번 지원 확대로 2금융권 보증인 가운데 사고가 터져 이미 주 채무자 대신에 빚을 갚고 있는 것으로 추정되는 3만∼8만 명이 채무감면 혜택을 받을 것으로 보인다.

이번	이번/NNG
지원	지원/NNG
확대로	확대/NNG+로/JKB
2금융권	2/SN+금융/NNG+권/XSN
보증인	보증인/NNG
가운데	가운데/NNG
사고가	사고/NNG+가/JKS
터져	터지/VV+어/EC
이미	이미/MAG
주	주/MMA
채무자	채무자/NNG
대신에	대신/NNG+에/JKB
빚을	빚/NNG+을/JKO
갚고	갚/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
3만∼8만	3/SN+만/NR+∼/SO+8/SN+만/NR
명이	명/NNB+이/JKS
채무감면	채무/NNG+감면/NNG
혜택을	혜택/NNG+을/JKO
받을	받/VV+을/ETM
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.69.7.4
국민행복기금 측은 “신용불량자로 전락할 위기에 놓인 기존 보증인을 지원해야 제도의 사각지대 문제를 해소할 수 있을 것으로 봤다”고 설명했다.

국민행복기금	국민행복기금/NNP
측은	측/NNB+은/JX
“신용불량자로	“/SS+신용/NNG+불량자/NNG+로/JKB
전락할	전락/NNG+하/XSV+ㄹ/ETM
위기에	위기/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
기존	기존/NNG
보증인을	보증인/NNG+을/JKO
지원해야	지원/NNG+하/XSV+아야/EC
제도의	제도/NNG+의/JKG
사각지대	사각지대/NNG
문제를	문제/NNG+를/JKO
해소할	해소/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
봤다”고	보/VV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.69.8.1
주 채무자의 국민행복기금 조정신청은 다음 달 1일부터 시작되지만 보증채무자는 금융회사와의 협의 절차가 필요해 다음 달 중순부터 신청할 수 있다.

주	주/MMA
채무자의	채무자/NNG+의/JKG
국민행복기금	국민행복기금/NNP
조정신청은	조정/NNG+신청/NNG+은/JX
다음	다음/NNG
달	달/NNG
1일부터	1/SN+일/NNB+부터/JX
시작되지만	시작/NNG+되/XSV+지만/EC
보증채무자는	보증/NNG+채무자/NNG+는/JX
금융회사와의	금융/NNG+회사/NNG+와/JKB+의/JKG
협의	협의/NNG
절차가	절차/NNG+가/JKS
필요해	필요/NNG+하/XSA+아/EC
중순부터	중순/NNG+부터/JX
신청할	신청/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.69.8.2
금융위는 연체 금액이 1억 원이 넘는 연대보증인에 대해서도 신용회복위원회에서 채무조정을 받는 방안을 추진하기로 했다.

금융위는	금융위/NNG+는/JX
연체	연체/NNG
금액이	금액/NNG+이/JKS
1억	1/SN+억/NR
원이	원/NNB+이/JKS
넘는	넘/VV+는/ETM
연대보증인에	연대/NNG+보증인/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
신용회복위원회에서	신용/NNG+회복/NNG+위원회/NNG+에서/JKB
채무조정을	채무/NNG+조정/NNG+을/JKO
받는	받/VV+는/ETM
방안을	방안/NNG+을/JKO
추진하기로	추진/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.69.8.3
주 채무자가 국민행복기금의 채무조정을 받으면 연대보증은 자동으로 사라진다.

주	주/MMA
채무자가	채무자/NNG+가/JKS
국민행복기금의	국민행복기금/NNP+의/JKG
채무조정을	채무/NNG+조정/NNG+을/JKO
받으면	받/VV+으면/EC
연대보증은	연대/NNG+보증/NNG+은/JX
자동으로	자동/NNG+으로/JKB
사라진다.	사라지/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.69.9.1
아직 문제가 생기지 않은 연대보증 계약은 앞으로 5년 동안 금융회사가 계약을 변경하는 시점에 점차 해소해 나가기로 했다.

아직	아직/MAG
문제가	문제/NNG+가/JKS
생기지	생기/VV+지/EC
않은	않/VX+은/ETM
연대보증	연대/NNG+보증/NNG
계약은	계약/NNG+은/JX
앞으로	앞/NNG+으로/JKB
5년	5/SN+년/NNB
동안	동안/NNG
금융회사가	금융/NNG+회사/NNG+가/JKS
계약을	계약/NNG+을/JKO
변경하는	변경/NNG+하/XSV+는/ETM
시점에	시점/NNG+에/JKB
점차	점차/MAG
해소해	해소/NNG+하/XSV+아/EC
나가기로	나가/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.69.9.2
이에 따라 대출 계약을 갱신할 때 금융회사는 원칙적으로 연대보증부 계약을 끝내야 한다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
대출	대출/NNG
계약을	계약/NNG+을/JKO
갱신할	갱신/NNG+하/XSV+ㄹ/ETM
때	때/NNG
금융회사는	금융/NNG+회사/NNG+는/JX
원칙적으로	원칙/NNG+적/XSN+으로/JKB
연대보증부	연대/NNG+보증/NNG+부/XSN
끝내야	끝내/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.69.9.3
담보가치가 부족해 보증 없이는 대출을 연장하기 힘들어지는 불가피한 상황이라도 5년 안에는 연대보증을 없애야 한다.

담보가치가	담보/NNG+가치/NNG+가/JKS
부족해	부족/NNG+하/XSA+아/EC
보증	보증/NNG
없이는	없이/MAG+는/JX
대출을	대출/NNG+을/JKO
연장하기	연장/NNG+하/XSV+기/ETN
힘들어지는	힘들어지/VV+는/ETM
불가피한	불가피하/VA+ㄴ/ETM
상황이라도	상황/NNG+이/VCP+라도/EC
5년	5/SN+년/NNB
안에는	안/NNG+에/JKB+는/JX
연대보증을	연대/NNG+보증/NNG+을/JKO
없애야	없애/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.69.9.4
금융위 관계자는 “금융감독원 검사 등을 통해 연대보증 해소 이행실적을 수시로 점검하고, 최대한 빨리 무보증 대출로 전환하도록 독려하면 5년 뒤 최대 120만 명 정도가 연대보증의 굴레에서 벗어날 수 있을 것”이라고 말했다.

금융위	금융위/NNG
관계자는	관계자/NNG+는/JX
“금융감독원	“/SS+금융/NNG+감독원/NNG
검사	검사/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
연대보증	연대/NNG+보증/NNG
해소	해소/NNG
이행실적을	이행/NNG+실적/NNG+을/JKO
수시로	수시로/MAG
점검하고,	점검/NNG+하/XSV+고/EC+,/SP
최대한	최대한/MAG
빨리	빨리/MAG
무보증	무/XPN+보증/NNG
대출로	대출/NNG+로/JKB
전환하도록	전환/NNG+하/XSV+도록/EC
독려하면	독려/NNG+하/XSV+면/EC
5년	5/SN+년/NNB
뒤	뒤/NNG
최대	최대/NNG
120만	120/SN+만/NR
명	명/NNB
정도가	정도/NNG+가/JKS
연대보증의	연대/NNG+보증/NNG+의/JKG
굴레에서	굴레/NNG+에서/JKB
벗어날	벗어나/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.69.10.1
○ 신규 연대보증 전면 폐지

○	○/SW
신규	신규/NNG
연대보증	연대/NNG+보증/NNG
전면	전면/NNG
폐지	폐지/NNG


# id : NWRW1800000037.69.11.1
7월 1일부터 저축은행과 상호금융회사, 보험회사, 카드 캐피털 리스 같은 여신전문금융회사는 개인대출에 신규로 연대보증을 세울 수 없다.

7월	7/SN+월/NNB
1일부터	1/SN+일/NNB+부터/JX
저축은행과	저축/NNG+은행/NNG+과/JC
상호금융회사,	상호/NNG+금융/NNG+회사/NNG+,/SP
보험회사,	보험/NNG+회사/NNG+,/SP
카드	카드/NNG
캐피털	캐피털/NNG
리스	리스/NNG
같은	같/VA+은/ETM
여신전문금융회사는	여신/NNG+전문/NNG+금융/NNG+회사/NNG+는/JX
개인대출에	개인/NNG+대출/NNG+에/JKB
신규로	신규/NNG+로/JKB
연대보증을	연대/NNG+보증/NNG+을/JKO
세울	세우/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000037.69.11.2
현재는 보증인 1명당 3000만 원(전 금융권 합산 1억 원 한도) 이내에서 연대보증이 가능하지만 앞으로는 보증 자체가 전면 금지되는 것이다.

현재는	현재/NNG+는/JX
보증인	보증인/NNG
1명당	1/SN+명/NNB+당/XSN
3000만	3000/SN+만/NR
원(전	원/NNB+(/SS+전/MMN
금융권	금융/NNG+권/XSN
합산	합산/NNG
1억	1/SN+억/NR
원	원/NNB
한도)	한도/NNG+)/SS
이내에서	이내/NNG+에서/JKB
연대보증이	연대/NNG+보증/NNG+이/JKS
가능하지만	가능/NNG+하/XSA+지만/EC
앞으로는	앞/NNG+으로/JKB+는/JX
보증	보증/NNG
자체가	자체/NNG+가/JKS
전면	전면/NNG
금지되는	금지/NNG+되/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.69.12.1
다만 사업자 및 법인의 연대보증은 제한적으로 허용된다.

다만	다만/MAG
사업자	사업자/NNG
및	및/MAG
법인의	법인/NNG+의/JKG
연대보증은	연대/NNG+보증/NNG+은/JX
제한적으로	제한/NNG+적/XSN+으로/JKB
허용된다.	허용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.69.12.2
개인사업자 대출은 사업자등록증에 올라 있는 공동대표를 보증인으로 세울 수 있다.

개인사업자	개인/NNG+사업자/NNG
대출은	대출/NNG+은/JX
사업자등록증에	사업자/NNG+등록증/NNG+에/JKB
올라	오르/VV+아/EC
있는	있/VX+는/ETM
공동대표를	공동/NNG+대표/NNG+를/JKO
보증인으로	보증인/NNG+으로/JKB
세울	세우/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.69.12.3
법인대출은 최대주주, 지분 30% 이상을 가진 대주주, 대표이사 가운데 1명을 보증인으로 세울 수 있다.

법인대출은	법인/NNG+대출/NNG+은/JX
최대주주,	최대/NNG+주주/NNG+,/SP
지분	지분/NNG
30%	30/SN+%/SW
이상을	이상/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
대주주,	대/XPN+주주/NNG+,/SP
대표이사	대표/NNG+이사/NNG
가운데	가운데/NNG
1명을	1/SN+명/NNB+을/JKO
보증인으로	보증인/NNG+으로/JKB
세울	세우/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.69.12.4
자동차 할부대출(오토론)에도 연대보증이 금지되지만 장애인 차량, 택시, 트럭 등을 구입할 때는 차량가액 이내에서 제한적으로 연대보증이 허용된다.

자동차	자동차/NNG
할부대출(오토론)에도	할부/NNG+대출/NNG+(/SS+오토론/NNG+)/SS+에/JKB+도/JX
연대보증이	연대/NNG+보증/NNG+이/JKS
금지되지만	금지/NNG+되/XSV+지만/EC
장애인	장애인/NNG
차량,	차량/NNG+,/SP
택시,	택시/NNG+,/SP
트럭	트럭/NNG
등을	등/NNB+을/JKO
구입할	구입/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
차량가액	차량/NNG+가액/NNG
이내에서	이내/NNG+에서/JKB
제한적으로	제한/NNG+적/XSN+으로/JKB
허용된다.	허용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.69.13.1
대형 대부업체의 연대보증도 사라진다.

대형	대형/NNG
대부업체의	대부업체/NNG+의/JKG
연대보증도	연대/NNG+보증/NNG+도/JX
사라진다.	사라지/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.69.13.2
‘러시앤캐시’로 유명한 A&P파이낸셜대부, 산와대부 등 상위 5개 업체는 정부 대책에 따라 7월부터 연대보증을 폐지한다.

‘러시앤캐시’로	‘/SS+러시앤캐시/NNP+’/SS+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
A&P파이낸셜대부,	A&P파이낸셜대부/NNP+,/SP
산와대부	산와대부/NNP
등	등/NNB
상위	상위/NNG
5개	5/SN+개/NNB
업체는	업체/NNG+는/JX
정부	정부/NNG
대책에	대책/NNG+에/JKB
따라	따르/VV+아/EC
7월부터	7/SN+월/NNB+부터/JX
연대보증을	연대/NNG+보증/NNG+을/JKO
폐지한다.	폐지/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.69.13.3
나머지 대부업체들도 자율적으로 연대보증 관행을 없애기로 했다.

나머지	나머지/NNG
대부업체들도	대부업체/NNG+들/XSN+도/JX
자율적으로	자율/NNG+적/XSN+으로/JKB
연대보증	연대/NNG+보증/NNG
관행을	관행/NNG+을/JKO
없애기로	없애/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


