# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.8
metadata : {}


# id : NWRW1800000028.8.1.1
“요한복음은 2천년전 불온집단의 신앙고백”

“요한복음은	“/SS+요한복음/NNP+은/JX
만한	만/NNB+하/XSA+ㄴ/ETM
수준엔	수준/NNG+에/JKB+ㄴ/JX
이르지	이르/VV+지/EC
못한	못하/VX+ㄴ/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.8.3.1
그러나 이 문서를 한국의 주류 기독교는 지극히 속류적인 방식으로 소비해왔다.

그러나	그러나/MAJ
이	이/MMD
문서를	문서/NNG+를/JKO
한국의	한국/NNP+의/JKG
주류	주류/NNG
기독교는	기독교/NNG+는/JX
지극히	지극히/MAG
속류적인	속류/NNG+적/XSN+이/VCP+ㄴ/ETM
방식으로	방식/NNG+으로/JKB
소비해왔다.	소비/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.8.3.2
불의한 권력과 밀월했던 그들에게 <요한복음>이란 텍스트는 부단한 사랑과 복종의 가르침을 통해 고통에 처한 민중을 ‘선한 양’으로 순치시키는, 말 그대로 ‘은혜로운 복된 말씀’의 보고였던 것이다.

불의한	불의/NNG+하/XSA+ㄴ/ETM
권력과	권력/NNG+과/JKB
밀월했던	밀월/NNG+하/XSV+았/EP+던/ETM
그들에게	그/NP+들/XSN+에게/JKB
<요한복음>이란	</SS+요한복음/NNP+>/SS+이/VCP+란/ETM
텍스트는	텍스트/NNG+는/JX
부단한	부단하/VA+ㄴ/ETM
사랑과	사랑/NNG+과/JC
복종의	복종/NNG+의/JKG
가르침을	가르침/NNG+을/JKO
통해	통하/VV+아/EC
고통에	고통/NNG+에/JKB
처한	처하/VV+ㄴ/ETM
민중을	민중/NNG+을/JKO
‘선한	‘/SS+선/NNG+하/XSA+ㄴ/ETM
양’으로	양/NNG+’/SS+으로/JKB
순치시키는,	순치/NNG+시키/XSV+는/ETM+,/SP
말	말/NNG
그대로	그대로/MAG
‘은혜로운	‘/SS+은혜/NNG+롭/XSA+ㄴ/ETM
복된	복/NNG+되/XSA+ㄴ/ETM
말씀’의	말씀/NNG+’/SS+의/JKG
보고였던	보고/NNG+이/VCP+었/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.8.4.1
<당대비평> 기획위원으로 활동중인 민중신학자 김진호 목사가 <예수의 독설>에 이어 2년 만에 내놓은 <급진적 자유주의자들>(동연 펴냄)은 <요한복음>에 대한 관념적이거나 속류화된 해석 체계를 낱낱이 해체함으로써 텍스트가 내장한 본래의 불온함과 전복성을 되살리려는 필사적 노력의 산물이다.

<당대비평>	</SS+당대비평/NNP+>/SS
기획위원으로	기획/NNG+위원/NNG+으로/JKB
활동중인	활동/NNG+중/NNB+이/VCP+ㄴ/ETM
민중신학자	민중/NNG+신학자/NNG
김진호	김진호/NNP
목사가	목사/NNG+가/JKS
<예수의	</SS+예수/NNP+의/JKG
독설>에	독설/NNG+>/SS+에/JKB
이어	잇/VV+어/EC
2년	2/SN+년/NNB
만에	만/NNB+에/JKB
내놓은	내놓/VV+은/ETM
<급진적	</SS+급진/NNG+적/XSN
자유주의자들>(동연	자유주의자/NNG+들/XSN+>/SS+(/SS+동연/NNP
펴냄)은	펴내/VV+ㅁ/ETN+)/SS+은/JX
<요한복음>에	</SS+요한복음/NNP+>/SS+에/JKB
대한	대하/VV+ㄴ/ETM
관념적이거나	관념/NNG+적/XSN+이/VCP+거나/EC
속류화된	속류/NNG+화/XSN+되/XSV+ㄴ/ETM
해석	해석/NNG
체계를	체계/NNG+를/JKO
낱낱이	낱낱이/MAG
해체함으로써	해체/NNG+하/XSV+ㅁ/ETN+으로써/JKB
텍스트가	텍스트/NNG+가/JKS
내장한	내장/NNG+하/XSV+ㄴ/ETM
본래의	본래/NNG+의/JKG
불온함과	불온/NNG+하/XSA+ㅁ/ETN+과/JC
전복성을	전복/NNG+성/XSN+을/JKO
되살리려는	되살리/VV+려는/ETM
필사적	필사/NNG+적/XSN
노력의	노력/NNG+의/JKG
산물이다.	산물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.8.5.1
“<요한복음>은 태생부터 불온한 책이었습니다.

“<요한복음>은	“/SS+</SS+요한복음/NNP+>/SS+은/JX
태생부터	태생/NNG+부터/JX
불온한	불온/NNG+하/XSA+ㄴ/ETM
책이었습니다.	책/NNG+이/VCP+었/EP+습니다/EF+./SF


# id : NWRW1800000028.8.5.2
이 텍스트를 낳고 유통시킨 신앙공동체가 1세기 말의 예수파 무리들 가운데 가장 기이한 소수집단, 요즘 말을 빌려 얘기하자면 ‘급진적 자유주의자들’의 동아리였기 때문입니다.”

이	이/MMD
텍스트를	텍스트/NNG+를/JKO
낳고	낳/VV+고/EC
유통시킨	유통/NNG+시키/XSV+ㄴ/ETM
신앙공동체가	신앙/NNG+공동체/NNG+가/JKS
1세기	1/SN+세기/NNG
말의	말/NNB+의/JKG
예수파	예수/NNP+파/NNG
무리들	무리/NNG+들/XSN
가운데	가운데/NNG
가장	가장/MAG
기이한	기이하/VA+ㄴ/ETM
소수집단,	소수/NNG+집단/NNG+,/SP
요즘	요즘/NNG
말을	말/NNG+을/JKO
빌려	빌리/VV+어/EC
얘기하자면	얘기/NNG+하/XSV+자면/EC
‘급진적	‘/SS+급진/NNG+적/XSN
자유주의자들’의	자유주의자/NNG+들/XSN+’/SS+의/JKG
동아리였기	동아리/NNG+이/VCP+었/EP+기/ETN
때문입니다.”	때문/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000028.8.6.1
김 목사가 말하는 <요한복음>의 급진성은 1장 14절에 나오는 “말씀이 육이 되었다”는 구절에서 도드라진다.

김	김/NNP
목사가	목사/NNG+가/JKS
말하는	말/NNG+하/XSV+는/ETM
<요한복음>의	</SS+요한복음/NNP+>/SS+의/JKG
급진성은	급진/NNG+성/XSN+은/JX
1장	1/SN+장/NNG
14절에	14/SN+절/NNG+에/JKB
나오는	나오/VV+는/ETM
“말씀이	“/SS+말씀/NNG+이/JKS
육이	육/NNG+이/JKC
되었다”는	되/VV+었/EP+다/EF+”/SS+는/ETM
구절에서	구절/NNG+에서/JKB
도드라진다.	도드라지/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.8.6.2
여기서 ‘육’(肉)이란 그리스어 ‘싸륵스’의 번역어인데, 성화(聖化)의 가능성이 남아 있는 육체인 ‘소마’와 달리 오염된 몸, 너무 더러워서 정화될 가능성이 전혀 없는 적나라한 몸뚱이를 가리킨다.

여기서	여기/NP+서/JKB
‘육’(肉)이란	‘/SS+육/NNG+’/SS+(/SS+肉/SH+)/SS+이란/JX
그리스어	그리스어/NNP
‘싸륵스’의	‘/SS+싸륵스/NNG+’/SS+의/JKG
번역어인데,	번역어/NNG+이/VCP+ㄴ데/EC+,/SP
성화(聖化)의	성화/NNG+(/SS+聖化/SH+)/SS+의/JKG
가능성이	가능/NNG+성/XSN+이/JKS
남아	남/VV+아/EC
있는	있/VX+는/ETM
육체인	육체/NNG+이/VCP+ㄴ/ETM
‘소마’와	‘/SS+소마/NNG+’/SS+와/JKB
달리	달리/MAG
오염된	오염/NNG+되/XSV+ㄴ/ETM
몸,	몸/NNG+,/SP
너무	너무/MAG
더러워서	더럽/VA+어서/EC
정화될	정화/NNG+되/XSV+ㄹ/ETM
전혀	전혀/MAG
없는	없/VA+는/ETM
적나라한	적나라하/VA+ㄴ/ETM
몸뚱이를	몸뚱이/NNG+를/JKO
가리킨다.	가리키/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.8.6.3
그런데 교회는 ‘소마가 된 말씀’을 자처했고, 성직자와 장로처럼 제도화된 직책을 수행하는 자들은 자신을 ‘승화된 육체’라 믿었다.

그런데	그런데/MAJ
교회는	교회/NNG+는/JX
‘소마가	‘/SS+소마/NNG+가/JKC
된	되/VV+ㄴ/ETM
말씀’을	말씀/NNG+’/SS+을/JKO
자처했고,	자처/NNG+하/XSV+았/EP+고/EC+,/SP
성직자와	성직자/NNG+와/JC
장로처럼	장로/NNG+처럼/JKB
제도화된	제도/NNG+화/XSN+되/XSV+ㄴ/ETM
직책을	직책/NNG+을/JKO
수행하는	수행/NNG+하/XSV+는/ETM
자들은	자/NNB+들/XSN+은/JX
자신을	자신/NNG+을/JKO
‘승화된	‘/SS+승화/NNG+되/XSV+ㄴ/ETM
육체’라	육체/NNG+’/SS+이/VCP+라/EC
믿었다.	믿/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.8.6.4
<요한복음>과 주류 기독교의 불화가 시작되는 지점이었다.

<요한복음>과	</SS+요한복음/NNP+>/SS+과/JC
주류	주류/NNG
기독교의	기독교/NNG+의/JKG
불화가	불화/NNG+가/JKS
시작되는	시작/NNG+되/XSV+는/ETM
지점이었다.	지점/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.8.7.1
“민중신학자 안병무는 ‘말씀(로고스)이 육(싸륵스)이 됐다’는 이 구절을 <요한복음>의 핵심 전언으로 받아들였습니다.

“민중신학자	“/SS+민중/NNG+신학자/NNG
안병무는	안병무/NNP+는/JX
‘말씀(로고스)이	‘/SS+말씀/NNG+(/SS+로고스/NNG+)/SS+이/JKS
육(싸륵스)이	육/NNG+(/SS+싸륵스/NNG+)/SS+이/JKC
됐다’는	되/VV+었/EP+다/EF+’/SS+는/ETM
이	이/MMD
구절을	구절/NNG+을/JKO
<요한복음>의	</SS+요한복음/NNP+>/SS+의/JKG
핵심	핵심/NNG
전언으로	전언/NNG+으로/JKB
받아들였습니다.	받아들이/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000028.8.7.2
이 말은 ‘가장 거룩한 것이 가장 천한 것이 되었다’는 뜻인데, 달리 표현하면 ‘더럽고 추하고 천한 것을 통하지 않고는 어떤 성스런 것도 존재할 수 없다’는 얘깁니다.”

이	이/MMD
말은	말/NNG+은/JX
‘가장	‘/SS+가장/MAG
거룩한	거룩하/VA+ㄴ/ETM
것이	것/NNB+이/JKC
가장	가장/MAG
천한	천하/VA+ㄴ/ETM
되었다’는	되/VV+었/EP+다/EF+’/SS+는/ETM
뜻인데,	뜻/NNG+이/VCP+ㄴ데/EC+,/SP
달리	달리/MAG
표현하면	표현/NNG+하/XSV+면/EC
‘더럽고	‘/SS+더럽/VA+고/EC
추하고	추하/VA+고/EC
것을	것/NNB+을/JKO
통하지	통하/VV+지/EC
않고는	않/VX+고/EC+는/JX
어떤	어떤/MMD
성스런	성/NNG+스럽/XSA+ㄴ/ETM
것도	것/NNB+도/JX
존재할	존재/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다’는	없/VA+다/EF+’/SS+는/ETM
얘깁니다.”	얘기/NNG+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000028.8.8.1
2000년 전의 이 불온한 진술에는 당시 <요한복음>을 자신들의 신앙고백으로 채택했던 한 아웃사이더 종교집단의 고통스런 체험이 끈적하게 녹아 있다.

2000년	2000/SN+년/NNB
전의	전/NNG+의/JKG
이	이/MMD
불온한	불온/NNG+하/XSA+ㄴ/ETM
진술에는	진술/NNG+에/JKB+는/JX
당시	당시/NNG
<요한복음>을	</SS+요한복음/NNP+>/SS+을/JKO
자신들의	자신/NNG+들/XSN+의/JKG
신앙고백으로	신앙/NNG+고백/NNG+으로/JKB
채택했던	채택/NNG+하/XSV+았/EP+던/ETM
한	한/MMN
아웃사이더	아웃사이더/NNG
종교집단의	종교/NNG+집단/NNG+의/JKG
고통스런	고통/NNG+스럽/XSA+ㄴ/ETM
체험이	체험/NNG+이/JKS
끈적하게	끈적/MAG+하/XSA+게/EC
녹아	녹/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.8.8.2
성서학자들에 따르면 <요한복음>은 1세기 말 지금의 터키 서부에 위치한 어느 유대교 회당에서 폭력적으로 추방당한, 상처 입은 소수파 예수공동체의 진술이다.

성서학자들에	성서학자/NNG+들/XSN+에/JKB
따르면	따르/VV+면/EC
<요한복음>은	</SS+요한복음/NNP+>/SS+은/JX
1세기	1/SN+세기/NNG
말	말/NNB
지금의	지금/NNG+의/JKG
터키	터키/NNP
서부에	서부/NNG+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
어느	어느/MMD
유대교	유대교/NNG
회당에서	회당/NNG+에서/JKB
폭력적으로	폭력/NNG+적/XSN+으로/JKB
추방당한,	추방/NNG+당하/XSV+ㄴ/ETM+,/SP
상처	상처/NNG
입은	입/VV+은/ETM
소수파	소수파/NNG
예수공동체의	예수/NNP+공동체/NNG+의/JKG
진술이다.	진술/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.8.9.1
“1세기 후반 반로마 항쟁이 처절하게 진압된 뒤 예루살렘 성전은 불타 없어지고, 유대인의 신앙도 심각한 위기에 직면합니다.

“1세기	“/SS+1/SN+세기/NNG
후반	후반/NNG
반로마	반/XPN+로마/NNP
항쟁이	항쟁/NNG+이/JKS
처절하게	처절/NNG+하/XSA+게/EC
진압된	진압/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
예루살렘	예루살렘/NNP
성전은	성전/NNG+은/JX
불타	불타/VV+아/EC
없어지고,	없어지/VV+고/EC+,/SP
유대인의	유대인/NNP+의/JKG
신앙도	신앙/NNG+도/JX
심각한	심각하/VA+ㄴ/ETM
위기에	위기/NNG+에/JKB
직면합니다.	직면/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000028.8.9.2
유대인들은 위협받는 집단 정체성을 보존하기 위해 율법 체계를 정비하고 ‘증오의 정치’에 기반한 공격적인 유대교 재건 프로젝트를 가동하는데, 이때 ‘내부의 적’으로 지목돼 억압받고 추방된 자들이 유대교의 소수파로 남아 있던 예수 추종자들입니다.”

유대인들은	유대인/NNP+들/XSN+은/JX
위협받는	위협/NNG+받/XSV+는/ETM
집단	집단/NNG
정체성을	정체/NNG+성/XSN+을/JKO
보존하기	보존/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
율법	율법/NNG
체계를	체계/NNG+를/JKO
정비하고	정비/NNG+하/XSV+고/EC
‘증오의	‘/SS+증오/NNG+의/JKG
정치’에	정치/NNG+’/SS+에/JKB
기반한	기반/NNG+하/XSV+ㄴ/ETM
공격적인	공격/NNG+적/XSN+이/VCP+ㄴ/ETM
유대교	유대교/NNG
재건	재건/NNG
프로젝트를	프로젝트/NNG+를/JKO
가동하는데,	가동/NNG+하/XSV+는데/EC+,/SP
이때	이때/NNG
‘내부의	‘/SS+내부/NNG+의/JKG
적’으로	적/NNG+’/SS+으로/JKB
지목돼	지목/NNG+되/XSV+어/EC
억압받고	억압/NNG+받/XSV+고/EC
추방된	추방/NNG+되/XSV+ㄴ/ETM
자들이	자/NNB+들/XSN+이/JKS
유대교의	유대교/NNG+의/JKG
소수파로	소수파/NNG+로/JKB
남아	남/VV+아/EC
있던	있/VX+던/ETM
예수	예수/NNP
추종자들입니다.”	추종자/NNG+들/XSN+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000028.8.9.3
추방당한 예수공동체들은 생존을 위해 공동체 간 결속을 강화하고 스스로를 제도화해야 하는 상황에 맞닥뜨렸다.

추방당한	추방/NNG+당하/XSV+ㄴ/ETM
예수공동체들은	예수/NNP+공동체/NNG+들/XSN+은/JX
생존을	생존/NNG+을/JKO
위해	위하/VV+아/EC
공동체	공동체/NNG
간	간/NNB
결속을	결속/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
스스로를	스스로/NNG+를/JKO
제도화해야	제도/NNG+화/XSN+하/XSV+아야/EC
하는	하/VX+는/ETM
상황에	상황/NNG+에/JKB
맞닥뜨렸다.	맞닥뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.8.9.4
이들이 제도화의 전범으로 차용한 것이 유대교 공동체의 회당 모델이었고, 공동체 간 연대를 위해 채택한 것이 ‘열두 사도’ 담론이었다.

이들이	이/NP+들/XSN+이/JKS
제도화의	제도/NNG+화/XSN+의/JKG
전범으로	전범/NNG+으로/JKB
차용한	차용/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
유대교	유대교/NNG
공동체의	공동체/NNG+의/JKG
회당	회당/NNG
모델이었고,	모델/NNG+이/VCP+었/EP+고/EC+,/SP
공동체	공동체/NNG
간	간/NNB
연대를	연대/NNG+를/JKO
위해	위하/VV+아/EC
채택한	채택/NNG+하/XSV+ㄴ/ETM
‘열두	‘/SS+열두/MMN
사도’	사도/NNG+’/SS
담론이었다.	담론/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.8.9.5
김 목사는 <요한복음>을 낳은 공동체가 이런 교회의 제도화 경향을 문제삼았다고 본다.

김	김/NNP
목사는	목사/NNG+는/JX
<요한복음>을	</SS+요한복음/NNP+>/SS+을/JKO
낳은	낳/VV+은/ETM
공동체가	공동체/NNG+가/JKS
이런	이런/MMD
교회의	교회/NNG+의/JKG
제도화	제도/NNG+화/XSN
경향을	경향/NNG+을/JKO
문제삼았다고	문제/NNG+삼/VV+았/EP+다고/EC
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.8.10.1
“그들은 이런 제도화가 예수를 죽이고 자신들을 추방한 유대교의 과오를 답습하는 것이라 여겼습니다.

“그들은	“/SS+그/NP+들/XSN+은/JX
이런	이런/MMD
제도화가	제도/NNG+화/XSN+가/JKS
예수를	예수/NNP+를/JKO
죽이고	죽이/VV+고/EC
자신들을	자신/NNG+들/XSN+을/JKO
추방한	추방/NNG+하/XSV+ㄴ/ETM
유대교의	유대교/NNG+의/JKG
과오를	과오/NNG+를/JKO
답습하는	답습/NNG+하/XSV+는/ETM
것이라	것/NNB+이/VCP+라/EC
여겼습니다.	여기/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000028.8.10.2
따라서 사도 집단의 권위를 거부하면서, 소마를 자처하는 교회 내부의 중계자 집단을 철저하게 배척합니다.

따라서	따라서/MAJ
사도	사도/NNG
집단의	집단/NNG+의/JKG
권위를	권위/NNG+를/JKO
거부하면서,	거부/NNG+하/XSV+면서/EC+,/SP
소마를	소마/NNG+를/JKO
자처하는	자처/NNG+하/XSV+는/ETM
교회	교회/NNG
내부의	내부/NNG+의/JKG
중계자	중계자/NNG
집단을	집단/NNG+을/JKO
철저하게	철저/NNG+하/XSA+게/EC
배척합니다.	배척/NNG+하/XSV+ㅂ니다/EF+./SF


# id : NWRW1800000028.8.10.3
자신들이 비록 싸륵스의 처지이지만 ‘성령’을 통해 성스런 존재와 직접 대면이 가능한데, 진리의 독점과 권력화를 부를 것이 분명한 성직자 집단의 개입을 요청할 필요가 없다고 본 것이죠.”

자신들이	자신/NNG+들/XSN+이/JKS
비록	비록/MAG
싸륵스의	싸륵스/NNG+의/JKG
처지이지만	처지/NNG+이/VCP+지만/EC
‘성령’을	‘/SS+성령/NNG+’/SS+을/JKO
통해	통하/VV+아/EC
성스런	성/NNG+스럽/XSA+ㄴ/ETM
존재와	존재/NNG+와/JKB
직접	직접/MAG
대면이	대면/NNG+이/JKS
가능한데,	가능/NNG+하/XSA+ㄴ데/EC+,/SP
진리의	진리/NNG+의/JKG
독점과	독점/NNG+과/JC
권력화를	권력/NNG+화/XSN+를/JKO
부를	부르/VV+ㄹ/ETM
것이	것/NNB+이/JKS
분명한	분명/MAG+하/XSA+ㄴ/ETM
성직자	성직자/NNG
집단의	집단/NNG+의/JKG
개입을	개입/NNG+을/JKO
요청할	요청/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없다고	없/VA+다고/EC
본	보/VV+ㄴ/ETM
것이죠.”	것/NNB+이/VCP+죠/EF+./SF+”/SS


# id : NWRW1800000028.8.11.1
이런 문제의식은 ‘오병이어 기적’ 이야기에서 사도들의 역할을 철저히 주변화하고, 예수를 구원자로 진술할 때면 항상 구체적인 고통의 현장을 먼저 묘사하는 대목 등에서 확연히 드러난다.

이런	이런/MMD
문제의식은	문제의식/NNG+은/JX
‘오병이어	‘/SS+오병이어/NNG
기적’	기적/NNG+’/SS
이야기에서	이야기/NNG+에서/JKB
사도들의	사도/NNG+들/XSN+의/JKG
역할을	역할/NNG+을/JKO
철저히	철저히/MAG
주변화하고,	주변/NNG+화/XSN+하/XSV+고/EC+,/SP
예수를	예수/NNP+를/JKO
구원자로	구원자/NNG+로/JKB
진술할	진술/NNG+하/XSV+ㄹ/ETM
때면	때/NNG+이/VCP+면/EC
항상	항상/MAG
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
고통의	고통/NNG+의/JKG
현장을	현장/NNG+을/JKO
먼저	먼저/MAG
묘사하는	묘사/NNG+하/XSV+는/ETM
대목	대목/NNG
등에서	등/NNB+에서/JKB
확연히	확연히/MAG
드러난다.	드러나/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.8.11.2
이런 <요한복음>의 관점에서 볼 때 유대교보다 기독교가 더 문제적인데, 뼈저린 배제의 체험을 통해 등장한 후발 신앙집단임에도 유대교보다 더 빠르게 제도화되고 한층 비정상적으로 권력화했기 때문이다.

이런	이런/MMD
<요한복음>의	</SS+요한복음/NNP+>/SS+의/JKG
관점에서	관점/NNG+에서/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
유대교보다	유대교/NNG+보다/JKB
기독교가	기독교/NNG+가/JKS
더	더/MAG
문제적인데,	문제/NNG+적/XSN+이/VCP+ㄴ데/EC+,/SP
뼈저린	뼈저리/VA+ㄴ/ETM
배제의	배제/NNG+의/JKG
체험을	체험/NNG+을/JKO
통해	통하/VV+아/EC
등장한	등장/NNG+하/XSV+ㄴ/ETM
후발	후발/NNG
신앙집단임에도	신앙/NNG+집단/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
빠르게	빠르/VA+게/EC
제도화되고	제도/NNG+화/XSN+되/XSV+고/EC
한층	한층/MAG
비정상적으로	비/XPN+정상/NNG+적/XSN+으로/JKB
권력화했기	권력/NNG+화/XSN+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.8.11.3
이를 통해 기독교가 얻은 것은 폭력성과 배타성이요, 그것이 가장 극단적인 형태로 표출되는 곳이 한국이다.

이를	이/NP+를/JKO
통해	통하/VV+아/EC
기독교가	기독교/NNG+가/JKS
얻은	얻/VV+은/ETM
것은	것/NNB+은/JX
폭력성과	폭력/NNG+성/XSN+과/JC
배타성이요,	배타/NNG+성/XSN+이/VCP+요/EC+,/SP
그것이	그것/NP+이/JKS
가장	가장/MAG
극단적인	극단/NNG+적/XSN+이/VCP+ㄴ/ETM
형태로	형태/NNG+로/JKB
표출되는	표출/NNG+되/XSV+는/ETM
곳이	곳/NNG+이/JKS
한국이다.	한국/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000028.8.12.1
“왜 우리 신앙은 선교 현장마다 증오와 싸움과 주검을 낳는가.

“왜	“/SS+왜/MAG
우리	우리/NP
신앙은	신앙/NNG+은/JX
선교	선교/NNG
현장마다	현장/NNG+마다/JX
증오와	증오/NNG+와/JC
싸움과	싸움/NNG+과/JC
주검을	주검/NNG+을/JKO
낳는가.	낳/VV+는가/EF+./SF


# id : NWRW1800000028.8.12.2
왜 오늘날의 이웃들은 우리 신앙을 문제시하고, 왜 사람들은 속속 교회에서 철수하고 있는가.”

왜	왜/MAG
오늘날의	오늘날/NNG+의/JKG
이웃들은	이웃/NNG+들/XSN+은/JX
우리	우리/NP
신앙을	신앙/NNG+을/JKO
문제시하고,	문제/NNG+시/XSN+하/XSV+고/EC+,/SP
사람들은	사람/NNG+들/XSN+은/JX
속속	속속/MAG
교회에서	교회/NNG+에서/JKB
철수하고	철수/NNG+하/XSV+고/EC
있는가.”	있/VX+는가/EF+./SF+”/SS


# id : NWRW1800000028.8.12.3
<요한복음>이야말로 이런 문제의식에 핵심적 전거가 된다고 김진호 목사는 말한다.

<요한복음>이야말로	</SS+요한복음/NNP+>/SS+이야말로/JX
이런	이런/MMD
문제의식에	문제의식/NNG+에/JKB
핵심적	핵심/NNG+적/XSN
전거가	전거/NNG+가/JKC
된다고	되/VV+ㄴ다고/EC
김진호	김진호/NNP
목사는	목사/NNG+는/JX
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


