# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.211
metadata : {}


# id : NWRW1800000052.211.1.1
“진범 제보에 되레 경찰이 증거 요구”

“진범	“/SS+진범/NNG
출석한	출석/NNG+하/XSV+ㄴ/ETM
이아무개(36)씨는	이/NNP+아무개/NP+(/SS+36/SN+)/SS+씨/NNB+는/JX
“‘삼례	“/SS+‘/SS+삼례/NNP
3인조’는	3/SN+인/NNG+조/NNG+’/SS+는/JX
진범이	진범/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000052.211.6.2
억울하게 징역을 산 이들이 잘됐으면 싶어 증언하게 됐다.

억울하게	억울/NNG+하/XSA+게/EC
징역을	징역/NNG+을/JKO
산	사/VV+ㄴ/ETM
이들이	이/NNB+들/XSN+이/JKS
잘됐으면	잘/MAG+되/XSV+었/EP+으면/EC
싶어	싶/VX+어/EC
증언하게	증언/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.211.6.3
그동안 마음에 걸렸다”고 말했다.

그동안	그동안/NNG
마음에	마음/NNG+에/JKB
걸렸다”고	걸리/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.211.6.4
이씨는 ‘부산 3인조’와 초등학교 선후배 사이다.

이씨는	이/NNP+씨/NNB+는/JX
‘부산	‘/SS+부산/NNP
3인조’와	3/SN+인/NNG+조/NNG+’/SS+와/JKB
초등학교	초등학교/NNG
선후배	선후배/NNG
사이다.	사이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.211.7.1
이씨는 “(1999년) 사건 발생 다음날 새벽 (부산 3인조의) 차 트렁크에 있던 낚싯대 가방 안에서 훔친 패물을 직접 봤다.

이씨는	이/NNP+씨/NNB+는/JX
“(1999년)	“/SS+(/SS+1999/SN+년/NNB+)/SS
사건	사건/NNG
발생	발생/NNG
다음날	다음날/NNG
새벽	새벽/NNG
(부산	(/SS+부산/NNP
3인조의)	3/SN+인/NNG+조/NNG+의/JKG+)/SS
차	차/NNG
트렁크에	트렁크/NNG+에/JKB
있던	있/VA+던/ETM
낚싯대	낚싯대/NNG
가방	가방/NNG
안에서	안/NNG+에서/JKB
훔친	훔치/VV+ㄴ/ETM
패물을	패물/NNG+을/JKO
직접	직접/MAG
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.211.7.2
부산 3인조 배아무개씨가 나에게 범행 사실을 얘기했고, 배씨와 함께 친구 어머니가 운영하는 금은방에서 장물을 팔았다.

부산	부산/NNP
3인조	3/SN+인/NNG+조/NNG
배아무개씨가	배/NNP+아무개/NP+씨/NNB+가/JKS
나에게	나/NP+에게/JKB
범행	범행/NNG
사실을	사실/NNG+을/JKO
얘기했고,	얘기/NNG+하/XSV+았/EP+고/EC+,/SP
배씨와	배/NNP+씨/NNB+와/JKB
함께	함께/MAG
친구	친구/NNG
어머니가	어머니/NNG+가/JKS
운영하는	운영/NNG+하/XSV+는/ETM
금은방에서	금은방/NNG+에서/JKB
장물을	장물/NNG+을/JKO
팔았다.	팔/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.211.7.3
(부산 3인조 조아무개씨가) 자신의 아내에게 준 패물이라고 하는데, 100% 사실이 아니다”라고 증언했다.

(부산	(/SS+부산/NNP
3인조	3/SN+인/NNG+조/NNG
조아무개씨가)	조/NNP+아무개/NP+씨/NNB+가/JKS+)/SS
자신의	자신/NNG+의/JKG
아내에게	아내/NNG+에게/JKB
준	주/VV+ㄴ/ETM
패물이라고	패물/NNG+이/VCP+라고/EC
하는데,	하/VV+는데/EC+,/SP
100%	100/SN+%/SW
사실이	사실/NNG+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
증언했다.	증언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.211.8.1
그는 “사건 발생 두세 달이 지나 완주경찰서에 (진범이 따로 있다고) 제보했다.

그는	그/NP+는/JX
“사건	“/SS+사건/NNG
발생	발생/NNG
두세	두세/MMN
달이	달/NNB+이/JKS
지나	지나/VV+아/EC
완주경찰서에	완주경찰서/NNP+에/JKB
(진범이	(/SS+진범/NNG+이/JKS
따로	따로/MAG
있다고)	있/VA+다고/EC+)/SS
제보했다.	제보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.211.8.2
내가 잠든 사이 (친구인 부산 3인조 조아무개씨가) 내 돈을 훔쳐갔기 때문이다.

내가	내/NP+가/JKS
잠든	잠들/VV+ㄴ/ETM
사이	사이/NNG
(친구인	(/SS+친구/NNG+이/VCP+ㄴ/ETM
부산	부산/NNP
3인조	3/SN+인/NNG+조/NNG
조아무개씨가)	조/NNP+아무개/NP+씨/NNB+가/JKS+)/SS
내	나/NP+의/JKG
돈을	돈/NNG+을/JKO
훔쳐갔기	훔치/VV+어/EC+가/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.211.8.3
하지만 경찰은 내 말을 듣지 않았고 수사 의지가 없었다.

하지만	하지만/MAJ
경찰은	경찰/NNG+은/JX
내	나/NP+의/JKG
말을	말/NNG+을/JKO
듣지	듣/VV+지/EC
않았고	않/VX+았/EP+고/EC
수사	수사/NNG
의지가	의지/NNG+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000052.211.8.4
경찰이 ‘증거를 가지고 오라.

경찰이	경찰/NNG+이/JKS
‘증거를	‘/SS+증거/NNG+를/JKO
가지고	가지/VV+고/EC
오라.	오/VV+라/EF+./SF


# id : NWRW1800000052.211.8.5
그래야 신빙성이 있다’고 말했다”고 덧붙였다.

그래야	그렇/VA+어야/EC
신빙성이	신빙/NNG+성/XSN+이/JKS
있다’고	있/VA+다/EF+’/SS+고/JKQ
말했다”고	말/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.211.9.1
당시 사건을 맡았던 경찰관 장아무개씨 등도 증인으로 나왔다.

당시	당시/NNG
사건을	사건/NNG+을/JKO
맡았던	맡/VV+았/EP+던/ETM
경찰관	경찰관/NNG
장아무개씨	장/NNP+아무개/NP+씨/NNB
등도	등/NNB+도/JX
증인으로	증인/NNG+으로/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.211.9.2
장씨는 이씨의 제보에 대해 “현상금을 노린 허위 제보로 판단했다”고 밝혔다.

장씨는	장/NNP+씨/NNB+는/JX
이씨의	이/NNP+씨/NNB+의/JKG
제보에	제보/NNG+에/JKB
대해	대하/VV+아/EC
“현상금을	“/SS+현상금/NNG+을/JKO
노린	노리/VV+ㄴ/ETM
허위	허위/NNG
제보로	제보/NNG+로/JKB
판단했다”고	판단/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.211.9.3
수사 과정에서 삼례 3인조를 폭행했다는 의혹을 두고서는 “3명 모두 자백을 하는 상황에서 가혹행위를 할 이유가 없었다”고 진술했다.

수사	수사/NNG
과정에서	과정/NNG+에서/JKB
삼례	삼례/NNP
3인조를	3/SN+인/NNG+조/NNG+를/JKO
폭행했다는	폭행/NNG+하/XSV+았/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
두고서는	두/VV+고서/EC+는/JX
“3명	“/SS+3/SN+명/NNB
모두	모두/MAG
자백을	자백/NNG+을/JKO
하는	하/VV+는/ETM
상황에서	상황/NNG+에서/JKB
가혹행위를	가혹/NNG+행위/NNG+를/JKO
할	하/VV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
진술했다.	진술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.211.10.1
사건 당시 숨진 유아무개 할머니의 사위 박성우(57)씨 등 피해자 유가족과 삼례 3인조는 이날 오후 전주지법 앞에서 기자회견을 열어 “재심을 개시해 조작된 사건의 진상을 규명해 달라”고 호소했다.

사건	사건/NNG
당시	당시/NNG
숨진	숨지/VV+ㄴ/ETM
유아무개	유/NNP+아무개/NP
할머니의	할머니/NNG+의/JKG
사위	사위/NNG
박성우(57)씨	박성우/NNP+(/SS+57/SN+)/SS+씨/NNB
등	등/NNB
피해자	피해자/NNG
유가족과	유가족/NNG+과/JC
삼례	삼례/NNP
3인조는	3/SN+인/NNG+조/NNG+는/JX
이날	이날/NNG
오후	오후/NNG
전주지법	전주지법/NNP
앞에서	앞/NNG+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“재심을	“/SS+재심/NNG+을/JKO
개시해	개시/NNG+하/XSV+아/EC
조작된	조작/NNG+되/XSV+ㄴ/ETM
사건의	사건/NNG+의/JKG
진상을	진상/NNG+을/JKO
규명해	규명/NNG+하/XSV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.211.10.2
박씨는 “진범까지 나타나 사죄하는 상황에서 대한민국 검찰과 경찰은 여전히 침묵하고 있다.

박씨는	박/NNP+씨/NNB+는/JX
“진범까지	“/SS+진범/NNG+까지/JX
나타나	나타나/VV+아/EC
사죄하는	사죄/NNG+하/XSV+는/ETM
상황에서	상황/NNG+에서/JKB
대한민국	대한민국/NNP
검찰과	검찰/NNG+과/JC
경찰은	경찰/NNG+은/JX
여전히	여전히/MAG
침묵하고	침묵/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.211.10.3
진실만이 저의 어머니 영혼을 위로할 수 있다.

진실만이	진실/NNG+만/JX+이/JKS
저의	저/NP+의/JKG
어머니	어머니/NNG
영혼을	영혼/NNG+을/JKO
위로할	위로/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.211.10.4
죄 없이 옥살이를 한 가짜 3인조(삼례 3인조)를 위로하는 길 역시 진실”이라고 말했다.

죄	죄/NNG
없이	없이/MAG
옥살이를	옥살이/NNG+를/JKO
한	하/VV+ㄴ/ETM
가짜	가짜/NNG
3인조(삼례	3/SN+인/NNG+조/NNG+(/SS+삼례/NNP
3인조)를	3/SN+인/NNG+조/NNG+)/SS+를/JKO
위로하는	위로/NNG+하/XSV+는/ETM
길	길/NNG
역시	역시/MAG
진실”이라고	진실/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.211.11.1
1999년 2월6일 발생한 이 사건은 억울하게 옥살이를 한 최아무개(37)씨가 2000년 6월 전주지법에 재심 청구를 했으나 2002년 2월 대법원에서 기각됐고, 지난해 3월 최씨를 포함한 삼례 3인조가 함께 2차 재심을 청구했다.

1999년	1999/SN+년/NNB
2월6일	2/SN+월/NNB+6/SN+일/NNB
발생한	발생/NNG+하/XSV+ㄴ/ETM
이	이/MMD
사건은	사건/NNG+은/JX
억울하게	억울/NNG+하/XSA+게/EC
옥살이를	옥살이/NNG+를/JKO
한	하/VV+ㄴ/ETM
최아무개(37)씨가	최/NNP+아무개/NP+(/SS+37/SN+)/SS+씨/NNB+가/JKS
2000년	2000/SN+년/NNB
6월	6/SN+월/NNB
전주지법에	전주지법/NNP+에/JKB
재심	재심/NNG
청구를	청구/NNG+를/JKO
했으나	하/VV+았/EP+으나/EC
2002년	2002/SN+년/NNB
2월	2/SN+월/NNB
대법원에서	대/XPN+법원/NNG+에서/JKB
기각됐고,	기각/NNG+되/XSV+었/EP+고/EC+,/SP
지난해	지난해/NNG
3월	3/SN+월/NNB
최씨를	최/NNP+씨/NNB+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
삼례	삼례/NNP
3인조가	3/SN+인/NNG+조/NNG+가/JKS
함께	함께/MAG
2차	2/SN+차/NNB
재심을	재심/NNG+을/JKO
청구했다.	청구/NNG+하/XSV+았/EP+다/EF+./SF


