# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.128
metadata : {}


# id : NWRW1800000022.128.1.1
[조선데스크] 뒤바뀐 벼랑 끝 전술

[조선데스크]	[/SS+조선/NNP+데스크/NNG+]/SS
자신에게	자신/NNG+에게/JKB
유리하도록	유리/NNG+하/XSA+도록/EC
변화될	변화/NNG+되/XSV+ㄹ/ETM
때를	때/NNG+를/JKO
기다린	기다리/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.128.6.1
이런 김정일에게 기회가 왔다.

이런	이런/MMD
김정일에게	김정일/NNP+에게/JKB
기회가	기회/NNG+가/JKS
왔다.	오/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.128.6.2
자신들과 코드가 맞는 김대중 정부가 남쪽에서 출범한 것이다.

자신들과	자신/NNG+들/XSN+과/JKB
코드가	코드/NNG+가/JKS
맞는	맞/VV+는/ETM
김대중	김대중/NNP
정부가	정부/NNG+가/JKS
남쪽에서	남쪽/NNG+에서/JKB
출범한	출범/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.128.6.3
이때부터 북한은 자신감을 가지고 미사일과 핵을 본격적으로 개발했고 그 비용은 남측의 지원으로 충당했다.

이때부터	이때/NNG+부터/JX
북한은	북한/NNP+은/JX
자신감을	자신감/NNG+을/JKO
가지고	가지/VV+고/EC
미사일과	미사일/NNG+과/JC
핵을	핵/NNG+을/JKO
본격적으로	본격/NNG+적/XSN+으로/JKB
개발했고	개발/NNG+하/XSV+았/EP+고/EC
그	그/MMD
비용은	비용/NNG+은/JX
남측의	남측/NNG+의/JKG
지원으로	지원/NNG+으로/JKB
충당했다.	충당/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.128.6.4
국제사회가 북한 인권문제를 거론할 때도 한국정부가 대신 방어해 줄 정도로 우군을 얻은 김정일의 벼랑 끝 전술은 이때부터 발동하기 시작했다.

국제사회가	국제/NNG+사회/NNG+가/JKS
북한	북한/NNP
인권문제를	인권/NNG+문제/NNG+를/JKO
거론할	거론/NNG+하/XSV+ㄹ/ETM
때도	때/NNG+도/JX
한국정부가	한국/NNP+정부/NNG+가/JKS
대신	대신/NNG
방어해	방어/NNG+하/XSV+아/EC
줄	주/VX+ㄹ/ETM
정도로	정도/NNG+로/JKB
우군을	우군/NNG+을/JKO
얻은	얻/VV+은/ETM
김정일의	김정일/NNP+의/JKG
벼랑	벼랑/NNG
끝	끝/NNG
전술은	전술/NNG+은/JX
이때부터	이때/NNG+부터/JX
발동하기	발동/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.128.7.1
1998년 첫 '광명성 1호'의 발사는 수백만이 아사하는 가운데 체제가 붕괴될 위험에 처했지만 남측의 김대중 정부를 충분히 우려먹을 수 있다는 계산속에서 이뤄졌다.

1998년	1998/SN+년/NNB
첫	첫/MMN
'광명성	'/SS+광명성/NNP
1호'의	1/SN+호/NNB+'/SS+의/JKG
발사는	발사/NNG+는/JX
수백만이	수백만/NR+이/JKS
아사하는	아사/NNG+하/XSV+는/ETM
가운데	가운데/NNG
체제가	체제/NNG+가/JKS
붕괴될	붕괴/NNG+되/XSV+ㄹ/ETM
위험에	위험/NNG+에/JKB
처했지만	처하/VV+았/EP+지만/EC
남측의	남측/NNG+의/JKG
김대중	김대중/NNP
정부를	정부/NNG+를/JKO
충분히	충분히/MAG
우려먹을	우려먹/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
계산속에서	계산속/NNG+에서/JKB
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.128.7.2
이라크 전쟁이 발발하자 북한 최고지도부는 한 달간 지하벙커에 들어가 있을 만큼 긴장했었다.

이라크	이라크/NNP
전쟁이	전쟁/NNG+이/JKS
발발하자	발발/NNG+하/XSV+자/EC
북한	북한/NNP
최고지도부는	최고/NNG+지도부/NNG+는/JX
한	한/MMN
달간	달/NNB+간/XSN
지하벙커에	지하/NNG+벙커/NNG+에/JKB
들어가	들어가/VV+아/EC
있을	있/VX+을/ETM
만큼	만큼/NNB
긴장했었다.	긴장/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000022.128.7.3
이라크와 아프가니스탄이 속수무책으로 무너지자 김정일 정권의 공포는 극에 달했었다.

이라크와	이라크/NNP+와/JC
아프가니스탄이	아프가니스탄/NNP+이/JKS
속수무책으로	속수무책/NNG+으로/JKB
무너지자	무너지/VV+자/EC
김정일	김정일/NNP
정권의	정권/NNG+의/JKG
공포는	공포/NNG+는/JX
극에	극/NNG+에/JKB
달했었다.	달하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000022.128.7.4
이때 한국에 좌파정권이 있었다는 것이 그에게는 천만다행인 셈이었다.

이때	이때/NNG
한국에	한국/NNP+에/JKB
좌파정권이	좌파/NNG+정권/NNG+이/JKS
있었다는	있/VA+었/EP+다는/ETM
것이	것/NNB+이/JKS
그에게는	그/NP+에게/JKB+는/JX
천만다행인	천만다행/NNG+이/VCP+ㄴ/ETM
셈이었다.	셈/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.128.7.5
하지만 김정일은 미국의 부시 행정부가 말로만 압박하고 모든 전력(戰力)이 이라크에 집중돼 북한문제에는 신경 쓸 여유가 없다는 사실에 안도했다.

하지만	하지만/MAJ
김정일은	김정일/NNP+은/JX
미국의	미국/NNP+의/JKG
부시	부시/NNP
행정부가	행정부/NNG+가/JKS
말로만	말/NNG+로/JKB+만/JX
압박하고	압박/NNG+하/XSV+고/EC
모든	모든/MMN
전력(戰力)이	전력/NNG+(/SS+戰力/SH+)/SS+이/JKS
이라크에	이라크/NNP+에/JKB
집중돼	집중/NNG+되/XSV+어/EC
북한문제에는	북한/NNP+문제/NNG+에/JKB+는/JX
신경	신경/NNG
쓸	쓰/VV+ㄹ/ETM
여유가	여유/NNG+가/JKS
없다는	없/VA+다는/ETM
사실에	사실/NNG+에/JKB
안도했다.	안도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.128.8.1
그는 1998년 광명성 1호 발사에 이어 2006년에는 핵실험까지 단행했다.

그는	그/NP+는/JX
1998년	1998/SN+년/NNB
광명성	광명성/NNP
1호	1/SN+호/NNB
발사에	발사/NNG+에/JKB
이어	잇/VV+어/EC
2006년에는	2006/SN+년/NNB+에/JKB+는/JX
핵실험까지	핵/NNG+실험/NNG+까지/JX
단행했다.	단행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.128.8.2
하지만 이때 미국은 뜻하지 않게 북한의 목을 조이는 놀라운 수단을 발견했는데 이른바 금융제재였다.

하지만	하지만/MAJ
이때	이때/NNG
미국은	미국/NNP+은/JX
뜻하지	뜻/NNG+하/XSV+지/EC
않게	않/VX+게/EC
북한의	북한/NNP+의/JKG
목을	목/NNG+을/JKO
조이는	조이/VV+는/ETM
놀라운	놀랍/VA+ㄴ/ETM
수단을	수단/NNG+을/JKO
발견했는데	발견/NNG+하/XSV+았/EP+는데/EC
이른바	이른바/MAG
금융제재였다.	금융/NNG+제재/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.128.8.3
마카오 등 북한의 자금줄을 모두 차단시켜 일시에 김정일 정권의 금융경색을 가져온 것이다.

마카오	마카오/NNP
등	등/NNB
북한의	북한/NNP+의/JKG
자금줄을	자금줄/NNG+을/JKO
모두	모두/MAG
차단시켜	차단/NNG+시키/XSV+어/EC
일시에	일시/NNG+에/JKB
김정일	김정일/NNP
정권의	정권/NNG+의/JKG
금융경색을	금융/NNG+경색/NNG+을/JKO
가져온	가져오/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.128.8.4
이때 북한은 미국에 다시 꼬리를 내렸지만 어리석게도 미국이 먼저 제재 수단을 풀면서 모든 것은 원점으로 돌아갔다.

이때	이때/NNG
북한은	북한/NNP+은/JX
미국에	미국/NNP+에/JKB
다시	다시/MAG
꼬리를	꼬리/NNG+를/JKO
내렸지만	내리/VV+었/EP+지만/EC
어리석게도	어리석/VA+게/EC+도/JX
미국이	미국/NNP+이/JKS
먼저	먼저/MAG
제재	제재/NNG
수단을	수단/NNG+을/JKO
풀면서	풀/VV+면서/EC
모든	모든/MMN
것은	것/NNB+은/JX
원점으로	원점/NNG+으로/JKB
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.128.9.1
이제 북한은 광명성 2호를 발사하면서 국제사회를 아주 우습게 만들어버렸다.

이제	이제/MAG
북한은	북한/NNP+은/JX
광명성	광명성/NNP
2호를	2/SN+호/NNB+를/JKO
발사하면서	발사/NNG+하/XSV+면서/EC
국제사회를	국제/NNG+사회/NNG+를/JKO
아주	아주/MAG
우습게	우습/VA+게/EC
만들어버렸다.	만들/VV+어/EC+버리/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.128.9.2
아무런 힘도 없는 김정일 정권이 이토록 막 나가게 만든 것은 바로 미국과 한국을 비롯한 국제사회의 책임이 크다.

아무런	아무런/MMD
힘도	힘/NNG+도/JX
없는	없/VA+는/ETM
김정일	김정일/NNP
정권이	정권/NNG+이/JKS
이토록	이토록/MAG
막	막/MAG
나가게	나가/VV+게/EC
만든	만들/VV+ㄴ/ETM
것은	것/NNB+은/JX
바로	바로/MAG
미국과	미국/NNP+과/JC
한국을	한국/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
국제사회의	국제/NNG+사회/NNG+의/JKG
책임이	책임/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000022.128.9.3
특히 지난 10년 동안 막대한 현금과 식량이 군비로 충당되는 것을 뻔히 알면서도 북한에 무조건 퍼주기로 일관한 김대중·노무현 정부의 책임이 가장 크다.

특히	특히/MAG
지난	지나/VV+ㄴ/ETM
10년	10/SN+년/NNB
동안	동안/NNG
막대한	막대하/VA+ㄴ/ETM
현금과	현금/NNG+과/JC
식량이	식량/NNG+이/JKS
군비로	군비/NNG+로/JKB
충당되는	충당/NNG+되/XSV+는/ETM
것을	것/NNB+을/JKO
뻔히	뻔히/MAG
알면서도	알/VV+면서/EC+도/JX
북한에	북한/NNP+에/JKB
무조건	무/XPN+조건/NNG
퍼주기로	푸/VV+어/EC+주/VX+기/ETN+로/JKB
일관한	일관/NNG+하/XSV+ㄴ/ETM
김대중·노무현	김대중/NNP+·/SP+노무현/NNP
정부의	정부/NNG+의/JKG
책임이	책임/NNG+이/JKS
가장	가장/MAG
크다.	크/VA+다/EF+./SF


# id : NWRW1800000022.128.9.4
이제 북한이 대륙간탄도미사일 발사능력을 가지고 거기에 핵탄두를 탑재하게 된다면 동북아는 물론 미국도 안전할 수가 없다.

이제	이제/MAG
북한이	북한/NNP+이/JKS
대륙간탄도미사일	대륙/NNG+간/NNB+탄도/NNG+미사일/NNG
발사능력을	발사/NNG+능력/NNG+을/JKO
가지고	가지/VV+고/EC
거기에	거기/NP+에/JKB
핵탄두를	핵탄두/NNG+를/JKO
탑재하게	탑재/NNG+하/XSV+게/EC
된다면	되/VV+ㄴ다면/EC
동북아는	동북아/NNP+는/JX
물론	물론/MAG
미국도	미국/NNP+도/JX
안전할	안전/NNG+하/XSA+ㄹ/ETM
수가	수/NNB+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000022.128.10.1
황장엽 전 노동당 비서는 "대화라는 것도 대화상대가 정상일 때 가능한 것이지 지금 같은 6자회담은 백날 해도 소용없다"는 견해를 밝혔다.

황장엽	황장엽/NNP
전	전/MMD
노동당	노동당/NNP
비서는	비서/NNG+는/JX
"대화라는	"/SS+대화/NNG+이/VCP+라는/ETM
것도	것/NNB+도/JX
대화상대가	대화/NNG+상대/NNG+가/JKS
정상일	정상/NNG+이/VCP+ㄹ/ETM
때	때/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
것이지	것/NNB+이/VCP+지/EC
지금	지금/MAG
같은	같/VA+은/ETM
6자회담은	6/SN+자/NNB+회담/NNG+은/JX
백날	백날/MAG
해도	하/VV+아도/EC
소용없다"는	소용없/VA+다/EF+"/SS+는/ETM
견해를	견해/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.128.10.2
미친개에게는 몽둥이가 약이듯, 지금까지 김정일 정권이 가장 두려워했던 군사적인 수단을 포함해 금융제재와 탈북자 강제북송 저지, 인권문제 등을 강력하게 거론해야 한다.

미친개에게는	미친개/NNG+에게/JKB+는/JX
몽둥이가	몽둥이/NNG+가/JKS
약이듯,	약/NNG+이/VCP+듯/EC+,/SP
지금까지	지금/NNG+까지/JX
김정일	김정일/NNP
정권이	정권/NNG+이/JKS
가장	가장/MAG
두려워했던	두려워하/VV+았/EP+던/ETM
군사적인	군사/NNG+적/XSN+이/VCP+ㄴ/ETM
수단을	수단/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
금융제재와	금융/NNG+제재/NNG+와/JC
탈북자	탈북자/NNG
강제북송	강제/NNG+북송/NNG
저지,	저지/NNG+,/SP
인권문제	인권/NNG+문제/NNG
등을	등/NNB+을/JKO
강력하게	강력/NNG+하/XSA+게/EC
거론해야	거론/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.128.10.3
이제 당장 김정일의 핵과 미사일을 저지하지 않으면 그 대가는 우리가 상상하지 못할 재앙으로 다가올 수 있다.

이제	이제/MAG
당장	당장/NNG
김정일의	김정일/NNP+의/JKG
핵과	핵/NNG+과/JC
미사일을	미사일/NNG+을/JKO
저지하지	저지/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
그	그/MMD
대가는	대가/NNG+는/JX
우리가	우리/NP+가/JKS
상상하지	상상/NNG+하/XSV+지/EC
못할	못하/VX+ㄹ/ETM
재앙으로	재앙/NNG+으로/JKB
다가올	다가오/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


